## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=50;spacingLeft=50;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
1,"Start the procedure","start","","",""
2,"Ensure the [NETWORK_SERVER] and [FILE_SERVER] are set up and available","entity","1",""
3,"Set up the [NETWORK_SERVER] configuration file with the required [EQUIPMENT] details","entity","2",""
4,"Refer to [DOCUMENT_A]","entity","3",""
5,"Set up the boot file on the [NETWORK_SERVER] for the required [EQUIPMENT]","entity","3",""
6,"Refer to [DATA_SOURCE_A]","entity","5",""
7,"Load the required files for the [EQUIPMENT] to the required location on the [FILE_SERVER]","entity","5",""
8,"Connect the [EQUIPMENT] to the [NETWORK_SERVER] on the [NETWORK_INFRA] using the [NETWORK_PORT]","entity","7",""
9,"Power up the [EQUIPMENT]","entity","8",""
10,"The [CONTROL_MODULE] status LEDs ([LED_A], [LED_B], [LED_C]) sequentially indicate initialization progress.","entity","9",""
11,"Would you like to monitor the software upgrade?","condition","10",""
12,"Wait until the [LOCAL_ACCESS_LED] on one of the [CONTROL_MODULES] is on","entity","11","[Monitor upgrade]"
13,"Connect the [LOCAL_COMPUTER] to the [LOCAL_ACCESS_PORT] on the primary [CONTROL_MODULE]","entity","12",""
14,"On the primary [CONTROL_MODULE], check that the status LEDs on the [LOCAL_ACCESS_PORT] are both on","entity","13",""
15,"Periodically poll the [LOCAL_COMPUTER] using the [COMMAND] until the display confirms that the [NETWORK_SERVER] has configured it with a new [IP_ADDRESS]","entity","14",""
16,"Refer to [DOCUMENT_B]","entity","15",""
77,"Use the [TERMINAL_APPLICATION] to log in to the primary [CONTROL_MODULE] using [SECURE_PROTOCOL]","entity","15",""
17,"What slot is the primary [CONTROL_MODULE] located in?","condition","77",""
18,"Enter [COMMAND] to connect to [IP_ADDRESS_A] with user [USERNAME] and password [PASSWORD]","entity","17","[Primary module in SLOT_A]"
19,"Enter [COMMAND] to connect to [IP_ADDRESS_B] with user [USERNAME] and password [PASSWORD]","entity","17","[Primary module in SLOT_B]"
20,"Check the software active version, enter: [COMMAND]","entity","18",""
20,"Check the software active version, enter: [COMMAND]","entity","19",""
21,"Check that the active version is [STATUS_A]","condition","20",""
22,"Contact your next level of support","end","21","[Version is not STATUS_A]"
23,"Check the software committed version, enter: [COMMAND]","entity","21","[Version is STATUS_A]"
24,"Check that the committed version is [STATUS_A]","condition","23",""
25,"Contact your next level of support","end","24","[Version is not STATUS_A]"
26,"Check the software upgrade state, enter: [COMMAND]","entity","24","[Version is STATUS_A]"
27,"Check that the upgrade state is [STATUS_B]","condition","26",""
28,"Contact your next level of support","end","27","[State is not STATUS_B]"
31,"Check the software active version on the primary [CONTROL_MODULE]","condition","27","[State is STATUS_B]"
32,"Enter [COMMAND] to check software version for component in [SLOT_A]","entity","31","[Primary module in SLOT_A]"
