## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-9BD731E6-71A4-4655-AF11-7D3614F96655,rector's last year in a position,start,,
sid-6A1E10B1-FA49-46C2-AE76-03A4113D404C,Launch accepting proposals of candidates for the position of rector,entity,sid-9BD731E6-71A4-4655-AF11-7D3614F96655,
sid-6DDC4427-3A94-4BA3-9659-CDE8AB65F702,nominates himself or herself as a candidate for the given position,entity,sid-6A1E10B1-FA49-46C2-AE76-03A4113D404C,
sid-E78C020A-8DBD-4FC3-9657-A71A38C4CFC2,Stop accepting proposals,entity,sid-6DDC4427-3A94-4BA3-9659-CDE8AB65F702,
sid-3CB5CC6C-5259-4B34-BF10-8DA2ECD6F9D4,condition,condition,sid-E78C020A-8DBD-4FC3-9657-A71A38C4CFC2,
sid-6B4C9D1F-4C36-4C2B-9C98-F73CC7EF06D1,Form a list of candidates,entity,sid-3CB5CC6C-5259-4B34-BF10-8DA2ECD6F9D4,candidates satisfies criteria
sid-F4841AF6-D686-4189-9CB1-FBE1F63C9C72,inform candidate about refusing the proposition,end,sid-3CB5CC6C-5259-4B34-BF10-8DA2ECD6F9D4,candidate does not satisfy a criteria
sid-0247F113-08CE-42F3-B1C6-489169FFB696,Reveal a list of candidates to public,entity,sid-6B4C9D1F-4C36-4C2B-9C98-F73CC7EF06D1,
sid-8698992B-16E5-479B-B2B1-D35AAED5598E,start the public meeting,entity,sid-8894E369-55F3-4E64-8DC7-9E4B392D87BC,
sid-9FD610CA-736E-4205-92E9-02F16B1CE6A4,Check if members are able to vote a new rector,entity,sid-8698992B-16E5-479B-B2B1-D35AAED5598E,
sid-8EE5370D-939B-4BB1-94B0-4D1BA9F020C9,perform an election,entity,sid-9FD610CA-736E-4205-92E9-02F16B1CE6A4,
sid-F708FE00-CDDC-4B9C-B745-3712382EF1C9,count votes,entity,sid-8EE5370D-939B-4BB1-94B0-4D1BA9F020C9,
sid-56A905E1-01CF-4A19-94C6-881863D2C769,condition,condition,sid-F708FE00-CDDC-4B9C-B745-3712382EF1C9,
sid-8EE5370D-939B-4BB1-94B0-4D1BA9F020C9,perform an election,entity,sid-56A905E1-01CF-4A19-94C6-881863D2C769,voting failed
sid-7BBAE98D-0E11-4579-984B-E42627968D98,announce the result of an election,entity,sid-56A905E1-01CF-4A19-94C6-881863D2C769,voting was successful
sid-5FC2B711-6E8B-419A-AFDE-B6097B8CCE0C,end the public meeting,entity,sid-7BBAE98D-0E11-4579-984B-E42627968D98,
sid-3D5CC583-B725-4728-9EA4-C99B05611AC2,inform a candidate about the results of election,end,sid-5FC2B711-6E8B-419A-AFDE-B6097B8CCE0C,
sid-CC23698C-AF04-4863-8BCD-390766ECE4F9,Let candides promotes their ideas to public,entity,sid-0247F113-08CE-42F3-B1C6-489169FFB696,
sid-4EAD1FE7-CF11-4DC2-88BC-2E80BE5F5C5E,promotes his or hers ideas to public,entity,sid-0247F113-08CE-42F3-B1C6-489169FFB696,
sid-8894E369-55F3-4E64-8DC7-9E4B392D87BC,organise public meeting of Academic Senate,entity,sid-CC23698C-AF04-4863-8BCD-390766ECE4F9,
sid-8894E369-55F3-4E64-8DC7-9E4B392D87BC,organise public meeting of Academic Senate,entity,sid-4EAD1FE7-CF11-4DC2-88BC-2E80BE5F5C5E,
