Metric,Threshold,Comparison,Test,p-value,A12,file,p_value_BH
Completeness,no,Industry-LADEX-ALG-LLM vs Industry-Baseline,Wilcoxon (Paired),0.002,0.87,Industry-LADEX-ALG-LLM-vs-Industry-Baseline.csv,0.0032
Correctness,no,Industry-LADEX-ALG-LLM vs Industry-Baseline,Wilcoxon (Paired),0.002,0.89,Industry-LADEX-ALG-LLM-vs-Industry-Baseline.csv,0.004
Completeness,no,Industry-LADEX-LLM-NA vs Industry-Baseline,Wilcoxon (Paired),0.92,0.56,Industry-LADEX-LLM-NA-vs-Industry-Baseline.csv,0.92
Correctness,no,Industry-LADEX-LLM-NA vs Industry-Baseline,Wilcoxon (Paired),0.49,0.58,Industry-LADEX-LLM-NA-vs-Industry-Baseline.csv,0.56
Completeness,no,Public-LADEX-ALG-NA vs Public-Baseline,Wilcoxon (Paired),0.0003,0.76,Public-LADEX-ALG-NA-vs-Public-Baseline.csv,0.0008
Correctness,no,Public-LADEX-ALG-NA vs Public-Baseline,Wilcoxon (Paired),6.00E-05,0.89,Public-LADEX-ALG-NA-vs-Public-Baseline.csv,0.00024
Completeness,no,Public-LADEX-LLM-NA vs Public-Baseline,Wilcoxon (Paired),0.0003,0.72,Public-LADEX-LLM-NA-vs-Public-Baseline.csv,0.0008
Correctness,no,Public-LADEX-LLM-NA vs Public-Baseline,Wilcoxon (Paired),0.05,0.67,Public-LADEX-LLM-NA-vs-Public-Baseline.csv,0.066666667
Completeness,no,Public-LADEX-LLM-LLM vs Public-Baseline,Wilcoxon (Paired),0.003,0.67,Public-LADEX-LLM-LLM-vs-Public-Baseline.csv,0.004
Correctness,no,Public-LADEX-LLM-LLM vs Public-Baseline,Wilcoxon (Paired),0.008,0.65,Public-LADEX-LLM-LLM-vs-Public-Baseline.csv,0.0128
Completeness,no,Industry-LADEX-ALG-NA vs Industry-Baseline,Wilcoxon (Paired),0.002,0.97,Industry-LADEX-ALG-NA-vs-Industry-Baseline.csv,0.0032
Correctness,no,Industry-LADEX-ALG-NA vs Industry-Baseline,Wilcoxon (Paired),0.002,0.94,Industry-LADEX-ALG-NA-vs-Industry-Baseline.csv,0.004
Completeness,no,Public-LADEX-ALG-LLM vs Public-Baseline,Wilcoxon (Paired),0.0003,0.76,Public-LADEX-ALG-LLM-vs-Public-Baseline.csv,0.0008
Correctness,no,Public-LADEX-ALG-LLM vs Public-Baseline,Wilcoxon (Paired),6.00E-05,0.89,Public-LADEX-ALG-LLM-vs-Public-Baseline.csv,0.00024
Completeness,no,Industry-LADEX-LLM-LLM vs Industry-Baseline,Wilcoxon (Paired),0.32,0.57,Industry-LADEX-LLM-LLM-vs-Industry-Baseline.csv,0.365714286
Correctness,no,Industry-LADEX-LLM-LLM vs Industry-Baseline,Wilcoxon (Paired),0.7,0.51,Industry-LADEX-LLM-LLM-vs-Industry-Baseline.csv,0.7
