file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,8,0.9,0.8888888888888888,10,9,1,1
14.txt,67,68,0.8933333333333333,0.8947368421052632,75,76,8,8
16.txt,17,18,0.7391304347826086,0.8571428571428571,23,21,6,3
17.txt,29,28,0.8285714285714286,0.9032258064516129,35,31,6,3
12.txt,26,30,0.896551724137931,1.0,29,30,3,0
10.txt,0,0,0.0,0.0,50,54,50,54
11.txt,12,11,1.0,0.9166666666666666,12,12,0,1
9.txt,17,16,1.0,0.8888888888888888,17,18,0,2
8.txt,29,31,0.9354838709677419,0.7560975609756098,31,41,2,10
5.txt,22,24,1.0,0.96,22,25,0,1
4.txt,16,16,1.0,1.0,16,16,0,0
6.txt,27,27,0.84375,0.8709677419354839,32,31,5,4
7.txt,18,24,0.9473684210526315,0.96,19,25,1,1
3.txt,9,8,0.75,0.8,12,10,3,2
2.txt,22,26,0.9565217391304348,1.0,23,26,1,0
1.txt,18,17,0.9473684210526315,0.7727272727272727,19,22,1,5
20.txt,34,34,0.8292682926829268,0.9714285714285714,41,35,7,1
21.txt,41,40,0.9534883720930233,1.0256410256410255,43,39,2,0
19.txt,36,36,0.8571428571428571,0.9,42,40,6,4
18.txt,20,21,0.8333333333333334,0.9545454545454546,24,22,4,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8556,Average of coverage_2_to_1: 0.8660,,,,
