File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.0,0.0,0,0,0,9,6,[],0.0,0.0,0,0,0,9,6,[],0.0,0.0,0,0,0,9,6,[],0.2222222222222222,0.3333333333333333,0.6308649480342865,2,2,9,6,"[0.6279883980751038, 0.6337414979934692]",0.3333333333333333,0.5,0.6065468788146973,3,3,9,6,"[0.6279883980751038, 0.6337414979934692, 0.5579107403755188]",0.5555555555555556,0.6666666666666666,0.5145880371332169,5,4,9,6,"[0.6279883980751038, 0.6337414979934692, 0.37689028680324554, 0.37640926241874695, 0.5579107403755188]"
14,0.21875,0.19117647058823528,0.9363956089530673,14,13,64,68,"[0.9318000674247742, 0.914624810218811, 0.9292948246002197, 0.9101465344429016, 0.9413506090641022, 0.921051561832428, 0.9424161016941071, 0.9268748164176941, 0.9228706359863281, 0.939067929983139, 0.9633508324623108, 0.9735997319221497, 0.9297392964363098, 0.963350772857666]",0.3125,0.27941176470588236,0.9082112058997154,20,19,64,68,"[0.9318000674247742, 0.914624810218811, 0.8545626401901245, 0.9292948246002197, 0.8383632898330688, 0.9101465344429016, 0.9413506090641022, 0.8276351690292358, 0.921051561832428, 0.8657504320144653, 0.854566752910614, 0.8138073086738586, 0.9424161016941071, 0.9268748164176941, 0.9228706359863281, 0.939067929983139, 0.9633508324623108, 0.9735997319221497, 0.9297392964363098, 0.963350772857666]",0.421875,0.38235294117647056,0.8587549986510441,27,26,64,68,"[0.9318000674247742, 0.914624810218811, 0.8545626401901245, 0.9292948246002197, 0.8383632898330688, 0.9101465344429016, 0.9413506090641022, 0.8276351690292358, 0.921051561832428, 0.8657504320144653, 0.854566752910614, 0.8138073086738586, 0.9424161016941071, 0.7970660924911499, 0.7004778981208801, 0.9268748164176941, 0.9228706359863281, 0.939067929983139, 0.795720100402832, 0.7173847556114197, 0.7729126214981079, 0.9633508324623108, 0.9735997319221497, 0.7744519710540771, 0.9297392964363098, 0.7296760082244873, 0.7280604839324951, 0.7239209115505219, 0.963350772857666]",0.5625,0.5147058823529411,0.7790709131293827,36,35,64,68,"[0.9318000674247742, 0.914624810218811, 0.8545626401901245, 0.9292948246002197, 0.8383632898330688, 0.9101465344429016, 0.9413506090641022, 0.8276351690292358, 0.921051561832428, 0.8657504320144653, 0.854566752910614, 0.8138073086738586, 0.9424161016941071, 0.6068154275417328, 0.636366993188858, 0.7970660924911499, 0.7004778981208801, 0.6896790266036987, 0.9268748164176941, 0.6068154275417328, 0.9228706359863281, 0.6394326686859131, 0.939067929983139, 0.6068154275417328, 0.795720100402832, 0.6769179105758667, 0.6224977523088455, 0.6068154275417328, 0.6373565495014191, 0.7173847556114197, 0.6937174499034882, 0.6068154275417328, 0.7729126214981079, 0.9633508324623108, 0.9735997319221497, 0.6302642375230789, 0.7744519710540771, 0.9297392964363098, 0.6068154275417328, 0.7296760082244873, 0.7280604839324951, 0.7239209115505219, 0.963350772857666, 0.6068154275417328, 0.6803555488586426]",0.6875,0.6029411764705882,0.7225495814266851,44,41,64,68,"[0.9318000674247742, 0.914624810218811, 0.8545626401901245, 0.9292948246002197, 0.8383632898330688, 0.9101465344429016, 0.9413506090641022, 0.8276351690292358, 0.921051561832428, 0.8657504320144653, 0.5268656760454178, 0.5293098241090775, 0.854566752910614, 0.5268656760454178, 0.5293098241090775, 0.8138073086738586, 0.9424161016941071, 0.6068154275417328, 0.636366993188858, 0.7970660924911499, 0.7004778981208801, 0.6896790266036987, 0.9268748164176941, 0.6068154275417328, 0.5200049877166748, 0.5782326906919479, 0.5890960395336151, 0.9228706359863281, 0.5128740668296814, 0.6394326686859131, 0.939067929983139, 0.6068154275417328, 0.5782326906919479, 0.5394600480794907, 0.795720100402832, 0.6769179105758667, 0.6224977523088455, 0.6068154275417328, 0.6373565495014191, 0.7173847556114197, 0.6937174499034882, 0.6068154275417328, 0.7729126214981079, 0.5399538278579712, 0.9633508324623108, 0.9735997319221497, 0.6302642375230789, 0.7744519710540771, 0.9297392964363098, 0.6068154275417328, 0.5617524981498718, 0.7296760082244873, 0.7280604839324951, 0.7239209115505219, 0.963350772857666, 0.6068154275417328, 0.5333603471517563, 0.6803555488586426, 0.5069160163402557]",0.828125,0.6911764705882353,0.645068543684947,53,47,64,68,"[0.9318000674247742, 0.914624810218811, 0.8545626401901245, 0.9292948246002197, 0.43914398550987244, 0.38433340191841125, 0.8383632898330688, 0.9101465344429016, 0.9413506090641022, 0.8276351690292358, 0.26145970821380615, 0.921051561832428, 0.8657504320144653, 0.5268656760454178, 0.5293098241090775, 0.3385058343410492, 0.854566752910614, 0.29128825664520264, 0.5268656760454178, 0.5293098241090775, 0.8138073086738586, 0.40303583443164825, 0.3216331899166107, 0.9424161016941071, 0.6068154275417328, 0.636366993188858, 0.4055594950914383, 0.39036695659160614, 0.7970660924911499, 0.7004778981208801, 0.6896790266036987, 0.9268748164176941, 0.6068154275417328, 0.5200049877166748, 0.5782326906919479, 0.5890960395336151, 0.41766364872455597, 0.9228706359863281, 0.5128740668296814, 0.6394326686859131, 0.939067929983139, 0.6068154275417328, 0.5782326906919479, 0.45297855138778687, 0.5394600480794907, 0.37256960570812225, 0.795720100402832, 0.6769179105758667, 0.6224977523088455, 0.6068154275417328, 0.6373565495014191, 0.4266022890806198, 0.7173847556114197, 0.6937174499034882, 0.6068154275417328, 0.7729126214981079, 0.5399538278579712, 0.4266022890806198, 0.9633508324623108, 0.9735997319221497, 0.6302642375230789, 0.7744519710540771, 0.41766364872455597, 0.44617992639541626, 0.9297392964363098, 0.6068154275417328, 0.5617524981498718, 0.7296760082244873, 0.7280604839324951, 0.7239209115505219, 0.963350772857666, 0.6068154275417328, 0.5333603471517563, 0.4266022890806198, 0.6803555488586426, 0.5069160163402557, 0.41766364872455597]"
16,0.0,0.0,0,0,0,18,15,[],0.1111111111111111,0.13333333333333333,0.8962153494358063,2,2,18,15,"[0.8969745635986328, 0.8954561352729797]",0.3333333333333333,0.3333333333333333,0.7947001581390699,6,5,18,15,"[0.8969745635986328, 0.7270121574401855, 0.7428539991378784, 0.772196888923645, 0.8954561352729797, 0.7337072044610977]",0.4444444444444444,0.5333333333333333,0.7443885025050905,8,8,18,15,"[0.8969745635986328, 0.7270121574401855, 0.7428539991378784, 0.772196888923645, 0.8954561352729797, 0.6395142078399658, 0.6333172917366028, 0.7337072044610977, 0.6584640741348267]",0.7777777777777778,0.7333333333333333,0.6645547384396195,14,11,18,15,"[0.8969745635986328, 0.7270121574401855, 0.7428539991378784, 0.772196888923645, 0.5538313388824463, 0.5613224506378174, 0.5346274375915527, 0.5959546566009521, 0.5575793981552124, 0.8954561352729797, 0.6395142078399658, 0.6333172917366028, 0.5726907849311829, 0.7337072044610977, 0.6584640741348267, 0.5573732256889343]",0.8888888888888888,0.8,0.640868664615684,16,12,18,15,"[0.8969745635986328, 0.7270121574401855, 0.7428539991378784, 0.772196888923645, 0.5538313388824463, 0.5613224506378174, 0.5346274375915527, 0.5959546566009521, 0.5575793981552124, 0.8954561352729797, 0.6395142078399658, 0.6333172917366028, 0.4710051417350769, 0.431755006313324, 0.5726907849311829, 0.7337072044610977, 0.6584640741348267, 0.5573732256889343]"
17,0.38461538461538464,0.38461538461538464,0.9324725836515426,10,10,26,26,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.9210288524627686, 0.9564968049526215]",0.46153846153846156,0.46153846153846156,0.9233183637261391,12,12,26,26,"[0.8969746828079224, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.9210288524627686, 0.8581198453903198, 0.9564968049526215]",0.5769230769230769,0.5769230769230769,0.881041512824595,15,15,26,26,"[0.8969746828079224, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.9210288524627686, 0.7616860866546631, 0.7644199728965759, 0.8581198453903198, 0.7608490884304047, 0.9564968049526215, 0.7298886924982071]",0.7692307692307693,0.7307692307692307,0.826951163155692,20,19,26,26,"[0.8969746828079224, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.9210288524627686, 0.6450406908988953, 0.6047247648239136, 0.6552971601486206, 0.6924602389335632, 0.7616860866546631, 0.7644199728965759, 0.8581198453903198, 0.7608490884304047, 0.9564968049526215, 0.671787366271019, 0.7298886924982071]",0.8461538461538461,0.8076923076923077,0.7559873275458813,22,21,26,26,"[0.8969746828079224, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.594213679432869, 0.5055454075336456, 0.5495151281356812, 0.9210288524627686, 0.6450406908988953, 0.6047247648239136, 0.6552971601486206, 0.6924602389335632, 0.7616860866546631, 0.5346664190292358, 0.5378350019454956, 0.7644199728965759, 0.8581198453903198, 0.7608490884304047, 0.9564968049526215, 0.671787366271019, 0.7298886924982071, 0.5329752862453461, 0.5469198226928711]",1.0,0.8846153846153846,0.6417747025446194,26,23,26,26,"[0.8969746828079224, 0.9176923036575317, 0.4257347881793976, 0.4078092575073242, 0.17007088661193848, 0.915660560131073, 0.9328898787498474, 0.9395814836025238, 0.45797257125377655, 0.4506034255027771, 0.345444455742836, 0.3348671719431877, 0.43021246790885925, 0.41175323724746704, 0.9561459124088287, 0.9364116191864014, 0.920333743095398, 0.9284846782684326, 0.594213679432869, 0.5055454075336456, 0.49599528312683105, 0.5495151281356812, 0.297807052731514, 0.9210288524627686, 0.6450406908988953, 0.6047247648239136, 0.6552971601486206, 0.6924602389335632, 0.7616860866546631, 0.5346664190292358, 0.5378350019454956, 0.7644199728965759, 0.8581198453903198, 0.4638699144124985, 0.7608490884304047, 0.9564968049526215, 0.671787366271019, 0.7298886924982071, 0.5329752862453461, 0.45297712087631226, 0.5469198226928711]"
12,0.10526315789473684,0.07692307692307693,0.9551123976707458,2,2,19,26,"[0.9402565956115723, 0.9699681997299194]",0.2631578947368421,0.19230769230769232,0.8872137427330017,5,5,19,26,"[0.9402565956115723, 0.8718187212944031, 0.9699681997299194, 0.8378877639770508, 0.816137433052063]",0.3157894736842105,0.23076923076923078,0.8573023577531179,6,6,19,26,"[0.9402565956115723, 0.8718187212944031, 0.9699681997299194, 0.8378877639770508, 0.7077454328536987, 0.816137433052063]",0.47368421052631576,0.34615384615384615,0.7894365092118582,9,9,19,26,"[0.9402565956115723, 0.8718187212944031, 0.9699681997299194, 0.8378877639770508, 0.7077454328536987, 0.6521817594766617, 0.6420451551675797, 0.816137433052063, 0.6668875217437744]",0.7894736842105263,0.5769230769230769,0.6954892635345459,15,15,19,26,"[0.9402565956115723, 0.8718187212944031, 0.9699681997299194, 0.8378877639770508, 0.7077454328536987, 0.5285575985908508, 0.5270702093839645, 0.6521817594766617, 0.6420451551675797, 0.816137433052063, 0.5760861337184906, 0.5325418561697006, 0.58470019698143, 0.6668875217437744, 0.5784543752670288]",1.0,0.7692307692307693,0.5995554782095409,19,20,19,26,"[0.9402565956115723, 0.2855243682861328, 0.8718187212944031, 0.9699681997299194, 0.8378877639770508, 0.7077454328536987, 0.5285575985908508, 0.5270702093839645, 0.6521817594766617, 0.6420451551675797, 0.816137433052063, 0.5760861337184906, 0.5325418561697006, 0.58470019698143, 0.35824763774871826, 0.38038694858551025, 0.363040566444397, 0.4859333038330078, 0.6668875217437744, 0.2851932644844055, 0.5784543752670288]"
10,0.0,0.0,0.0,0,0,32,43,[],0.0,0.0,0.0,0,0,32,43,[],0.0,0.0,0.0,0,0,32,43,[],0.0,0.0,0.0,0,0,32,43,[],0.0,0.0,0.0,0,0,32,43,[],0.0,0.0,0.0,0,0,32,43,[]
11,0.5,0.5,0.9376661032438278,2,2,4,4,"[0.9186313152313232, 0.9567008912563324]",0.75,0.75,0.9241022964318594,3,3,4,4,"[0.8969746828079224, 0.9186313152313232, 0.9567008912563324]",0.75,0.75,0.9241022964318594,3,3,4,4,"[0.8969746828079224, 0.9186313152313232, 0.9567008912563324]",0.75,0.75,0.9241022964318594,3,3,4,4,"[0.8969746828079224, 0.9186313152313232, 0.9567008912563324]",1.0,1.0,0.8259522542357445,4,4,4,4,"[0.8969746828079224, 0.5315021276473999, 0.9186313152313232, 0.9567008912563324]",1.0,1.0,0.8259522542357445,4,4,4,4,"[0.8969746828079224, 0.5315021276473999, 0.9186313152313232, 0.9567008912563324]"
9,0.2857142857142857,0.2222222222222222,0.9687752649188042,4,4,14,18,"[0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.9231908321380615]",0.7142857142857143,0.5555555555555556,0.8987605929374695,10,10,14,18,"[0.8885325193405151, 0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.9231908321380615, 0.885887861251831, 0.8348514437675476, 0.832496702671051, 0.815165638923645, 0.8555707037448883]",0.7857142857142857,0.6111111111111112,0.8821705363013528,11,11,14,18,"[0.8885325193405151, 0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.9231908321380615, 0.885887861251831, 0.7162699699401855, 0.8348514437675476, 0.832496702671051, 0.815165638923645, 0.8555707037448883]",0.8571428571428571,0.6666666666666666,0.8666554490725199,12,12,14,18,"[0.8885325193405151, 0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.6959894895553589, 0.9231908321380615, 0.885887861251831, 0.7162699699401855, 0.8348514437675476, 0.832496702671051, 0.815165638923645, 0.8555707037448883]",1.0,0.7777777777777778,0.8172046499592918,14,14,14,18,"[0.5230268836021423, 0.8885325193405151, 0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.6959894895553589, 0.9231908321380615, 0.5179728269577026, 0.885887861251831, 0.7162699699401855, 0.8348514437675476, 0.832496702671051, 0.815165638923645, 0.8555707037448883]",1.0,0.7777777777777778,0.8172046499592918,14,14,14,18,"[0.5230268836021423, 0.8885325193405151, 0.9951345920562744, 0.9683163464069366, 0.9884592890739441, 0.6959894895553589, 0.9231908321380615, 0.5179728269577026, 0.885887861251831, 0.7162699699401855, 0.8348514437675476, 0.832496702671051, 0.815165638923645, 0.8555707037448883]"
8,0.0,0.0,0,0,0,25,37,[],0.04,0.02702702702702703,0.8740528225898743,1,1,25,37,[0.8740528225898743],0.04,0.02702702702702703,0.8740528225898743,1,1,25,37,[0.8740528225898743],0.04,0.02702702702702703,0.8740528225898743,1,1,25,37,[0.8740528225898743],0.24,0.05405405405405406,0.6066372791926066,6,2,25,37,"[0.8740528225898743, 0.5420610308647156, 0.5596857070922852, 0.5434235632419586, 0.5393450260162354, 0.5812555253505707]",0.6,0.16216216216216217,0.46991402842104435,15,6,25,37,"[0.8740528225898743, 0.2959953546524048, 0.35108891129493713, 0.357858344912529, 0.4463127553462982, 0.35258156806230545, 0.39896218478679657, 0.33973361551761627, 0.35755375772714615, 0.5420610308647156, 0.5596857070922852, 0.5434235632419586, 0.49391764402389526, 0.5393450260162354, 0.5812555253505707, 0.4847966432571411]"
5,0.13333333333333333,0.10526315789473684,0.953828975558281,2,2,15,19,"[0.9331550598144531, 0.9745028913021088]",0.4,0.2631578947368421,0.8680613487958908,6,5,15,19,"[0.9331550598144531, 0.9745028913021088, 0.8234970271587372, 0.8141020238399506, 0.8439163565635681, 0.8191947340965271]",0.5333333333333333,0.3684210526315789,0.8471885286271572,8,7,15,19,"[0.9331550598144531, 0.9745028913021088, 0.7953561544418335, 0.7737839818000793, 0.8234970271587372, 0.8141020238399506, 0.8439163565635681, 0.8191947340965271]",0.5333333333333333,0.3684210526315789,0.8471885286271572,8,7,15,19,"[0.9331550598144531, 0.9745028913021088, 0.7953561544418335, 0.7737839818000793, 0.8234970271587372, 0.8141020238399506, 0.8439163565635681, 0.8191947340965271]",0.7333333333333333,0.5263157894736842,0.7621808024969968,11,10,15,19,"[0.5230268836021423, 0.9331550598144531, 0.9745028913021088, 0.7953561544418335, 0.7737839818000793, 0.8234970271587372, 0.8141020238399506, 0.8439163565635681, 0.8191947340965271, 0.5469200015068054, 0.5365337133407593]",1.0,0.7368421052631579,0.6710221538941066,15,14,15,19,"[0.5230268836021423, 0.3828296661376953, 0.9331550598144531, 0.9745028913021088, 0.7953561544418335, 0.7737839818000793, 0.40068259835243225, 0.8234970271587372, 0.8141020238399506, 0.8439163565635681, 0.8191947340965271, 0.4097614735364914, 0.4880697429180145, 0.5469200015068054, 0.5365337133407593]"
