file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,9,0.8888888888888888,0.9,9,10,1,1
14.txt,68,68,0.8947368421052632,0.9714285714285714,76,70,8,2
16.txt,20,20,0.9523809523809523,0.8333333333333334,21,24,1,4
17.txt,30,33,0.967741935483871,0.9705882352941176,31,34,1,1
12.txt,30,24,1.0,1.0,30,24,0,0
10.txt,0,0,0.0,0.0,54,55,54,55
11.txt,12,15,1.0,0.7894736842105263,12,19,0,4
9.txt,18,20,1.0,1.0,18,20,0,0
8.txt,37,32,0.9024390243902439,0.8421052631578947,41,38,4,6
5.txt,25,24,1.0,0.75,25,32,0,8
4.txt,16,17,1.0,1.0,16,17,0,0
6.txt,28,30,0.9032258064516129,1.0,31,30,3,0
7.txt,0,0,0.0,0.0,25,25,25,25
3.txt,9,10,0.9,1.0,10,10,1,0
2.txt,0,0,0.0,0.0,26,21,26,21
1.txt,18,18,0.8181818181818182,1.0,22,18,4,0
20.txt,34,34,0.9714285714285714,0.85,35,40,1,6
21.txt,39,40,1.0,0.851063829787234,39,47,0,7
19.txt,34,34,0.85,0.9444444444444444,40,36,6,2
18.txt,19,19,0.8636363636363636,0.7037037037037037,22,27,3,8
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.7956,Average of coverage_2_to_1: 0.7703,,,,
