File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.3333333333333333,0.3333333333333333,0.9160149991512299,2,2,6,6,"[0.9293213486671448, 0.9027086496353149]",0.3333333333333333,0.3333333333333333,0.9160149991512299,2,2,6,6,"[0.9293213486671448, 0.9027086496353149]",0.8333333333333334,0.6666666666666666,0.8068818986415863,5,4,6,6,"[0.9293213486671448, 0.9027086496353149, 0.7011014521121979, 0.7940766215324402, 0.7072014212608337]",0.8333333333333334,0.6666666666666666,0.8068818986415863,5,4,6,6,"[0.9293213486671448, 0.9027086496353149, 0.7011014521121979, 0.7940766215324402, 0.7072014212608337]",1.0,0.8333333333333334,0.767570418616136,6,5,6,6,"[0.9293213486671448, 0.9027086496353149, 0.571013018488884, 0.7011014521121979, 0.7940766215324402, 0.7072014212608337]",1.0,0.8333333333333334,0.767570418616136,6,5,6,6,"[0.9293213486671448, 0.9027086496353149, 0.571013018488884, 0.7011014521121979, 0.7940766215324402, 0.7072014212608337]"
14,0.17647058823529413,0.19672131147540983,0.934025247891744,12,12,68,61,"[0.914624810218811, 0.9133652448654175, 0.9348383247852325, 0.9415473341941833, 0.9213836193084717, 0.9305547475814819, 0.9663415849208832, 0.9571385085582733, 0.9352634847164154, 0.9118395745754242, 0.932887464761734, 0.9828192293643951, 0.9372626841068268, 0.9216935038566589, 0.9088186025619507]",0.3088235294117647,0.3442622950819672,0.8955415913036892,21,21,68,61,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.8294703960418701, 0.9348383247852325, 0.857406347990036, 0.9415473341941833, 0.9213836193084717, 0.9305547475814819, 0.8663956522941589, 0.9663415849208832, 0.8560347557067871, 0.9571385085582733, 0.8759995698928833, 0.8100006878376007, 0.9352634847164154, 0.9118395745754242, 0.8772623836994171, 0.932887464761734, 0.9828192293643951, 0.8718924224376678, 0.9372626841068268, 0.9216935038566589, 0.8663956522941589, 0.8247135579586029, 0.9088186025619507, 0.8267894685268402]",0.5,0.5081967213114754,0.8104235705520425,34,31,68,61,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.7638383507728577, 0.8294703960418701, 0.9348383247852325, 0.857406347990036, 0.9415473341941833, 0.9213836193084717, 0.9305547475814819, 0.8663956522941589, 0.7187484204769135, 0.9663415849208832, 0.8560347557067871, 0.7187484204769135, 0.9571385085582733, 0.8759995698928833, 0.7187484204769135, 0.8100006878376007, 0.7187484204769135, 0.9352634847164154, 0.7187484204769135, 0.9118395745754242, 0.7187484204769135, 0.7187484204769135, 0.8772623836994171, 0.7187484204769135, 0.932887464761734, 0.9828192293643951, 0.8718924224376678, 0.7187484204769135, 0.7000255584716797, 0.7187484204769135, 0.9372626841068268, 0.7000787258148193, 0.9216935038566589, 0.7187484204769135, 0.8663956522941589, 0.7187484204769135, 0.7187484204769135, 0.7187484204769135, 0.7933485805988312, 0.7187484204769135, 0.8247135579586029, 0.7187484204769135, 0.7861175835132599, 0.7900739014148712, 0.9088186025619507, 0.7000255584716797, 0.7187484204769135, 0.8267894685268402, 0.7187484204769135, 0.7000787258148193, 0.7187484204769135, 0.7187484204769135]",0.6176470588235294,0.6229508196721312,0.7632682731858006,42,38,68,61,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.7638383507728577, 0.8294703960418701, 0.9348383247852325, 0.857406347990036, 0.9415473341941833, 0.9213836193084717, 0.9305547475814819, 0.8663956522941589, 0.7187484204769135, 0.9663415849208832, 0.6575259566307068, 0.8560347557067871, 0.6876770257949829, 0.6575259566307068, 0.7187484204769135, 0.9571385085582733, 0.6901656687259674, 0.6715203523635864, 0.8759995698928833, 0.7187484204769135, 0.8100006878376007, 0.7187484204769135, 0.9352634847164154, 0.6901656687259674, 0.6833928823471069, 0.7187484204769135, 0.9118395745754242, 0.7187484204769135, 0.6316307336091995, 0.6289938688278198, 0.6833928823471069, 0.6873682737350464, 0.7187484204769135, 0.8772623836994171, 0.7187484204769135, 0.932887464761734, 0.9828192293643951, 0.8718924224376678, 0.7187484204769135, 0.7000255584716797, 0.7187484204769135, 0.9372626841068268, 0.6515531837940216, 0.7000787258148193, 0.9216935038566589, 0.6898266077041626, 0.7187484204769135, 0.8663956522941589, 0.7187484204769135, 0.676337480545044, 0.7187484204769135, 0.6576683819293976, 0.6587514579296112, 0.6030576825141907, 0.7187484204769135, 0.7933485805988312, 0.6398992538452148, 0.7187484204769135, 0.8247135579586029, 0.7187484204769135, 0.7861175835132599, 0.7900739014148712, 0.9088186025619507, 0.6214167177677155, 0.7000255584716797, 0.7187484204769135, 0.8267894685268402, 0.7187484204769135, 0.6168359667062759, 0.6194848716259003, 0.7000787258148193, 0.6136592328548431, 0.7187484204769135, 0.6825578957796097, 0.7187484204769135, 0.6669100522994995, 0.6736921221017838]",0.7205882352941176,0.7049180327868853,0.7291641441202655,49,43,68,61,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.7638383507728577, 0.8294703960418701, 0.9348383247852325, 0.857406347990036, 0.9415473341941833, 0.9213836193084717, 0.529309868812561, 0.9305547475814819, 0.529309868812561, 0.8663956522941589, 0.7187484204769135, 0.9663415849208832, 0.6575259566307068, 0.8560347557067871, 0.6876770257949829, 0.6575259566307068, 0.7187484204769135, 0.9571385085582733, 0.6901656687259674, 0.553319051861763, 0.6715203523635864, 0.8759995698928833, 0.7187484204769135, 0.8100006878376007, 0.7187484204769135, 0.9352634847164154, 0.6901656687259674, 0.6833928823471069, 0.7187484204769135, 0.9118395745754242, 0.7187484204769135, 0.6316307336091995, 0.6289938688278198, 0.6833928823471069, 0.6873682737350464, 0.7187484204769135, 0.8772623836994171, 0.7187484204769135, 0.932887464761734, 0.9828192293643951, 0.8718924224376678, 0.564330518245697, 0.7187484204769135, 0.7000255584716797, 0.5861279666423798, 0.5913043320178986, 0.7187484204769135, 0.9372626841068268, 0.571680337190628, 0.5597963929176331, 0.6515531837940216, 0.7000787258148193, 0.9216935038566589, 0.6898266077041626, 0.7187484204769135, 0.8663956522941589, 0.7187484204769135, 0.676337480545044, 0.7187484204769135, 0.6576683819293976, 0.6587514579296112, 0.5327614545822144, 0.6030576825141907, 0.5981414020061493, 0.7187484204769135, 0.7933485805988312, 0.6398992538452148, 0.5301627516746521, 0.7187484204769135, 0.8247135579586029, 0.5990729928016663, 0.5452583730220795, 0.7187484204769135, 0.7861175835132599, 0.5128449350595474, 0.7900739014148712, 0.5128449350595474, 0.9088186025619507, 0.6214167177677155, 0.7000255584716797, 0.5879266709089279, 0.7187484204769135, 0.8267894685268402, 0.7187484204769135, 0.6168359667062759, 0.6194848716259003, 0.7000787258148193, 0.6136592328548431, 0.7187484204769135, 0.6825578957796097, 0.7187484204769135, 0.6669100522994995, 0.6736921221017838]",1.0,0.8360655737704918,0.6089844083289305,68,51,68,61,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.22252100706100464, 0.7638383507728577, 0.8294703960418701, 0.9348383247852325, 0.857406347990036, 0.19854941964149475, 0.9415473341941833, 0.9213836193084717, 0.44475555419921875, 0.529309868812561, 0.19854941964149475, 0.9305547475814819, 0.32488614320755005, 0.44475555419921875, 0.529309868812561, 0.8663956522941589, 0.3696380853652954, 0.3790052831172943, 0.32488614320755005, 0.7187484204769135, 0.9663415849208832, 0.6575259566307068, 0.36061666905879974, 0.3700365573167801, 0.8560347557067871, 0.6876770257949829, 0.6575259566307068, 0.7187484204769135, 0.9571385085582733, 0.6901656687259674, 0.553319051861763, 0.6715203523635864, 0.8759995698928833, 0.43646544218063354, 0.7187484204769135, 0.8100006878376007, 0.7187484204769135, 0.9352634847164154, 0.6901656687259674, 0.4681687355041504, 0.4615967869758606, 0.6833928823471069, 0.44680584967136383, 0.7187484204769135, 0.9118395745754242, 0.7187484204769135, 0.6316307336091995, 0.34999921917915344, 0.6289938688278198, 0.6833928823471069, 0.6873682737350464, 0.2824077010154724, 0.27892644703388214, 0.7187484204769135, 0.8772623836994171, 0.7187484204769135, 0.932887464761734, 0.4004708081483841, 0.47613611817359924, 0.9828192293643951, 0.8718924224376678, 0.4030254930257797, 0.564330518245697, 0.7187484204769135, 0.4810342937707901, 0.7000255584716797, 0.5861279666423798, 0.31889758259058, 0.5913043320178986, 0.7187484204769135, 0.9372626841068268, 0.571680337190628, 0.5597963929176331, 0.3312869220972061, 0.4898986667394638, 0.40684495866298676, 0.6515531837940216, 0.7000787258148193, 0.32834044098854065, 0.33909356594085693, 0.9216935038566589, 0.6898266077041626, 0.7187484204769135, 0.8663956522941589, 0.25054556131362915, 0.2736349105834961, 0.47448986768722534, 0.7187484204769135, 0.676337480545044, 0.44809406995773315, 0.7187484204769135, 0.6576683819293976, 0.3333360552787781, 0.4084697365760803, 0.41857679188251495, 0.4864751100540161, 0.45778949558734894, 0.6587514579296112, 0.3285079896450043, 0.5327614545822144, 0.6030576825141907, 0.46315376460552216, 0.4886360466480255, 0.5981414020061493, 0.7187484204769135, 0.7933485805988312, 0.6398992538452148, 0.4163907766342163, 0.4899466931819916, 0.40946826338768005, 0.3613797426223755, 0.36176636815071106, 0.5301627516746521, 0.7187484204769135, 0.8247135579586029, 0.5990729928016663, 0.3876279890537262, 0.5452583730220795, 0.47613611817359924, 0.43139418959617615, 0.4411560893058777, 0.7187484204769135, 0.7861175835132599, 0.5128449350595474, 0.7900739014148712, 0.5128449350595474, 0.9088186025619507, 0.6214167177677155, 0.4159373641014099, 0.7000255584716797, 0.40684495866298676, 0.5879266709089279, 0.7187484204769135, 0.8267894685268402, 0.7187484204769135, 0.6168359667062759, 0.6194848716259003, 0.47448986768722534, 0.7000787258148193, 0.3768925815820694, 0.6136592328548431, 0.7187484204769135, 0.6825578957796097, 0.7187484204769135, 0.6669100522994995, 0.6736921221017838]"
16,0.13333333333333333,0.13333333333333333,0.9217672199010849,2,2,15,15,"[0.9129800200462341, 0.9305544197559357]",0.4,0.4,0.8786321452685765,6,6,15,15,"[0.8919222950935364, 0.9129800200462341, 0.8653678297996521, 0.854815661907196, 0.8736075758934021, 0.9305544197559357, 0.821177214384079]",0.5333333333333333,0.5333333333333333,0.8564132253328959,8,8,15,15,"[0.7850971221923828, 0.772196888923645, 0.8919222950935364, 0.9129800200462341, 0.8653678297996521, 0.854815661907196, 0.8736075758934021, 0.9305544197559357, 0.821177214384079]",0.8666666666666667,0.8,0.7774542599916459,13,12,15,15,"[0.6880346536636353, 0.7850971221923828, 0.772196888923645, 0.6091509312391281, 0.6481119394302368, 0.8919222950935364, 0.6989349722862244, 0.6144479513168335, 0.9129800200462341, 0.8653678297996521, 0.854815661907196, 0.8736075758934021, 0.9305544197559357, 0.821177214384079, 0.6954144239425659]",0.9333333333333333,0.8,0.7329398989677429,14,12,15,15,"[0.6880346536636353, 0.7850971221923828, 0.772196888923645, 0.6091509312391281, 0.6481119394302368, 0.5453785210847855, 0.8919222950935364, 0.6989349722862244, 0.6144479513168335, 0.9129800200462341, 0.5944484770298004, 0.8653678297996521, 0.854815661907196, 0.5515263974666595, 0.8736075758934021, 0.9305544197559357, 0.5726907849311829, 0.821177214384079, 0.6954144239425659]",0.9333333333333333,0.8,0.6440172441027783,14,12,15,15,"[0.6880346536636353, 0.7850971221923828, 0.772196888923645, 0.6091509312391281, 0.6481119394302368, 0.5453785210847855, 0.8919222950935364, 0.6989349722862244, 0.6144479513168335, 0.9129800200462341, 0.4268081784248352, 0.5944484770298004, 0.8653678297996521, 0.854815661907196, 0.5515263974666595, 0.4497464597225189, 0.4710051417350769, 0.8736075758934021, 0.9305544197559357, 0.44718049466609955, 0.35428284108638763, 0.41570135205984116, 0.43671296536922455, 0.5726907849311829, 0.4611700773239136, 0.821177214384079, 0.6954144239425659]"
17,0.19230769230769232,0.1724137931034483,0.918394786119461,5,5,26,29,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.9129936099052429]",0.19230769230769232,0.1724137931034483,0.918394786119461,5,5,26,29,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.9129936099052429]",0.19230769230769232,0.1724137931034483,0.918394786119461,5,5,26,29,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.9129936099052429]",0.23076923076923078,0.20689655172413793,0.869189644853274,6,6,26,29,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.9129936099052429, 0.6231639385223389]",0.46153846153846156,0.41379310344827586,0.6982032186709918,12,12,26,29,"[0.5230268239974976, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.5945146828889847, 0.5428955852985382, 0.5933443456888199, 0.548068106174469, 0.5156028270721436, 0.5440516024827957, 0.9129936099052429, 0.6231639385223389]",0.7692307692307693,0.5517241379310345,0.5865291059017181,20,16,26,29,"[0.5230268239974976, 0.9176923036575317, 0.4257347881793976, 0.915660560131073, 0.9328898787498474, 0.9127375781536102, 0.4604242891073227, 0.35736624896526337, 0.35765406489372253, 0.40912508964538574, 0.3959740698337555, 0.5945146828889847, 0.5428955852985382, 0.5933443456888199, 0.4938402473926544, 0.548068106174469, 0.5156028270721436, 0.4610995203256607, 0.5440516024827957, 0.9129936099052429, 0.4657801687717438, 0.6231639385223389]"
12,0.23076923076923078,0.2857142857142857,0.9448552926381429,6,6,26,21,"[0.9187315106391907, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.9788209795951843, 0.925616979598999]",0.4230769230769231,0.5238095238095238,0.9032201333479448,11,11,26,21,"[0.9187315106391907, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.8300260305404663, 0.8810524344444275, 0.8634528517723083, 0.9788209795951843, 0.925616979598999, 0.8300395011901855, 0.8617188930511475]",0.4230769230769231,0.5238095238095238,0.9032201333479448,11,11,26,21,"[0.9187315106391907, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.8300260305404663, 0.8810524344444275, 0.8634528517723083, 0.9788209795951843, 0.925616979598999, 0.8300395011901855, 0.8617188930511475]",0.5,0.6190476190476191,0.8645653747595273,13,13,26,21,"[0.9187315106391907, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.8300260305404663, 0.8810524344444275, 0.8634528517723083, 0.9788209795951843, 0.925616979598999, 0.8300395011901855, 0.6942438781261444, 0.8617188930511475, 0.6096845269203186]",0.5769230769230769,0.6666666666666666,0.823108900586764,15,14,26,21,"[0.9187315106391907, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.8300260305404663, 0.8810524344444275, 0.8634528517723083, 0.9788209795951843, 0.925616979598999, 0.8300395011901855, 0.6942438781261444, 0.5507828295230865, 0.5565008074045181, 0.8617188930511475, 0.6096845269203186]",0.6538461538461539,0.7142857142857143,0.7684396987452227,17,15,26,21,"[0.9187315106391907, 0.382991760969162, 0.9175050854682922, 0.9713332056999207, 0.9571239948272705, 0.8300260305404663, 0.8810524344444275, 0.8634528517723083, 0.9788209795951843, 0.925616979598999, 0.8300395011901855, 0.6942438781261444, 0.5507828295230865, 0.5565008074045181, 0.8617188930511475, 0.6096845269203186, 0.33384960889816284]"
10,0.0,0.0,0.0,0,0,43,44,[],0.0,0.0,0.0,0,0,43,44,[],0.0,0.0,0.0,0,0,43,44,[],0.0,0.0,0.0,0,0,43,44,[],0.0,0.0,0.0,0,0,43,44,[],0.0,0.0,0.0,0,0,43,44,[]
11,0.5,0.5,0.9524044543504715,2,2,4,4,"[0.9693076908588409, 0.935501217842102]",0.75,0.75,0.9339278638362885,3,3,4,4,"[0.8969746828079224, 0.9693076908588409, 0.935501217842102]",0.75,0.75,0.9339278638362885,3,3,4,4,"[0.8969746828079224, 0.9693076908588409, 0.935501217842102]",0.75,0.75,0.9339278638362885,3,3,4,4,"[0.8969746828079224, 0.9693076908588409, 0.935501217842102]",1.0,1.0,0.8445724174380302,4,4,4,4,"[0.8969746828079224, 0.5765060782432556, 0.9693076908588409, 0.935501217842102]",1.0,1.0,0.8445724174380302,4,4,4,4,"[0.8969746828079224, 0.5765060782432556, 0.9693076908588409, 0.935501217842102]"
9,0.2222222222222222,0.23529411764705882,0.9601706713438034,4,4,18,17,"[0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617]",0.5555555555555556,0.5882352941176471,0.8901394098997116,10,10,18,17,"[0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617, 0.8997417688369751, 0.8177746534347534, 0.8399618864059448, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.6111111111111112,0.6470588235294118,0.8748448409817435,11,11,18,17,"[0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617, 0.8997417688369751, 0.8177746534347534, 0.721899151802063, 0.8399618864059448, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.6666666666666666,0.7058823529411765,0.8534629965821902,12,12,18,17,"[0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617, 0.8997417688369751, 0.8177746534347534, 0.6182627081871033, 0.721899151802063, 0.8399618864059448, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.8333333333333334,0.8823529411764706,0.7911951243877411,15,15,18,17,"[0.5230268836021423, 0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617, 0.5103842616081238, 0.8997417688369751, 0.5929597616195679, 0.8177746534347534, 0.6182627081871033, 0.721899151802063, 0.8399618864059448, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.9444444444444444,1.0,0.7540251209455378,17,17,18,17,"[0.5230268836021423, 0.9757950305938721, 0.9792739152908325, 0.9525511860847473, 0.9330625534057617, 0.48691266775131226, 0.5103842616081238, 0.8997417688369751, 0.5929597616195679, 0.46358752250671387, 0.8177746534347534, 0.6182627081871033, 0.721899151802063, 0.8399618864059448, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]"
8,0.2702702702702703,0.2857142857142857,0.9603992581367493,10,10,37,35,"[0.9244151711463928, 0.9005750119686127, 0.9533849954605103, 0.9635049402713776, 0.9945391118526459, 0.9556308090686798, 0.9780343174934387, 0.9999998807907104, 1.0, 0.9339083433151245]",0.40540540540540543,0.42857142857142855,0.9228307832689846,15,15,37,35,"[0.8390965461730957, 0.816657543182373, 0.9244151711463928, 0.9005750119686127, 0.8914055824279785, 0.8842427730560303, 0.9533849954605103, 0.9635049402713776, 0.9945391118526459, 0.889562726020813, 0.8756032884120941, 0.9556308090686798, 0.9780343174934387, 0.8875622749328613, 0.9999998807907104, 1.0, 0.9339083433151245]",0.6486486486486487,0.6285714285714286,0.8377481810748577,24,22,37,35,"[0.8390965461730957, 0.816657543182373, 0.9244151711463928, 0.7525883316993713, 0.9005750119686127, 0.8914055824279785, 0.7989656925201416, 0.7618080675601959, 0.7401069402694702, 0.7153747230768204, 0.7418667525053024, 0.7852450609207153, 0.7063320279121399, 0.7478042840957642, 0.8842427730560303, 0.716496467590332, 0.9533849954605103, 0.7062294483184814, 0.9635049402713776, 0.9945391118526459, 0.7171860337257385, 0.889562726020813, 0.7306553423404694, 0.8756032884120941, 0.9556308090686798, 0.9780343174934387, 0.8875622749328613, 0.9999998807907104, 0.7185090780258179, 1.0, 0.9339083433151245, 0.7806502282619476]",0.7567567567567568,0.7714285714285715,0.7891366880300433,28,27,37,35,"[0.8390965461730957, 0.6082071661949158, 0.816657543182373, 0.9244151711463928, 0.6946830153465271, 0.6978204101324081, 0.7525883316993713, 0.9005750119686127, 0.8914055824279785, 0.7989656925201416, 0.7618080675601959, 0.7401069402694702, 0.7153747230768204, 0.7418667525053024, 0.6255331039428711, 0.7852450609207153, 0.7063320279121399, 0.6034272313117981, 0.6517040729522705, 0.6708197593688965, 0.6649258136749268, 0.7478042840957642, 0.8842427730560303, 0.716496467590332, 0.6431229114532471, 0.9533849954605103, 0.7062294483184814, 0.648381233215332, 0.6163110733032227, 0.9635049402713776, 0.9945391118526459, 0.7171860337257385, 0.889562726020813, 0.7306553423404694, 0.8756032884120941, 0.9556308090686798, 0.9780343174934387, 0.8875622749328613, 0.9999998807907104, 0.7185090780258179, 1.0, 0.9339083433151245, 0.7806502282619476]",0.7837837837837838,0.8285714285714286,0.7097520371751179,29,29,37,35,"[0.8390965461730957, 0.6082071661949158, 0.5387813299894333, 0.816657543182373, 0.9244151711463928, 0.520303413271904, 0.6946830153465271, 0.6978204101324081, 0.7525883316993713, 0.9005750119686127, 0.8914055824279785, 0.7989656925201416, 0.7618080675601959, 0.7401069402694702, 0.7153747230768204, 0.7418667525053024, 0.6255331039428711, 0.5603443682193756, 0.5063509941101074, 0.7852450609207153, 0.5859624147415161, 0.7063320279121399, 0.6034272313117981, 0.5170729160308838, 0.6517040729522705, 0.5274708271026611, 0.6708197593688965, 0.5729941427707672, 0.5364720225334167, 0.6649258136749268, 0.5927028059959412, 0.7478042840957642, 0.8842427730560303, 0.5227437019348145, 0.505258321762085, 0.716496467590332, 0.6431229114532471, 0.9533849954605103, 0.7062294483184814, 0.648381233215332, 0.5889240503311157, 0.521763801574707, 0.6163110733032227, 0.5029430389404297, 0.5142767429351807, 0.5495348870754242, 0.9635049402713776, 0.9945391118526459, 0.7171860337257385, 0.889562726020813, 0.7306553423404694, 0.8756032884120941, 0.9556308090686798, 0.9780343174934387, 0.5316826850175858, 0.8875622749328613, 0.9999998807907104, 0.7185090780258179, 1.0, 0.5435804724693298, 0.5423378199338913, 0.9339083433151245, 0.7806502282619476]",1.0,0.9714285714285714,0.5782479797753522,37,34,37,35,"[0.8390965461730957, 0.31101512908935547, 0.38419055938720703, 0.3522554785013199, 0.40611180663108826, 0.38672710955142975, 0.6082071661949158, 0.43322040885686874, 0.32911235094070435, 0.4784761816263199, 0.4555182456970215, 0.5387813299894333, 0.816657543182373, 0.9244151711463928, 0.32064029574394226, 0.4078558683395386, 0.40104490518569946, 0.3281450867652893, 0.520303413271904, 0.6946830153465271, 0.6978204101324081, 0.7525883316993713, 0.9005750119686127, 0.8914055824279785, 0.7989656925201416, 0.7618080675601959, 0.7401069402694702, 0.39200982451438904, 0.4184112846851349, 0.7153747230768204, 0.7418667525053024, 0.38044652342796326, 0.6255331039428711, 0.5603443682193756, 0.5063509941101074, 0.7852450609207153, 0.3385351300239563, 0.5859624147415161, 0.7063320279121399, 0.6034272313117981, 0.5170729160308838, 0.6517040729522705, 0.5274708271026611, 0.49842017889022827, 0.6708197593688965, 0.5729941427707672, 0.5364720225334167, 0.6649258136749268, 0.497796893119812, 0.4781113266944885, 0.5927028059959412, 0.7478042840957642, 0.8842427730560303, 0.5227437019348145, 0.505258321762085, 0.716496467590332, 0.6431229114532471, 0.4877038300037384, 0.1895400732755661, 0.9533849954605103, 0.480640709400177, 0.27821993827819824, 0.21016713976860046, 0.7062294483184814, 0.648381233215332, 0.35238945484161377, 0.25023120641708374, 0.20660430192947388, 0.5889240503311157, 0.521763801574707, 0.6163110733032227, 0.5029430389404297, 0.5142767429351807, 0.43543846905231476, 0.5495348870754242, 0.9635049402713776, 0.9945391118526459, 0.7171860337257385, 0.889562726020813, 0.7306553423404694, 0.8756032884120941, 0.9556308090686798, 0.9780343174934387, 0.5316826850175858, 0.4415149688720703, 0.39793287217617035, 0.4576375037431717, 0.8875622749328613, 0.9999998807907104, 0.7185090780258179, 0.42830753326416016, 0.30504077672958374, 0.353710800409317, 0.42830753326416016, 0.30794399976730347, 1.0, 0.48135924339294434, 0.3747802674770355, 0.5435804724693298, 0.5423378199338913, 0.4936683475971222, 0.9339083433151245, 0.7806502282619476, 0.3886343836784363, 0.36797425150871277, 0.46411532163619995]"
5,0.10526315789473684,0.1,0.933642715215683,2,2,19,20,"[0.9201270341873169, 0.9471583962440491]",0.21052631578947367,0.2,0.9064495712518692,4,4,19,20,"[0.8969745635986328, 0.9201270341873169, 0.861538290977478, 0.9471583962440491]",0.2631578947368421,0.25,0.8692859947681427,5,5,19,20,"[0.8969745635986328, 0.7206316888332367, 0.9201270341873169, 0.861538290977478, 0.9471583962440491]",0.3157894736842105,0.3,0.8250601142644882,6,6,19,20,"[0.8969745635986328, 0.7206316888332367, 0.9201270341873169, 0.6039307117462158, 0.861538290977478, 0.9471583962440491]",0.42105263157894735,0.4,0.7617045193910599,8,8,19,20,"[0.8969745635986328, 0.7206316888332367, 0.9201270341873169, 0.5459966659545898, 0.6039307117462158, 0.5972788035869598, 0.861538290977478, 0.9471583962440491]",1.0,0.6,0.5363769162642328,19,12,19,20,"[0.8969745635986328, 0.3281351327896118, 0.7206316888332367, 0.9201270341873169, 0.4874742925167084, 0.5459966659545898, 0.41048914194107056, 0.48572683334350586, 0.42922575771808624, 0.44811512529850006, 0.43683232367038727, 0.6039307117462158, 0.5972788035869598, 0.28234899044036865, 0.2534143328666687, 0.2534143328666687, 0.28234899044036865, 0.861538290977478, 0.9471583962440491]"
