File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.14285714285714285,0.16666666666666666,0.9027086496353149,1,1,7,6,[0.9027086496353149],0.2857142857142857,0.3333333333333333,0.8702899217605591,2,2,7,6,"[0.8378711938858032, 0.9027086496353149]",0.2857142857142857,0.3333333333333333,0.8702899217605591,2,2,7,6,"[0.8378711938858032, 0.9027086496353149]",0.2857142857142857,0.3333333333333333,0.8702899217605591,2,2,7,6,"[0.8378711938858032, 0.9027086496353149]",0.42857142857142855,0.5,0.7694872270027796,3,3,7,6,"[0.8378711938858032, 0.9027086496353149, 0.5678818374872208]",0.5714285714285714,0.5,0.6683113276958466,4,3,7,6,"[0.8378711938858032, 0.9027086496353149, 0.5678818374872208, 0.3647836297750473]"
14,0.0,0.0,0.0,0,0,48,68,[],0.0,0.0,0.0,0,0,48,68,[],0.0,0.0,0.0,0,0,48,68,[],0.0,0.0,0.0,0,0,48,68,[],0.0,0.0,0.0,0,0,48,68,[],0.0,0.0,0.0,0,0,48,68,[]
16,0.0,0.0,0.0,0,0,17,15,[],0.0,0.0,0.0,0,0,17,15,[],0.0,0.0,0.0,0,0,17,15,[],0.0,0.0,0.0,0,0,17,15,[],0.0,0.0,0.0,0,0,17,15,[],0.0,0.0,0.0,0,0,17,15,[]
17,0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[]
12,0.0,0.0,0.0,0,0,23,26,[],0.0,0.0,0.0,0,0,23,26,[],0.0,0.0,0.0,0,0,23,26,[],0.0,0.0,0.0,0,0,23,26,[],0.0,0.0,0.0,0,0,23,26,[],0.0,0.0,0.0,0,0,23,26,[]
10,0.0,0.0,0.0,0,0,29,43,[],0.0,0.0,0.0,0,0,29,43,[],0.0,0.0,0.0,0,0,29,43,[],0.0,0.0,0.0,0,0,29,43,[],0.0,0.0,0.0,0,0,29,43,[],0.0,0.0,0.0,0,0,29,43,[]
11,0.75,0.75,0.9196768999099731,3,3,4,4,"[0.9231321215629578, 0.9007003903388977, 0.935198187828064]",0.75,0.75,0.9196768999099731,3,3,4,4,"[0.9231321215629578, 0.9007003903388977, 0.935198187828064]",0.75,0.75,0.9196768999099731,3,3,4,4,"[0.9231321215629578, 0.9007003903388977, 0.935198187828064]",1.0,1.0,0.8455032408237457,4,4,4,4,"[0.9231321215629578, 0.6229822635650635, 0.9007003903388977, 0.935198187828064]",1.0,1.0,0.8455032408237457,4,4,4,4,"[0.9231321215629578, 0.6229822635650635, 0.9007003903388977, 0.935198187828064]",1.0,1.0,0.8455032408237457,4,4,4,4,"[0.9231321215629578, 0.6229822635650635, 0.9007003903388977, 0.935198187828064]"
9,0.26666666666666666,0.2222222222222222,0.9287697598338127,4,4,15,18,"[0.9982461631298065, 0.903542697429657, 0.9027906656265259, 0.9104995131492615]",0.3333333333333333,0.2777777777777778,0.9197197377681732,5,5,15,18,"[0.8835196495056152, 0.9982461631298065, 0.903542697429657, 0.9027906656265259, 0.9104995131492615]",0.3333333333333333,0.2777777777777778,0.9197197377681732,5,5,15,18,"[0.8835196495056152, 0.9982461631298065, 0.903542697429657, 0.9027906656265259, 0.9104995131492615]",0.4666666666666667,0.3888888888888889,0.8390886570726123,7,7,15,18,"[0.8835196495056152, 0.9982461631298065, 0.903542697429657, 0.6454865336418152, 0.9027906656265259, 0.6295353770256042, 0.9104995131492615]",0.5333333333333333,0.4444444444444444,0.7997108958661556,8,8,15,18,"[0.5240665674209595, 0.8835196495056152, 0.9982461631298065, 0.903542697429657, 0.6454865336418152, 0.9027906656265259, 0.6295353770256042, 0.9104995131492615]",0.7333333333333333,0.5555555555555556,0.6984809555790641,11,10,15,18,"[0.5240665674209595, 0.8835196495056152, 0.9982461631298065, 0.903542697429657, 0.6454865336418152, 0.48170405626296997, 0.33815568685531616, 0.9027906656265259, 0.6295353770256042, 0.9104995131492615, 0.4657436013221741]"
8,0.0,0.0,0.0,0,0,17,37,[],0.0,0.0,0.0,0,0,17,37,[],0.0,0.0,0.0,0,0,17,37,[],0.0,0.0,0.0,0,0,17,37,[],0.0,0.0,0.0,0,0,17,37,[],0.0,0.0,0.0,0,0,17,37,[]
5,0.0625,0.05263157894736842,0.9261213541030884,1,1,16,19,[0.9261213541030884],0.125,0.10526315789473684,0.9115479588508606,2,2,16,19,"[0.8969745635986328, 0.9261213541030884]",0.1875,0.15789473684210525,0.8497284650802612,3,3,16,19,"[0.8969745635986328, 0.7260894775390625, 0.9261213541030884]",0.4375,0.3684210526315789,0.7362623597894397,7,7,16,19,"[0.8969745635986328, 0.7260894775390625, 0.9261213541030884, 0.6277876794338226, 0.6387028098106384, 0.6978400349617004, 0.6403205990791321]",0.6875,0.5263157894736842,0.6657278835773468,11,10,16,19,"[0.8969745635986328, 0.5852681398391724, 0.7260894775390625, 0.9261213541030884, 0.5605427920818329, 0.6277876794338226, 0.6387028098106384, 0.5216460824012756, 0.5017131865024567, 0.6978400349617004, 0.6403205990791321]",1.0,0.631578947368421,0.5795648600906134,16,12,16,19,"[0.8969745635986328, 0.5852681398391724, 0.7260894775390625, 0.9261213541030884, 0.5605427920818329, 0.35401731729507446, 0.323495015501976, 0.34559425711631775, 0.6277876794338226, 0.6387028098106384, 0.5216460824012756, 0.5017131865024567, 0.47602158784866333, 0.45090286433696747, 0.6978400349617004, 0.6403205990791321]"
