file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,0,0,0.0,0.0,11,9,11,9
14.txt,0,0,0.0,0.0,52,76,52,76
16.txt,17,17,0.7083333333333334,0.8095238095238095,24,21,7,4
17.txt,0,0,0.0,0.0,36,31,36,31
12.txt,24,27,0.5454545454545454,0.9,44,30,20,3
10.txt,0,0,0.0,0.0,48,54,48,54
11.txt,16,12,0.8421052631578947,1.0,19,12,3,0
9.txt,15,15,0.9375,0.8333333333333334,16,18,1,3
8.txt,26,30,0.9629629629629629,0.7317073170731707,27,41,1,11
5.txt,0,0,0.0,0.0,25,25,25,25
4.txt,20,16,1.0,1.0,20,16,0,0
6.txt,0,0,0.0,0.0,39,31,39,31
7.txt,21,18,0.9130434782608695,0.72,23,25,2,7
3.txt,10,8,0.6666666666666666,0.8,15,10,5,2
2.txt,16,21,0.8421052631578947,0.8076923076923077,19,26,3,5
1.txt,17,20,0.9444444444444444,0.9090909090909091,18,22,1,2
20.txt,42,34,0.7241379310344828,0.9714285714285714,58,35,16,1
21.txt,0,0,0.0,0.0,55,39,55,39
19.txt,0,0,0.0,0.0,45,40,45,40
18.txt,22,21,0.6285714285714286,0.9545454545454546,35,22,13,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.4858,Average of coverage_2_to_1: 0.5219,,,,
