file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,0,0,0.0,0.0,9,11,9,11
14.txt,0,0,0.0,0.0,76,52,76,52
16.txt,17,17,0.8095238095238095,0.7083333333333334,21,24,4,7
17.txt,0,0,0.0,0.0,31,36,31,36
12.txt,27,24,0.9,0.5454545454545454,30,44,3,20
10.txt,0,0,0.0,0.0,54,48,54,48
11.txt,12,16,1.0,0.8421052631578947,12,19,0,3
9.txt,15,15,0.8333333333333334,0.9375,18,16,3,1
8.txt,30,26,0.7317073170731707,0.9629629629629629,41,27,11,1
5.txt,0,0,0.0,0.0,25,25,25,25
4.txt,16,20,1.0,1.0,16,20,0,0
6.txt,0,0,0.0,0.0,31,39,31,39
7.txt,18,21,0.72,0.9130434782608695,25,23,7,2
3.txt,8,10,0.8,0.6666666666666666,10,15,2,5
2.txt,21,16,0.8076923076923077,0.8421052631578947,26,19,5,3
1.txt,20,17,0.9090909090909091,0.9444444444444444,22,18,2,1
20.txt,35,43,1.0,0.7413793103448276,35,58,0,16
21.txt,0,0,0.0,0.0,39,55,39,55
19.txt,0,0,0.0,0.0,40,45,40,45
18.txt,21,20,0.9545454545454546,0.5714285714285714,22,35,1,15
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.5233,Average of coverage_2_to_1: 0.4838,,,,
