File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[]
14,0.029411764705882353,0.04081632653061224,0.9294539391994476,2,2,68,49,"[0.9442830681800842, 0.914624810218811]",0.04411764705882353,0.061224489795918366,0.8984317580858866,3,3,68,49,"[0.9442830681800842, 0.914624810218811, 0.8363873958587646]",0.058823529411764705,0.08163265306122448,0.8603136390447617,4,4,68,49,"[0.9442830681800842, 0.914624810218811, 0.8363873958587646, 0.7459592819213867]",0.058823529411764705,0.08163265306122448,0.8603136390447617,4,4,68,49,"[0.9442830681800842, 0.914624810218811, 0.8363873958587646, 0.7459592819213867]",0.058823529411764705,0.08163265306122448,0.8603136390447617,4,4,68,49,"[0.9442830681800842, 0.914624810218811, 0.8363873958587646, 0.7459592819213867]",0.10294117647058823,0.12244897959183673,0.6352787550006594,7,6,68,49,"[0.9442830681800842, 0.914624810218811, 0.8363873958587646, 0.7459592819213867, 0.19802534580230713, 0.3953742980957031, 0.4122970849275589]"
16,0.0,0.0,0.0,0,0,15,13,[],0.0,0.0,0.0,0,0,15,13,[],0.0,0.0,0.0,0,0,15,13,[],0.0,0.0,0.0,0,0,15,13,[],0.0,0.0,0.0,0,0,15,13,[],0.0,0.0,0.0,0,0,15,13,[]
17,0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[]
12,0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[]
10,0.0,0.0,0.0,0,0,43,12,[],0.0,0.0,0.0,0,0,43,12,[],0.0,0.0,0.0,0,0,43,12,[],0.0,0.0,0.0,0,0,43,12,[],0.0,0.0,0.0,0,0,43,12,[],0.0,0.0,0.0,0,0,43,12,[]
11,0.5,0.3333333333333333,0.9437505602836609,2,2,4,6,"[0.9231321215629578, 0.964368999004364]",0.5,0.3333333333333333,0.9437505602836609,2,2,4,6,"[0.9231321215629578, 0.964368999004364]",0.5,0.3333333333333333,0.9437505602836609,2,2,4,6,"[0.9231321215629578, 0.964368999004364]",0.75,0.5,0.85235795378685,3,3,4,6,"[0.9231321215629578, 0.6695727407932281, 0.964368999004364]",1.0,0.6666666666666666,0.7712553516030312,4,4,4,6,"[0.9231321215629578, 0.5279475450515747, 0.6695727407932281, 0.964368999004364]",1.0,0.6666666666666666,0.7712553516030312,4,4,4,6,"[0.9231321215629578, 0.5279475450515747, 0.6695727407932281, 0.964368999004364]"
9,0.0,0.0,0.0,0,0,18,15,[],0.0,0.0,0.0,0,0,18,15,[],0.0,0.0,0.0,0,0,18,15,[],0.0,0.0,0.0,0,0,18,15,[],0.0,0.0,0.0,0,0,18,15,[],0.0,0.0,0.0,0,0,18,15,[]
8,0.02702702702702703,0.05263157894736842,0.9013503789901733,1,1,37,19,[0.9013503789901733],0.02702702702702703,0.05263157894736842,0.9013503789901733,1,1,37,19,[0.9013503789901733],0.02702702702702703,0.05263157894736842,0.9013503789901733,1,1,37,19,[0.9013503789901733],0.10810810810810811,0.2631578947368421,0.7133538842201232,4,5,37,19,"[0.9013503789901733, 0.6776260137557983, 0.6978850960731506, 0.6179198026657104, 0.6719881296157837]",0.2972972972972973,0.5263157894736842,0.5844660773873329,11,10,37,19,"[0.9013503789901733, 0.5708150863647461, 0.6776260137557983, 0.5578606128692627, 0.5673178434371948, 0.5349769592285156, 0.5362196862697601, 0.5128893852233887, 0.554766058921814, 0.5187048763036728, 0.550086498260498, 0.5692322254180908, 0.5581376105546951, 0.6978850960731506, 0.5044099688529968, 0.6179198026657104, 0.5493595004081726, 0.6719881296157837, 0.524282231926918, 0.5134935826063156]",0.5945945945945946,0.8947368421052632,0.47851523059479734,22,17,37,19,"[0.9013503789901733, 0.32406938076019287, 0.38743579387664795, 0.35460516810417175, 0.41904327273368835, 0.3302160054445267, 0.4528767168521881, 0.3259376436471939, 0.28829409182071686, 0.36031219363212585, 0.3413756191730499, 0.5708150863647461, 0.4261867552995682, 0.6776260137557983, 0.2554161548614502, 0.2986539602279663, 0.5578606128692627, 0.3715202361345291, 0.5673178434371948, 0.5349769592285156, 0.419338583946228, 0.4998604655265808, 0.5362196862697601, 0.46668653190135956, 0.46159420907497406, 0.4863797724246979, 0.40439005196094513, 0.4725831300020218, 0.5128893852233887, 0.46322721242904663, 0.47698915004730225, 0.35196998715400696, 0.554766058921814, 0.5187048763036728, 0.42158734798431396, 0.46085500717163086, 0.550086498260498, 0.5692322254180908, 0.5581376105546951, 0.6978850960731506, 0.5044099688529968, 0.47948984801769257, 0.6179198026657104, 0.5493595004081726, 0.6719881296157837, 0.524282231926918, 0.5134935826063156]"
5,0.0,0.0,0.0,0,0,19,15,[],0.0,0.0,0.0,0,0,19,15,[],0.0,0.0,0.0,0,0,19,15,[],0.0,0.0,0.0,0,0,19,15,[],0.0,0.0,0.0,0,0,19,15,[],0.0,0.0,0.0,0,0,19,15,[]
