File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.16666666666666666,0.16666666666666666,0.924136757850647,1,1,6,6,[0.924136757850647],0.5,0.5,0.8754644592603048,3,3,6,6,"[0.8945797681808472, 0.924136757850647, 0.8076768517494202]",0.6666666666666666,0.6666666666666666,0.846932977437973,4,4,6,6,"[0.8945797681808472, 0.924136757850647, 0.7613385319709778, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.8059132635593415,5,5,6,6,"[0.8945797681808472, 0.924136757850647, 0.6418344080448151, 0.7613385319709778, 0.8076768517494202]",1.0,1.0,0.7646163130799929,6,6,6,6,"[0.8945797681808472, 0.924136757850647, 0.5581315606832504, 0.6418344080448151, 0.7613385319709778, 0.8076768517494202]",1.0,1.0,0.7646163130799929,6,6,6,6,"[0.8945797681808472, 0.924136757850647, 0.5581315606832504, 0.6418344080448151, 0.7613385319709778, 0.8076768517494202]"
14,0.19047619047619047,0.17647058823529413,0.9410349978850439,12,12,63,68,"[0.914624810218811, 0.9292948246002197, 0.9495775699615479, 0.9506406486034393, 0.9305549263954163, 0.9663415551185608, 0.9571384787559509, 0.90784752368927, 0.935263454914093, 0.9828191995620728, 0.9633509516716003, 0.9372626543045044, 0.908738374710083]",0.25396825396825395,0.23529411764705882,0.9135646141237683,16,16,63,68,"[0.8843792676925659, 0.914624810218811, 0.9292948246002197, 0.9495775699615479, 0.9506406486034393, 0.9305549263954163, 0.8055423498153687, 0.9663415551185608, 0.8085165619850159, 0.9571384787559509, 0.90784752368927, 0.935263454914093, 0.9828191995620728, 0.9633509516716003, 0.858851283788681, 0.9372626543045044, 0.908738374710083, 0.853418618440628]",0.4444444444444444,0.4117647058823529,0.8280911573341915,28,28,63,68,"[0.8843792676925659, 0.914624810218811, 0.7402582764625549, 0.9292948246002197, 0.7275554537773132, 0.9495775699615479, 0.9506406486034393, 0.9305549263954163, 0.8055423498153687, 0.7292178273200989, 0.9663415551185608, 0.7249660491943359, 0.8085165619850159, 0.7292178273200989, 0.9571384787559509, 0.90784752368927, 0.7292178273200989, 0.935263454914093, 0.7880196571350098, 0.7292178273200989, 0.7292178273200989, 0.9828191995620728, 0.9633509516716003, 0.858851283788681, 0.7600931525230408, 0.7292178273200989, 0.9372626543045044, 0.7292178273200989, 0.7608333826065063, 0.908738374710083, 0.7600931525230408, 0.7292178273200989, 0.853418618440628, 0.7142478823661804, 0.7292178273200989]",0.5555555555555556,0.5294117647058824,0.7656523898806212,35,36,63,68,"[0.8843792676925659, 0.914624810218811, 0.7402582764625549, 0.9292948246002197, 0.7275554537773132, 0.6756424903869629, 0.6143610179424286, 0.6966938674449921, 0.9495775699615479, 0.9506406486034393, 0.9305549263954163, 0.8055423498153687, 0.7292178273200989, 0.9663415551185608, 0.7249660491943359, 0.8085165619850159, 0.7292178273200989, 0.9571384787559509, 0.6644078493118286, 0.90784752368927, 0.7292178273200989, 0.935263454914093, 0.7880196571350098, 0.7292178273200989, 0.6316306889057159, 0.6756283044815063, 0.7292178273200989, 0.9828191995620728, 0.9633509516716003, 0.858851283788681, 0.6230076029896736, 0.7600931525230408, 0.7292178273200989, 0.9372626543045044, 0.673527717590332, 0.7292178273200989, 0.7608333826065063, 0.6678991317749023, 0.6625251770019531, 0.615455150604248, 0.6445922255516052, 0.6317775845527649, 0.908738374710083, 0.6141366213560104, 0.615455150604248, 0.7600931525230408, 0.7292178273200989, 0.853418618440628, 0.7142478823661804, 0.6214166879653931, 0.7292178273200989, 0.6487440466880798, 0.6194848418235779]",0.8412698412698413,0.7205882352941176,0.7015702977585487,53,49,63,68,"[0.8843792676925659, 0.914624810218811, 0.7402582764625549, 0.9292948246002197, 0.7275554537773132, 0.6756424903869629, 0.6143610179424286, 0.6966938674449921, 0.9495775699615479, 0.9506406486034393, 0.5856115520000458, 0.5895194262266159, 0.9305549263954163, 0.5856115520000458, 0.5895194262266159, 0.8055423498153687, 0.5475664287805557, 0.7292178273200989, 0.9663415551185608, 0.7249660491943359, 0.5573374778032303, 0.8085165619850159, 0.596230685710907, 0.7292178273200989, 0.9571384787559509, 0.6644078493118286, 0.90784752368927, 0.5306916385889053, 0.7292178273200989, 0.935263454914093, 0.592109277844429, 0.7880196571350098, 0.5394899845123291, 0.7292178273200989, 0.6316306889057159, 0.5851021409034729, 0.5932715684175491, 0.6756283044815063, 0.5033831149339676, 0.7292178273200989, 0.5981540679931641, 0.9828191995620728, 0.9633509516716003, 0.858851283788681, 0.6230076029896736, 0.7600931525230408, 0.5777397900819778, 0.5793177485466003, 0.7292178273200989, 0.9372626543045044, 0.673527717590332, 0.7292178273200989, 0.5949328541755676, 0.5726549923419952, 0.7608333826065063, 0.5236545205116272, 0.6678991317749023, 0.5440281629562378, 0.5241585969924927, 0.6625251770019531, 0.615455150604248, 0.6445922255516052, 0.5138794928789139, 0.6317775845527649, 0.5999820977449417, 0.908738374710083, 0.6141366213560104, 0.615455150604248, 0.7600931525230408, 0.5699409544467926, 0.7292178273200989, 0.853418618440628, 0.7142478823661804, 0.6214166879653931, 0.7292178273200989, 0.5490190088748932, 0.6487440466880798, 0.6194848418235779]",1.0,0.8676470588235294,0.5953558122707625,63,59,63,68,"[0.8843792676925659, 0.914624810218811, 0.7402582764625549, 0.9292948246002197, 0.41083598136901855, 0.7275554537773132, 0.6756424903869629, 0.6143610179424286, 0.6966938674449921, 0.25541454553604126, 0.9495775699615479, 0.9506406486034393, 0.5856115520000458, 0.5895194262266159, 0.25541454553604126, 0.9305549263954163, 0.33612531423568726, 0.5856115520000458, 0.5895194262266159, 0.8055423498153687, 0.5475664287805557, 0.33612531423568726, 0.7292178273200989, 0.9663415551185608, 0.7249660491943359, 0.5573374778032303, 0.8085165619850159, 0.3821271061897278, 0.596230685710907, 0.7292178273200989, 0.9571384787559509, 0.6644078493118286, 0.90784752368927, 0.3728194683790207, 0.5306916385889053, 0.7292178273200989, 0.935263454914093, 0.592109277844429, 0.7880196571350098, 0.4405223876237869, 0.5394899845123291, 0.7292178273200989, 0.6316306889057159, 0.5851021409034729, 0.5932715684175491, 0.6756283044815063, 0.5033831149339676, 0.7292178273200989, 0.5981540679931641, 0.3867337256669998, 0.31282615661621094, 0.9828191995620728, 0.9633509516716003, 0.858851283788681, 0.6230076029896736, 0.7600931525230408, 0.5777397900819778, 0.5793177485466003, 0.7292178273200989, 0.9372626543045044, 0.4898104667663574, 0.673527717590332, 0.392838716506958, 0.4248647689819336, 0.7292178273200989, 0.4219158887863159, 0.4650953710079193, 0.5949328541755676, 0.4725594222545624, 0.35366031527519226, 0.35592786967754364, 0.3495844304561615, 0.5726549923419952, 0.4115438461303711, 0.4930145740509033, 0.36446741223335266, 0.2943146824836731, 0.7608333826065063, 0.3885682076215744, 0.47233882546424866, 0.5236545205116272, 0.33021265268325806, 0.3768770545721054, 0.6678991317749023, 0.26028595119714737, 0.35884901881217957, 0.5440281629562378, 0.5241585969924927, 0.435987263917923, 0.6625251770019531, 0.38993506133556366, 0.615455150604248, 0.6445922255516052, 0.5138794928789139, 0.435987263917923, 0.6317775845527649, 0.3768770545721054, 0.2881031036376953, 0.5999820977449417, 0.908738374710083, 0.6141366213560104, 0.38993506133556366, 0.615455150604248, 0.7600931525230408, 0.5699409544467926, 0.7292178273200989, 0.853418618440628, 0.7142478823661804, 0.45649516582489014, 0.4575647711753845, 0.6214166879653931, 0.46804557740688324, 0.7292178273200989, 0.5490190088748932, 0.6487440466880798, 0.38993506133556366, 0.6194848418235779, 0.4749632179737091]"
16,0.047619047619047616,0.06666666666666667,0.9330688714981079,1,1,21,15,[0.9330688714981079],0.047619047619047616,0.06666666666666667,0.9330688714981079,1,1,21,15,[0.9330688714981079],0.2857142857142857,0.3333333333333333,0.7819978048404058,6,5,21,15,"[0.7850971221923828, 0.7428539395332336, 0.7721969783306122, 0.9330688714981079, 0.7126272022724152, 0.746142715215683]",0.42857142857142855,0.6,0.7235025316476822,9,9,21,15,"[0.7850971221923828, 0.7428539395332336, 0.7721969783306122, 0.6367886066436768, 0.9330688714981079, 0.6395142078399658, 0.6470842957496643, 0.7126272022724152, 0.746142715215683, 0.6196513772010803]",0.7142857142857143,0.8,0.6542440857738256,15,12,21,15,"[0.5558006167411804, 0.7850971221923828, 0.7428539395332336, 0.7721969783306122, 0.5826427936553955, 0.5070561170578003, 0.6367886066436768, 0.5333420038223267, 0.9330688714981079, 0.6395142078399658, 0.6470842957496643, 0.5238648653030396, 0.530173659324646, 0.7126272022724152, 0.746142715215683, 0.6196513772010803]",0.7619047619047619,0.8,0.631783529288239,16,12,21,15,"[0.5558006167411804, 0.7850971221923828, 0.7428539395332336, 0.7721969783306122, 0.4814615547657013, 0.5826427936553955, 0.5070561170578003, 0.6367886066436768, 0.5333420038223267, 0.9330688714981079, 0.6395142078399658, 0.6470842957496643, 0.5238648653030396, 0.42273660004138947, 0.530173659324646, 0.7126272022724152, 0.746142715215683, 0.6196513772010803]"
17,0.11764705882352941,0.15384615384615385,0.9159507676959038,4,4,34,26,"[0.9099725484848022, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351]",0.11764705882352941,0.15384615384615385,0.9159507676959038,4,4,34,26,"[0.9099725484848022, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351]",0.11764705882352941,0.15384615384615385,0.9159507676959038,4,4,34,26,"[0.9099725484848022, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351]",0.14705882352941177,0.15384615384615385,0.8661850214004516,5,4,34,26,"[0.9099725484848022, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351, 0.6671220362186432]",0.17647058823529413,0.19230769230769232,0.8089920282363892,6,5,34,26,"[0.5230270624160767, 0.9099725484848022, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351, 0.6671220362186432]",0.3235294117647059,0.3076923076923077,0.6099305464462801,11,8,34,26,"[0.5230270624160767, 0.9099725484848022, 0.4257347881793976, 0.4078092575073242, 0.17007088661193848, 0.9090432524681091, 0.9301761388778687, 0.9146111309528351, 0.6671220362186432, 0.4386990964412689, 0.41296981275081635]"
12,0.14285714285714285,0.11538461538461539,0.9395722846190134,3,3,21,26,"[0.943930447101593, 0.9150815606117249, 0.9597048461437225]",0.5238095238095238,0.4230769230769231,0.8748288398439233,11,11,21,26,"[0.8707416653633118, 0.873273491859436, 0.943930447101593, 0.9150815606117249, 0.8928334712982178, 0.8231233060359955, 0.800903856754303, 0.9597048461437225, 0.8343591392040253, 0.8406730890274048, 0.8684923648834229]",0.5238095238095238,0.4230769230769231,0.8748288398439233,11,11,21,26,"[0.8707416653633118, 0.873273491859436, 0.943930447101593, 0.9150815606117249, 0.8928334712982178, 0.8231233060359955, 0.800903856754303, 0.9597048461437225, 0.8343591392040253, 0.8406730890274048, 0.8684923648834229]",0.6190476190476191,0.5,0.8396296340685624,13,13,21,26,"[0.8707416653633118, 0.873273491859436, 0.943930447101593, 0.9150815606117249, 0.8928334712982178, 0.8231233060359955, 0.800903856754303, 0.9597048461437225, 0.8343591392040253, 0.8406730890274048, 0.6911005973815918, 0.6009674072265625, 0.8684923648834229]",0.7142857142857143,0.5769230769230769,0.7976466496785481,15,15,21,26,"[0.8707416653633118, 0.873273491859436, 0.943930447101593, 0.9150815606117249, 0.8928334712982178, 0.8231233060359955, 0.800903856754303, 0.9597048461437225, 0.8343591392040253, 0.8406730890274048, 0.6911005973815918, 0.542217344045639, 0.6009674072265625, 0.8684923648834229, 0.507297158241272]",0.9047619047619048,0.7307692307692307,0.6859795868396759,19,19,21,26,"[0.8707416653633118, 0.32295966148376465, 0.873273491859436, 0.943930447101593, 0.9150815606117249, 0.8928334712982178, 0.8231233060359955, 0.800903856754303, 0.9597048461437225, 0.8343591392040253, 0.8406730890274048, 0.6911005973815918, 0.542217344045639, 0.6009674072265625, 0.8684923648834229, 0.36957329511642456, 0.3522527664899826, 0.2922385334968567, 0.507297158241272, 0.4178677350282669]"
10,0.11363636363636363,0.11627906976744186,0.9448935508728027,5,5,44,43,"[0.9629749655723572, 0.912748783826828, 0.9121030569076538, 0.9782590568065643, 0.9583818912506104]",0.20454545454545456,0.20930232558139536,0.9054764442973666,9,9,44,43,"[0.9629749655723572, 0.912748783826828, 0.9121030569076538, 0.8934085965156555, 0.8564030528068542, 0.9782590568065643, 0.8671348690986633, 0.8078737258911133, 0.9583818912506104]",0.2727272727272727,0.27906976744186046,0.8633628363410631,12,12,44,43,"[0.9629749655723572, 0.912748783826828, 0.7163375318050385, 0.9121030569076538, 0.7531960606575012, 0.8934085965156555, 0.8564030528068542, 0.9782590568065643, 0.8671348690986633, 0.7415324449539185, 0.8078737258911133, 0.9583818912506104]",0.45454545454545453,0.4186046511627907,0.7776138611137867,20,18,44,43,"[0.9629749655723572, 0.912748783826828, 0.6828761100769043, 0.6532773375511169, 0.7163375318050385, 0.9121030569076538, 0.6334545016288757, 0.6886525899171829, 0.7531960606575012, 0.6345218420028687, 0.6220719516277313, 0.6139811277389526, 0.8934085965156555, 0.8564030528068542, 0.9782590568065643, 0.8671348690986633, 0.7415324449539185, 0.8078737258911133, 0.9583818912506104, 0.6630877256393433]",0.5227272727272727,0.46511627906976744,0.7457358759382496,23,20,44,43,"[0.9629749655723572, 0.912748783826828, 0.6828761100769043, 0.6532773375511169, 0.7163375318050385, 0.9121030569076538, 0.6334545016288757, 0.6886525899171829, 0.7531960606575012, 0.6345218420028687, 0.6220719516277313, 0.6139811277389526, 0.5276340246200562, 0.8934085965156555, 0.8564030528068542, 0.9782590568065643, 0.8671348690986633, 0.7415324449539185, 0.5135423392057419, 0.8078737258911133, 0.9583818912506104, 0.6630877256393433, 0.5584715604782104]",1.0,0.7209302325581395,0.5674382608304632,44,31,44,43,"[0.46160072088241577, 0.2259734570980072, 0.9629749655723572, 0.912748783826828, 0.31272605061531067, 0.6828761100769043, 0.6532773375511169, 0.4374118447303772, 0.4136497974395752, 0.39742857217788696, 0.7163375318050385, 0.9121030569076538, 0.49174338579177856, 0.44109003245830536, 0.37260331213474274, 0.6334545016288757, 0.6886525899171829, 0.7531960606575012, 0.6345218420028687, 0.4209371507167816, 0.4333958625793457, 0.3125336766242981, 0.3125336766242981, 0.4469171464443207, 0.4475579857826233, 0.40388959646224976, 0.6220719516277313, 0.6139811277389526, 0.5276340246200562, 0.8934085965156555, 0.8564030528068542, 0.9782590568065643, 0.8671348690986633, 0.7415324449539185, 0.5135423392057419, 0.4993249550461769, 0.8078737258911133, 0.9583818912506104, 0.6630877256393433, 0.5584715604782104, 0.42318445444107056, 0.37214231491088867, 0.3745146095752716, 0.42207592725753784, 0.3401460647583008, 0.3984774351119995, 0.3558150827884674]"
11,0.25,0.25,0.9872425198554993,1,1,4,4,[0.9872425198554993],0.75,0.75,0.9274188677469889,3,3,4,4,"[0.8969746828079224, 0.9872425198554993, 0.8980394005775452]",0.75,0.75,0.9274188677469889,3,3,4,4,"[0.8969746828079224, 0.9872425198554993, 0.8980394005775452]",0.75,0.75,0.9274188677469889,3,3,4,4,"[0.8969746828079224, 0.9872425198554993, 0.8980394005775452]",0.75,0.75,0.9274188677469889,3,3,4,4,"[0.8969746828079224, 0.9872425198554993, 0.8980394005775452]",1.0,1.0,0.8128481805324554,4,4,4,4,"[0.8969746828079224, 0.469136118888855, 0.9872425198554993, 0.8980394005775452]"
9,0.5882352941176471,0.5555555555555556,0.9648407459259033,10,10,17,18,"[0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.919704258441925, 0.9027906656265259, 0.9566673040390015, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]",0.6470588235294118,0.6111111111111112,0.9499953931028192,11,11,17,18,"[0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.919704258441925, 0.9027906656265259, 0.9566673040390015, 0.8015418648719788, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]",0.6470588235294118,0.6111111111111112,0.9499953931028192,11,11,17,18,"[0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.919704258441925, 0.9027906656265259, 0.9566673040390015, 0.8015418648719788, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]",0.7058823529411765,0.6666666666666666,0.9220854341983795,12,12,17,18,"[0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.919704258441925, 0.9027906656265259, 0.6150758862495422, 0.9566673040390015, 0.8015418648719788, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]",0.8823529411764706,0.8333333333333334,0.8458958983421325,15,15,17,18,"[0.5230270028114319, 0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.5644758939743042, 0.919704258441925, 0.5359103679656982, 0.9027906656265259, 0.6150758862495422, 0.9566673040390015, 0.8015418648719788, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]",1.0,0.9444444444444444,0.8018127188963049,17,17,17,18,"[0.5230270028114319, 0.9757950305938721, 0.9999999701976776, 0.9596236646175385, 0.9817932844161987, 0.4820033013820648, 0.5644758939743042, 0.919704258441925, 0.5359103679656982, 0.4603744447231293, 0.9027906656265259, 0.6150758862495422, 0.9566673040390015, 0.8015418648719788, 0.9825947880744934, 0.9842792749404907, 0.9851592183113098]"
8,0.07142857142857142,0.08108108108108109,0.9291140337785085,3,3,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955]",0.07142857142857142,0.08108108108108109,0.9291140337785085,3,3,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955]",0.07142857142857142,0.08108108108108109,0.9291140337785085,3,3,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955]",0.14285714285714285,0.16216216216216217,0.7868762736519178,6,6,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955, 0.6682548522949219, 0.6198801249265671, 0.6457805633544922]",0.14285714285714285,0.1891891891891892,0.7595457455941609,6,7,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955, 0.6682548522949219, 0.6198801249265671, 0.5955625772476196, 0.6457805633544922]",0.21428571428571427,0.1891891891891892,0.6064549187819163,9,7,42,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083750247955, 0.6682548522949219, 0.3606390357017517, 0.40488390624523163, 0.37172287702560425, 0.6198801249265671, 0.32583147287368774, 0.5955625772476196, 0.6457805633544922, 0.497561514377594]"
5,0.058823529411764705,0.05263157894736842,0.9162687361240387,1,1,17,19,[0.9162687361240387],0.058823529411764705,0.05263157894736842,0.9162687361240387,1,1,17,19,[0.9162687361240387],0.11764705882352941,0.10526315789473684,0.8315557539463043,2,2,17,19,"[0.74684277176857, 0.9162687361240387]",0.11764705882352941,0.10526315789473684,0.8315557539463043,2,2,17,19,"[0.74684277176857, 0.9162687361240387]",0.4117647058823529,0.3157894736842105,0.6268645567553384,7,6,17,19,"[0.5230268836021423, 0.74684277176857, 0.9162687361240387, 0.5459966659545898, 0.532941073179245, 0.5790921151638031, 0.5438836514949799]",0.7647058823529411,0.631578947368421,0.5335885641666559,13,12,17,19,"[0.5230268836021423, 0.4983525276184082, 0.74684277176857, 0.9162687361240387, 0.5459966659545898, 0.41048914194107056, 0.3897942304611206, 0.47679056227207184, 0.532941073179245, 0.5790921151638031, 0.5438836514949799, 0.31714653968811035, 0.45602643489837646]"
