file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,9,0.8888888888888888,1.0,9,9,1,0
14.txt,67,68,0.881578947368421,0.8192771084337349,76,83,9,15
16.txt,20,22,0.9523809523809523,0.7586206896551724,21,29,1,7
17.txt,28,27,0.9032258064516129,0.8709677419354839,31,31,3,4
12.txt,27,23,0.9,1.0,30,23,3,0
10.txt,50,52,0.9259259259259259,0.8,54,65,4,13
11.txt,12,16,1.0,0.8,12,20,0,4
9.txt,16,16,0.8888888888888888,0.8888888888888888,18,18,2,2
8.txt,38,33,0.926829268292683,0.8918918918918919,41,37,3,4
5.txt,23,21,0.92,0.65625,25,32,2,11
4.txt,16,19,1.0,0.7916666666666666,16,24,0,5
6.txt,31,31,1.0,0.9393939393939394,31,33,0,2
7.txt,22,19,0.88,0.9047619047619048,25,21,3,2
3.txt,10,11,1.0,0.7333333333333333,10,15,0,4
2.txt,23,22,0.8846153846153846,0.8148148148148148,26,27,3,5
1.txt,22,18,1.0,0.9,22,20,0,2
20.txt,34,34,0.9714285714285714,0.6938775510204082,35,49,1,15
21.txt,38,40,0.9743589743589743,0.6896551724137931,39,58,1,18
19.txt,39,39,0.975,0.8297872340425532,40,47,1,8
18.txt,22,23,1.0,0.8518518518518519,22,27,0,4
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.9437,Average of coverage_2_to_1: 0.8318,,,,
