File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.3333333333333333,0.3333333333333333,0.9379200488328934,2,2,6,6,"[0.9293213486671448, 0.946518748998642]",0.3333333333333333,0.3333333333333333,0.9379200488328934,2,2,6,6,"[0.9293213486671448, 0.946518748998642]",1.0,0.8333333333333334,0.8130047395825386,6,5,6,6,"[0.9293213486671448, 0.7413318157196045, 0.7842376828193665, 0.946518748998642, 0.7694896757602692, 0.7071291655302048]",1.0,0.8333333333333334,0.8130047395825386,6,5,6,6,"[0.9293213486671448, 0.7413318157196045, 0.7842376828193665, 0.946518748998642, 0.7694896757602692, 0.7071291655302048]",1.0,0.8333333333333334,0.8130047395825386,6,5,6,6,"[0.9293213486671448, 0.7413318157196045, 0.7842376828193665, 0.946518748998642, 0.7694896757602692, 0.7071291655302048]",1.0,0.8333333333333334,0.8130047395825386,6,5,6,6,"[0.9293213486671448, 0.7413318157196045, 0.7842376828193665, 0.946518748998642, 0.7694896757602692, 0.7071291655302048]"
14,0.07352941176470588,0.07352941176470588,0.92446528673172,5,5,68,68,"[0.914624810218811, 0.9133652448654175, 0.9424161016941071, 0.9268747568130493, 0.925045520067215]",0.16176470588235295,0.16176470588235295,0.880525220524181,11,11,68,68,"[0.8618488311767578, 0.914624810218811, 0.9133652448654175, 0.854566752910614, 0.8334832787513733, 0.9424161016941071, 0.80339115858078, 0.9268747568130493, 0.8802901208400726, 0.8298708498477936, 0.925045520067215]",0.3088235294117647,0.3088235294117647,0.7940919531079439,21,21,68,68,"[0.8618488311767578, 0.914624810218811, 0.7246493101119995, 0.9133652448654175, 0.7010643482208252, 0.7246362864971161, 0.854566752910614, 0.8334832787513733, 0.7187484502792358, 0.9424161016941071, 0.7187484502792358, 0.7850568890571594, 0.80339115858078, 0.7187484502792358, 0.9268747568130493, 0.7187484502792358, 0.7762309312820435, 0.7187484502792358, 0.8802901208400726, 0.7187484502792358, 0.7832785844802856, 0.7187484502792358, 0.8298708498477936, 0.925045520067215, 0.7187484502792358, 0.7157094031572342]",0.35294117647058826,0.35294117647058826,0.7660311623476446,24,24,68,68,"[0.8618488311767578, 0.914624810218811, 0.7246493101119995, 0.9133652448654175, 0.7010643482208252, 0.7246362864971161, 0.854566752910614, 0.6429875493049622, 0.8334832787513733, 0.6178942918777466, 0.7187484502792358, 0.9424161016941071, 0.7187484502792358, 0.7850568890571594, 0.80339115858078, 0.7187484502792358, 0.9268747568130493, 0.7187484502792358, 0.7762309312820435, 0.7187484502792358, 0.8802901208400726, 0.7187484502792358, 0.7832785844802856, 0.6226436495780945, 0.6766812801361084, 0.6448583602905273, 0.7187484502792358, 0.8298708498477936, 0.925045520067215, 0.6615412831306458, 0.7187484502792358, 0.7157094031572342]",0.45588235294117646,0.4117647058823529,0.7252527039498091,31,28,68,68,"[0.8618488311767578, 0.914624810218811, 0.7246493101119995, 0.9133652448654175, 0.7010643482208252, 0.5959323644638062, 0.5759676694869995, 0.5014010667800903, 0.7246362864971161, 0.5739985853433609, 0.5856134742498398, 0.854566752910614, 0.6429875493049622, 0.8334832787513733, 0.6178942918777466, 0.7187484502792358, 0.9424161016941071, 0.7187484502792358, 0.7850568890571594, 0.80339115858078, 0.5559322834014893, 0.7187484502792358, 0.9268747568130493, 0.7187484502792358, 0.7762309312820435, 0.5533638000488281, 0.7187484502792358, 0.8802901208400726, 0.7187484502792358, 0.7832785844802856, 0.6226436495780945, 0.5549017190933228, 0.6766812801361084, 0.6448583602905273, 0.7187484502792358, 0.8298708498477936, 0.925045520067215, 0.6615412831306458, 0.7187484502792358, 0.7157094031572342]",0.5882352941176471,0.5147058823529411,0.6003514124313369,40,35,68,68,"[0.8618488311767578, 0.914624810218811, 0.7246493101119995, 0.9133652448654175, 0.23370811343193054, 0.7010643482208252, 0.4085375964641571, 0.5959323644638062, 0.3186947777867317, 0.42228466272354126, 0.47188448905944824, 0.5759676694869995, 0.4566759020090103, 0.2596753239631653, 0.5014010667800903, 0.25714004039764404, 0.4484478533267975, 0.44864335656166077, 0.7246362864971161, 0.5739985853433609, 0.5856134742498398, 0.332540363073349, 0.854566752910614, 0.3965040147304535, 0.6429875493049622, 0.8334832787513733, 0.6178942918777466, 0.7187484502792358, 0.9424161016941071, 0.7187484502792358, 0.7850568890571594, 0.80339115858078, 0.5559322834014893, 0.7187484502792358, 0.9268747568130493, 0.7187484502792358, 0.4966548979282379, 0.7762309312820435, 0.5533638000488281, 0.7187484502792358, 0.8802901208400726, 0.7187484502792358, 0.7832785844802856, 0.28763920068740845, 0.4587877690792084, 0.370183065533638, 0.4739176034927368, 0.6226436495780945, 0.5549017190933228, 0.6766812801361084, 0.3722606301307678, 0.6448583602905273, 0.7187484502792358, 0.8298708498477936, 0.4758044630289078, 0.3988504037261009, 0.3516772910952568, 0.36089199781417847, 0.4430970549583435, 0.46788136661052704, 0.925045520067215, 0.6615412831306458, 0.7187484502792358, 0.7157094031572342]"
16,0.2,0.16666666666666666,0.940281500418981,3,3,15,18,"[0.9328323006629944, 0.9387665390968323, 0.9492456614971161]",0.3333333333333333,0.2777777777777778,0.9116064488887787,5,5,15,18,"[0.9328323006629944, 0.9387665390968323, 0.8811863362789154, 0.8560014069080353, 0.9492456614971161]",0.5333333333333333,0.4444444444444444,0.8447072439723544,8,8,15,18,"[0.764085054397583, 0.772196888923645, 0.9328323006629944, 0.9387665390968323, 0.8811863362789154, 0.8560014069080353, 0.7984415590763092, 0.9492456614971161, 0.7096094489097595]",0.9333333333333333,0.7777777777777778,0.7443790480494499,14,14,15,18,"[0.6880346536636353, 0.764085054397583, 0.772196888923645, 0.6228030622005463, 0.6421149969100952, 0.9328323006629944, 0.9387665390968323, 0.6395142078399658, 0.6765515804290771, 0.6333173215389252, 0.6754962801933289, 0.8811863362789154, 0.8560014069080353, 0.7984415590763092, 0.6429871171712875, 0.9492456614971161, 0.6923172324895859, 0.6885225176811218, 0.7096094489097595, 0.6835567951202393]",1.0,0.7777777777777778,0.6982103431454072,15,14,15,18,"[0.6880346536636353, 0.764085054397583, 0.772196888923645, 0.6228030622005463, 0.6421149969100952, 0.5427704155445099, 0.9328323006629944, 0.9387665390968323, 0.6395142078399658, 0.6765515804290771, 0.6333173215389252, 0.6754962801933289, 0.8811863362789154, 0.5612842440605164, 0.8560014069080353, 0.7984415590763092, 0.5268734097480774, 0.5565837621688843, 0.5698255002498627, 0.6429871171712875, 0.5085506290197372, 0.9492456614971161, 0.6923172324895859, 0.6885225176811218, 0.7096094489097595, 0.6835567951202393]",1.0,0.7777777777777778,0.6437966845491353,15,14,15,18,"[0.6880346536636353, 0.764085054397583, 0.772196888923645, 0.6228030622005463, 0.6421149969100952, 0.5427704155445099, 0.9328323006629944, 0.9387665390968323, 0.6395142078399658, 0.6765515804290771, 0.44233229756355286, 0.6333173215389252, 0.6754962801933289, 0.8811863362789154, 0.5612842440605164, 0.44263896346092224, 0.4438815712928772, 0.8560014069080353, 0.7984415590763092, 0.5268734097480774, 0.44300732016563416, 0.5565837621688843, 0.5698255002498627, 0.6429871171712875, 0.5085506290197372, 0.4947569817304611, 0.9492456614971161, 0.6923172324895859, 0.6885225176811218, 0.4940098226070404, 0.7096094489097595, 0.49732939898967743, 0.47766199707984924, 0.6835567951202393]"
17,0.11538461538461539,0.13636363636363635,0.9220808943112692,3,3,26,22,"[0.9176923036575317, 0.915660560131073, 0.9328898191452026]",0.15384615384615385,0.18181818181818182,0.9165519252419472,4,4,26,22,"[0.9176923036575317, 0.915660560131073, 0.9328898191452026, 0.8999650180339813]",0.15384615384615385,0.18181818181818182,0.9165519252419472,4,4,26,22,"[0.9176923036575317, 0.915660560131073, 0.9328898191452026, 0.8999650180339813]",0.19230769230769232,0.22727272727272727,0.8715654075145721,5,5,26,22,"[0.9176923036575317, 0.915660560131073, 0.9328898191452026, 0.8999650180339813, 0.691619336605072]",0.4230769230769231,0.45454545454545453,0.6960389194163409,11,10,26,22,"[0.5230268239974976, 0.9176923036575317, 0.915660560131073, 0.9328898191452026, 0.8999650180339813, 0.592403843998909, 0.5261550843715668, 0.5933443903923035, 0.548068106174469, 0.5156028270721436, 0.691619336605072]",0.7692307692307693,0.6818181818181818,0.5503711182285439,20,15,26,22,"[0.5230268239974976, 0.9176923036575317, 0.2752436101436615, 0.915660560131073, 0.9328898191452026, 0.8999650180339813, 0.4604242444038391, 0.38635779917240143, 0.37369173765182495, 0.4182846248149872, 0.4119540601968765, 0.592403843998909, 0.5261550843715668, 0.5933443903923035, 0.4741039574146271, 0.548068106174469, 0.5156028270721436, 0.4679642766714096, 0.3201644644141197, 0.691619336605072, 0.4645475447177887, 0.3990001678466797]"
12,0.19230769230769232,0.2631578947368421,0.9387552797794342,5,5,26,19,"[0.9287822842597961, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.963875949382782]",0.38461538461538464,0.5263157894736842,0.8904634267091751,10,10,26,19,"[0.9287822842597961, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.8300260305404663, 0.871052473783493, 0.800903856754303, 0.963875949382782, 0.8399700224399567, 0.8689054846763611]",0.4230769230769231,0.5789473684210527,0.8742546737194061,11,11,26,19,"[0.9287822842597961, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.8300260305404663, 0.871052473783493, 0.800903856754303, 0.963875949382782, 0.8399700224399567, 0.8689054846763611, 0.7121671438217163]",0.4230769230769231,0.5789473684210527,0.8742546737194061,11,11,26,19,"[0.9287822842597961, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.8300260305404663, 0.871052473783493, 0.800903856754303, 0.963875949382782, 0.8399700224399567, 0.8689054846763611, 0.7121671438217163]",0.5,0.6842105263157895,0.8260683715343475,13,13,26,19,"[0.9287822842597961, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.8300260305404663, 0.871052473783493, 0.800903856754303, 0.963875949382782, 0.8399700224399567, 0.8689054846763611, 0.7121671438217163, 0.5487378239631653, 0.5733495950698853]",0.8076923076923077,0.9473684210526315,0.6444378481024787,21,18,26,19,"[0.9287822842597961, 0.2974083423614502, 0.9228320419788361, 0.963204562664032, 0.9150815606117249, 0.8300260305404663, 0.871052473783493, 0.800903856754303, 0.963875949382782, 0.8399700224399567, 0.8689054846763611, 0.7121671438217163, 0.5487378239631653, 0.5733495950698853, 0.3414493799209595, 0.3419124186038971, 0.3963264226913452, 0.4350074529647827, 0.3731090873479843, 0.29666605591773987, 0.312426820397377]"
10,0.06976744186046512,0.05555555555555555,0.9428538878758749,3,3,43,54,"[0.9530523121356964, 0.9646386802196503, 0.9108706712722778]",0.16279069767441862,0.14814814814814814,0.9052580557763577,7,8,43,54,"[0.8955209851264954, 0.8894276916980743, 0.9530523121356964, 0.8698865175247192, 0.9646386802196503, 0.8887810707092285, 0.9108706712722778, 0.8698865175247192]",0.23255813953488372,0.2222222222222222,0.845698660860459,10,12,43,54,"[0.8955209851264954, 0.8894276916980743, 0.9530523121356964, 0.7507703900337219, 0.7185683399438858, 0.7347100973129272, 0.8698865175247192, 0.9646386802196503, 0.7022706568241119, 0.8887810707092285, 0.9108706712722778, 0.8698865175247192]",0.3488372093023256,0.3148148148148148,0.7857482317421172,15,17,43,54,"[0.8955209851264954, 0.8894276916980743, 0.9530523121356964, 0.7507703900337219, 0.6508050113916397, 0.6935572475194931, 0.7185683399438858, 0.7347100973129272, 0.8698865175247192, 0.6405136585235596, 0.6596848368644714, 0.9646386802196503, 0.7022706568241119, 0.8887810707092285, 0.6645739078521729, 0.6859495788812637, 0.9108706712722778, 0.8698865175247192]",0.5116279069767442,0.3888888888888889,0.697769760553326,22,21,43,54,"[0.8955209851264954, 0.8894276916980743, 0.9530523121356964, 0.7507703900337219, 0.6508050113916397, 0.6935572475194931, 0.5153686702251434, 0.5362079590559006, 0.5179849565029144, 0.7185683399438858, 0.7347100973129272, 0.8698865175247192, 0.6405136585235596, 0.6596848368644714, 0.9646386802196503, 0.7022706568241119, 0.8887810707092285, 0.6645739078521729, 0.5463739633560181, 0.5903051495552063, 0.5985776782035828, 0.6859495788812637, 0.527837872505188, 0.5039452314376831, 0.5464508533477783, 0.9108706712722778, 0.5110327899456024, 0.8698865175247192]",0.9534883720930233,0.6296296296296297,0.5124622290022671,41,34,43,54,"[0.8955209851264954, 0.4937725067138672, 0.8894276916980743, 0.9530523121356964, 0.28135865926742554, 0.7507703900337219, 0.1564282923936844, 0.6508050113916397, 0.6935572475194931, 0.4329243153333664, 0.5153686702251434, 0.5362079590559006, 0.5179849565029144, 0.7185683399438858, 0.27383655309677124, 0.440400093793869, 0.7347100973129272, 0.42489805817604065, 0.8698865175247192, 0.6405136585235596, 0.6596848368644714, 0.9646386802196503, 0.7022706568241119, 0.8887810707092285, 0.6645739078521729, 0.4236080050468445, 0.4045410752296448, 0.5463739633560181, 0.2781684994697571, 0.2781684994697571, 0.25975391268730164, 0.5903051495552063, 0.4228358417749405, 0.3998102843761444, 0.41027557849884033, 0.2558293640613556, 0.20823723077774048, 0.3639780879020691, 0.3937838226556778, 0.5985776782035828, 0.6859495788812637, 0.527837872505188, 0.428983598947525, 0.29242467880249023, 0.38374799489974976, 0.45837804675102234, 0.5039452314376831, 0.3856608718633652, 0.4163341224193573, 0.4016718119382858, 0.37400561571121216, 0.42019107937812805, 0.39321303367614746, 0.4280034303665161, 0.5464508533477783, 0.37523053586483, 0.46292030811309814, 0.9108706712722778, 0.5110327899456024, 0.3359077274799347, 0.3338121175765991, 0.3555147051811218, 0.8698865175247192, 0.411421000957489]"
11,0.75,0.6,0.9454248448212942,3,3,4,5,"[0.9231321215629578, 0.9621568024158478, 0.9509856104850769]",0.75,0.6,0.9454248448212942,3,3,4,5,"[0.9231321215629578, 0.9621568024158478, 0.9509856104850769]",0.75,0.6,0.9454248448212942,3,3,4,5,"[0.9231321215629578, 0.9621568024158478, 0.9509856104850769]",1.0,0.8,0.8723421171307564,4,4,4,5,"[0.9231321215629578, 0.6530939340591431, 0.9621568024158478, 0.9509856104850769]",1.0,0.8,0.8723421171307564,4,4,4,5,"[0.9231321215629578, 0.6530939340591431, 0.9621568024158478, 0.9509856104850769]",1.0,0.8,0.8723421171307564,4,4,4,5,"[0.9231321215629578, 0.6530939340591431, 0.9621568024158478, 0.9509856104850769]"
9,0.2777777777777778,0.2777777777777778,0.9747450411319732,5,5,18,18,"[0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.9320452213287354]",0.2777777777777778,0.2777777777777778,0.9747450411319732,5,5,18,18,"[0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.9320452213287354]",0.4444444444444444,0.4444444444444444,0.8932886309921741,8,8,18,18,"[0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.7516191005706787, 0.9320452213287354, 0.7683272063732147, 0.7526375353336334]",0.6666666666666666,0.6666666666666666,0.8192580689986547,12,12,18,18,"[0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.7516191005706787, 0.9320452213287354, 0.637550950050354, 0.6942428946495056, 0.655358076095581, 0.7683272063732147, 0.7526375353336334, 0.6976358592510223]",0.7222222222222222,0.7222222222222222,0.7964710639073298,13,13,18,18,"[0.5230270028114319, 0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.7516191005706787, 0.9320452213287354, 0.637550950050354, 0.6942428946495056, 0.655358076095581, 0.7683272063732147, 0.7526375353336334, 0.6976358592510223]",0.9444444444444444,0.8333333333333334,0.715778673396391,17,15,18,18,"[0.5230270028114319, 0.9907191395759583, 0.9999999701976776, 0.9757922291755676, 0.9751686453819275, 0.4726289212703705, 0.44803428649902344, 0.7516191005706787, 0.494864821434021, 0.39858558773994446, 0.9320452213287354, 0.637550950050354, 0.6942428946495056, 0.655358076095581, 0.7683272063732147, 0.7526375353336334, 0.6976358592510223]"
8,0.21621621621621623,0.22857142857142856,0.9527454264461994,8,8,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.9643054902553558, 0.9786171019077301, 0.9890623092651367, 1.0, 0.9534091949462891]",0.43243243243243246,0.42857142857142855,0.899329728939954,16,15,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.8171550035476685, 0.8480389714241028, 0.9643054902553558, 0.8952889144420624, 0.8783656060695648, 0.8093482255935669, 0.8379911482334137, 0.8749987185001373, 0.8681378662586212, 0.9786171019077301, 0.9890623092651367, 1.0, 0.9534091949462891, 0.8373175263404846]",0.5945945945945946,0.6,0.8442840364116889,22,21,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.7067733407020569, 0.8171550035476685, 0.7221644520759583, 0.8480389714241028, 0.9643054902553558, 0.7045332789421082, 0.8952889144420624, 0.8783656060695648, 0.8093482255935669, 0.7600127756595612, 0.8379911482334137, 0.8749987185001373, 0.7014451622962952, 0.7709915637969971, 0.7978836894035339, 0.7784972190856934, 0.8681378662586212, 0.9786171019077301, 0.9890623092651367, 1.0, 0.9534091949462891, 0.8373175263404846, 0.7204780727624893]",0.7567567567567568,0.8,0.7838579309292328,28,28,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.6047864556312561, 0.6685240566730499, 0.7067733407020569, 0.6755309104919434, 0.6369509398937225, 0.8171550035476685, 0.6847483962774277, 0.7221644520759583, 0.694983035326004, 0.8480389714241028, 0.9643054902553558, 0.6909754872322083, 0.7045332789421082, 0.8952889144420624, 0.8783656060695648, 0.8093482255935669, 0.7600127756595612, 0.8379911482334137, 0.6746948957443237, 0.8749987185001373, 0.7014451622962952, 0.7709915637969971, 0.6527421474456787, 0.7978836894035339, 0.6905377507209778, 0.6431229114532471, 0.6410613059997559, 0.7784972190856934, 0.6604160666465759, 0.8681378662586212, 0.9786171019077301, 0.9890623092651367, 1.0, 0.9534091949462891, 0.8373175263404846, 0.7204780727624893]",0.8918918918918919,0.8857142857142857,0.7133365435791867,33,31,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.5299944877624512, 0.5163463354110718, 0.5528207570314407, 0.6047864556312561, 0.6685240566730499, 0.7067733407020569, 0.6755309104919434, 0.6369509398937225, 0.8171550035476685, 0.6847483962774277, 0.7221644520759583, 0.694983035326004, 0.8480389714241028, 0.9643054902553558, 0.6909754872322083, 0.7045332789421082, 0.8952889144420624, 0.8783656060695648, 0.8093482255935669, 0.7600127756595612, 0.8379911482334137, 0.6746948957443237, 0.5860941410064697, 0.8749987185001373, 0.7014451622962952, 0.7709915637969971, 0.6527421474456787, 0.7978836894035339, 0.6905377507209778, 0.5377931296825409, 0.5643547773361206, 0.591281533241272, 0.6431229114532471, 0.5568100214004517, 0.5766134262084961, 0.5838899612426758, 0.6410613059997559, 0.5286789536476135, 0.7784972190856934, 0.6604160666465759, 0.8681378662586212, 0.9786171019077301, 0.5774312019348145, 0.9890623092651367, 1.0, 0.5331590175628662, 0.5292069911956787, 0.5851726531982422, 0.9534091949462891, 0.8373175263404846, 0.5177294909954071, 0.5090102553367615, 0.7204780727624893]",1.0,0.9142857142857143,0.6144640772968908,37,32,37,35,"[0.9013503789901733, 0.9221844673156738, 0.9130344688892365, 0.5299944877624512, 0.5163463354110718, 0.5528207570314407, 0.3973004072904587, 0.6047864556312561, 0.6685240566730499, 0.7067733407020569, 0.3757685720920563, 0.4710298180580139, 0.34681687504053116, 0.4678991138935089, 0.25211063027381897, 0.6755309104919434, 0.3558444678783417, 0.6369509398937225, 0.8171550035476685, 0.6847483962774277, 0.7221644520759583, 0.694983035326004, 0.8480389714241028, 0.9643054902553558, 0.6909754872322083, 0.7045332789421082, 0.8952889144420624, 0.8783656060695648, 0.8093482255935669, 0.4113597869873047, 0.7600127756595612, 0.8379911482334137, 0.6746948957443237, 0.5860941410064697, 0.8749987185001373, 0.7014451622962952, 0.456905722618103, 0.7709915637969971, 0.47970131039619446, 0.4032265394926071, 0.6527421474456787, 0.4872439503669739, 0.7978836894035339, 0.6905377507209778, 0.5377931296825409, 0.5643547773361206, 0.591281533241272, 0.6431229114532471, 0.5568100214004517, 0.3169076442718506, 0.25293248891830444, 0.5766134262084961, 0.2671712040901184, 0.1855493038892746, 0.5838899612426758, 0.6410613059997559, 0.5286789536476135, 0.43193015456199646, 0.7784972190856934, 0.6604160666465759, 0.8681378662586212, 0.9786171019077301, 0.3895045518875122, 0.4516100138425827, 0.5774312019348145, 0.9890623092651367, 0.30504077672958374, 0.353710800409317, 0.42830753326416016, 0.30794399976730347, 1.0, 0.5331590175628662, 0.5292069911956787, 0.5851726531982422, 0.9534091949462891, 0.8373175263404846, 0.5177294909954071, 0.5090102553367615, 0.7204780727624893]"
5,0.05263157894736842,0.05555555555555555,0.9218365550041199,1,1,19,18,[0.9218365550041199],0.15789473684210525,0.16666666666666666,0.8928799430529276,3,3,19,18,"[0.8969745635986328, 0.8598287105560303, 0.9218365550041199]",0.15789473684210525,0.16666666666666666,0.8928799430529276,3,3,19,18,"[0.8969745635986328, 0.8598287105560303, 0.9218365550041199]",0.21052631578947367,0.2222222222222222,0.8301166445016861,4,4,19,18,"[0.8969745635986328, 0.8598287105560303, 0.9218365550041199, 0.6418267488479614]",0.3157894736842105,0.2777777777777778,0.7308245052893957,6,5,19,18,"[0.8969745635986328, 0.8598287105560303, 0.9218365550041199, 0.502979040145874, 0.5615014135837555, 0.6418267488479614]",0.9473684210526315,0.6111111111111112,0.5116124533944659,18,11,19,18,"[0.8969745635986328, 0.4937725067138672, 0.8598287105560303, 0.9218365550041199, 0.502979040145874, 0.5615014135837555, 0.41048914194107056, 0.49909982085227966, 0.4530857801437378, 0.48137645423412323, 0.47445517778396606, 0.4274333715438843, 0.3966779559850693, 0.25882619619369507, 0.33501726388931274, 0.33501726388931274, 0.25882619619369507, 0.6418267488479614]"
