file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,9,1.0,1.0,9,9,0,0
14.txt,70,68,0.9210526315789473,0.8947368421052632,76,76,6,8
16.txt,21,19,0.84,0.9047619047619048,25,21,4,2
17.txt,34,29,0.8947368421052632,0.9354838709677419,38,31,4,2
12.txt,26,30,1.0,1.0,26,30,0,0
10.txt,42,41,0.9130434782608695,0.7592592592592593,46,54,4,13
11.txt,15,12,0.75,1.0,20,12,5,0
9.txt,18,18,1.0,1.0,18,18,0,0
8.txt,32,33,0.8888888888888888,0.8048780487804879,36,41,4,8
5.txt,24,24,1.0,0.96,24,25,0,1
4.txt,18,16,1.0,1.0,18,16,0,0
6.txt,25,28,0.8928571428571429,0.9032258064516129,28,31,3,3
7.txt,17,22,1.0,0.88,17,25,0,3
3.txt,12,10,0.75,1.0,16,10,4,0
2.txt,19,26,0.8636363636363636,1.0,22,26,3,0
1.txt,18,21,1.0,0.9545454545454546,18,22,0,1
20.txt,33,33,0.8461538461538461,0.9428571428571428,39,35,6,2
21.txt,34,34,0.7727272727272727,0.8717948717948718,44,39,10,5
19.txt,39,39,0.9069767441860465,0.975,43,40,4,1
18.txt,22,21,0.88,0.9545454545454546,25,22,3,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.9060,Average of coverage_2_to_1: 0.9371,,,,
