File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.14285714285714285,0.16666666666666666,0.933648407459259,1,1,7,6,[0.933648407459259],0.14285714285714285,0.16666666666666666,0.933648407459259,1,1,7,6,[0.933648407459259],0.2857142857142857,0.3333333333333333,0.8359410762786865,2,2,7,6,"[0.933648407459259, 0.738233745098114]",0.2857142857142857,0.3333333333333333,0.8359410762786865,2,2,7,6,"[0.933648407459259, 0.738233745098114]",0.42857142857142855,0.5,0.7493939747413,3,3,7,6,"[0.933648407459259, 0.738233745098114, 0.5762997716665268]",0.5714285714285714,0.5,0.653699666261673,4,3,7,6,"[0.933648407459259, 0.738233745098114, 0.5762997716665268, 0.36661674082279205]"
14,0.07142857142857142,0.04411764705882353,0.9274816513061523,3,3,42,68,"[0.9442332983016968, 0.9368623495101929, 0.9013493061065674]",0.14285714285714285,0.08823529411764706,0.8870242138703665,6,6,42,68,"[0.9442332983016968, 0.8487241268157959, 0.8363875150680542, 0.9368623495101929, 0.8545886874198914, 0.9013493061065674]",0.14285714285714285,0.08823529411764706,0.8870242138703665,6,6,42,68,"[0.9442332983016968, 0.8487241268157959, 0.8363875150680542, 0.9368623495101929, 0.8545886874198914, 0.9013493061065674]",0.30952380952380953,0.1323529411764706,0.7432055941649846,13,9,42,68,"[0.9442332983016968, 0.8487241268157959, 0.8363875150680542, 0.9368623495101929, 0.6684815883636475, 0.8545886874198914, 0.6092492341995239, 0.9013493061065674, 0.6370954513549805, 0.6435148417949677, 0.6751425266265869, 0.6378124952316284, 0.6023360788822174, 0.6091008186340332]",0.5,0.19117647058823528,0.651977077126503,21,13,42,68,"[0.9442332983016968, 0.8487241268157959, 0.8363875150680542, 0.9368623495101929, 0.6684815883636475, 0.8545886874198914, 0.5904016494750977, 0.564651370048523, 0.6092492341995239, 0.5424007773399353, 0.5815623998641968, 0.9013493061065674, 0.6370954513549805, 0.6435148417949677, 0.6751425266265869, 0.5917094349861145, 0.5560584962368011, 0.5631944537162781, 0.6378124952316284, 0.5343921780586243, 0.6023360788822174, 0.5389554500579834, 0.6091008186340332, 0.547502726316452, 0.5546774864196777, 0.5933261811733246, 0.5460729897022247, 0.5455742478370667]",1.0,0.27941176470588236,0.5080242906625454,42,19,42,68,"[0.9442332983016968, 0.8487241268157959, 0.8363875150680542, 0.9368623495101929, 0.6684815883636475, 0.41768255829811096, 0.8545886874198914, 0.25099384784698486, 0.5904016494750977, 0.481404185295105, 0.39983606338500977, 0.44198469817638397, 0.407599613070488, 0.46430522203445435, 0.42099106311798096, 0.564651370048523, 0.38615474104881287, 0.2626979947090149, 0.444677010178566, 0.6092492341995239, 0.4169754832983017, 0.23672030866146088, 0.4754977524280548, 0.5424007773399353, 0.5815623998641968, 0.3398634195327759, 0.4141082912683487, 0.3361557126045227, 0.4053344577550888, 0.34540480375289917, 0.3734781742095947, 0.369596391916275, 0.9013493061065674, 0.2960108518600464, 0.39133936166763306, 0.454475462436676, 0.369596391916275, 0.6370954513549805, 0.6435148417949677, 0.38308487832546234, 0.4558318108320236, 0.409108430147171, 0.6751425266265869, 0.5917094349861145, 0.5560584962368011, 0.5631944537162781, 0.6378124952316284, 0.3670998513698578, 0.5343921780586243, 0.6023360788822174, 0.5389554500579834, 0.4074529707431793, 0.6091008186340332, 0.547502726316452, 0.43725520372390747, 0.5546774864196777, 0.5933261811733246, 0.5460729897022247, 0.4826894849538803, 0.4366683065891266, 0.5455742478370667, 0.48338818550109863, 0.46369074285030365, 0.42961403727531433, 0.4074529707431793]"
16,0.0,0.0,0,0,0,18,15,[],0.05555555555555555,0.06666666666666667,0.8969746828079224,1,1,18,15,[0.8969746828079224],0.2222222222222222,0.2,0.7769699543714523,4,3,18,15,"[0.8969746828079224, 0.718660831451416, 0.738297164440155, 0.7539471387863159]",0.5,0.5333333333333333,0.7006613463163376,9,8,18,15,"[0.8969746828079224, 0.718660831451416, 0.738297164440155, 0.7539471387863159, 0.6696189045906067, 0.6149645894765854, 0.6464801132678986, 0.6076476275920868, 0.6593610644340515]",0.7777777777777778,0.8,0.6483331422011057,14,12,18,15,"[0.8969746828079224, 0.718660831451416, 0.738297164440155, 0.7539471387863159, 0.566718339920044, 0.6696189045906067, 0.5667798519134521, 0.5793062746524811, 0.5841527879238129, 0.5928958058357239, 0.6149645894765854, 0.6464801132678986, 0.6076476275920868, 0.6593610644340515, 0.5291919559240341]",1.0,0.8666666666666667,0.613254294583672,18,13,18,15,"[0.8969746828079224, 0.718660831451416, 0.738297164440155, 0.7539471387863159, 0.566718339920044, 0.6696189045906067, 0.5667798519134521, 0.4819730520248413, 0.48667028546333313, 0.5793062746524811, 0.48667028546333313, 0.5841527879238129, 0.5928958058357239, 0.4715208411216736, 0.6149645894765854, 0.6464801132678986, 0.6076476275920868, 0.6593610644340515, 0.5291919559240341]"
17,0.06666666666666667,0.07692307692307693,0.9286700487136841,2,2,30,26,"[0.9286899566650391, 0.9286501407623291]",0.3,0.34615384615384615,0.8694729275173612,9,9,30,26,"[0.9286899566650391, 0.8580704033374786, 0.8786729574203491, 0.8799190819263458, 0.9286501407623291, 0.8464908003807068, 0.8308725357055664, 0.8147703409194946, 0.8591201305389404]",0.4,0.4230769230769231,0.8378333449363708,12,11,30,26,"[0.9286899566650391, 0.8580704033374786, 0.8786729574203491, 0.8799190819263458, 0.9286501407623291, 0.7167333364486694, 0.7195484042167664, 0.8464908003807068, 0.7924620509147644, 0.8308725357055664, 0.8147703409194946, 0.8591201305389404]",0.5333333333333333,0.5,0.7936196867376566,16,13,30,26,"[0.9286899566650391, 0.8580704033374786, 0.8786729574203491, 0.8799190819263458, 0.9286501407623291, 0.686095118522644, 0.7167333364486694, 0.6573562026023865, 0.7195484042167664, 0.8464908003807068, 0.7924620509147644, 0.8308725357055664, 0.8147703409194946, 0.6772997081279755, 0.8591201305389404, 0.6231638193130493]",0.7333333333333333,0.5769230769230769,0.7276302779262717,22,15,30,26,"[0.5731134414672852, 0.5354906320571899, 0.9286899566650391, 0.8580704033374786, 0.8786729574203491, 0.8799190819263458, 0.9286501407623291, 0.686095118522644, 0.7167333364486694, 0.5628231763839722, 0.6573562026023865, 0.5665231347084045, 0.7195484042167664, 0.5436568260192871, 0.528343915939331, 0.8464908003807068, 0.7924620509147644, 0.8308725357055664, 0.8147703409194946, 0.6772997081279755, 0.8591201305389404, 0.6231638193130493]",0.8666666666666667,0.6923076923076923,0.6726395212686979,26,18,30,26,"[0.4090985059738159, 0.30869418382644653, 0.5731134414672852, 0.4329027831554413, 0.3300659656524658, 0.5354906320571899, 0.9286899566650391, 0.8580704033374786, 0.8786729574203491, 0.8799190819263458, 0.9286501407623291, 0.686095118522644, 0.7167333364486694, 0.5628231763839722, 0.6573562026023865, 0.5665231347084045, 0.7195484042167664, 0.5436568260192871, 0.528343915939331, 0.8464908003807068, 0.7924620509147644, 0.8308725357055664, 0.8147703409194946, 0.6772997081279755, 0.8591201305389404, 0.6231638193130493]"
12,0.08823529411764706,0.11538461538461539,0.9402564465999603,3,3,34,26,"[0.9530268311500549, 0.9103277325630188, 0.9574147760868073]",0.08823529411764706,0.11538461538461539,0.9402564465999603,3,3,34,26,"[0.9530268311500549, 0.9103277325630188, 0.9574147760868073]",0.08823529411764706,0.11538461538461539,0.9402564465999603,3,3,34,26,"[0.9530268311500549, 0.9103277325630188, 0.9574147760868073]",0.08823529411764706,0.11538461538461539,0.9402564465999603,3,3,34,26,"[0.9530268311500549, 0.9103277325630188, 0.9574147760868073]",0.17647058823529413,0.23076923076923078,0.7356860140959421,6,6,34,26,"[0.9530268311500549, 0.9103277325630188, 0.9574147760868073, 0.5345679968595505, 0.5013084411621094, 0.5574703067541122]",0.47058823529411764,0.38461538461538464,0.5402745362371206,16,10,34,26,"[0.9530268311500549, 0.3323642611503601, 0.9103277325630188, 0.9574147760868073, 0.47604571282863617, 0.5345679968595505, 0.4488646388053894, 0.43947239220142365, 0.5013084411621094, 0.4405216723680496, 0.43510131537914276, 0.43510131537914276, 0.41103367507457733, 0.4058857560157776, 0.5574703067541122, 0.4058857560157776]"
10,0.06896551724137931,0.046511627906976744,0.9301740974187851,2,2,29,43,"[0.9324144124984741, 0.9279337823390961]",0.06896551724137931,0.046511627906976744,0.9301740974187851,2,2,29,43,"[0.9324144124984741, 0.9279337823390961]",0.10344827586206896,0.06976744186046512,0.8860327998797098,3,3,29,43,"[0.9324144124984741, 0.7977502048015594, 0.9279337823390961]",0.1724137931034483,0.11627906976744186,0.7889730513095856,5,5,29,43,"[0.9324144124984741, 0.7977502048015594, 0.9279337823390961, 0.6782229542732239, 0.6085439026355743]",0.3793103448275862,0.23255813953488372,0.6479491790135702,11,10,29,43,"[0.9324144124984741, 0.5190287232398987, 0.7977502048015594, 0.9279337823390961, 0.5821943283081055, 0.6782229542732239, 0.5409186780452728, 0.5688667893409729, 0.5710858106613159, 0.6085439026355743, 0.5026943683624268, 0.5457361936569214]",1.0,0.5581395348837209,0.4463188808922674,29,24,29,43,"[0.9324144124984741, 0.5190287232398987, 0.7977502048015594, 0.9279337823390961, 0.30950311571359634, 0.4043844863772392, 0.3799402639269829, 0.4688343107700348, 0.5821943283081055, 0.6782229542732239, 0.31897778809070587, 0.2483384609222412, 0.32817454636096954, 0.5409186780452728, 0.38704413175582886, 0.4860159158706665, 0.5688667893409729, 0.42575782537460327, 0.48365652561187744, 0.5710858106613159, 0.4319935142993927, 0.34517166018486023, 0.27414992451667786, 0.46398699283599854, 0.29007717967033386, 0.4294108748435974, 0.6085439026355743, 0.4499848783016205, 0.43517376482486725, 0.3632592707872391, 0.3944217264652252, 0.35961881279945374, 0.47657495737075806, 0.24919013679027557, 0.42136646807193756, 0.5026943683624268, 0.3126441240310669, 0.5457361936569214, 0.3670547604560852, 0.3993627429008484, 0.3468419313430786, 0.3670547604560852, 0.4363090544939041, 0.3676198199391365, 0.40820491313934326, 0.4156221002340317, 0.38327018916606903, 0.35931360721588135, 0.3228312134742737, 0.42336438596248627, 0.45237164199352264]"
11,0.0,0.0,0,0,0,14,4,[],0.07142857142857142,0.25,0.8931794166564941,1,1,14,4,[0.8931794166564941],0.07142857142857142,0.25,0.8931794166564941,1,1,14,4,[0.8931794166564941],0.14285714285714285,0.5,0.7835986241698265,2,2,14,4,"[0.6740178316831589, 0.8931794166564941]",0.2857142857142857,1.0,0.6554819904267788,4,4,14,4,"[0.5230270028114319, 0.5317037105560303, 0.6740178316831589, 0.8931794166564941]",0.2857142857142857,1.0,0.6554819904267788,4,4,14,4,"[0.5230270028114319, 0.5317037105560303, 0.6740178316831589, 0.8931794166564941]"
9,0.1875,0.16666666666666666,0.9635103146235148,3,3,16,18,"[0.9855998158454895, 0.9596236348152161, 0.9453074932098389]",0.3125,0.2777777777777778,0.9348711490631103,5,5,16,18,"[0.8857241868972778, 0.9855998158454895, 0.9596236348152161, 0.9453074932098389, 0.8981006145477295]",0.375,0.3333333333333333,0.9059943656126658,6,6,16,18,"[0.8857241868972778, 0.9855998158454895, 0.9596236348152161, 0.9453074932098389, 0.7616104483604431, 0.8981006145477295]",0.5625,0.5,0.8243896630075243,9,9,16,18,"[0.6593852043151855, 0.8857241868972778, 0.9855998158454895, 0.9596236348152161, 0.9453074932098389, 0.7616104483604431, 0.8981006145477295, 0.6266469955444336, 0.6975085735321045]",0.5625,0.5,0.8243896630075243,9,9,16,18,"[0.6593852043151855, 0.8857241868972778, 0.9855998158454895, 0.9596236348152161, 0.9453074932098389, 0.7616104483604431, 0.8981006145477295, 0.6266469955444336, 0.6975085735321045]",0.75,0.5555555555555556,0.7337286646167437,12,10,16,18,"[0.6593852043151855, 0.8857241868972778, 0.9855998158454895, 0.9596236348152161, 0.9453074932098389, 0.4970155358314514, 0.7616104483604431, 0.4409030079841614, 0.8981006145477295, 0.6266469955444336, 0.6975085735321045, 0.4473184645175934]"
8,0.0,0.0,0,0,0,18,37,[],0.2222222222222222,0.10810810810810811,0.8345274329185486,4,4,18,37,"[0.804975152015686, 0.8085046112537384, 0.8915327489376068, 0.8330972194671631]",0.2777777777777778,0.13513513513513514,0.8183748225371043,5,5,18,37,"[0.804975152015686, 0.8085046112537384, 0.7805542349815369, 0.8915327489376068, 0.7915849685668945, 0.8330972194671631]",0.2777777777777778,0.13513513513513514,0.7961783834866115,5,5,18,37,"[0.804975152015686, 0.8085046112537384, 0.7805542349815369, 0.6629997491836548, 0.8915327489376068, 0.7915849685668945, 0.8330972194671631]",0.5,0.16216216216216217,0.6909476965665817,9,6,18,37,"[0.804975152015686, 0.5775734186172485, 0.5704963207244873, 0.8085046112537384, 0.7805542349815369, 0.6629997491836548, 0.8915327489376068, 0.7915849685668945, 0.5194119215011597, 0.8330972194671631, 0.5194541662931442, 0.5311878472566605]",1.0,0.2972972972972973,0.5372605731953746,18,11,18,37,"[0.804975152015686, 0.28825727105140686, 0.40137779712677, 0.3621416389942169, 0.41003215312957764, 0.2444939911365509, 0.3259376138448715, 0.29359249770641327, 0.473372682929039, 0.2864285260438919, 0.5775734186172485, 0.5704963207244873, 0.8085046112537384, 0.7805542349815369, 0.6629997491836548, 0.4951774477958679, 0.8915327489376068, 0.7915849685668945, 0.4848092049360275, 0.5194119215011597, 0.8330972194671631, 0.5194541662931442, 0.5311878472566605]"
5,0.07142857142857142,0.05263157894736842,0.9338244497776031,1,1,14,19,[0.9338244497776031],0.07142857142857142,0.05263157894736842,0.9338244497776031,1,1,14,19,[0.9338244497776031],0.14285714285714285,0.10526315789473684,0.8227129131555557,2,2,14,19,"[0.7116013765335083, 0.9338244497776031]",0.21428571428571427,0.15789473684210525,0.749183307091395,3,3,14,19,"[0.6021240949630737, 0.7116013765335083, 0.9338244497776031]",0.5,0.3157894736842105,0.6209082688604083,7,6,14,19,"[0.5230268836021423, 0.6021240949630737, 0.7116013765335083, 0.9338244497776031, 0.5605427920818329, 0.5058417320251465, 0.5093965530395508]",1.0,0.47368421052631576,0.48885184952190947,14,9,14,19,"[0.5230268836021423, 0.6021240949630737, 0.7116013765335083, 0.9338244497776031, 0.5605427920818329, 0.39927759766578674, 0.38861183822155, 0.34944821894168854, 0.4006647914648056, 0.39921166002750397, 0.5058417320251465, 0.5093965530395508, 0.27807047963142395, 0.2822834253311157]"
