file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,10,1.0,1.0,9,10,0,0
14.txt,71,66,0.9342105263157895,0.7586206896551724,76,87,5,21
16.txt,18,19,0.8571428571428571,0.7916666666666666,21,24,3,5
17.txt,23,23,0.7419354838709677,0.6764705882352942,31,34,8,11
12.txt,27,27,0.9,0.6,30,45,3,18
10.txt,35,37,0.6481481481481481,0.7708333333333334,54,48,19,11
11.txt,12,17,1.0,0.5862068965517241,12,29,0,12
9.txt,16,16,0.8888888888888888,1.0,18,16,2,0
8.txt,30,30,0.7317073170731707,0.7692307692307693,41,39,11,9
5.txt,21,21,0.84,0.9130434782608695,25,23,4,2
4.txt,15,17,0.9375,0.6296296296296297,16,27,1,10
6.txt,31,31,1.0,0.775,31,40,0,9
7.txt,22,22,0.88,0.7586206896551724,25,29,3,7
3.txt,9,10,0.9,0.6666666666666666,10,15,1,5
2.txt,19,17,0.7307692307692307,0.8947368421052632,26,19,7,2
1.txt,20,20,0.9090909090909091,0.9090909090909091,22,22,2,2
20.txt,34,34,0.9714285714285714,0.7727272727272727,35,44,1,10
21.txt,33,36,0.8461538461538461,0.5538461538461539,39,65,6,29
19.txt,35,35,0.875,0.625,40,56,5,21
18.txt,22,21,1.0,0.84,22,25,0,4
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8796,Average of coverage_2_to_1: 0.7646,,,,
