file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,7,8,0.7777777777777778,0.8888888888888888,9,9,2,1
14.txt,61,71,0.953125,0.9342105263157895,64,76,3,5
16.txt,16,17,0.6666666666666666,0.8095238095238095,24,21,8,4
17.txt,29,27,0.725,0.8709677419354839,40,31,11,4
12.txt,25,25,0.8333333333333334,0.8333333333333334,30,30,5,5
10.txt,33,34,0.7333333333333333,0.6296296296296297,45,54,12,20
11.txt,11,12,0.8461538461538461,1.0,13,12,2,0
9.txt,15,15,1.0,0.8333333333333334,15,18,0,3
8.txt,23,26,0.8518518518518519,0.6341463414634146,27,41,4,15
5.txt,20,20,0.8,0.8,25,25,5,5
4.txt,17,16,0.7391304347826086,1.0,23,16,6,0
6.txt,37,31,0.8222222222222222,1.0,45,31,8,0
7.txt,20,18,0.8333333333333334,0.72,24,25,4,7
3.txt,9,8,0.6923076923076923,0.8,13,10,4,2
2.txt,17,23,1.0,0.8846153846153846,17,26,0,3
1.txt,29,21,0.9354838709677419,0.9545454545454546,31,22,2,1
20.txt,35,35,0.7777777777777778,1.0,45,35,10,0
21.txt,37,35,0.6981132075471698,0.8974358974358975,53,39,16,4
19.txt,32,32,0.7111111111111111,0.8,45,40,13,8
18.txt,22,22,0.7333333333333333,1.0,30,22,8,0
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8065,Average of coverage_2_to_1: 0.8645,,,,
