File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.5,0.5,0.9388850430647532,3,3,6,6,"[0.9197725653648376, 0.979486882686615, 0.917395681142807]",0.6666666666666666,0.6666666666666666,0.9207040593028069,4,4,6,6,"[0.8661611080169678, 0.9197725653648376, 0.979486882686615, 0.917395681142807]",0.8333333333333334,0.8333333333333334,0.8815069735050202,5,5,6,6,"[0.8661611080169678, 0.9197725653648376, 0.7247186303138733, 0.979486882686615, 0.917395681142807]",0.8333333333333334,0.8333333333333334,0.8815069735050202,5,5,6,6,"[0.8661611080169678, 0.9197725653648376, 0.7247186303138733, 0.979486882686615, 0.917395681142807]",1.0,1.0,0.8325250173608462,6,6,6,6,"[0.8661611080169678, 0.9197725653648376, 0.5876152366399765, 0.7247186303138733, 0.979486882686615, 0.917395681142807]",1.0,1.0,0.8325250173608462,6,6,6,6,"[0.8661611080169678, 0.9197725653648376, 0.5876152366399765, 0.7247186303138733, 0.979486882686615, 0.917395681142807]"
14,0.08823529411764706,0.09523809523809523,0.9189567565917969,6,6,68,63,"[0.9068131446838379, 0.9133652448654175, 0.9053739309310913, 0.9221932291984558, 0.9271430373191833, 0.9388519525527954]",0.23529411764705882,0.30158730158730157,0.8612241032330886,16,19,68,63,"[0.9068131446838379, 0.8517940044403076, 0.8319467306137085, 0.9133652448654175, 0.9053739309310913, 0.8515917062759399, 0.9221932291984558, 0.8057694435119629, 0.8026793599128723, 0.9271430373191833, 0.8051300644874573, 0.8894786536693573, 0.8926033973693848, 0.8362112641334534, 0.8201572597026825, 0.8848966360092163, 0.8931102752685547, 0.8117184638977051, 0.8020502626895905, 0.9388519525527954, 0.8819300532341003, 0.8169040977954865, 0.8164421617984772]",0.2647058823529412,0.3492063492063492,0.8461342492589244,18,22,68,63,"[0.9068131446838379, 0.8517940044403076, 0.8319467306137085, 0.9133652448654175, 0.9053739309310913, 0.7912629246711731, 0.8515917062759399, 0.9221932291984558, 0.8057694435119629, 0.8026793599128723, 0.9271430373191833, 0.8051300644874573, 0.8894786536693573, 0.7834326028823853, 0.8926033973693848, 0.8362112641334534, 0.8201572597026825, 0.8848966360092163, 0.8931102752685547, 0.8117184638977051, 0.8020502626895905, 0.9388519525527954, 0.8819300532341003, 0.7057792097330093, 0.8169040977954865, 0.8164421617984772, 0.7569956183433533]",0.5147058823529411,0.5714285714285714,0.7280360452573875,35,36,68,63,"[0.9068131446838379, 0.8517940044403076, 0.8319467306137085, 0.9133652448654175, 0.9053739309310913, 0.7912629246711731, 0.6452770531177521, 0.6175969839096069, 0.8515917062759399, 0.641548752784729, 0.6706768870353699, 0.6024071276187897, 0.9221932291984558, 0.6024071276187897, 0.8057694435119629, 0.8026793599128723, 0.6401287913322449, 0.9271430373191833, 0.8051300644874573, 0.600429505109787, 0.8894786536693573, 0.600429505109787, 0.7834326028823853, 0.8926033973693848, 0.8362112641334534, 0.6681618094444275, 0.6033718883991241, 0.620566338300705, 0.6146822571754456, 0.8201572597026825, 0.6074142456054688, 0.6495869159698486, 0.6292234659194946, 0.6310510039329529, 0.6628564894199371, 0.6170327067375183, 0.6941843628883362, 0.616413950920105, 0.8848966360092163, 0.6540745496749878, 0.6101043820381165, 0.6134046316146851, 0.8931102752685547, 0.8117184638977051, 0.6134046316146851, 0.8020502626895905, 0.6134046316146851, 0.9388519525527954, 0.8819300532341003, 0.7057792097330093, 0.6152551174163818, 0.6152551174163818, 0.6033718883991241, 0.8169040977954865, 0.6033718883991241, 0.6033718883991241, 0.8164421617984772, 0.7569956183433533]",0.6617647058823529,0.6984126984126984,0.6635501963587908,45,44,68,63,"[0.9068131446838379, 0.8517940044403076, 0.8319467306137085, 0.9133652448654175, 0.9053739309310913, 0.7912629246711731, 0.5828643217682838, 0.5305294692516327, 0.5789154767990112, 0.5378535240888596, 0.6452770531177521, 0.5439027547836304, 0.6175969839096069, 0.5635560154914856, 0.561794251203537, 0.8515917062759399, 0.641548752784729, 0.6706768870353699, 0.6024071276187897, 0.9221932291984558, 0.6024071276187897, 0.8057694435119629, 0.5005634427070618, 0.8026793599128723, 0.5250866413116455, 0.6401287913322449, 0.5864303410053253, 0.9271430373191833, 0.5864303410053253, 0.5228337049484253, 0.8051300644874573, 0.5906567573547363, 0.600429505109787, 0.8894786536693573, 0.600429505109787, 0.7834326028823853, 0.8926033973693848, 0.5710150003433228, 0.5676625370979309, 0.8362112641334534, 0.6681618094444275, 0.6033718883991241, 0.5121462345123291, 0.5994274318218231, 0.620566338300705, 0.5134295970201492, 0.6146822571754456, 0.8201572597026825, 0.6074142456054688, 0.6495869159698486, 0.6292234659194946, 0.6310510039329529, 0.6628564894199371, 0.5891640186309814, 0.6170327067375183, 0.500705823302269, 0.5242220163345337, 0.5116884708404541, 0.5894675552845001, 0.6941843628883362, 0.578805148601532, 0.616413950920105, 0.5112297981977463, 0.5876360833644867, 0.8848966360092163, 0.6540745496749878, 0.5090377330780029, 0.6101043820381165, 0.6134046316146851, 0.8931102752685547, 0.5867404639720917, 0.573456883430481, 0.8117184638977051, 0.5801631212234497, 0.6134046316146851, 0.8020502626895905, 0.6134046316146851, 0.9388519525527954, 0.8819300532341003, 0.7057792097330093, 0.522455096244812, 0.6152551174163818, 0.6152551174163818, 0.6033718883991241, 0.8169040977954865, 0.6033718883991241, 0.5121462345123291, 0.6033718883991241, 0.8164421617984772, 0.5049609541893005, 0.7569956183433533]",1.0,0.8253968253968254,0.5570378572048756,68,52,68,63,"[0.9068131446838379, 0.8517940044403076, 0.8319467306137085, 0.9133652448654175, 0.29946038126945496, 0.9053739309310913, 0.2352689653635025, 0.7912629246711731, 0.5828643217682838, 0.38461798429489136, 0.41893208026885986, 0.4726026952266693, 0.36476168036460876, 0.5305294692516327, 0.4170815944671631, 0.48336154222488403, 0.5789154767990112, 0.19054150581359863, 0.4860334098339081, 0.324730783700943, 0.2680993527173996, 0.2687646150588989, 0.5378535240888596, 0.43745657801628113, 0.6452770531177521, 0.23245000839233398, 0.37844960391521454, 0.38646039366722107, 0.25559672713279724, 0.5439027547836304, 0.6175969839096069, 0.3831021338701248, 0.5635560154914856, 0.4260772615671158, 0.561794251203537, 0.8515917062759399, 0.641548752784729, 0.6706768870353699, 0.6024071276187897, 0.9221932291984558, 0.6024071276187897, 0.8057694435119629, 0.42501258850097656, 0.5005634427070618, 0.8026793599128723, 0.5250866413116455, 0.6401287913322449, 0.5864303410053253, 0.9271430373191833, 0.5864303410053253, 0.5228337049484253, 0.43244172632694244, 0.4912348836660385, 0.8051300644874573, 0.5906567573547363, 0.4491516649723053, 0.46299661695957184, 0.600429505109787, 0.8894786536693573, 0.600429505109787, 0.7834326028823853, 0.8926033973693848, 0.5710150003433228, 0.5676625370979309, 0.41851358115673065, 0.8362112641334534, 0.6681618094444275, 0.6033718883991241, 0.5121462345123291, 0.5994274318218231, 0.620566338300705, 0.3268593102693558, 0.30330196022987366, 0.3860635310411453, 0.5134295970201492, 0.4701381027698517, 0.4572586268186569, 0.6146822571754456, 0.44682326912879944, 0.45746633410453796, 0.8201572597026825, 0.6074142456054688, 0.6495869159698486, 0.3944856822490692, 0.6292234659194946, 0.6310510039329529, 0.6628564894199371, 0.5891640186309814, 0.31958848237991333, 0.31958848237991333, 0.3753926008939743, 0.6170327067375183, 0.3753926008939743, 0.500705823302269, 0.5242220163345337, 0.5116884708404541, 0.41403424739837646, 0.4461963027715683, 0.38234075903892517, 0.5894675552845001, 0.4535209536552429, 0.6941843628883362, 0.578805148601532, 0.1900329291820526, 0.2935027480125427, 0.616413950920105, 0.36507247388362885, 0.5112297981977463, 0.4203573614358902, 0.5876360833644867, 0.8848966360092163, 0.6540745496749878, 0.3705114871263504, 0.37938450276851654, 0.47964900732040405, 0.4345920830965042, 0.5090377330780029, 0.6101043820381165, 0.6134046316146851, 0.8931102752685547, 0.5867404639720917, 0.573456883430481, 0.8117184638977051, 0.4345293492078781, 0.5801631212234497, 0.6134046316146851, 0.8020502626895905, 0.6134046316146851, 0.9388519525527954, 0.8819300532341003, 0.7057792097330093, 0.522455096244812, 0.6152551174163818, 0.6152551174163818, 0.6033718883991241, 0.8169040977954865, 0.6033718883991241, 0.5121462345123291, 0.6033718883991241, 0.8164421617984772, 0.4455573558807373, 0.3844352960586548, 0.3844352960586548, 0.4822483956813812, 0.5049609541893005, 0.4822483956813812, 0.4651161730289459, 0.4822483956813812, 0.7569956183433533]"
16,0.0,0.0,0,0,0,15,17,[],0.13333333333333333,0.058823529411764705,0.8313828706741333,2,1,15,17,"[0.8584122359752655, 0.8043535053730011]",0.3333333333333333,0.17647058823529413,0.7662653446197509,5,3,15,17,"[0.7011429071426392, 0.7192146182060242, 0.748203456401825, 0.8584122359752655, 0.8043535053730011]",0.4666666666666667,0.29411764705882354,0.7210152213062558,7,5,15,17,"[0.7011429071426392, 0.7192146182060242, 0.6085914373397827, 0.6071883887052536, 0.748203456401825, 0.8584122359752655, 0.8043535053730011]",0.7333333333333333,0.4117647058823529,0.6363107631603877,11,7,15,17,"[0.7011429071426392, 0.7192146182060242, 0.5540177226066589, 0.566718339920044, 0.5370831489562988, 0.5928957462310791, 0.6085914373397827, 0.5462533831596375, 0.5608471632003784, 0.6071883887052536, 0.748203456401825, 0.5509705245494843, 0.588768869638443, 0.8584122359752655, 0.8043535053730011]",0.9333333333333333,0.4117647058823529,0.5977339775938737,14,7,15,17,"[0.7011429071426392, 0.7192146182060242, 0.5540177226066589, 0.377230629324913, 0.566718339920044, 0.4966129958629608, 0.5370831489562988, 0.5928957462310791, 0.6085914373397827, 0.4715208411216736, 0.5462533831596375, 0.5608471632003784, 0.4669196605682373, 0.6071883887052536, 0.748203456401825, 0.5509705245494843, 0.588768869638443, 0.8584122359752655, 0.8043535053730011]"
17,0.0,0.0,0,0,0,26,23,[],0.0,0.0,0,0,0,26,23,[],0.0,0.0,0,0,0,26,23,[],0.0,0.0,0,0,0,26,23,[],0.07692307692307693,0.043478260869565216,0.5481047406792641,2,1,26,23,"[0.5075431615114212, 0.5886663198471069]",0.15384615384615385,0.13043478260869565,0.44689520820975304,4,3,26,23,"[0.39756548404693604, 0.293805867433548, 0.5075431615114212, 0.5886663198471069]"
12,0.038461538461538464,0.029411764705882353,0.9776208102703094,1,1,26,34,[0.9776208102703094],0.15384615384615385,0.11764705882352941,0.89488086104393,4,4,26,34,"[0.8745937347412109, 0.892444521188736, 0.9776208102703094, 0.8348643779754639]",0.23076923076923078,0.17647058823529413,0.8447251419226328,6,6,26,34,"[0.8745937347412109, 0.892444521188736, 0.9776208102703094, 0.7458392977714539, 0.742988109588623, 0.8348643779754639]",0.34615384615384615,0.2647058823529412,0.7692623019218445,9,9,26,34,"[0.8745937347412109, 0.892444521188736, 0.9776208102703094, 0.6583210825920105, 0.6949185729026794, 0.7458392977714539, 0.742988109588623, 0.8348643779754639, 0.6262879967689514, 0.6447445154190063]",0.5384615384615384,0.3235294117647059,0.687542300671339,14,11,26,34,"[0.8745937347412109, 0.892444521188736, 0.9776208102703094, 0.6583210825920105, 0.6949185729026794, 0.7458392977714539, 0.5839376747608185, 0.5670617520809174, 0.5094123780727386, 0.5961840748786926, 0.742988109588623, 0.8348643779754639, 0.6262879967689514, 0.518079400062561, 0.6447445154190063, 0.5333785116672516]",1.0,0.6176470588235294,0.5242044689451776,26,21,26,34,"[0.8745937347412109, 0.33690282702445984, 0.892444521188736, 0.9776208102703094, 0.6583210825920105, 0.47763532400131226, 0.6949185729026794, 0.7458392977714539, 0.4729468375444412, 0.4852547347545624, 0.5839376747608185, 0.3835771530866623, 0.5670617520809174, 0.45784445106983185, 0.5094123780727386, 0.4738444685935974, 0.4002169966697693, 0.4228106588125229, 0.4149176776409149, 0.3902164399623871, 0.44628795981407166, 0.4446287155151367, 0.4614788591861725, 0.4555385857820511, 0.4000609219074249, 0.381609708070755, 0.3879624605178833, 0.4617086499929428, 0.3989126831293106, 0.5961840748786926, 0.742988109588623, 0.4865359365940094, 0.8348643779754639, 0.6262879967689514, 0.518079400062561, 0.6447445154190063, 0.37490521371364594, 0.5333785116672516, 0.36837179958820343, 0.37140992283821106, 0.3361274302005768]"
10,0.046511627906976744,0.05263157894736842,0.9302841275930405,2,2,43,38,"[0.9296033978462219, 0.930964857339859]",0.046511627906976744,0.05263157894736842,0.9302841275930405,2,2,43,38,"[0.9296033978462219, 0.930964857339859]",0.09302325581395349,0.13157894736842105,0.8122861325740814,4,5,43,38,"[0.7617418766021729, 0.9296033978462219, 0.7098559439182281, 0.7292645871639252, 0.930964857339859]",0.18604651162790697,0.21052631578947367,0.7438450500369072,8,8,43,38,"[0.7617418766021729, 0.9296033978462219, 0.6914769113063812, 0.7098559439182281, 0.7292645871639252, 0.6805480122566223, 0.6814194619655609, 0.6622588187456131, 0.6613166332244873, 0.930964857339859]",0.27906976744186046,0.2894736842105263,0.6644870682674295,12,11,43,38,"[0.7617418766021729, 0.5671027898788452, 0.9296033978462219, 0.6914769113063812, 0.5143274962902069, 0.7098559439182281, 0.5846676826477051, 0.5101901292800903, 0.7292645871639252, 0.6805480122566223, 0.6814194619655609, 0.5207521021366119, 0.6622588187456131, 0.6613166332244873, 0.5872370600700378, 0.930964857339859, 0.5735523998737335]",0.627906976744186,0.5,0.4950326379648475,27,19,43,38,"[0.7617418766021729, 0.5671027898788452, 0.9296033978462219, 0.6914769113063812, 0.3286740779876709, 0.47057852149009705, 0.45642995834350586, 0.3961494117975235, 0.4452032148838043, 0.4269807040691376, 0.4177538752555847, 0.5143274962902069, 0.7098559439182281, 0.2330249845981598, 0.4167148470878601, 0.5846676826477051, 0.31524768471717834, 0.4631003737449646, 0.5101901292800903, 0.4920007884502411, 0.43109433352947235, 0.38046035170555115, 0.31223589181900024, 0.34163686633110046, 0.7292645871639252, 0.6805480122566223, 0.46260562539100647, 0.6814194619655609, 0.41180500388145447, 0.5207521021366119, 0.6622588187456131, 0.20950189232826233, 0.6613166332244873, 0.5872370600700378, 0.930964857339859, 0.5735523998737335, 0.37879234552383423, 0.3236292898654938, 0.3236292898654938, 0.34228888154029846, 0.29605937004089355, 0.46037474274635315, 0.4541509449481964]"
11,0.5,0.3333333333333333,0.9390830397605896,2,2,4,6,"[0.9231321215629578, 0.9550339579582214]",0.5,0.3333333333333333,0.9390830397605896,2,2,4,6,"[0.9231321215629578, 0.9550339579582214]",0.5,0.3333333333333333,0.9390830397605896,2,2,4,6,"[0.9231321215629578, 0.9550339579582214]",0.75,0.5,0.8533081660668055,3,3,4,6,"[0.9231321215629578, 0.6817584186792374, 0.9550339579582214]",1.0,0.6666666666666666,0.7729070521891117,4,4,4,6,"[0.9231321215629578, 0.5317037105560303, 0.6817584186792374, 0.9550339579582214]",1.0,0.6666666666666666,0.7729070521891117,4,4,4,6,"[0.9231321215629578, 0.5317037105560303, 0.6817584186792374, 0.9550339579582214]"
9,0.2222222222222222,0.23529411764705882,0.9640897214412689,4,4,18,17,"[0.9893603324890137, 0.9368413686752319, 0.9301571846008301, 1.0]",0.2777777777777778,0.29411764705882354,0.9446160316467285,5,5,18,17,"[0.8667212724685669, 0.9893603324890137, 0.9368413686752319, 0.9301571846008301, 1.0]",0.5,0.5294117647058824,0.8466370602448782,9,9,18,17,"[0.8667212724685669, 0.7068970948457718, 0.9893603324890137, 0.740280032157898, 0.9368413686752319, 0.9301571846008301, 0.7344340980052948, 0.7150421589612961, 1.0]",0.6666666666666666,0.7058823529411765,0.8036514880756537,12,12,18,17,"[0.8667212724685669, 0.6874744594097137, 0.7068970948457718, 0.9893603324890137, 0.740280032157898, 0.9368413686752319, 0.9301571846008301, 0.6684181690216064, 0.7344340980052948, 0.7150421589612961, 0.6681916862726212, 1.0]",0.7777777777777778,0.8235294117647058,0.7709600595491273,14,14,18,17,"[0.5578291416168213, 0.8667212724685669, 0.6874744594097137, 0.7068970948457718, 0.9893603324890137, 0.740280032157898, 0.9368413686752319, 0.9301571846008301, 0.5917938351631165, 0.6684181690216064, 0.7344340980052948, 0.7150421589612961, 0.6681916862726212, 1.0]",1.0,0.9411764705882353,0.6878459196951654,18,16,18,17,"[0.5578291416168213, 0.8667212724685669, 0.6874744594097137, 0.7068970948457718, 0.9893603324890137, 0.740280032157898, 0.44012606143951416, 0.9368413686752319, 0.4807719588279724, 0.26907575130462646, 0.9301571846008301, 0.5917938351631165, 0.6684181690216064, 0.3978119492530823, 0.7344340980052948, 0.7150421589612961, 0.6681916862726212, 1.0]"
8,0.05405405405405406,0.06896551724137931,0.9739650040864944,2,2,37,29,"[0.9945392310619354, 0.9533907771110535]",0.16216216216216217,0.2413793103448276,0.8866670557430812,6,7,37,29,"[0.8150971531867981, 0.8665018379688263, 0.8145424127578735, 0.9945392310619354, 0.8878505825996399, 0.8747473955154419, 0.9533907771110535]",0.35135135135135137,0.4482758620689655,0.8026710558268759,13,13,37,29,"[0.8150971531867981, 0.7695437669754028, 0.7474343031644821, 0.7845171988010406, 0.7195993512868881, 0.8665018379688263, 0.7074302434921265, 0.8145424127578735, 0.7422312051057816, 0.7014450579881668, 0.7453504800796509, 0.9945392310619354, 0.7473325282335281, 0.784830629825592, 0.8878505825996399, 0.8747473955154419, 0.791694849729538, 0.9533907771110535]",0.4864864864864865,0.5862068965517241,0.7456669139450994,18,17,37,29,"[0.8150971531867981, 0.6746444404125214, 0.7695437669754028, 0.6490575522184372, 0.7474343031644821, 0.7845171988010406, 0.7195993512868881, 0.6702121496200562, 0.6973537802696228, 0.662617415189743, 0.8665018379688263, 0.7074302434921265, 0.8145424127578735, 0.7422312051057816, 0.7014450579881668, 0.6231151819229126, 0.7453504800796509, 0.6802086234092712, 0.6560595333576202, 0.6090109348297119, 0.6326561570167542, 0.6213257312774658, 0.9945392310619354, 0.7473325282335281, 0.784830629825592, 0.8878505825996399, 0.8747473955154419, 0.791694849729538, 0.9533907771110535]",0.6216216216216216,0.7241379310344828,0.6646659526228905,23,21,37,29,"[0.8150971531867981, 0.6746444404125214, 0.7695437669754028, 0.5156524777412415, 0.5436562895774841, 0.5623955428600311, 0.5684463679790497, 0.6490575522184372, 0.7474343031644821, 0.7845171988010406, 0.7195993512868881, 0.6702121496200562, 0.5367306470870972, 0.6973537802696228, 0.5384692847728729, 0.662617415189743, 0.8665018379688263, 0.7074302434921265, 0.5106969475746155, 0.5636961162090302, 0.5806184113025665, 0.8145424127578735, 0.7422312051057816, 0.580087810754776, 0.5743147730827332, 0.5729917585849762, 0.7014450579881668, 0.5461167097091675, 0.6231151819229126, 0.7453504800796509, 0.6802086234092712, 0.5083978176116943, 0.6560595333576202, 0.6090109348297119, 0.6326561570167542, 0.6213257312774658, 0.5530034303665161, 0.5756921172142029, 0.5666404664516449, 0.5567778050899506, 0.549534946680069, 0.579217404127121, 0.9945392310619354, 0.5258200019598007, 0.7473325282335281, 0.784830629825592, 0.8878505825996399, 0.8747473955154419, 0.791694849729538, 0.9533907771110535]",0.8918918918918919,0.896551724137931,0.5685863608011493,33,26,37,29,"[0.8150971531867981, 0.463172972202301, 0.6746444404125214, 0.7695437669754028, 0.4991619884967804, 0.41569171845912933, 0.34569641947746277, 0.3259375989437103, 0.2882940471172333, 0.41632258892059326, 0.5156524777412415, 0.4769549071788788, 0.2720310091972351, 0.3011958599090576, 0.5436562895774841, 0.3409760594367981, 0.5623955428600311, 0.5684463679790497, 0.6490575522184372, 0.7474343031644821, 0.7845171988010406, 0.3893101215362549, 0.4198482036590576, 0.7195993512868881, 0.6702121496200562, 0.5367306470870972, 0.6973537802696228, 0.5384692847728729, 0.662617415189743, 0.8665018379688263, 0.7074302434921265, 0.5106969475746155, 0.5636961162090302, 0.5806184113025665, 0.8145424127578735, 0.7422312051057816, 0.580087810754776, 0.5743147730827332, 0.5729917585849762, 0.7014450579881668, 0.4629986882209778, 0.4618779420852661, 0.46689777076244354, 0.5461167097091675, 0.6231151819229126, 0.7453504800796509, 0.6802086234092712, 0.4617167115211487, 0.5083978176116943, 0.6560595333576202, 0.6090109348297119, 0.4614297151565552, 0.43655410408973694, 0.6326561570167542, 0.6213257312774658, 0.5530034303665161, 0.42744265496730804, 0.4037533923983574, 0.5756921172142029, 0.5666404664516449, 0.5567778050899506, 0.4118431434035301, 0.3806294575333595, 0.4774705171585083, 0.4354385435581207, 0.549534946680069, 0.579217404127121, 0.9945392310619354, 0.37307101488113403, 0.5258200019598007, 0.7473325282335281, 0.784830629825592, 0.8878505825996399, 0.8747473955154419, 0.4417649060487747, 0.4475577175617218, 0.791694849729538, 0.4903189390897751, 0.9533907771110535, 0.45716238021850586, 0.36967650055885315]"
5,0.10526315789473684,0.14285714285714285,0.917382001876831,2,2,19,14,"[0.9231321811676025, 0.9116318225860596]",0.10526315789473684,0.14285714285714285,0.917382001876831,2,2,19,14,"[0.9231321811676025, 0.9116318225860596]",0.15789473684210525,0.21428571428571427,0.8535297513008118,3,3,19,14,"[0.9231321811676025, 0.7258252501487732, 0.9116318225860596]",0.2631578947368421,0.2857142857142857,0.7852052867412567,5,4,19,14,"[0.9231321811676025, 0.7258252501487732, 0.9116318225860596, 0.6760957837104797, 0.6893413960933685]",0.3157894736842105,0.35714285714285715,0.7417063117027283,6,5,19,14,"[0.9231321811676025, 0.7258252501487732, 0.9116318225860596, 0.5242114365100861, 0.6760957837104797, 0.6893413960933685]",0.8947368421052632,0.7142857142857143,0.5094715312999838,17,10,19,14,"[0.9231321811676025, 0.4147648513317108, 0.7258252501487732, 0.9116318225860596, 0.4656890630722046, 0.5242114365100861, 0.4422377347946167, 0.36168207228183746, 0.35912854969501495, 0.3443812280893326, 0.33578717708587646, 0.6760957837104797, 0.6893413960933685, 0.3858637064695358, 0.3576900362968445, 0.3576900362968445, 0.3858637064695358]"
