file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,8,0.8888888888888888,0.8888888888888888,9,9,1,1
14.txt,70,72,0.9459459459459459,0.9473684210526315,74,76,4,4
16.txt,22,20,0.8461538461538461,0.9523809523809523,26,21,4,1
17.txt,24,25,0.96,0.8064516129032258,25,31,1,6
12.txt,23,30,0.8846153846153846,1.0,26,30,3,0
10.txt,42,42,0.7924528301886793,0.7777777777777778,53,54,11,12
11.txt,14,12,0.7777777777777778,1.0,18,12,4,0
9.txt,18,18,1.0,1.0,18,18,0,0
8.txt,33,33,1.0,0.8048780487804879,33,41,0,8
5.txt,22,23,1.0,0.92,22,25,0,2
4.txt,17,16,1.0,1.0,17,16,0,0
6.txt,31,31,0.9393939393939394,1.0,33,31,2,0
7.txt,21,23,0.875,0.92,24,25,3,2
3.txt,12,10,0.8571428571428571,1.0,14,10,2,0
2.txt,19,22,0.8636363636363636,0.8461538461538461,22,26,3,4
1.txt,18,21,1.0,0.9545454545454546,18,22,0,1
20.txt,34,34,0.8095238095238095,0.9714285714285714,42,35,8,1
21.txt,39,35,0.8863636363636364,0.8974358974358975,44,39,5,4
19.txt,42,40,0.8936170212765957,1.0,47,40,5,0
18.txt,26,21,0.9629629629629629,0.9545454545454546,27,22,1,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.9092,Average of coverage_2_to_1: 0.9321,,,,
