file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,8,0.8888888888888888,0.8888888888888888,9,9,1,1
14.txt,72,70,0.9473684210526315,0.9459459459459459,76,74,4,4
16.txt,20,20,0.9523809523809523,0.7692307692307693,21,26,1,6
17.txt,25,24,0.8064516129032258,0.96,31,25,6,1
12.txt,30,23,1.0,0.8846153846153846,30,26,0,3
10.txt,42,42,0.7777777777777778,0.7924528301886793,54,53,12,11
11.txt,12,14,1.0,0.7777777777777778,12,18,0,4
9.txt,18,18,1.0,1.0,18,18,0,0
8.txt,32,33,0.7804878048780488,1.0,41,33,9,0
5.txt,23,22,0.92,1.0,25,22,2,0
4.txt,16,17,1.0,1.0,16,17,0,0
6.txt,31,31,1.0,0.9393939393939394,31,33,0,2
7.txt,23,21,0.92,0.875,25,24,2,3
3.txt,10,12,1.0,0.8571428571428571,10,14,0,2
2.txt,22,19,0.8461538461538461,0.8636363636363636,26,22,4,3
1.txt,21,18,0.9545454545454546,1.0,22,18,1,0
20.txt,34,34,0.9714285714285714,0.8095238095238095,35,42,1,8
21.txt,35,37,0.8974358974358975,0.8409090909090909,39,44,4,7
19.txt,39,39,0.975,0.8297872340425532,40,47,1,8
18.txt,21,26,0.9545454545454546,0.9629629629629629,22,27,1,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.9296,Average of coverage_2_to_1: 0.8999,,,,
