File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.5,0.5,0.9476100703080496,3,3,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642]",0.8333333333333334,0.8333333333333334,0.9025531351566315,5,5,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642, 0.8076768517494202, 0.8622586131095886]",0.8333333333333334,0.8333333333333334,0.9025531351566315,5,5,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642, 0.8076768517494202, 0.8622586131095886]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8076768517494202, 0.8622586131095886]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8076768517494202, 0.8622586131095886]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8076768517494202, 0.8622586131095886]"
14,0.18032786885245902,0.16176470588235295,0.9362371357587668,11,11,61,68,"[0.914624810218811, 0.9352542459964752, 0.9453376829624176, 0.9326145648956299, 0.9424161314964294, 0.9268748462200165, 0.9359937906265259, 0.9110243320465088, 0.9570848047733307, 0.973599761724472, 0.9633509814739227, 0.9250454902648926, 0.9078613221645355]",0.36065573770491804,0.3088235294117647,0.8925711834430694,22,21,61,68,"[0.845588207244873, 0.914624810218811, 0.8214271068572998, 0.9352542459964752, 0.8227153718471527, 0.9453376829624176, 0.9326145648956299, 0.8545666933059692, 0.8084433078765869, 0.9424161314964294, 0.9268748462200165, 0.8759996294975281, 0.9359937906265259, 0.8759996294975281, 0.9110243320465088, 0.8759996294975281, 0.8084433078765869, 0.8695710003376007, 0.9570848047733307, 0.973599761724472, 0.9633509814739227, 0.8759996294975281, 0.9250454902648926, 0.8084433078765869, 0.9078613221645355]",0.5573770491803278,0.4852941176470588,0.8225761997428808,34,33,61,68,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.8214271068572998, 0.7385076284408569, 0.9352542459964752, 0.8227153718471527, 0.9453376829624176, 0.9326145648956299, 0.8545666933059692, 0.8084433078765869, 0.7292178273200989, 0.9424161314964294, 0.7730977535247803, 0.7292178273200989, 0.9268748462200165, 0.7006350457668304, 0.8759996294975281, 0.7292178273200989, 0.7766866385936737, 0.7292178273200989, 0.9359937906265259, 0.7006350457668304, 0.8759996294975281, 0.7292178273200989, 0.9110243320465088, 0.7292178273200989, 0.8759996294975281, 0.8084433078765869, 0.7292178273200989, 0.8695710003376007, 0.7292178273200989, 0.9570848047733307, 0.973599761724472, 0.9633509814739227, 0.7292178273200989, 0.8759996294975281, 0.7292178273200989, 0.9250454902648926, 0.8084433078765869, 0.714247852563858, 0.9078613221645355, 0.7292178273200989, 0.7292178273200989]",0.6229508196721312,0.5588235294117647,0.7945839203894138,38,38,61,68,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.8214271068572998, 0.7385076284408569, 0.9352542459964752, 0.8227153718471527, 0.9453376829624176, 0.9326145648956299, 0.6157797574996948, 0.8545666933059692, 0.6157797574996948, 0.8084433078765869, 0.7292178273200989, 0.9424161314964294, 0.6363669633865356, 0.7730977535247803, 0.6901929378509521, 0.6363669633865356, 0.7292178273200989, 0.9268748462200165, 0.7006350457668304, 0.6198254823684692, 0.8759996294975281, 0.7292178273200989, 0.7766866385936737, 0.7292178273200989, 0.9359937906265259, 0.7006350457668304, 0.8759996294975281, 0.7292178273200989, 0.9110243320465088, 0.7292178273200989, 0.6226436942815781, 0.8759996294975281, 0.8084433078765869, 0.7292178273200989, 0.8695710003376007, 0.7292178273200989, 0.9570848047733307, 0.973599761724472, 0.9633509814739227, 0.7292178273200989, 0.8759996294975281, 0.7292178273200989, 0.9250454902648926, 0.8084433078765869, 0.714247852563858, 0.9078613221645355, 0.7292178273200989, 0.7292178273200989, 0.6880555152893066]",0.6721311475409836,0.5735294117647058,0.7656208582348742,41,39,61,68,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.8214271068572998, 0.7385076284408569, 0.9352542459964752, 0.8227153718471527, 0.9453376829624176, 0.9326145648956299, 0.6157797574996948, 0.5575031787157059, 0.8545666933059692, 0.6157797574996948, 0.5575031787157059, 0.8084433078765869, 0.7292178273200989, 0.9424161314964294, 0.6363669633865356, 0.7730977535247803, 0.6901929378509521, 0.6363669633865356, 0.7292178273200989, 0.9268748462200165, 0.7006350457668304, 0.5200050473213196, 0.6198254823684692, 0.8759996294975281, 0.7292178273200989, 0.7766866385936737, 0.7292178273200989, 0.9359937906265259, 0.7006350457668304, 0.8759996294975281, 0.7292178273200989, 0.9110243320465088, 0.7292178273200989, 0.6226436942815781, 0.8759996294975281, 0.8084433078765869, 0.7292178273200989, 0.8695710003376007, 0.7292178273200989, 0.9570848047733307, 0.5615205764770508, 0.973599761724472, 0.9633509814739227, 0.7292178273200989, 0.8759996294975281, 0.5920652151107788, 0.7292178273200989, 0.9250454902648926, 0.503149002790451, 0.8084433078765869, 0.714247852563858, 0.9078613221645355, 0.7292178273200989, 0.5615205764770508, 0.7292178273200989, 0.6880555152893066]",0.819672131147541,0.6911764705882353,0.6860770507640129,50,47,61,68,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.4565313458442688, 0.4108358919620514, 0.8214271068572998, 0.7385076284408569, 0.9352542459964752, 0.8227153718471527, 0.20256751775741577, 0.9453376829624176, 0.9326145648956299, 0.6157797574996948, 0.5575031787157059, 0.20256751775741577, 0.8545666933059692, 0.291288286447525, 0.6157797574996948, 0.5575031787157059, 0.8084433078765869, 0.3654964566230774, 0.291288286447525, 0.7292178273200989, 0.9424161314964294, 0.3848823308944702, 0.6363669633865356, 0.36370691657066345, 0.7730977535247803, 0.6901929378509521, 0.3848823308944702, 0.6363669633865356, 0.7292178273200989, 0.9268748462200165, 0.7006350457668304, 0.5200050473213196, 0.6198254823684692, 0.8759996294975281, 0.43646544218063354, 0.7292178273200989, 0.7766866385936737, 0.7292178273200989, 0.9359937906265259, 0.7006350457668304, 0.42190834134817123, 0.46159684658050537, 0.8759996294975281, 0.7292178273200989, 0.9110243320465088, 0.7292178273200989, 0.6226436942815781, 0.8759996294975281, 0.8084433078765869, 0.7292178273200989, 0.8695710003376007, 0.7292178273200989, 0.9570848047733307, 0.5615205764770508, 0.973599761724472, 0.9633509814739227, 0.7292178273200989, 0.4756598621606827, 0.8759996294975281, 0.5920652151107788, 0.4483937472105026, 0.7292178273200989, 0.9250454902648926, 0.503149002790451, 0.8084433078765869, 0.714247852563858, 0.9078613221645355, 0.7292178273200989, 0.5615205764770508, 0.7292178273200989, 0.6880555152893066]"
16,0.05555555555555555,0.06666666666666667,0.924705982208252,1,1,18,15,[0.924705982208252],0.05555555555555555,0.06666666666666667,0.924705982208252,1,1,18,15,[0.924705982208252],0.2777777777777778,0.26666666666666666,0.7870752096176148,5,4,18,15,"[0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.924705982208252, 0.7105220556259155]",0.3888888888888889,0.4666666666666667,0.7381506804376841,7,7,18,15,"[0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.924705982208252, 0.6395142078399658, 0.6470843255519867, 0.7105220556259155, 0.6832308620214462]",0.6666666666666666,0.6666666666666666,0.6613501917857391,12,10,18,15,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.5570129156112671, 0.5636782646179199, 0.501950740814209, 0.924705982208252, 0.6395142078399658, 0.6470843255519867, 0.5466782450675964, 0.7105220556259155, 0.6832308620214462]",0.8333333333333334,0.7333333333333333,0.6167914963820401,15,11,18,15,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.5570129156112671, 0.4950578510761261, 0.5636782646179199, 0.501950740814209, 0.924705982208252, 0.4814615547657013, 0.6395142078399658, 0.6470843255519867, 0.4710051417350769, 0.4403783977031708, 0.5466782450675964, 0.7105220556259155, 0.6832308620214462]"
17,0.1111111111111111,0.15384615384615385,0.9232326224446297,4,4,36,26,"[0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867]",0.1388888888888889,0.19230769230769232,0.9179810345172882,5,5,36,26,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867]",0.1388888888888889,0.19230769230769232,0.9179810345172882,5,5,36,26,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867]",0.16666666666666666,0.19230769230769232,0.8814188043276469,6,5,36,26,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.6986076533794403]",0.16666666666666666,0.19230769230769232,0.8814188043276469,6,5,36,26,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.6986076533794403]",0.3055555555555556,0.3076923076923077,0.6413404548710043,11,8,36,26,"[0.8969746828079224, 0.9176924228668213, 0.3877352178096771, 0.3515393137931824, 0.17007096111774445, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.6986076533794403, 0.4506034255027771, 0.40628325939178467]"
12,0.16,0.15384615384615385,0.9465949609875679,4,4,25,26,"[0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.9761154353618622]",0.36,0.34615384615384615,0.894298275311788,9,9,25,26,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301]",0.52,0.5,0.8552169937353867,13,13,25,26,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.7459415793418884, 0.7671168446540833]",0.56,0.5384615384615384,0.840975244130407,14,14,25,26,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833]",0.64,0.6153846153846154,0.8051671832799911,16,16,25,26,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833, 0.5921509861946106, 0.516870528459549]",0.8,0.7307692307692307,0.7308164291083813,20,19,25,26,"[0.844710648059845, 0.382991760969162, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833, 0.5921509861946106, 0.4509687125682831, 0.40298451483249664, 0.516870528459549, 0.4967086613178253]"
10,0.05555555555555555,0.046511627906976744,0.9393200427293777,2,2,36,43,"[0.9675075113773346, 0.9111325740814209]",0.1111111111111111,0.09302325581395349,0.9130721911787987,4,4,36,43,"[0.8955208659172058, 0.9675075113773346, 0.9111325740814209, 0.8781278133392334]",0.1388888888888889,0.11627906976744186,0.874171394109726,5,5,36,43,"[0.8955208659172058, 0.9675075113773346, 0.9111325740814209, 0.8781278133392334, 0.7185682058334351]",0.16666666666666666,0.13953488372093023,0.8430554668108622,6,6,36,43,"[0.8955208659172058, 0.9675075113773346, 0.9111325740814209, 0.8781278133392334, 0.7185682058334351, 0.6874758303165436]",0.3055555555555556,0.2558139534883721,0.711530017581853,11,11,36,43,"[0.8955208659172058, 0.9675075113773346, 0.9111325740814209, 0.8781278133392334, 0.7185682058334351, 0.5816843509674072, 0.5493324398994446, 0.6874758303165436, 0.5845499038696289, 0.5442389845848083, 0.5086917132139206]",0.6388888888888888,0.3953488372093023,0.5169819567514502,23,17,36,43,"[0.8955208659172058, 0.3510062098503113, 0.9675075113773346, 0.9111325740814209, 0.8781278133392334, 0.2125580906867981, 0.44444988667964935, 0.4275176376104355, 0.4167807847261429, 0.7185682058334351, 0.5816843509674072, 0.43894895911216736, 0.5493324398994446, 0.6874758303165436, 0.3571787178516388, 0.2328445315361023, 0.5845499038696289, 0.5442389845848083, 0.19423088431358337, 0.19423088431358337, 0.5086917132139206, 0.4036545753479004, 0.39035364985466003]"
11,0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.75,0.75,0.8634637494881948,3,3,4,4,"[0.6300978660583496, 0.9965260624885559, 0.9637673199176788]",0.75,0.75,0.8634637494881948,3,3,4,4,"[0.6300978660583496, 0.9965260624885559, 0.9637673199176788]",1.0,1.0,0.7448450177907944,4,4,4,4,"[0.6300978660583496, 0.38898882269859314, 0.9965260624885559, 0.9637673199176788]"
9,0.29411764705882354,0.2777777777777778,0.9597719788551331,5,5,17,18,"[0.9231321215629578, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.9073817729949951]",0.6470588235294118,0.6111111111111112,0.8883022693070498,11,11,17,18,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.9073817729949951, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.7058823529411765,0.6666666666666666,0.8774355525771776,12,12,17,18,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.757901668548584, 0.9073817729949951, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.8823529411764706,0.8333333333333334,0.8278184076150258,15,15,17,18,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.757901668548584, 0.6720026135444641, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.9411764705882353,0.8888888888888888,0.8087040204554796,16,16,17,18,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.5219882130622864, 0.757901668548584, 0.6720026135444641, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",1.0,0.8888888888888888,0.7876281668158138,17,16,17,18,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.5219882130622864, 0.757901668548584, 0.6720026135444641, 0.4504145085811615, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]"
8,0.0,0.0,0,0,0,30,37,[],0.03333333333333333,0.02702702702702703,0.8213320970535278,1,1,30,37,[0.8213320970535278],0.16666666666666666,0.10810810810810811,0.7452312062184016,5,4,30,37,"[0.8213320970535278, 0.7105871289968491, 0.704092413187027, 0.7729872465133667, 0.7127560377120972, 0.7496323138475418]",0.2,0.16216216216216217,0.7249320894479752,6,6,30,37,"[0.8213320970535278, 0.7105871289968491, 0.704092413187027, 0.7729872465133667, 0.7127560377120972, 0.7496323138475418, 0.6567405760288239, 0.6713289022445679]",0.4,0.35135135135135137,0.6374041698873043,12,13,30,37,"[0.8213320970535278, 0.5003081560134888, 0.7105871289968491, 0.704092413187027, 0.7729872465133667, 0.7127560377120972, 0.7496323138475418, 0.6567405760288239, 0.5387288928031921, 0.5464939773082733, 0.6713289022445679, 0.5884979367256165, 0.5466988682746887, 0.5744463205337524, 0.516065776348114, 0.5877700746059418]",0.9,0.5675675675675675,0.4888863843348291,27,21,30,37,"[0.8213320970535278, 0.3078247606754303, 0.3803557753562927, 0.3674337565898895, 0.4076218008995056, 0.24449396133422852, 0.3259376287460327, 0.316103458404541, 0.5003081560134888, 0.30101488530635834, 0.4917159080505371, 0.7105871289968491, 0.704092413187027, 0.3025745749473572, 0.3742561787366867, 0.7729872465133667, 0.7127560377120972, 0.7496323138475418, 0.6567405760288239, 0.46345819532871246, 0.49118176102638245, 0.3996390625834465, 0.47953371703624725, 0.5387288928031921, 0.5464939773082733, 0.4610343277454376, 0.39353588223457336, 0.46436601877212524, 0.4637126922607422, 0.4785485863685608, 0.4826343059539795, 0.4438236355781555, 0.6713289022445679, 0.36327970027923584, 0.5884979367256165, 0.5466988682746887, 0.5744463205337524, 0.516065776348114, 0.4866273105144501, 0.3404644727706909, 0.4070720225572586, 0.4805016815662384, 0.4967186450958252, 0.5877700746059418, 0.3859558701515198]"
5,0.13333333333333333,0.10526315789473684,0.9435661137104034,2,2,15,19,"[0.9331550002098083, 0.9539772272109985]",0.4666666666666667,0.3157894736842105,0.8784951567649841,7,6,15,19,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.835264265537262, 0.8442733585834503]",0.6,0.3684210526315789,0.8573187854554918,9,7,15,19,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.835264265537262, 0.8442733585834503, 0.7889637351036072, 0.7774392366409302]",0.6,0.3684210526315789,0.8573187854554918,9,7,15,19,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.835264265537262, 0.8442733585834503, 0.7889637351036072, 0.7774392366409302]",0.7333333333333333,0.47368421052631576,0.7999384349042719,11,9,15,19,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.835264265537262, 0.8442733585834503, 0.7889637351036072, 0.7774392366409302, 0.5469200015068054, 0.5365337133407593]",1.0,0.6842105263157895,0.7030265400807063,15,13,15,19,"[0.8969746828079224, 0.46095898747444153, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.3766822814941406, 0.835264265537262, 0.8442733585834503, 0.7889637351036072, 0.7774392366409302, 0.42163972556591034, 0.4867943227291107, 0.5469200015068054, 0.5365337133407593]"
