File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.5,0.5,0.9476100703080496,3,3,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642]",0.8333333333333334,0.8333333333333334,0.9025531351566315,5,5,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642, 0.8622586131095886, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.9025531351566315,5,5,6,6,"[0.9293213486671448, 0.9669901132583618, 0.946518748998642, 0.8622586131095886, 0.8076768517494202]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8622586131095886, 0.8076768517494202]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8622586131095886, 0.8076768517494202]",1.0,1.0,0.8628909339507421,6,6,6,6,"[0.9293213486671448, 0.9669901132583618, 0.6645799279212952, 0.946518748998642, 0.8622586131095886, 0.8076768517494202]"
14,0.014705882352941176,0.01639344262295082,0.914624810218811,1,1,68,61,[0.914624810218811],0.029411764705882353,0.03278688524590164,0.880106508731842,2,2,68,61,"[0.845588207244873, 0.914624810218811]",0.04411764705882353,0.04918032786885246,0.8282874425252279,3,3,68,61,"[0.845588207244873, 0.914624810218811, 0.7246493101119995]",0.04411764705882353,0.04918032786885246,0.8282874425252279,3,3,68,61,"[0.845588207244873, 0.914624810218811, 0.7246493101119995]",0.058823529411764705,0.04918032786885246,0.7711083590984344,4,3,68,61,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.5995711088180542]",0.058823529411764705,0.04918032786885246,0.7711083590984344,4,3,68,61,"[0.845588207244873, 0.914624810218811, 0.7246493101119995, 0.5995711088180542]"
16,0.3333333333333333,0.2777777777777778,0.9453611612319947,5,5,15,18,"[0.924705982208252, 0.9129800200462341, 0.9740633368492126, 0.9600884318351746, 0.9549680352210999]",0.4,0.3333333333333333,0.92634383837382,6,6,15,18,"[0.924705982208252, 0.9129800200462341, 0.9740633368492126, 0.8312572240829468, 0.9600884318351746, 0.9549680352210999]",0.5333333333333333,0.4444444444444444,0.869542121887207,8,8,15,18,"[0.7850971221923828, 0.772196888923645, 0.924705982208252, 0.9129800200462341, 0.9740633368492126, 0.8312572240829468, 0.9600884318351746, 0.9549680352210999, 0.7105220556259155]",0.6666666666666666,0.5555555555555556,0.801423966884613,10,10,15,18,"[0.7850971221923828, 0.772196888923645, 0.6228030771017075, 0.924705982208252, 0.6395142078399658, 0.9129800200462341, 0.6470843255519867, 0.9740633368492126, 0.8312572240829468, 0.9600884318351746, 0.9549680352210999, 0.7105220556259155, 0.6832308620214462]",0.9333333333333333,0.7222222222222222,0.704502862124216,14,13,15,18,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.6228030771017075, 0.5618641376495361, 0.5043735653162003, 0.924705982208252, 0.5864282250404358, 0.6395142078399658, 0.9129800200462341, 0.5241976082324982, 0.6470843255519867, 0.9740633368492126, 0.8312572240829468, 0.5515263974666595, 0.9600884318351746, 0.9549680352210999, 0.5466782450675964, 0.7105220556259155, 0.6832308620214462, 0.5779534727334976]",1.0,0.7777777777777778,0.6240924154718717,15,14,15,18,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.6228030771017075, 0.5618641376495361, 0.5043735653162003, 0.924705982208252, 0.5864282250404358, 0.6395142078399658, 0.9129800200462341, 0.5241976082324982, 0.6470843255519867, 0.9740633368492126, 0.8312572240829468, 0.5515263974666595, 0.4497464597225189, 0.4710051417350769, 0.9600884318351746, 0.9549680352210999, 0.4714958369731903, 0.3896343261003494, 0.44248394668102264, 0.4442122280597687, 0.5466782450675964, 0.42985667288303375, 0.4317646771669388, 0.7105220556259155, 0.6832308620214462, 0.5779534727334976, 0.39801307022571564]"
17,0.15384615384615385,0.1111111111111111,0.9232326224446297,4,4,26,36,"[0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867]",0.19230769230769232,0.1388888888888889,0.9179810345172882,5,5,26,36,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867]",0.2692307692307692,0.19444444444444445,0.8731605453150613,7,7,26,36,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.7967165112495422, 0.7255021333694458]",0.3076923076923077,0.2222222222222222,0.8094273030757904,8,8,26,36,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.7967165112495422, 0.6648173034191132, 0.6613442897796631, 0.6559876203536987, 0.7255021333694458]",0.5769230769230769,0.3611111111111111,0.7050442853394676,15,13,26,36,"[0.8969746828079224, 0.9176924228668213, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.5862018465995789, 0.5138065814971924, 0.590545654296875, 0.5219956338405609, 0.5680112838745117, 0.5328580141067505, 0.5780608057975769, 0.7967165112495422, 0.6648173034191132, 0.6613442897796631, 0.6559876203536987, 0.7255021333694458]",0.9615384615384616,0.4444444444444444,0.5422673613617295,25,16,26,36,"[0.8969746828079224, 0.9176924228668213, 0.3515393137931824, 0.9225398302078247, 0.9328898191452026, 0.91980841755867, 0.4332240968942642, 0.4506034255027771, 0.38674062490463257, 0.39636120200157166, 0.416408896446228, 0.42381303012371063, 0.3829905837774277, 0.37192635238170624, 0.40628325939178467, 0.4009660929441452, 0.3991096317768097, 0.36728721857070923, 0.3277440369129181, 0.28401893377304077, 0.5862018465995789, 0.5138065814971924, 0.590545654296875, 0.4777683615684509, 0.4681856036186218, 0.4970254898071289, 0.4675770103931427, 0.4931425452232361, 0.417691171169281, 0.5219956338405609, 0.5680112838745117, 0.5328580141067505, 0.5780608057975769, 0.7967165112495422, 0.6648173034191132, 0.6613442897796631, 0.6559876203536987, 0.7255021333694458]"
12,0.15384615384615385,0.16,0.9465949609875679,4,4,26,25,"[0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.9761154353618622]",0.34615384615384615,0.36,0.894298275311788,9,9,26,25,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301]",0.5,0.52,0.8552169937353867,13,13,26,25,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.7459415793418884, 0.7671168446540833]",0.5384615384615384,0.56,0.840975244130407,14,14,26,25,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833]",0.5769230769230769,0.6,0.8243869602680206,15,15,26,25,"[0.844710648059845, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833, 0.5921509861946106]",0.6538461538461539,0.68,0.7764567575033974,17,17,26,25,"[0.844710648059845, 0.382991760969162, 0.9175050854682922, 0.9776777625083923, 0.9150815606117249, 0.7971632480621338, 0.8575040400028229, 0.8069465160369873, 0.9761154353618622, 0.8659549951553345, 0.8871884346008301, 0.7589147686958313, 0.6558324992656708, 0.7459415793418884, 0.7671168446540833, 0.5921509861946106, 0.4509687125682831]"
10,0.09302325581395349,0.1111111111111111,0.9438142031431198,4,4,43,36,"[0.9111325740814209, 0.9675075113773346, 0.9552974700927734, 0.9413192570209503]",0.18604651162790697,0.2222222222222222,0.9152406007051468,8,8,43,36,"[0.8955208659172058, 0.9111325740814209, 0.9675075113773346, 0.8781278133392334, 0.8842382431030273, 0.9552974700927734, 0.9413192570209503, 0.8887810707092285]",0.2558139534883721,0.3055555555555556,0.8655940754847093,11,11,43,36,"[0.8955208659172058, 0.9111325740814209, 0.9675075113773346, 0.8781278133392334, 0.7185682058334351, 0.8842382431030273, 0.9552974700927734, 0.9413192570209503, 0.8887810707092285, 0.7066824734210968, 0.7743593454360962]",0.32558139534883723,0.4166666666666667,0.7895453554742476,14,15,43,36,"[0.8955208659172058, 0.9111325740814209, 0.9675075113773346, 0.8781278133392334, 0.7185682058334351, 0.8842382431030273, 0.9552974700927734, 0.9413192570209503, 0.6021910905838013, 0.8887810707092285, 0.6928518414497375, 0.6375136375427246, 0.7066824734210968, 0.6744300127029419, 0.6503962576389313, 0.6433533728122711, 0.7743593454360962]",0.4883720930232558,0.5277777777777778,0.6637979443814304,21,19,43,36,"[0.8955208659172058, 0.9111325740814209, 0.9675075113773346, 0.8781278133392334, 0.5179849714040756, 0.7185682058334351, 0.5709631443023682, 0.5816843509674072, 0.504008412361145, 0.8842382431030273, 0.5493324398994446, 0.5272064656019211, 0.9552974700927734, 0.9413192570209503, 0.6021910905838013, 0.8887810707092285, 0.5907423496246338, 0.6928518414497375, 0.5273973941802979, 0.5490870177745819, 0.5442389845848083, 0.6375136375427246, 0.5460944175720215, 0.5621432960033417, 0.5086917132139206, 0.7066824734210968, 0.6744300127029419, 0.5958583056926727, 0.5632116794586182, 0.5799640119075775, 0.5793721079826355, 0.5793721079826355, 0.6503962576389313, 0.6433533728122711, 0.7743593454360962, 0.5756356716156006, 0.5852640569210052]",0.8604651162790697,0.7777777777777778,0.47875314438715577,37,28,43,36,"[0.8955208659172058, 0.3510062098503113, 0.9111325740814209, 0.9675075113773346, 0.33501046895980835, 0.8781278133392334, 0.2125580906867981, 0.44444988667964935, 0.3911747932434082, 0.4275176376104355, 0.41425183415412903, 0.4114776700735092, 0.5179849714040756, 0.7185682058334351, 0.23898817598819733, 0.42620420455932617, 0.5709631443023682, 0.24329425394535065, 0.3169023394584656, 0.5816843509674072, 0.504008412361145, 0.4255654215812683, 0.8842382431030273, 0.44010987877845764, 0.3473358303308487, 0.5493324398994446, 0.5272064656019211, 0.9552974700927734, 0.9413192570209503, 0.466940701007843, 0.3438268303871155, 0.6021910905838013, 0.8887810707092285, 0.4641188681125641, 0.5907423496246338, 0.48739007115364075, 0.3573869466781616, 0.6928518414497375, 0.2645893692970276, 0.4966233968734741, 0.5273973941802979, 0.4032827615737915, 0.47725504636764526, 0.5490870177745819, 0.33085450530052185, 0.5442389845848083, 0.473502516746521, 0.6375136375427246, 0.5460944175720215, 0.43070459365844727, 0.5621432960033417, 0.5086917132139206, 0.43070459365844727, 0.43070459365844727, 0.4422657936811447, 0.39035364985466003, 0.36580565571784973, 0.32468855381011963, 0.20432564616203308, 0.39035364985466003, 0.39035364985466003, 0.2889842391014099, 0.47549328207969666, 0.44346556067466736, 0.4808764159679413, 0.4430515766143799, 0.4430515766143799, 0.4095384106040001, 0.4545207619667053, 0.7066824734210968, 0.6744300127029419, 0.48928922414779663, 0.47158144414424896, 0.5958583056926727, 0.5632116794586182, 0.5799640119075775, 0.45735499262809753, 0.1929260492324829, 0.1929260492324829, 0.27417850494384766, 0.33623796701431274, 0.19371870160102844, 0.36967575550079346, 0.42168712615966797, 0.5793721079826355, 0.5793721079826355, 0.4692540019750595, 0.45287512242794037, 0.4637744128704071, 0.46400903165340424, 0.6503962576389313, 0.6433533728122711, 0.7743593454360962, 0.43675757944583893, 0.4891453981399536, 0.5756356716156006, 0.5852640569210052, 0.4936617612838745, 0.46060824394226074, 0.3865528106689453, 0.40213632583618164, 0.27403852343559265, 0.35756202042102814, 0.43669384717941284, 0.43699824810028076, 0.3746350407600403, 0.31873780488967896, 0.35334697365760803, 0.25262510776519775, 0.47137270867824554, 0.3077189475297928, 0.3268885910511017]"
11,0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.5,0.5,0.9801466912031174,2,2,4,4,"[0.9965260624885559, 0.9637673199176788]",0.75,0.75,0.8634637494881948,3,3,4,4,"[0.6300978660583496, 0.9965260624885559, 0.9637673199176788]",0.75,0.75,0.8634637494881948,3,3,4,4,"[0.6300978660583496, 0.9965260624885559, 0.9637673199176788]",1.0,1.0,0.7448450177907944,4,4,4,4,"[0.6300978660583496, 0.38898882269859314, 0.9965260624885559, 0.9637673199176788]"
9,0.2777777777777778,0.29411764705882354,0.9597719788551331,5,5,18,17,"[0.9231321215629578, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.9073817729949951]",0.6111111111111112,0.6470588235294118,0.8883022693070498,11,11,18,17,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.9073817729949951, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.6666666666666666,0.7058823529411765,0.8774355525771776,12,12,18,17,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.757901668548584, 0.9073817729949951, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.8333333333333334,0.8823529411764706,0.8278184076150258,15,15,18,17,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.757901668548584, 0.6720026135444641, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.8888888888888888,0.9411764705882353,0.8087040204554796,16,16,18,17,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.5219882130622864, 0.757901668548584, 0.6720026135444641, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]",0.9444444444444444,1.0,0.7875921919065363,17,17,18,17,"[0.9231321215629578, 0.8590430617332458, 0.9952686429023743, 0.9757922887802124, 0.9972850680351257, 0.600970983505249, 0.5219882130622864, 0.757901668548584, 0.6720026135444641, 0.4498029351234436, 0.9073817729949951, 0.6150758862495422, 0.8086470365524292, 0.8015418648719788, 0.8324967622756958, 0.815165638923645, 0.8555707037448883]"
8,0.02702702702702703,0.03333333333333333,0.9346611201763153,1,1,37,30,[0.9346611201763153],0.13513513513513514,0.16666666666666666,0.8610754430294036,5,5,37,30,"[0.8213320970535278, 0.8098740577697754, 0.9346611201763153, 0.8727387189865112, 0.8667712211608887]",0.35135135135135137,0.43333333333333335,0.7719136607997558,13,13,37,30,"[0.8213320970535278, 0.7907839417457581, 0.8098740577697754, 0.7105871289968491, 0.7102561295032501, 0.718328058719635, 0.7640929520130157, 0.9346611201763153, 0.8727387189865112, 0.7454174757003784, 0.7496323138475418, 0.736262857913971, 0.7329440116882324, 0.7233456373214722, 0.8667712211608887, 0.7344502657651901, 0.7010542452335358]",0.4864864864864865,0.6,0.7381497118622065,18,18,37,30,"[0.8213320970535278, 0.7907839417457581, 0.8098740577697754, 0.7105871289968491, 0.7102561295032501, 0.718328058719635, 0.7640929520130157, 0.9346611201763153, 0.8727387189865112, 0.7454174757003784, 0.7496323138475418, 0.736262857913971, 0.7329440116882324, 0.673160970211029, 0.6427137553691864, 0.7233456373214722, 0.6138074994087219, 0.6713289022445679, 0.678827166557312, 0.6348496079444885, 0.6783729493618011, 0.8667712211608887, 0.7344502657651901, 0.7010542452335358]",0.5675675675675675,0.7333333333333333,0.6421652732694403,21,22,37,30,"[0.8213320970535278, 0.573182225227356, 0.7907839417457581, 0.8098740577697754, 0.5900118574500084, 0.7105871289968491, 0.7102561295032501, 0.718328058719635, 0.7640929520130157, 0.9346611201763153, 0.8727387189865112, 0.7454174757003784, 0.7496323138475418, 0.736262857913971, 0.5011506825685501, 0.58736452460289, 0.5684371590614319, 0.5204322040081024, 0.7329440116882324, 0.545474499464035, 0.673160970211029, 0.5232657194137573, 0.6427137553691864, 0.5251041054725647, 0.5102705955505371, 0.7233456373214722, 0.5464939773082733, 0.5059236884117126, 0.6138074994087219, 0.5884979367256165, 0.6713289022445679, 0.678827166557312, 0.6348496079444885, 0.5097262859344482, 0.5557756721973419, 0.5744463205337524, 0.5754076242446899, 0.5309043824672699, 0.516065776348114, 0.5174429416656494, 0.5877700746059418, 0.6783729493618011, 0.8667712211608887, 0.7344502657651901, 0.7010542452335358, 0.5003693699836731, 0.5126571357250214]",0.9459459459459459,1.0,0.5347411993346857,35,30,37,30,"[0.8213320970535278, 0.3078247606754303, 0.3803558200597763, 0.358855202794075, 0.4076218008995056, 0.37000222504138947, 0.573182225227356, 0.3259376287460327, 0.316103458404541, 0.42467382550239563, 0.3991869390010834, 0.393330380320549, 0.7907839417457581, 0.8098740577697754, 0.44195476174354553, 0.4917159080505371, 0.4902036190032959, 0.5900118574500084, 0.7105871289968491, 0.7102561295032501, 0.718328058719635, 0.7640929520130157, 0.9346611201763153, 0.8727387189865112, 0.7454174757003784, 0.7496323138475418, 0.736262857913971, 0.5011506825685501, 0.58736452460289, 0.46345819532871246, 0.4545535743236542, 0.39076757431030273, 0.5684371590614319, 0.5204322040081024, 0.47006142139434814, 0.7329440116882324, 0.3134811520576477, 0.545474499464035, 0.673160970211029, 0.5232657194137573, 0.4610343277454376, 0.4899832010269165, 0.6427137553691864, 0.5251041054725647, 0.5102705955505371, 0.7233456373214722, 0.5464939773082733, 0.5059236884117126, 0.6138074994087219, 0.44544997811317444, 0.494828462600708, 0.5884979367256165, 0.6713289022445679, 0.678827166557312, 0.6348496079444885, 0.5097262859344482, 0.5557756721973419, 0.5744463205337524, 0.5754076242446899, 0.5309043824672699, 0.516065776348114, 0.4087834805250168, 0.3790949285030365, 0.48011764883995056, 0.3404644727706909, 0.2698593735694885, 0.5174429416656494, 0.4285317063331604, 0.5877700746059418, 0.6783729493618011, 0.8667712211608887, 0.43739378452301025, 0.43460406363010406, 0.397932693362236, 0.4576375335454941, 0.30421724915504456, 0.3943297863006592, 0.46558426320552826, 0.2925143241882324, 0.465079665184021, 0.7344502657651901, 0.7010542452335358, 0.5003693699836731, 0.5126571357250214, 0.48740777373313904, 0.4995562434196472, 0.45606353878974915, 0.4940004348754883, 0.4256417155265808]"
5,0.10526315789473684,0.13333333333333333,0.9435661137104034,2,2,19,15,"[0.9331550002098083, 0.9539772272109985]",0.3684210526315789,0.4,0.8736454716750554,7,6,19,15,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.8442733585834503, 0.8013164699077606]",0.47368421052631576,0.5333333333333333,0.8533159858650632,9,8,19,15,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.8442733585834503, 0.8013164699077606, 0.7889637351036072, 0.7753618359565735]",0.47368421052631576,0.5333333333333333,0.8533159858650632,9,8,19,15,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.8442733585834503, 0.8013164699077606, 0.7889637351036072, 0.7753618359565735]",0.5789473684210527,0.6666666666666666,0.7966634170575575,11,10,19,15,"[0.8969746828079224, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.8442733585834503, 0.8013164699077606, 0.7889637351036072, 0.7753618359565735, 0.5469200015068054, 0.5365337133407593]",0.8421052631578947,0.9333333333333333,0.6809540968388319,16,14,19,15,"[0.8969746828079224, 0.46095898747444153, 0.9331550002098083, 0.9539772272109985, 0.8500734865665436, 0.8357480764389038, 0.3766822814941406, 0.8442733585834503, 0.8013164699077606, 0.7889637351036072, 0.7753618359565735, 0.42163972556591034, 0.3858926445245743, 0.4867943227291107, 0.5469200015068054, 0.5365337133407593]"
