file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,8,1.0,1.0,9,8,0,0
14.txt,64,59,0.8421052631578947,0.9076923076923077,76,65,12,6
16.txt,17,17,0.8095238095238095,0.7727272727272727,21,22,4,5
17.txt,25,26,0.8064516129032258,0.7647058823529411,31,34,6,8
12.txt,29,23,0.9666666666666667,0.6388888888888888,30,36,1,13
10.txt,31,32,0.5740740740740741,0.8205128205128205,54,39,23,7
11.txt,12,16,1.0,0.8421052631578947,12,19,0,3
9.txt,15,16,0.8333333333333334,0.9411764705882353,18,17,3,1
8.txt,29,23,0.7073170731707317,0.8846153846153846,41,26,12,3
5.txt,21,21,0.84,0.75,25,28,4,7
4.txt,15,16,0.9375,0.6666666666666666,16,24,1,8
6.txt,30,34,0.967741935483871,0.7391304347826086,31,46,1,12
7.txt,19,19,0.76,0.7916666666666666,25,24,6,5
3.txt,8,9,0.8,0.5,10,18,2,9
2.txt,19,16,0.7307692307692307,0.8,26,20,7,4
1.txt,22,19,1.0,0.7916666666666666,22,24,0,5
20.txt,33,33,0.9428571428571428,0.6346153846153846,35,52,2,19
21.txt,37,39,0.9487179487179487,0.7358490566037735,39,53,3,14
19.txt,32,32,0.8,0.7272727272727273,40,44,8,12
18.txt,22,21,1.0,0.75,22,28,0,7
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8634,Average of coverage_2_to_1: 0.7730,,,,
