file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,9,1.0,1.0,9,9,0,0
14.txt,68,71,0.7311827956989247,0.9342105263157895,93,76,25,5
16.txt,20,17,0.6896551724137931,0.8095238095238095,29,21,9,4
17.txt,29,28,0.7435897435897436,0.9032258064516129,39,31,10,3
12.txt,27,29,0.7941176470588235,0.9666666666666667,34,30,7,1
10.txt,38,40,0.7755102040816326,0.7407407407407407,49,54,11,14
11.txt,13,12,0.6842105263157895,1.0,19,12,6,0
9.txt,15,13,0.8333333333333334,0.7222222222222222,18,18,3,5
8.txt,19,26,0.8260869565217391,0.6341463414634146,23,41,4,15
5.txt,22,22,0.7586206896551724,0.88,29,25,7,3
4.txt,16,16,0.7272727272727273,1.0,22,16,6,0
6.txt,23,24,0.696969696969697,0.7741935483870968,33,31,10,7
7.txt,14,15,0.7777777777777778,0.6,18,25,4,10
3.txt,10,9,0.7142857142857143,0.9,14,10,4,1
2.txt,16,19,1.0,0.7307692307692307,16,26,0,7
1.txt,21,21,0.84,0.9545454545454546,25,22,4,1
20.txt,34,34,0.6296296296296297,0.9714285714285714,54,35,20,1
21.txt,38,36,0.7307692307692307,0.9230769230769231,52,39,14,3
19.txt,31,32,0.6326530612244898,0.8,49,40,18,8
18.txt,21,21,0.65625,0.9545454545454546,32,22,11,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.7621,Average of coverage_2_to_1: 0.8600,,,,
