File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.0,0.0,0,0,0,9,6,[],0.1111111111111111,0.16666666666666666,0.8020193576812744,1,1,9,6,[0.8020193576812744],0.1111111111111111,0.16666666666666666,0.8020193576812744,1,1,9,6,[0.8020193576812744],0.3333333333333333,0.3333333333333333,0.7081950108210245,3,2,9,6,"[0.8020193576812744, 0.6505761742591858, 0.6719895005226135]",0.4444444444444444,0.5,0.658552274107933,4,3,9,6,"[0.8020193576812744, 0.6505761742591858, 0.6719895005226135, 0.5096240639686584]",0.5555555555555556,0.6666666666666666,0.5952054679393768,5,4,9,6,"[0.8020193576812744, 0.6505761742591858, 0.6719895005226135, 0.341818243265152, 0.5096240639686584]"
14,0.06557377049180328,0.058823529411764705,0.9257345050573349,4,4,61,68,"[0.9442332983016968, 0.9227784872055054, 0.9244152307510376, 0.9115110039710999]",0.11475409836065574,0.10294117647058823,0.8906671277114323,7,7,61,68,"[0.9442332983016968, 0.9227784872055054, 0.836387574672699, 0.9244152307510376, 0.9115110039710999, 0.8380109965801239, 0.8573333024978638]",0.21311475409836064,0.16176470588235295,0.8245631937797253,13,11,61,68,"[0.9442332983016968, 0.9227784872055054, 0.836387574672699, 0.9244152307510376, 0.9115110039710999, 0.7730882167816162, 0.733751654624939, 0.7526748180389404, 0.7677510976791382, 0.8380109965801239, 0.7566555142402649, 0.8573333024978638, 0.7007303237915039]",0.4098360655737705,0.27941176470588236,0.7435033708810806,25,19,61,68,"[0.9442332983016968, 0.9227784872055054, 0.836387574672699, 0.9244152307510376, 0.9115110039710999, 0.7730882167816162, 0.733751654624939, 0.643802285194397, 0.6648277044296265, 0.693393349647522, 0.6247457265853882, 0.6087911427021027, 0.6277545094490051, 0.6277545094490051, 0.7526748180389404, 0.689111590385437, 0.7677510976791382, 0.8380109965801239, 0.7566555142402649, 0.6912779062986374, 0.8573333024978638, 0.6801108717918396, 0.7007303237915039, 0.6603559255599976, 0.6563372313976288]",0.6885245901639344,0.38235294117647056,0.6674785067637762,42,26,61,68,"[0.9442332983016968, 0.9227784872055054, 0.836387574672699, 0.9244152307510376, 0.9115110039710999, 0.7730882167816162, 0.733751654624939, 0.5172562599182129, 0.5655195713043213, 0.5638619065284729, 0.643802285194397, 0.562498152256012, 0.6648277044296265, 0.693393349647522, 0.5326105952262878, 0.6247457265853882, 0.5614125579595566, 0.6087911427021027, 0.6277545094490051, 0.5796750038862228, 0.5927038788795471, 0.5900422185659409, 0.6277545094490051, 0.5096871852874756, 0.7526748180389404, 0.577683761715889, 0.5346252620220184, 0.5518399029970169, 0.5695813894271851, 0.5286974608898163, 0.689111590385437, 0.7677510976791382, 0.8380109965801239, 0.7566555142402649, 0.6912779062986374, 0.8573333024978638, 0.6801108717918396, 0.5188601911067963, 0.5899577140808105, 0.7007303237915039, 0.6603559255599976, 0.6563372313976288]",1.0,0.45588235294117646,0.5874404963411268,61,31,61,68,"[0.9442332983016968, 0.9227784872055054, 0.836387574672699, 0.9244152307510376, 0.41768258810043335, 0.9115110039710999, 0.25308382511138916, 0.7730882167816162, 0.45205630362033844, 0.4927385300397873, 0.3882984519004822, 0.48900946974754333, 0.449377179145813, 0.733751654624939, 0.5172562599182129, 0.5655195713043213, 0.5638619065284729, 0.45772260427474976, 0.374029204249382, 0.35748086869716644, 0.643802285194397, 0.562498152256012, 0.6648277044296265, 0.36004550755023956, 0.693393349647522, 0.5326105952262878, 0.6247457265853882, 0.5614125579595566, 0.6087911427021027, 0.6277545094490051, 0.4642595052719116, 0.4757583737373352, 0.5796750038862228, 0.5927038788795471, 0.5900422185659409, 0.6277545094490051, 0.5096871852874756, 0.7526748180389404, 0.4585012346506119, 0.46814075112342834, 0.577683761715889, 0.5346252620220184, 0.3110097646713257, 0.5518399029970169, 0.5695813894271851, 0.36952875554561615, 0.5286974608898163, 0.3820117712020874, 0.689111590385437, 0.7677510976791382, 0.8380109965801239, 0.7566555142402649, 0.6912779062986374, 0.8573333024978638, 0.6801108717918396, 0.5188601911067963, 0.5899577140808105, 0.3790383040904999, 0.7007303237915039, 0.6603559255599976, 0.6563372313976288]"
16,0.0,0.0,0,0,0,17,15,[],0.0,0.0,0,0,0,17,15,[],0.0,0.0,0,0,0,17,15,[],0.23529411764705882,0.2,0.6387762650847435,4,3,17,15,"[0.6436028480529785, 0.6406870484352112, 0.6295874416828156, 0.6412277221679688]",0.6470588235294118,0.5333333333333333,0.5743452188643542,11,8,17,15,"[0.6436028480529785, 0.6406870484352112, 0.6295874416828156, 0.6412277221679688, 0.533353865146637, 0.5608471632003784, 0.5491299629211426, 0.5586682558059692, 0.5436809211969376, 0.50349161028862, 0.5135205686092377]",0.8823529411764706,0.6,0.533343901236852,15,9,17,15,"[0.6436028480529785, 0.30779746174812317, 0.6406870484352112, 0.6295874416828156, 0.6412277221679688, 0.533353865146637, 0.5608471632003784, 0.5491299629211426, 0.40921349823474884, 0.4700061082839966, 0.5586682558059692, 0.5436809211969376, 0.50349161028862, 0.5135205686092377, 0.49534404277801514]"
17,0.16129032258064516,0.19230769230769232,0.9271490931510925,5,5,31,26,"[0.9231319427490234, 0.9176924228668213, 0.915660560131073, 0.9514834880828857, 0.9277770519256592]",0.1935483870967742,0.23076923076923078,0.9187385042508444,6,6,31,26,"[0.9231319427490234, 0.9176924228668213, 0.915660560131073, 0.9514834880828857, 0.8766855597496033, 0.9277770519256592]",0.2903225806451613,0.3076923076923077,0.8599386562903722,9,8,31,26,"[0.9231319427490234, 0.9176924228668213, 0.915660560131073, 0.9514834880828857, 0.7243963778018951, 0.7166196256875992, 0.7860008776187897, 0.8766855597496033, 0.9277770519256592]",0.45161290322580644,0.46153846153846156,0.7934559328215463,14,12,31,26,"[0.9231319427490234, 0.9176924228668213, 0.915660560131073, 0.6974354982376099, 0.9514834880828857, 0.7243963778018951, 0.6754666715860367, 0.7166196256875992, 0.7860008776187897, 0.6308898329734802, 0.8766855597496033, 0.6763380467891693, 0.688805103302002, 0.9277770519256592]",0.6774193548387096,0.5384615384615384,0.7154984325170517,21,14,31,26,"[0.9231319427490234, 0.9176924228668213, 0.915660560131073, 0.6974354982376099, 0.9514834880828857, 0.7243963778018951, 0.5553304851055145, 0.5409192442893982, 0.6754666715860367, 0.7166196256875992, 0.7860008776187897, 0.5902105569839478, 0.5999210625886917, 0.6308898329734802, 0.8766855597496033, 0.6763380467891693, 0.688805103302002, 0.5574183464050293, 0.9277770519256592, 0.5254703164100647, 0.5478140115737915]",0.8387096774193549,0.6153846153846154,0.6521461863930409,26,16,31,26,"[0.9231319427490234, 0.9176924228668213, 0.3544713854789734, 0.915660560131073, 0.6974354982376099, 0.9514834880828857, 0.7243963778018951, 0.4506034255027771, 0.5553304851055145, 0.5409192442893982, 0.6754666715860367, 0.7166196256875992, 0.7860008776187897, 0.43273839354515076, 0.5902105569839478, 0.5999210625886917, 0.34161436557769775, 0.6308898329734802, 0.8766855597496033, 0.6763380467891693, 0.688805103302002, 0.5574183464050293, 0.9277770519256592, 0.5254703164100647, 0.5478140115737915, 0.3509061932563782]"
12,0.08,0.07692307692307693,0.9454798847436905,2,2,25,26,"[0.944819986820221, 0.94613978266716]",0.12,0.11538461538461539,0.9140845338503519,3,3,25,26,"[0.944819986820221, 0.8512938320636749, 0.94613978266716]",0.16,0.15384615384615385,0.8795824497938156,4,4,25,26,"[0.944819986820221, 0.8512938320636749, 0.94613978266716, 0.7760761976242065]",0.24,0.23076923076923078,0.8020467385649681,6,6,25,26,"[0.944819986820221, 0.8512938320636749, 0.94613978266716, 0.6400490999221802, 0.653901532292366, 0.7760761976242065]",0.32,0.34615384615384615,0.7203029559718238,8,9,25,26,"[0.944819986820221, 0.8512938320636749, 0.94613978266716, 0.6400490999221802, 0.5559892654418945, 0.5409839600324631, 0.653901532292366, 0.7760761976242065, 0.5734729468822479]",0.68,0.6538461538461539,0.5445974823974428,17,17,25,26,"[0.944819986820221, 0.35966333746910095, 0.8512938320636749, 0.94613978266716, 0.6400490999221802, 0.30344924330711365, 0.5559892654418945, 0.4662128835916519, 0.4029315710067749, 0.48529084026813507, 0.43425941467285156, 0.5409839600324631, 0.39530089497566223, 0.653901532292366, 0.7760761976242065, 0.3945140093564987, 0.4074612110853195, 0.4657518267631531, 0.5734729468822479, 0.3763319253921509, 0.46265336871147156]"
10,0.05555555555555555,0.046511627906976744,0.9252737909555435,2,2,36,43,"[0.937950611114502, 0.9125969707965851]",0.08333333333333333,0.06976744186046512,0.9023600518703461,3,3,36,43,"[0.937950611114502, 0.9125969707965851, 0.8565325736999512]",0.1111111111111111,0.09302325581395349,0.8758876025676727,4,4,36,43,"[0.937950611114502, 0.7964702546596527, 0.9125969707965851, 0.8565325736999512]",0.1388888888888889,0.11627906976744186,0.8398902237415313,5,5,36,43,"[0.937950611114502, 0.7964702546596527, 0.9125969707965851, 0.6959007084369659, 0.8565325736999512]",0.2777777777777778,0.23255813953488372,0.6892688035964966,10,10,36,43,"[0.937950611114502, 0.7964702546596527, 0.9125969707965851, 0.5037563741207123, 0.5794661343097687, 0.5032525062561035, 0.6959007084369659, 0.8565325736999512, 0.5123546123504639, 0.5944072902202606]",0.6111111111111112,0.4418604651162791,0.5055448091165586,22,19,36,43,"[0.937950611114502, 0.48827265202999115, 0.7964702546596527, 0.9125969707965851, 0.23497849702835083, 0.42297884821891785, 0.24540996551513672, 0.3328607529401779, 0.2836494594812393, 0.3930652141571045, 0.5037563741207123, 0.4635056108236313, 0.5794661343097687, 0.5032525062561035, 0.39767903089523315, 0.6959007084369659, 0.8565325736999512, 0.3432430475950241, 0.3038209602236748, 0.3198337256908417, 0.5123546123504639, 0.5944072902202606]"
11,0.75,0.75,0.9145171443621317,3,3,4,4,"[0.9231321215629578, 0.9065531492233276, 0.9138661623001099]",0.75,0.75,0.9145171443621317,3,3,4,4,"[0.9231321215629578, 0.9065531492233276, 0.9138661623001099]",0.75,0.75,0.9145171443621317,3,3,4,4,"[0.9231321215629578, 0.9065531492233276, 0.9138661623001099]",0.75,0.75,0.9145171443621317,3,3,4,4,"[0.9231321215629578, 0.9065531492233276, 0.9138661623001099]",0.75,0.75,0.9145171443621317,3,3,4,4,"[0.9231321215629578, 0.9065531492233276, 0.9138661623001099]",1.0,1.0,0.7609168291091919,4,4,4,4,"[0.9231321215629578, 0.3001158833503723, 0.9065531492233276, 0.9138661623001099]"
9,0.2,0.16666666666666666,0.9675615529219309,3,3,15,18,"[0.9955811500549316, 0.9617960155010223, 0.9453074932098389]",0.4,0.3333333333333333,0.9156294614076614,6,6,15,18,"[0.8896663188934326, 0.9955811500549316, 0.9617960155010223, 0.9453074932098389, 0.8124390840530396, 0.8889867067337036]",0.4666666666666667,0.3888888888888889,0.8886919745377132,7,7,15,18,"[0.8896663188934326, 0.9955811500549316, 0.9617960155010223, 0.9453074932098389, 0.8124390840530396, 0.7270670533180237, 0.8889867067337036]",0.6,0.5,0.831703805261188,9,9,15,18,"[0.6593852043151855, 0.8896663188934326, 0.9955811500549316, 0.9617960155010223, 0.9453074932098389, 0.8124390840530396, 0.7270670533180237, 0.8889867067337036, 0.6051052212715149]",0.6,0.5,0.831703805261188,9,9,15,18,"[0.6593852043151855, 0.8896663188934326, 0.9955811500549316, 0.9617960155010223, 0.9453074932098389, 0.8124390840530396, 0.7270670533180237, 0.8889867067337036, 0.6051052212715149]",0.7333333333333333,0.6111111111111112,0.761867569251494,11,11,15,18,"[0.6593852043151855, 0.8896663188934326, 0.9955811500549316, 0.9617960155010223, 0.9453074932098389, 0.8124390840530396, 0.7270670533180237, 0.8889867067337036, 0.4295862317085266, 0.46562278270721436, 0.6051052212715149]"
8,0.0,0.0,0,0,0,16,37,[],0.0625,0.02702702702702703,0.8748745918273926,1,1,16,37,[0.8748745918273926],0.125,0.05405405405405406,0.8022119775414467,2,2,16,37,"[0.8748745918273926, 0.7295493632555008]",0.125,0.05405405405405406,0.8022119775414467,2,2,16,37,"[0.8748745918273926, 0.7295493632555008]",0.5,0.1891891891891892,0.6086275527874628,8,7,16,37,"[0.8748745918273926, 0.5744399428367615, 0.5097614228725433, 0.7295493632555008, 0.5529819875955582, 0.5852146744728088, 0.598452091217041, 0.5151899009943008, 0.5371840000152588]",0.9375,0.32432432432432434,0.49503317549824716,15,12,16,37,"[0.8748745918273926, 0.30630967020988464, 0.34305936098098755, 0.38644036650657654, 0.5744399428367615, 0.5097614228725433, 0.38229066133499146, 0.46165212988853455, 0.46962378919124603, 0.7295493632555008, 0.4747053235769272, 0.321033775806427, 0.32921192049980164, 0.5529819875955582, 0.5852146744728088, 0.598452091217041, 0.482252836227417, 0.4664357006549835, 0.5151899009943008, 0.5371840000152588]"
5,0.06666666666666667,0.05263157894736842,0.9231321215629578,1,1,15,19,[0.9231321215629578],0.26666666666666666,0.21052631578947367,0.8894452229142189,4,4,15,19,"[0.9231321215629578, 0.8959062993526459, 0.8757952451705933, 0.8629472255706787]",0.3333333333333333,0.2631578947368421,0.8559713512659073,5,5,15,19,"[0.9231321215629578, 0.7220758646726608, 0.8959062993526459, 0.8757952451705933, 0.8629472255706787]",0.4666666666666667,0.3157894736842105,0.7882905985627856,7,6,15,19,"[0.9231321215629578, 0.7220758646726608, 0.8959062993526459, 0.6105823516845703, 0.6275950819253922, 0.8757952451705933, 0.8629472255706787]",0.6,0.42105263157894735,0.7384088635444641,9,8,15,19,"[0.9231321215629578, 0.5671027898788452, 0.7220758646726608, 0.8959062993526459, 0.5605427920818329, 0.6105823516845703, 0.6275950819253922, 0.8757952451705933, 0.8629472255706787]",1.0,0.5789473684210527,0.585611093044281,15,11,15,19,"[0.9231321215629578, 0.5671027898788452, 0.7220758646726608, 0.8959062993526459, 0.5605427920818329, 0.38596540689468384, 0.3617455065250397, 0.36122845113277435, 0.409241184592247, 0.6105823516845703, 0.6275950819253922, 0.3099290728569031, 0.31037700176239014, 0.8757952451705933, 0.8629472255706787]"
