file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,8,0.8888888888888888,0.8888888888888888,9,9,1,1
14.txt,71,78,0.9342105263157895,0.9397590361445783,76,83,5,5
16.txt,19,19,0.9047619047619048,0.76,21,25,2,6
17.txt,0,0,0.0,0.0,31,36,31,36
12.txt,27,23,0.9,1.0,30,23,3,0
10.txt,42,45,0.7777777777777778,0.703125,54,64,12,19
11.txt,12,12,1.0,0.9230769230769231,12,13,0,1
9.txt,18,20,1.0,1.0,18,20,0,0
8.txt,37,36,0.9024390243902439,0.8780487804878049,41,41,4,5
5.txt,25,26,1.0,0.8125,25,32,0,6
4.txt,16,17,1.0,0.85,16,20,0,3
6.txt,24,26,0.7741935483870968,0.9285714285714286,31,28,7,2
7.txt,21,18,0.84,0.9473684210526315,25,19,4,1
3.txt,9,10,0.9,0.8333333333333334,10,12,1,2
2.txt,23,19,0.8846153846153846,0.8260869565217391,26,23,3,4
1.txt,20,19,0.9090909090909091,0.9047619047619048,22,21,2,2
20.txt,35,35,1.0,0.8333333333333334,35,42,0,7
21.txt,38,39,0.9743589743589743,0.8666666666666667,39,45,1,6
19.txt,33,34,0.825,0.7391304347826086,40,46,7,12
18.txt,22,20,1.0,1.0,22,20,0,0
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8708,Average of coverage_2_to_1: 0.8317,,,,
