file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,10,9,1.0,1.0,10,9,0,0
14.txt,70,68,0.9210526315789473,0.8947368421052632,76,76,6,8
16.txt,25,21,0.8620689655172413,1.0,29,21,4,0
17.txt,0,0,0.0,0.0,33,31,33,31
12.txt,23,30,0.8846153846153846,1.0,26,30,3,0
10.txt,41,37,0.9318181818181818,0.6851851851851852,44,54,3,17
11.txt,13,12,1.0,1.0,13,12,0,0
9.txt,0,0,0.0,0.0,17,18,17,18
8.txt,35,38,0.9210526315789473,0.926829268292683,38,41,3,3
5.txt,24,24,0.8888888888888888,0.96,27,25,3,1
4.txt,16,15,0.8888888888888888,0.9375,18,16,2,1
6.txt,31,31,0.9393939393939394,1.0,33,31,2,0
7.txt,0,0,0.0,0.0,31,25,31,25
3.txt,11,10,0.7857142857142857,1.0,14,10,3,0
2.txt,24,26,0.8,1.0,30,26,6,0
1.txt,19,18,1.0,0.8181818181818182,19,22,0,4
20.txt,34,34,0.6538461538461539,0.9714285714285714,52,35,18,1
21.txt,34,34,0.8292682926829268,0.8717948717948718,41,39,7,5
19.txt,40,40,0.7407407407407407,1.0,54,40,14,0
18.txt,20,20,0.9523809523809523,0.9090909090909091,21,22,1,2
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.7500,Average of coverage_2_to_1: 0.7987,,,,
