File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.3333333333333333,0.3333333333333333,0.9384325444698334,2,2,6,6,"[0.9293213486671448, 0.947543740272522]",0.5,0.5,0.8948473135630289,3,3,6,6,"[0.9293213486671448, 0.947543740272522, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.8437836647033692,5,5,6,6,"[0.9293213486671448, 0.773037850856781, 0.947543740272522, 0.8076768517494202, 0.7613385319709778]",1.0,1.0,0.8102996299664179,6,6,6,6,"[0.9293213486671448, 0.773037850856781, 0.642879456281662, 0.947543740272522, 0.8076768517494202, 0.7613385319709778]",1.0,1.0,0.8102996299664179,6,6,6,6,"[0.9293213486671448, 0.773037850856781, 0.642879456281662, 0.947543740272522, 0.8076768517494202, 0.7613385319709778]",1.0,1.0,0.8102996299664179,6,6,6,6,"[0.9293213486671448, 0.773037850856781, 0.642879456281662, 0.947543740272522, 0.8076768517494202, 0.7613385319709778]"
14,0.1724137931034483,0.14705882352941177,0.9262787537141279,10,10,58,68,"[0.9369944334030151, 0.914624810218811, 0.9133652448654175, 0.9222555160522461, 0.9347278475761414, 0.9011052846908569, 0.9468600451946259, 0.9488145411014557, 0.9381752014160156, 0.9150401651859283, 0.9171032011508942]",0.29310344827586204,0.23529411764705882,0.8961531880654787,17,16,58,68,"[0.9369944334030151, 0.914624810218811, 0.9133652448654175, 0.9222555160522461, 0.8276352286338806, 0.9347278475761414, 0.9011052846908569, 0.8659840822219849, 0.8663955330848694, 0.9468600451946259, 0.8560347557067871, 0.9488145411014557, 0.8759996294975281, 0.810619443655014, 0.9381752014160156, 0.9150401651859283, 0.8815436065196991, 0.9171032011508942, 0.853632003068924]",0.41379310344827586,0.3382352941176471,0.834221550822258,24,23,58,68,"[0.9369944334030151, 0.914624810218811, 0.7952340841293335, 0.9133652448654175, 0.9222555160522461, 0.8276352286338806, 0.9347278475761414, 0.9011052846908569, 0.8659840822219849, 0.8663955330848694, 0.9468600451946259, 0.7187484800815582, 0.8560347557067871, 0.9488145411014557, 0.7187484800815582, 0.8759996294975281, 0.810619443655014, 0.7187484800815582, 0.9381752014160156, 0.7187484800815582, 0.7272570133209229, 0.9150401651859283, 0.7187484800815582, 0.7187484800815582, 0.7272570133209229, 0.8815436065196991, 0.7187484800815582, 0.9171032011508942, 0.7187484800815582, 0.853632003068924]",0.5517241379310345,0.47058823529411764,0.7811450626362454,32,32,58,68,"[0.9369944334030151, 0.914624810218811, 0.7952340841293335, 0.9133652448654175, 0.6954556703567505, 0.6827831864356995, 0.9222555160522461, 0.8276352286338806, 0.9347278475761414, 0.9011052846908569, 0.8659840822219849, 0.8663955330848694, 0.9468600451946259, 0.7187484800815582, 0.6373646259307861, 0.8560347557067871, 0.6876769661903381, 0.6373646259307861, 0.9488145411014557, 0.7187484800815582, 0.6901657432317734, 0.6715203523635864, 0.8759996294975281, 0.810619443655014, 0.7187484800815582, 0.9381752014160156, 0.7187484800815582, 0.6901657432317734, 0.7272570133209229, 0.9150401651859283, 0.7187484800815582, 0.6290484368801117, 0.7187484800815582, 0.7272570133209229, 0.8815436065196991, 0.7187484800815582, 0.6320186257362366, 0.9171032011508942, 0.6898265033960342, 0.62246373295784, 0.7187484800815582, 0.6880555152893066, 0.6898265033960342, 0.853632003068924]",0.6896551724137931,0.5294117647058824,0.7392027444309659,40,36,58,68,"[0.9369944334030151, 0.914624810218811, 0.7952340841293335, 0.9133652448654175, 0.6954556703567505, 0.6827831864356995, 0.9222555160522461, 0.8276352286338806, 0.9347278475761414, 0.9011052846908569, 0.5592326521873474, 0.558588445186615, 0.8659840822219849, 0.5592326521873474, 0.558588445186615, 0.8663955330848694, 0.9468600451946259, 0.7187484800815582, 0.6373646259307861, 0.8560347557067871, 0.6876769661903381, 0.6373646259307861, 0.9488145411014557, 0.7187484800815582, 0.5539378523826599, 0.6901657432317734, 0.6715203523635864, 0.8759996294975281, 0.810619443655014, 0.7187484800815582, 0.9381752014160156, 0.7187484800815582, 0.6901657432317734, 0.7272570133209229, 0.9150401651859283, 0.7187484800815582, 0.6290484368801117, 0.7187484800815582, 0.7272570133209229, 0.5975792706012726, 0.8815436065196991, 0.7187484800815582, 0.5141031295061111, 0.548444390296936, 0.6320186257362366, 0.9171032011508942, 0.6898265033960342, 0.5729415714740753, 0.62246373295784, 0.7187484800815582, 0.6880555152893066, 0.5239170342683792, 0.6898265033960342, 0.853632003068924]",0.8275862068965517,0.6470588235294118,0.6538312837061747,48,44,58,68,"[0.9369944334030151, 0.914624810218811, 0.7952340841293335, 0.9133652448654175, 0.6954556703567505, 0.38408148288726807, 0.6827831864356995, 0.9222555160522461, 0.8276352286338806, 0.23080575466156006, 0.9347278475761414, 0.9011052846908569, 0.5592326521873474, 0.558588445186615, 0.23080575466156006, 0.8659840822219849, 0.3111215829849243, 0.5592326521873474, 0.558588445186615, 0.8663955330848694, 0.3790052831172943, 0.3111215829849243, 0.9468600451946259, 0.7187484800815582, 0.6373646259307861, 0.38567428290843964, 0.3700365722179413, 0.8560347557067871, 0.6876769661903381, 0.6373646259307861, 0.38567428290843964, 0.9488145411014557, 0.7187484800815582, 0.5539378523826599, 0.6901657432317734, 0.6715203523635864, 0.8759996294975281, 0.43646544218063354, 0.810619443655014, 0.7187484800815582, 0.9381752014160156, 0.7187484800815582, 0.37183571606874466, 0.6901657432317734, 0.46159684658050537, 0.7272570133209229, 0.9150401651859283, 0.7187484800815582, 0.6290484368801117, 0.7187484800815582, 0.4691661596298218, 0.7272570133209229, 0.5975792706012726, 0.44839368760585785, 0.8815436065196991, 0.7187484800815582, 0.5141031295061111, 0.548444390296936, 0.6320186257362366, 0.46804550290107727, 0.9171032011508942, 0.6898265033960342, 0.5729415714740753, 0.46700045466423035, 0.62246373295784, 0.3942425549030304, 0.7187484800815582, 0.6880555152893066, 0.5239170342683792, 0.6898265033960342, 0.853632003068924]"
16,0.05555555555555555,0.06666666666666667,0.9794160425662994,1,1,18,15,[0.9794160425662994],0.1111111111111111,0.13333333333333333,0.9387800842523575,2,2,18,15,"[0.8981441259384155, 0.9794160425662994]",0.3888888888888889,0.4,0.7946609939847674,7,6,18,15,"[0.7041874527931213, 0.7270121574401855, 0.772196888923645, 0.742853969335556, 0.8981441259384155, 0.7388163208961487, 0.9794160425662994]",0.6666666666666666,0.5333333333333333,0.7226536561335836,12,8,18,15,"[0.7041874527931213, 0.7270121574401855, 0.772196888923645, 0.742853969335556, 0.8981441259384155, 0.6422725021839142, 0.7388163208961487, 0.6249897181987762, 0.6230525821447372, 0.6791382730007172, 0.6418304741382599, 0.9794160425662994, 0.672680139541626, 0.6705605387687683]",0.8888888888888888,0.9333333333333333,0.6557426439679187,16,14,18,15,"[0.7041874527931213, 0.7270121574401855, 0.772196888923645, 0.742853969335556, 0.56644606590271, 0.5261976718902588, 0.5389059782028198, 0.8981441259384155, 0.5807614624500275, 0.6422725021839142, 0.7388163208961487, 0.6249897181987762, 0.5784564912319183, 0.6230525821447372, 0.5817633867263794, 0.6791382730007172, 0.6418304741382599, 0.9794160425662994, 0.672680139541626, 0.5019041001796722, 0.5499056428670883, 0.5405888259410858, 0.6705605387687683]",1.0,0.9333333333333333,0.6008764649591138,18,14,18,15,"[0.7041874527931213, 0.7270121574401855, 0.772196888923645, 0.742853969335556, 0.56644606590271, 0.5261976718902588, 0.5389059782028198, 0.49277806282043457, 0.8981441259384155, 0.47339752316474915, 0.5807614624500275, 0.4374399185180664, 0.6422725021839142, 0.7388163208961487, 0.6249897181987762, 0.47100502252578735, 0.38251297175884247, 0.5784564912319183, 0.4337213486433029, 0.6230525821447372, 0.5817633867263794, 0.37833070755004883, 0.6791382730007172, 0.6418304741382599, 0.9794160425662994, 0.672680139541626, 0.5019041001796722, 0.5499056428670883, 0.5405888259410858, 0.47590404748916626, 0.6705605387687683]"
17,0.0,0.0,0.0,0,0,19,26,[],0.0,0.0,0.0,0,0,19,26,[],0.0,0.0,0.0,0,0,19,26,[],0.0,0.0,0.0,0,0,19,26,[],0.0,0.0,0.0,0,0,19,26,[],0.0,0.0,0.0,0,0,19,26,[]
12,0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[],0.0,0.0,0.0,0,0,24,26,[]
10,0.0,0.0,0.0,0,0,44,43,[],0.0,0.0,0.0,0,0,44,43,[],0.0,0.0,0.0,0,0,44,43,[],0.0,0.0,0.0,0,0,44,43,[],0.0,0.0,0.0,0,0,44,43,[],0.0,0.0,0.0,0,0,44,43,[]
11,0.07692307692307693,0.25,0.9683227837085724,1,1,13,4,[0.9683227837085724],0.07692307692307693,0.25,0.9683227837085724,1,1,13,4,[0.9683227837085724],0.07692307692307693,0.25,0.9683227837085724,1,1,13,4,[0.9683227837085724],0.15384615384615385,0.5,0.8306272327899933,2,2,13,4,"[0.9683227837085724, 0.6929316818714142]",0.23076923076923078,0.75,0.7280938227971395,3,3,13,4,"[0.5230270028114319, 0.9683227837085724, 0.6929316818714142]",0.3076923076923077,1.0,0.6229669600725174,4,4,13,4,"[0.5230270028114319, 0.3075863718986511, 0.9683227837085724, 0.6929316818714142]"
9,0.0,0.0,0.0,0,0,17,18,[],0.0,0.0,0.0,0,0,17,18,[],0.0,0.0,0.0,0,0,17,18,[],0.0,0.0,0.0,0,0,17,18,[],0.0,0.0,0.0,0,0,17,18,[],0.0,0.0,0.0,0,0,17,18,[]
8,0.13157894736842105,0.13513513513513514,0.9388132572174073,5,5,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.9643054604530334, 0.9424187541007996]",0.2894736842105263,0.2972972972972973,0.8930051489309832,11,11,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.9643054604530334, 0.8313333690166473, 0.8838719427585602, 0.8047388195991516, 0.8891947269439697, 0.9424187541007996, 0.8223404884338379, 0.8975110054016113]",0.42105263157894735,0.43243243243243246,0.835762132616604,16,16,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.7418029308319092, 0.7021351754665375, 0.7489277422428131, 0.7421224117279053, 0.9643054604530334, 0.8313333690166473, 0.8838719427585602, 0.8047388195991516, 0.8891947269439697, 0.7224678993225098, 0.9424187541007996, 0.8223404884338379, 0.7274434566497803, 0.8975110054016113]",0.6052631578947368,0.5405405405405406,0.7701698942826345,23,20,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.6253734230995178, 0.7418029308319092, 0.7021351754665375, 0.645780622959137, 0.6907284259796143, 0.6680831909179688, 0.7489277422428131, 0.7421224117279053, 0.9643054604530334, 0.6708938181400299, 0.8313333690166473, 0.8838719427585602, 0.8047388195991516, 0.8891947269439697, 0.7224678993225098, 0.9424187541007996, 0.8223404884338379, 0.7274434566497803, 0.6304996013641357, 0.6463924646377563, 0.8975110054016113, 0.6168344020843506, 0.6218750476837158]",0.631578947368421,0.5405405405405406,0.7543620594910213,24,20,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.6253734230995178, 0.7418029308319092, 0.7021351754665375, 0.645780622959137, 0.6907284259796143, 0.6680831909179688, 0.7489277422428131, 0.7421224117279053, 0.9643054604530334, 0.6708938181400299, 0.8313333690166473, 0.8838719427585602, 0.8047388195991516, 0.8891947269439697, 0.7224678993225098, 0.9424187541007996, 0.8223404884338379, 0.7274434566497803, 0.6304996013641357, 0.6463924646377563, 0.8975110054016113, 0.5588322877883911, 0.6168344020843506, 0.5388881266117096, 0.6218750476837158]",0.7368421052631579,0.6216216216216216,0.6576984744322928,28,23,38,37,"[0.9082492589950562, 0.9221844673156738, 0.9569083452224731, 0.6253734230995178, 0.3606390357017517, 0.4048839211463928, 0.7418029308319092, 0.7021351754665375, 0.645780622959137, 0.473898321390152, 0.6907284259796143, 0.6680831909179688, 0.7489277422428131, 0.7421224117279053, 0.9643054604530334, 0.6708938181400299, 0.4914507269859314, 0.8313333690166473, 0.8838719427585602, 0.8047388195991516, 0.8891947269439697, 0.7224678993225098, 0.9424187541007996, 0.4911397099494934, 0.8223404884338379, 0.7274434566497803, 0.6304996013641357, 0.6463924646377563, 0.29737144708633423, 0.31000465154647827, 0.46507346630096436, 0.8975110054016113, 0.29234880208969116, 0.2835942804813385, 0.5588322877883911, 0.6168344020843506, 0.5388881266117096, 0.6218750476837158]"
5,0.10526315789473684,0.10526315789473684,0.9453592449426651,2,2,19,19,"[0.9595651924610138, 0.9311532974243164]",0.15789473684210525,0.15789473684210525,0.9022645652294159,3,3,19,19,"[0.9595651924610138, 0.9311532974243164, 0.8160752058029175]",0.21052631578947367,0.21052631578947367,0.8705874085426331,4,4,19,19,"[0.7755559384822845, 0.9595651924610138, 0.9311532974243164, 0.8160752058029175]",0.21052631578947367,0.21052631578947367,0.8705874085426331,4,4,19,19,"[0.7755559384822845, 0.9595651924610138, 0.9311532974243164, 0.8160752058029175]",0.42105263157894735,0.42105263157894735,0.6947893369942904,8,8,19,19,"[0.5230268836021423, 0.7755559384822845, 0.9595651924610138, 0.5399266481399536, 0.5089089423418045, 0.5041025876998901, 0.9311532974243164, 0.8160752058029175]",0.7894736842105263,0.6842105263157895,0.5573247422774633,15,13,19,19,"[0.5230268836021423, 0.2647680640220642, 0.7755559384822845, 0.9595651924610138, 0.5399266481399536, 0.40794336795806885, 0.3897942304611206, 0.5089089423418045, 0.4826277792453766, 0.46228572726249695, 0.5041025876998901, 0.4769907295703888, 0.31714653968811035, 0.9311532974243164, 0.8160752058029175]"
