file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,0,0,0.0,0.0,9,10,9,10
14.txt,0,0,0.0,0.0,76,78,76,78
16.txt,16,16,0.7619047619047619,0.7272727272727273,21,22,5,6
17.txt,0,0,0.0,0.0,31,29,31,29
12.txt,29,25,0.9666666666666667,0.7352941176470589,30,34,1,9
10.txt,0,0,0.0,0.0,54,56,54,56
11.txt,12,15,1.0,0.7142857142857143,12,21,0,6
9.txt,14,15,0.7777777777777778,0.8823529411764706,18,17,4,2
8.txt,0,0,0.0,0.0,41,34,41,34
5.txt,20,20,0.8,0.6060606060606061,25,33,5,13
4.txt,16,16,1.0,0.7272727272727273,16,22,0,6
6.txt,31,32,1.0,0.8,31,40,0,8
7.txt,22,22,0.88,0.7096774193548387,25,31,3,9
3.txt,8,9,0.8,0.6428571428571429,10,14,2,5
2.txt,0,0,0.0,0.0,26,23,26,23
1.txt,22,21,1.0,0.875,22,24,0,3
20.txt,0,0,0.0,0.0,35,61,35,61
21.txt,0,0,0.0,0.0,39,57,39,57
19.txt,36,36,0.9,0.8,40,45,4,9
18.txt,0,0,0.0,0.0,22,28,22,28
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.4943,Average of coverage_2_to_1: 0.4110,,,,
