file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,0,0,0.0,0.0,9,9,9,9
14.txt,62,63,0.8732394366197183,0.8289473684210527,71,76,9,13
16.txt,0,0,0.0,0.0,23,21,23,21
17.txt,0,0,0.0,0.0,30,31,30,31
12.txt,24,24,0.5714285714285714,0.8,42,30,18,6
10.txt,0,0,0.0,0.0,49,54,49,54
11.txt,17,12,0.7727272727272727,1.0,22,12,5,0
9.txt,15,15,0.8823529411764706,0.8333333333333334,17,18,2,3
8.txt,0,0,0.0,0.0,26,41,26,41
5.txt,0,0,0.0,0.0,31,25,31,25
4.txt,18,16,0.8181818181818182,1.0,22,16,4,0
6.txt,27,27,0.7941176470588235,0.8709677419354839,34,31,7,4
7.txt,21,19,0.9130434782608695,0.76,23,25,2,6
3.txt,0,0,0.0,0.0,15,10,15,10
2.txt,16,22,0.8,0.8461538461538461,20,26,4,4
1.txt,21,20,0.7777777777777778,0.9090909090909091,27,22,6,2
20.txt,33,33,0.6226415094339622,0.9428571428571428,53,35,20,2
21.txt,35,35,0.7142857142857143,0.8974358974358975,49,39,14,4
19.txt,0,0,0.0,0.0,43,40,43,40
18.txt,22,22,0.7333333333333333,1.0,30,22,8,0
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.4637,Average of coverage_2_to_1: 0.5344,,,,
