File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.0,0.0,0,0,0,6,6,[],0.16666666666666666,0.16666666666666666,0.8426770567893982,1,1,6,6,[0.8426770567893982],0.6666666666666666,0.6666666666666666,0.7757806479930878,4,4,6,6,"[0.7951399683952332, 0.738233745098114, 0.8426770567893982, 0.7270718216896057]",0.8333333333333334,0.8333333333333334,0.7575992465019226,5,5,6,6,"[0.7951399683952332, 0.738233745098114, 0.684873640537262, 0.8426770567893982, 0.7270718216896057]",1.0,1.0,0.7310739333430926,6,6,6,6,"[0.7951399683952332, 0.738233745098114, 0.5984473675489426, 0.684873640537262, 0.8426770567893982, 0.7270718216896057]",1.0,1.0,0.7310739333430926,6,6,6,6,"[0.7951399683952332, 0.738233745098114, 0.5984473675489426, 0.684873640537262, 0.8426770567893982, 0.7270718216896057]"
14,0.0,0.0,0.0,0,0,68,56,[],0.0,0.0,0.0,0,0,68,56,[],0.0,0.0,0.0,0,0,68,56,[],0.0,0.0,0.0,0,0,68,56,[],0.0,0.0,0.0,0,0,68,56,[],0.0,0.0,0.0,0,0,68,56,[]
16,0.0,0.0,0.0,0,0,15,11,[],0.0,0.0,0.0,0,0,15,11,[],0.0,0.0,0.0,0,0,15,11,[],0.0,0.0,0.0,0,0,15,11,[],0.0,0.0,0.0,0,0,15,11,[],0.0,0.0,0.0,0,0,15,11,[]
17,0.0,0.0,0.0,0,0,26,19,[],0.0,0.0,0.0,0,0,26,19,[],0.0,0.0,0.0,0,0,26,19,[],0.0,0.0,0.0,0,0,26,19,[],0.0,0.0,0.0,0,0,26,19,[],0.0,0.0,0.0,0,0,26,19,[]
12,0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[]
10,0.0,0.0,0.0,0,0,43,49,[],0.0,0.0,0.0,0,0,43,49,[],0.0,0.0,0.0,0,0,43,49,[],0.0,0.0,0.0,0,0,43,49,[],0.0,0.0,0.0,0,0,43,49,[],0.0,0.0,0.0,0,0,43,49,[]
11,0.75,0.75,0.9552025695641836,3,3,4,4,"[0.9231321215629578, 0.9781843721866608, 0.9642912149429321]",0.75,0.75,0.9552025695641836,3,3,4,4,"[0.9231321215629578, 0.9781843721866608, 0.9642912149429321]",0.75,0.75,0.9552025695641836,3,3,4,4,"[0.9231321215629578, 0.9781843721866608, 0.9642912149429321]",0.75,0.75,0.9552025695641836,3,3,4,4,"[0.9231321215629578, 0.9781843721866608, 0.9642912149429321]",0.75,0.75,0.9552025695641836,3,3,4,4,"[0.9231321215629578, 0.9781843721866608, 0.9642912149429321]",1.0,1.0,0.8381823822855949,4,4,4,4,"[0.9231321215629578, 0.4871218204498291, 0.9781843721866608, 0.9642912149429321]"
9,0.16666666666666666,0.1875,0.9487814406553904,3,3,18,16,"[0.9982461631298065, 0.9453074932098389, 0.9027906656265259]",0.2777777777777778,0.3125,0.8998065710067749,5,5,18,16,"[0.9982461631298065, 0.8499048054218292, 0.9453074932098389, 0.9027906656265259, 0.802783727645874]",0.6111111111111112,0.6875,0.8221371038393541,11,11,18,16,"[0.7684234380722046, 0.9982461631298065, 0.8499048054218292, 0.9453074932098389, 0.743679404258728, 0.7616104483604431, 0.9027906656265259, 0.7155312299728394, 0.7846504747867584, 0.7705802917480469, 0.802783727645874]",0.6666666666666666,0.75,0.8060869549711546,12,12,18,16,"[0.7684234380722046, 0.9982461631298065, 0.8499048054218292, 0.9453074932098389, 0.743679404258728, 0.7616104483604431, 0.9027906656265259, 0.6295353174209595, 0.7155312299728394, 0.7846504747867584, 0.7705802917480469, 0.802783727645874]",0.6666666666666666,0.75,0.8060869549711546,12,12,18,16,"[0.7684234380722046, 0.9982461631298065, 0.8499048054218292, 0.9453074932098389, 0.743679404258728, 0.7616104483604431, 0.9027906656265259, 0.6295353174209595, 0.7155312299728394, 0.7846504747867584, 0.7705802917480469, 0.802783727645874]",0.9444444444444444,0.9375,0.6995281892664292,17,15,18,16,"[0.45115935802459717, 0.7684234380722046, 0.9982461631298065, 0.8499048054218292, 0.9453074932098389, 0.743679404258728, 0.4818320572376251, 0.7616104483604431, 0.46496355533599854, 0.4235050082206726, 0.9027906656265259, 0.6295353174209595, 0.7155312299728394, 0.3974757790565491, 0.7846504747867584, 0.7705802917480469, 0.802783727645874]"
8,0.0,0.0,0.0,0,0,37,17,[],0.0,0.0,0.0,0,0,37,17,[],0.0,0.0,0.0,0,0,37,17,[],0.0,0.0,0.0,0,0,37,17,[],0.0,0.0,0.0,0,0,37,17,[],0.0,0.0,0.0,0,0,37,17,[]
5,0.15789473684210525,0.16666666666666666,0.921457439661026,3,3,19,18,"[0.9231321811676025, 0.9100868403911591, 0.9311532974243164]",0.15789473684210525,0.16666666666666666,0.921457439661026,3,3,19,18,"[0.9231321811676025, 0.9100868403911591, 0.9311532974243164]",0.2631578947368421,0.2777777777777778,0.8431446969509124,5,5,19,18,"[0.9231321811676025, 0.7504144310951233, 0.9100868403911591, 0.9311532974243164, 0.7009367346763611]",0.2631578947368421,0.2777777777777778,0.8431446969509124,5,5,19,18,"[0.9231321811676025, 0.7504144310951233, 0.9100868403911591, 0.9311532974243164, 0.7009367346763611]",0.3684210526315789,0.3888888888888889,0.7584466082709176,7,7,19,18,"[0.9231321811676025, 0.5449846386909485, 0.7504144310951233, 0.9100868403911591, 0.5484181344509125, 0.9311532974243164, 0.7009367346763611]",1.0,0.7777777777777778,0.5275861236609911,19,14,19,18,"[0.9231321811676025, 0.5449846386909485, 0.7504144310951233, 0.9100868403911591, 0.489895761013031, 0.5484181344509125, 0.41404029726982117, 0.3976975977420807, 0.39654022455215454, 0.3825187236070633, 0.3629857301712036, 0.4939967393875122, 0.47196272015571594, 0.38255101442337036, 0.27013513445854187, 0.27013513445854187, 0.38255101442337036, 0.9311532974243164, 0.7009367346763611]"
4,0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[]
6,0.0,0.0,0.0,0,0,26,33,[],0.0,0.0,0.0,0,0,26,33,[],0.0,0.0,0.0,0,0,26,33,[],0.0,0.0,0.0,0,0,26,33,[],0.0,0.0,0.0,0,0,26,33,[],0.0,0.0,0.0,0,0,26,33,[]
7,0.1,0.13333333333333333,0.9290119558572769,2,2,20,15,"[0.922694057226181, 0.9353298544883728]",0.1,0.13333333333333333,0.9290119558572769,2,2,20,15,"[0.922694057226181, 0.9353298544883728]",0.15,0.2,0.872703621784846,3,3,20,15,"[0.922694057226181, 0.7600869536399841, 0.9353298544883728]",0.45,0.4666666666666667,0.7064386199821125,9,7,20,15,"[0.6129515469074249, 0.6115853786468506, 0.6272175908088684, 0.922694057226181, 0.6409068405628204, 0.6949898898601532, 0.6842373311519623, 0.7600869536399841, 0.646510124206543, 0.9353298544883728, 0.6343152523040771]",0.6,0.6666666666666666,0.6484008273657631,12,10,20,15,"[0.5695425271987915, 0.6129515469074249, 0.5186257064342499, 0.6115853786468506, 0.6272175908088684, 0.922694057226181, 0.6409068405628204, 0.6949898898601532, 0.6842373311519623, 0.5448688864707947, 0.5404756218194962, 0.7600869536399841, 0.646510124206543, 0.5750665068626404, 0.9353298544883728, 0.6343152523040771, 0.5034099966287613]",0.85,0.8666666666666667,0.5306307331279472,17,13,20,15,"[0.33084970712661743, 0.5695425271987915, 0.6129515469074249, 0.5186257064342499, 0.6115853786468506, 0.6272175908088684, 0.26582327485084534, 0.922694057226181, 0.6409068405628204, 0.6949898898601532, 0.6842373311519623, 0.5448688864707947, 0.5404756218194962, 0.7600869536399841, 0.646510124206543, 0.5750665068626404, 0.9353298544883728, 0.6343152523040771, 0.25286468863487244, 0.33298614621162415, 0.28615084290504456, 0.2760637700557709, 0.41578248143196106, 0.32176095247268677, 0.37635645270347595, 0.5034099966287613, 0.4455774128437042]"
3,0.0,0.0,0,0,0,8,7,[],0.375,0.42857142857142855,0.8474568823973337,3,3,8,7,"[0.86123326420784, 0.8489492535591125, 0.8321881294250488]",0.375,0.42857142857142855,0.8474568823973337,3,3,8,7,"[0.86123326420784, 0.8489492535591125, 0.8321881294250488]",0.375,0.42857142857142855,0.8474568823973337,3,3,8,7,"[0.86123326420784, 0.8489492535591125, 0.8321881294250488]",0.5,0.5714285714285714,0.7797533646225929,4,4,8,7,"[0.5766428112983704, 0.86123326420784, 0.8489492535591125, 0.8321881294250488]",0.875,0.8571428571428571,0.6428740109716143,7,6,8,7,"[0.5766428112983704, 0.4927592873573303, 0.86123326420784, 0.8489492535591125, 0.8321881294250488, 0.46175435185432434, 0.4265909790992737]"
2,0.058823529411764705,0.14285714285714285,0.9095150232315063,1,1,17,7,[0.9095150232315063],0.058823529411764705,0.14285714285714285,0.9095150232315063,1,1,17,7,[0.9095150232315063],0.058823529411764705,0.14285714285714285,0.9095150232315063,1,1,17,7,[0.9095150232315063],0.058823529411764705,0.14285714285714285,0.9095150232315063,1,1,17,7,[0.9095150232315063],0.058823529411764705,0.14285714285714285,0.9095150232315063,1,1,17,7,[0.9095150232315063],0.35294117647058826,1.0,0.4796502803053175,6,7,17,7,"[0.9095150232315063, 0.28581228852272034, 0.3836735785007477, 0.4298502206802368, 0.3864903450012207, 0.4687129855155945, 0.4934975206851959]"
1,0.058823529411764705,0.0625,0.9200716912746429,1,1,17,16,[0.9200716912746429],0.35294117647058826,0.375,0.8606948802868525,6,6,17,16,"[0.9200716912746429, 0.8728965520858765, 0.8154278993606567, 0.8380312919616699, 0.8948822617530823, 0.8228595852851868]",0.5294117647058824,0.5625,0.81927689909935,9,9,17,16,"[0.7811745405197144, 0.9200716912746429, 0.8728965520858765, 0.8154278993606567, 0.8380312919616699, 0.7127273082733154, 0.7154209613800049, 0.8948822617530823, 0.8228595852851868]",0.6470588235294118,0.6875,0.7924913601441816,11,11,17,16,"[0.7811745405197144, 0.6533898115158081, 0.6905230581760406, 0.9200716912746429, 0.8728965520858765, 0.8154278993606567, 0.8380312919616699, 0.7127273082733154, 0.7154209613800049, 0.8948822617530823, 0.8228595852851868]",0.7647058823529411,0.8125,0.7439439349940845,13,13,17,16,"[0.7811745405197144, 0.5529320240020752, 0.6533898115158081, 0.6905230581760406, 0.9200716912746429, 0.8728965520858765, 0.8154278993606567, 0.59898342192173, 0.8380312919616699, 0.5458946824073792, 0.7127273082733154, 0.7154209613800049, 0.8948822617530823, 0.8228595852851868]",0.8235294117647058,0.875,0.7193532715241114,14,14,17,16,"[0.7811745405197144, 0.5529320240020752, 0.6533898115158081, 0.6905230581760406, 0.3750839829444885, 0.9200716912746429, 0.8728965520858765, 0.8154278993606567, 0.59898342192173, 0.8380312919616699, 0.5458946824073792, 0.7127273082733154, 0.7154209613800049, 0.8948822617530823, 0.8228595852851868]"
20,0.05,0.047619047619047616,0.9231321215629578,1,1,20,21,[0.9231321215629578],0.1,0.09523809523809523,0.9075624197721481,2,2,20,21,"[0.9231321215629578, 0.8919927179813385]",0.2,0.19047619047619047,0.8528067395091057,4,4,20,21,"[0.9231321215629578, 0.7994741797447205, 0.8919927179813385, 0.796627938747406]",0.25,0.23809523809523808,0.8188339382410049,5,5,20,21,"[0.9231321215629578, 0.7994741797447205, 0.682942733168602, 0.8919927179813385, 0.796627938747406]",0.5,0.2857142857142857,0.6812420129776001,10,6,20,21,"[0.9231321215629578, 0.7994741797447205, 0.682942733168602, 0.5252768695354462, 0.5209606736898422, 0.5593204498291016, 0.5402859747409821, 0.5724064707756042, 0.8919927179813385, 0.796627938747406]",1.0,0.5238095238095238,0.5479539908468724,20,11,20,21,"[0.9231321215629578, 0.348354309797287, 0.7994741797447205, 0.682942733168602, 0.39927028119564056, 0.45779256522655487, 0.45866820216178894, 0.47594691812992096, 0.5252768695354462, 0.5209606736898422, 0.5593204498291016, 0.49534857273101807, 0.4970342665910721, 0.5402859747409821, 0.5724064707756042, 0.35051603615283966, 0.8919927179813385, 0.796627938747406, 0.33186426758766174, 0.33186426758766174]"
21,0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[]
19,0.0,0.0,0.0,0,0,35,40,[],0.0,0.0,0.0,0,0,35,40,[],0.0,0.0,0.0,0,0,35,40,[],0.0,0.0,0.0,0,0,35,40,[],0.0,0.0,0.0,0,0,35,40,[],0.0,0.0,0.0,0,0,35,40,[]
18,0.0,0.0,0,0,0,12,11,[],0.08333333333333333,0.09090909090909091,0.8969746828079224,1,1,12,11,[0.8969746828079224],0.16666666666666666,0.18181818181818182,0.8025509938597679,2,2,12,11,"[0.8969746828079224, 0.7081273049116135]",0.3333333333333333,0.36363636363636365,0.7356680147349834,4,4,12,11,"[0.8969746828079224, 0.7081273049116135, 0.6753311455249786, 0.6622389256954193]",0.5833333333333334,0.5454545454545454,0.6487228146621159,7,6,12,11,"[0.8969746828079224, 0.5649086236953735, 0.7081273049116135, 0.6753311455249786, 0.5114167779684067, 0.5220622420310974, 0.6622389256954193]",0.6666666666666666,0.6363636363636364,0.6282606460154057,8,7,12,11,"[0.8969746828079224, 0.5649086236953735, 0.7081273049116135, 0.6753311455249786, 0.5114167779684067, 0.5220622420310974, 0.48502546548843384, 0.6622389256954193]"

Average thr 0.9,0.06711042311661507,0.07452380952380952,0.3253586120903492
Average thr 0.8,0.1211218610251118,0.13308712121212124,0.4485179740687212
Average thr 0.7,0.1885418816649467,0.20440836940836943,0.42502875891147235
Average thr 0.6,0.23136867905056757,0.2469218975468975,0.4086218653359648
Average thr 0.5,0.28959752321981425,0.295675505050505,0.3831194022001506
Average thr no,0.42562908496732027,0.4237130230880231,0.3172546780673688
