file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,8,1.0,0.8888888888888888,9,9,0,1
14.txt,56,52,0.7368421052631579,0.9122807017543859,76,57,20,5
16.txt,18,18,0.8571428571428571,0.6923076923076923,21,26,3,8
17.txt,27,25,0.8709677419354839,0.8333333333333334,31,30,4,5
12.txt,30,26,1.0,0.8666666666666667,30,30,0,4
10.txt,43,44,0.7962962962962963,0.7586206896551724,54,58,11,14
11.txt,12,17,1.0,1.0,12,17,0,0
9.txt,18,20,1.0,0.9090909090909091,18,22,0,2
8.txt,37,34,0.9024390243902439,0.8947368421052632,41,38,4,4
5.txt,23,20,0.92,0.8,25,25,2,5
4.txt,16,17,1.0,0.9444444444444444,16,18,0,1
6.txt,31,31,1.0,1.0,31,31,0,0
7.txt,22,23,0.88,0.8846153846153846,25,26,3,3
3.txt,8,9,0.8,1.0,10,9,2,0
2.txt,24,21,0.9230769230769231,0.8076923076923077,26,26,2,5
1.txt,19,18,0.8636363636363636,1.0,22,18,3,0
20.txt,35,35,1.0,0.813953488372093,35,43,0,8
21.txt,39,42,1.0,0.8571428571428571,39,49,0,7
19.txt,33,34,0.825,0.8947368421052632,40,38,7,4
18.txt,21,20,0.9545454545454546,1.0,22,20,1,0
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.9165,Average of coverage_2_to_1: 0.8879,,,,
