File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.3333333333333333,0.3333333333333333,0.9516003131866455,2,2,6,6,"[0.9306046366691589, 0.9725959897041321]",0.3333333333333333,0.3333333333333333,0.9516003131866455,2,2,6,6,"[0.9306046366691589, 0.9725959897041321]",0.6666666666666666,0.6666666666666666,0.8573697432875633,4,4,6,6,"[0.9306046366691589, 0.7499608397483826, 0.7763175070285797, 0.9725959897041321]",0.8333333333333334,0.8333333333333334,0.8103314757347106,5,5,6,6,"[0.9306046366691589, 0.7499608397483826, 0.7763175070285797, 0.9725959897041321, 0.6221784055233002]",0.8333333333333334,1.0,0.7686653758088747,5,6,6,6,"[0.9306046366691589, 0.7499608397483826, 0.7763175070285797, 0.9725959897041321, 0.5603348761796951, 0.6221784055233002]",1.0,1.0,0.7085205657141549,6,6,6,6,"[0.9306046366691589, 0.7499608397483826, 0.7763175070285797, 0.9725959897041321, 0.3476517051458359, 0.5603348761796951, 0.6221784055233002]"
14,0.21428571428571427,0.1323529411764706,0.9257057044241164,9,9,42,68,"[0.914624810218811, 0.9133651852607727, 0.919147253036499, 0.9306483566761017, 0.9563086330890656, 0.9048933982849121, 0.9646178185939789, 0.9157204329967499, 0.9120254516601562]",0.40476190476190477,0.23529411764705882,0.8875810239050124,17,16,42,68,"[0.8843792676925659, 0.914624810218811, 0.8404409885406494, 0.9133651852607727, 0.8350838422775269, 0.919147253036499, 0.8419512212276459, 0.9306483566761017, 0.9563086330890656, 0.9048933982849121, 0.8452157974243164, 0.9646178185939789, 0.8408650159835815, 0.9157204329967499, 0.9120254516601562, 0.8671985566616058, 0.8888708055019379, 0.8011015951633453]",0.5476190476190477,0.3235294117647059,0.8369301811412528,23,22,42,68,"[0.8843792676925659, 0.914624810218811, 0.8404409885406494, 0.9133651852607727, 0.7257359027862549, 0.8350838422775269, 0.919147253036499, 0.8419512212276459, 0.9306483566761017, 0.9563086330890656, 0.9048933982849121, 0.8452157974243164, 0.9646178185939789, 0.7292178273200989, 0.8408650159835815, 0.9157204329967499, 0.7292178273200989, 0.7903957664966583, 0.7292178273200989, 0.9120254516601562, 0.7292178273200989, 0.8671985566616058, 0.8888708055019379, 0.7292178273200989, 0.8011015951633453, 0.7292178273200989, 0.7292178273200989]",0.6428571428571429,0.35294117647058826,0.8039770903997123,27,24,42,68,"[0.8843792676925659, 0.914624810218811, 0.8404409885406494, 0.9133651852607727, 0.7257359027862549, 0.8350838422775269, 0.919147253036499, 0.8419512212276459, 0.9306483566761017, 0.9563086330890656, 0.9048933982849121, 0.8452157974243164, 0.9646178185939789, 0.7292178273200989, 0.8408650159835815, 0.6332328021526337, 0.6288900077342987, 0.9157204329967499, 0.7292178273200989, 0.6434509754180908, 0.7903957664966583, 0.7292178273200989, 0.9120254516601562, 0.7292178273200989, 0.8671985566616058, 0.6141366511583328, 0.6104415655136108, 0.8888708055019379, 0.7292178273200989, 0.8011015951633453, 0.7292178273200989, 0.7292178273200989]",0.6666666666666666,0.39705882352941174,0.7690663277297407,28,27,42,68,"[0.8843792676925659, 0.914624810218811, 0.8404409885406494, 0.9133651852607727, 0.7257359027862549, 0.8350838422775269, 0.919147253036499, 0.8419512212276459, 0.9306483566761017, 0.9563086330890656, 0.9048933982849121, 0.8452157974243164, 0.9646178185939789, 0.7292178273200989, 0.8408650159835815, 0.6332328021526337, 0.6288900077342987, 0.9157204329967499, 0.7292178273200989, 0.5123544931411743, 0.6434509754180908, 0.7903957664966583, 0.7292178273200989, 0.9120254516601562, 0.7292178273200989, 0.8671985566616058, 0.6141366511583328, 0.5922509282827377, 0.5167588889598846, 0.6104415655136108, 0.8888708055019379, 0.7292178273200989, 0.8011015951633453, 0.7292178273200989, 0.5802551209926605, 0.7292178273200989, 0.5265678018331528]",0.9285714285714286,0.6029411764705882,0.6215719233812957,39,41,42,68,"[0.8843792676925659, 0.914624810218811, 0.8404409885406494, 0.9133651852607727, 0.38408148288726807, 0.7257359027862549, 0.8350838422775269, 0.919147253036499, 0.8419512212276459, 0.2675633430480957, 0.9306483566761017, 0.9563086330890656, 0.4758889526128769, 0.38856813311576843, 0.31383049488067627, 0.9048933982849121, 0.25299936532974243, 0.264331191778183, 0.8452157974243164, 0.32962045073509216, 0.2602858692407608, 0.42870938777923584, 0.36681295931339264, 0.9646178185939789, 0.7292178273200989, 0.445191353559494, 0.38680025935173035, 0.8408650159835815, 0.6332328021526337, 0.3821270018815994, 0.6288900077342987, 0.38488228619098663, 0.9157204329967499, 0.7292178273200989, 0.4064251631498337, 0.5123544931411743, 0.6434509754180908, 0.7903957664966583, 0.7292178273200989, 0.9120254516601562, 0.7292178273200989, 0.24576278030872345, 0.2549906075000763, 0.8671985566616058, 0.6141366511583328, 0.5922509282827377, 0.5167588889598846, 0.6104415655136108, 0.4973665475845337, 0.8888708055019379, 0.7292178273200989, 0.8011015951633453, 0.7292178273200989, 0.42349258065223694, 0.5802551209926605, 0.7292178273200989, 0.4359872192144394, 0.5265678018331528]"
16,0.1111111111111111,0.13333333333333333,0.9169740676879883,2,2,18,15,"[0.9279487133026123, 0.9059994220733643]",0.1111111111111111,0.13333333333333333,0.9169740676879883,2,2,18,15,"[0.9279487133026123, 0.9059994220733643]",0.3333333333333333,0.3333333333333333,0.806840089460214,6,5,18,15,"[0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.9279487133026123, 0.9059994220733643, 0.7069443911314011]",0.5,0.6,0.7362286046147346,9,9,18,15,"[0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.9279487133026123, 0.6395142078399658, 0.6333173215389252, 0.6429870426654816, 0.9059994220733643, 0.7069443911314011, 0.6054269373416901]",0.7777777777777778,0.7333333333333333,0.6659935796633363,14,11,18,15,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.5841958522796631, 0.5241805911064148, 0.5841958522796631, 0.5241805911064148, 0.9279487133026123, 0.5538314580917358, 0.6395142078399658, 0.6333173215389252, 0.6429870426654816, 0.9059994220733643, 0.7069443911314011, 0.6054269373416901]",1.0,0.8666666666666667,0.620832835137844,18,13,18,15,"[0.5230268836021423, 0.7850971221923828, 0.772196888923645, 0.7428539991378784, 0.5841958522796631, 0.5241805911064148, 0.5841958522796631, 0.5241805911064148, 0.9279487133026123, 0.5538314580917358, 0.6395142078399658, 0.6333173215389252, 0.4438815712928772, 0.6429870426654816, 0.4676443189382553, 0.9059994220733643, 0.7069443911314011, 0.6054269373416901, 0.4726773202419281, 0.3765562176704407]"
17,0.34615384615384615,0.34615384615384615,0.9356424477365282,9,9,26,26,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.9536829590797424, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.9564968049526215]",0.4230769230769231,0.4230769230769231,0.9199646061116998,11,11,26,26,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.9536829590797424, 0.8422291874885559, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.8565994501113892, 0.9564968049526215]",0.5,0.5,0.8958327976556925,13,13,26,26,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.9536829590797424, 0.8422291874885559, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.7644199728965759, 0.8565994501113892, 0.7617957293987274, 0.9564968049526215]",0.6923076923076923,0.6538461538461539,0.8241921812295914,18,17,26,26,"[0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.9536829590797424, 0.8422291874885559, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.6907426118850708, 0.6118428707122803, 0.6374363899230957, 0.6264470815658569, 0.7644199728965759, 0.8565994501113892, 0.7617957293987274, 0.9564968049526215, 0.6231639385223389]",0.7692307692307693,0.6923076923076923,0.79565474614501,20,18,26,26,"[0.5230268239974976, 0.9176923036575317, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.5546088367700577, 0.9536829590797424, 0.8422291874885559, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.6907426118850708, 0.6118428707122803, 0.6374363899230957, 0.6264470815658569, 0.7644199728965759, 0.8565994501113892, 0.7617957293987274, 0.9564968049526215, 0.6231639385223389]",0.8461538461538461,0.7692307692307693,0.7265471145510674,22,20,26,26,"[0.5230268239974976, 0.9176923036575317, 0.28434455394744873, 0.915660560131073, 0.9328898787498474, 0.9768586158752441, 0.5546088367700577, 0.4506034255027771, 0.376118004322052, 0.41296984255313873, 0.9536829590797424, 0.8422291874885559, 0.920333743095398, 0.926138311624527, 0.9210288524627686, 0.6907426118850708, 0.6118428707122803, 0.6374363899230957, 0.6264470815658569, 0.7644199728965759, 0.8565994501113892, 0.7617957293987274, 0.9564968049526215, 0.6231639385223389]"
12,0.2,0.19230769230769232,0.948805284500122,5,5,25,26,"[0.9506252408027649, 0.9208300709724426, 0.9754362106323242, 0.9788209795951843, 0.9183139204978943]",0.56,0.5384615384615384,0.8774923618350711,14,14,25,26,"[0.9506252408027649, 0.9208300709724426, 0.9754362106323242, 0.8378877639770508, 0.8753130435943604, 0.8292970359325409, 0.8113113641738892, 0.9788209795951843, 0.839970052242279, 0.8406730890274048, 0.8617188930511475, 0.8406730890274048, 0.8040223121643066, 0.9183139204978943]",0.84,0.8846153846153846,0.8278928800769474,21,23,25,26,"[0.9506252408027649, 0.9208300709724426, 0.9754362106323242, 0.8378877639770508, 0.8753130435943604, 0.8292970359325409, 0.8113113641738892, 0.9788209795951843, 0.839970052242279, 0.8406730890274048, 0.7958747446537018, 0.7336412072181702, 0.8617188930511475, 0.7674592733383179, 0.8406730890274048, 0.7336412072181702, 0.7765575349330902, 0.8040223121643066, 0.7345569729804993, 0.9183139204978943, 0.773069441318512, 0.7407563924789429, 0.7010864019393921]",0.88,0.9230769230769231,0.8209891257186731,22,24,25,26,"[0.9506252408027649, 0.9208300709724426, 0.9754362106323242, 0.8378877639770508, 0.8753130435943604, 0.8292970359325409, 0.8113113641738892, 0.9788209795951843, 0.839970052242279, 0.8406730890274048, 0.7958747446537018, 0.662202775478363, 0.7336412072181702, 0.8617188930511475, 0.7674592733383179, 0.8406730890274048, 0.7336412072181702, 0.7765575349330902, 0.8040223121643066, 0.7345569729804993, 0.9183139204978943, 0.773069441318512, 0.7407563924789429, 0.7010864019393921]",0.88,0.9615384615384616,0.8111322176456451,22,25,25,26,"[0.9506252408027649, 0.9208300709724426, 0.9754362106323242, 0.8378877639770508, 0.8753130435943604, 0.8292970359325409, 0.8113113641738892, 0.9788209795951843, 0.839970052242279, 0.8406730890274048, 0.7958747446537018, 0.662202775478363, 0.7336412072181702, 0.8617188930511475, 0.7674592733383179, 0.8406730890274048, 0.7336412072181702, 0.7765575349330902, 0.8040223121643066, 0.7345569729804993, 0.9183139204978943, 0.773069441318512, 0.7407563924789429, 0.7010864019393921, 0.5745664238929749]",0.96,1.0,0.7760581341054704,24,26,25,26,"[0.9506252408027649, 0.36668306589126587, 0.9208300709724426, 0.9754362106323242, 0.8378877639770508, 0.8753130435943604, 0.3085811138153076, 0.8292970359325409, 0.8113113641738892, 0.9788209795951843, 0.839970052242279, 0.8406730890274048, 0.7958747446537018, 0.662202775478363, 0.7336412072181702, 0.8617188930511475, 0.7674592733383179, 0.8406730890274048, 0.7336412072181702, 0.7765575349330902, 0.8040223121643066, 0.7345569729804993, 0.9183139204978943, 0.773069441318512, 0.7407563924789429, 0.7010864019393921, 0.5745664238929749]"
10,0.043478260869565216,0.046511627906976744,0.9533667862415314,2,2,46,43,"[0.9490272402763367, 0.9577063322067261]",0.21739130434782608,0.23255813953488372,0.8718198895454407,10,10,46,43,"[0.856727123260498, 0.9490272402763367, 0.8846272230148315, 0.8781278133392334, 0.8698865175247192, 0.8763116598129272, 0.8172994256019592, 0.8194938898086548, 0.9577063322067261, 0.8089916706085205]",0.30434782608695654,0.32558139534883723,0.8336082122155598,14,14,46,43,"[0.856727123260498, 0.9490272402763367, 0.8846272230148315, 0.8781278133392334, 0.7163375318050385, 0.8698865175247192, 0.8763116598129272, 0.8172994256019592, 0.8194938898086548, 0.9577063322067261, 0.781064510345459, 0.7133815884590149, 0.8089916706085205, 0.7415324449539185]",0.45652173913043476,0.4883720930232558,0.7744255094301133,21,21,46,43,"[0.856727123260498, 0.9490272402763367, 0.8846272230148315, 0.8781278133392334, 0.6169458478689194, 0.6759456992149353, 0.7163375318050385, 0.8698865175247192, 0.669154942035675, 0.6764417886734009, 0.6926462054252625, 0.8763116598129272, 0.8172994256019592, 0.8194938898086548, 0.9577063322067261, 0.6362269967794418, 0.781064510345459, 0.7133815884590149, 0.8089916706085205, 0.7415324449539185, 0.6250592470169067]",0.5217391304347826,0.5348837209302325,0.7368640387058258,24,23,46,43,"[0.856727123260498, 0.9490272402763367, 0.8846272230148315, 0.8781278133392334, 0.6169458478689194, 0.6759456992149353, 0.7163375318050385, 0.8698865175247192, 0.5459842681884766, 0.669154942035675, 0.6764417886734009, 0.6926462054252625, 0.8763116598129272, 0.8172994256019592, 0.8194938898086548, 0.9577063322067261, 0.6362269967794418, 0.781064510345459, 0.5558783411979675, 0.7133815884590149, 0.5259022414684296, 0.8089916706085205, 0.7415324449539185, 0.6250592470169067, 0.5309004187583923]",1.0,0.7674418604651163,0.581221749649403,46,33,46,43,"[0.856727123260498, 0.2988808751106262, 0.9490272402763367, 0.8846272230148315, 0.8781278133392334, 0.20965754985809326, 0.6169458478689194, 0.6759456992149353, 0.43168820440769196, 0.4319947361946106, 0.7163375318050385, 0.8698865175247192, 0.5459842681884766, 0.44028908014297485, 0.42699795961380005, 0.669154942035675, 0.6764417886734009, 0.44578906893730164, 0.6926462054252625, 0.8763116598129272, 0.8172994256019592, 0.8194938898086548, 0.31257063150405884, 0.3123740553855896, 0.9577063322067261, 0.6362269967794418, 0.781064510345459, 0.4341695308685303, 0.42176830768585205, 0.5558783411979675, 0.4858786165714264, 0.7133815884590149, 0.5259022414684296, 0.8089916706085205, 0.7415324449539185, 0.48850472271442413, 0.4289144054055214, 0.6250592470169067, 0.5309004187583923, 0.4212118089199066, 0.3909657746553421, 0.4071076810359955, 0.4309476315975189, 0.4071076810359955, 0.4309476315975189, 0.4071076810359955, 0.4309476315975189]"
11,0.5,0.5,0.9800188094377518,2,2,4,4,"[0.9932340383529663, 0.9668035805225372]",0.75,0.75,0.9523374338944753,3,3,4,4,"[0.8969746828079224, 0.9932340383529663, 0.9668035805225372]",0.75,0.75,0.9523374338944753,3,3,4,4,"[0.8969746828079224, 0.9932340383529663, 0.9668035805225372]",0.75,0.75,0.9523374338944753,3,3,4,4,"[0.8969746828079224, 0.9932340383529663, 0.9668035805225372]",1.0,1.0,0.8583795949816704,4,4,4,4,"[0.8969746828079224, 0.5765060782432556, 0.9932340383529663, 0.9668035805225372]",1.0,1.0,0.8583795949816704,4,4,4,4,"[0.8969746828079224, 0.5765060782432556, 0.9932340383529663, 0.9668035805225372]"
9,0.2222222222222222,0.2222222222222222,0.9548384696245193,4,4,18,18,"[0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.919704258441925]",0.3888888888888889,0.3888888888888889,0.9140443120683942,7,7,18,18,"[0.8590430617332458, 0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.919704258441925, 0.8441466093063354, 0.8757666349411011]",0.4444444444444444,0.3888888888888889,0.8919516280293465,8,7,18,18,"[0.8590430617332458, 0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.919704258441925, 0.8441466093063354, 0.737302839756012, 0.8757666349411011]",0.5,0.4444444444444444,0.8656634489695231,9,8,18,18,"[0.8590430617332458, 0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.919704258441925, 0.8441466093063354, 0.737302839756012, 0.8757666349411011, 0.6553580164909363]",0.7777777777777778,0.6111111111111112,0.7534554898738861,14,11,18,18,"[0.8590430617332458, 0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.5365856885910034, 0.5958251953125, 0.919704258441925, 0.5300416946411133, 0.5038018226623535, 0.8441466093063354, 0.737302839756012, 0.8757666349411011, 0.6553580164909363, 0.5911514163017273]",1.0,0.7222222222222222,0.6682267205582725,18,13,18,18,"[0.4118175506591797, 0.8590430617332458, 0.9999999701976776, 0.9528402388095856, 0.9468094110488892, 0.5365856885910034, 0.5958251953125, 0.919704258441925, 0.5300416946411133, 0.5038018226623535, 0.8441466093063354, 0.737302839756012, 0.8757666349411011, 0.6553580164909363, 0.5911514163017273, 0.3686041384935379, 0.3475468009710312, 0.3517356216907501]"
8,0.0,0.0,0,0,0,33,37,[],0.030303030303030304,0.02702702702702703,0.8586446046829224,1,1,33,37,[0.8586446046829224],0.030303030303030304,0.02702702702702703,0.8586446046829224,1,1,33,37,[0.8586446046829224],0.030303030303030304,0.02702702702702703,0.8586446046829224,1,1,33,37,[0.8586446046829224],0.06060606060606061,0.05405405405405406,0.6962907910346985,2,2,33,37,"[0.8586446046829224, 0.5339369773864746]",0.5151515151515151,0.2702702702702703,0.4368321370510828,17,10,33,37,"[0.8586446046829224, 0.2959952652454376, 0.3930802047252655, 0.36153535544872284, 0.21603918075561523, 0.36893415451049805, 0.4603680819272995, 0.49248500168323517, 0.33973361551761627, 0.42843037843704224, 0.3802995830774307, 0.4702906906604767, 0.3605431318283081, 0.4497201442718506, 0.45523855090141296, 0.4826905131340027, 0.484796866774559, 0.36458495259284973, 0.5339369773864746, 0.4876854419708252, 0.48844218254089355]"
5,0.058823529411764705,0.05263157894736842,0.9421401917934418,1,1,17,19,[0.9421401917934418],0.058823529411764705,0.05263157894736842,0.9421401917934418,1,1,17,19,[0.9421401917934418],0.11764705882352941,0.10526315789473684,0.8219766989350319,2,2,17,19,"[0.701813206076622, 0.9421401917934418]",0.11764705882352941,0.10526315789473684,0.8219766989350319,2,2,17,19,"[0.701813206076622, 0.9421401917934418]",0.35294117647058826,0.3157894736842105,0.627791037162145,6,6,17,19,"[0.5230268836021423, 0.701813206076622, 0.9421401917934418, 0.5459966659545898, 0.5172355622053146, 0.5365337133407593]",0.7647058823529411,0.631578947368421,0.5035999612166331,13,12,17,19,"[0.5230268836021423, 0.3011896014213562, 0.701813206076622, 0.9421401917934418, 0.5459966659545898, 0.41313233971595764, 0.4405515640974045, 0.3864501118659973, 0.43170154094696045, 0.3148362338542938, 0.5172355622053146, 0.492191880941391, 0.5365337133407593]"
