file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,8,1.0,0.8888888888888888,9,9,0,1
14.txt,0,0,0.0,0.0,81,76,81,76
16.txt,20,21,0.8333333333333334,1.0,24,21,4,0
17.txt,28,27,0.8235294117647058,0.8709677419354839,34,31,6,4
12.txt,27,30,0.9310344827586207,1.0,29,30,2,0
10.txt,42,42,0.9333333333333333,0.7777777777777778,45,54,3,12
11.txt,11,11,0.9166666666666666,0.9166666666666666,12,12,1,1
9.txt,20,18,1.0,1.0,20,18,0,0
8.txt,30,37,0.9375,0.9024390243902439,32,41,2,4
5.txt,25,24,0.6944444444444444,0.96,36,25,11,1
4.txt,17,16,1.0,1.0,17,16,0,0
6.txt,31,31,1.0,1.0,31,31,0,0
7.txt,22,24,0.7333333333333333,0.96,30,25,8,1
3.txt,11,10,0.7857142857142857,1.0,14,10,3,0
2.txt,19,23,0.7916666666666666,0.8846153846153846,24,26,5,3
1.txt,20,22,1.0,1.0,20,22,0,0
20.txt,34,34,0.85,0.9714285714285714,40,35,6,1
21.txt,37,37,0.7872340425531915,0.9487179487179487,47,39,10,2
19.txt,36,36,0.7659574468085106,0.9,47,40,11,4
18.txt,22,21,0.9166666666666666,0.9545454545454546,24,22,2,1
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.8350,Average of coverage_2_to_1: 0.8968,,,,
