File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.16666666666666666,0.16666666666666666,0.9120937585830688,1,1,6,6,[0.9120937585830688],0.3333333333333333,0.3333333333333333,0.8598853051662445,2,2,6,6,"[0.9120937585830688, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.782360577583313,5,5,6,6,"[0.9120937585830688, 0.7162582874298096, 0.7006644010543823, 0.775109589099884, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.782360577583313,5,5,6,6,"[0.9120937585830688, 0.7162582874298096, 0.7006644010543823, 0.775109589099884, 0.8076768517494202]",0.8333333333333334,0.8333333333333334,0.782360577583313,5,5,6,6,"[0.9120937585830688, 0.7162582874298096, 0.7006644010543823, 0.775109589099884, 0.8076768517494202]",1.0,1.0,0.7181983614961306,6,6,6,6,"[0.9120937585830688, 0.7162582874298096, 0.3973872810602188, 0.7006644010543823, 0.775109589099884, 0.8076768517494202]"
14,0.1323529411764706,0.15517241379310345,0.9289476215839386,9,9,68,58,"[0.914624810218811, 0.9133652448654175, 0.9185880720615387, 0.933108925819397, 0.9468973278999329, 0.9547499716281891, 0.9388687908649445, 0.9228706359863281, 0.9390679597854614, 0.9073344767093658]",0.25,0.3103448275862069,0.8880388532814226,17,18,68,58,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.830195426940918, 0.8177976012229919, 0.9185880720615387, 0.8105514049530029, 0.933108925819397, 0.9468973278999329, 0.8787956833839417, 0.813807487487793, 0.9547499716281891, 0.9388687908649445, 0.9228706359863281, 0.9390679597854614, 0.9073344767093658, 0.8760574758052826, 0.8536319732666016]",0.39705882352941174,0.5,0.8170771126945814,27,29,68,58,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.830195426940918, 0.8177976012229919, 0.9185880720615387, 0.8105514049530029, 0.933108925819397, 0.9468973278999329, 0.8787956833839417, 0.813807487487793, 0.7187484800815582, 0.9547499716281891, 0.7970660924911499, 0.7004779577255249, 0.7187484800815582, 0.9388687908649445, 0.9228706359863281, 0.7187484800815582, 0.7891468107700348, 0.7187484800815582, 0.9390679597854614, 0.795720100402832, 0.7187484800815582, 0.9073344767093658, 0.7187484800815582, 0.795720100402832, 0.7187484800815582, 0.8760574758052826, 0.7411001622676849, 0.7239208817481995, 0.7187484800815582, 0.7453285753726959, 0.7035693228244781, 0.8536319732666016]",0.4852941176470588,0.5517241379310345,0.7872792103073813,33,32,68,58,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.830195426940918, 0.8177976012229919, 0.9185880720615387, 0.8105514049530029, 0.933108925819397, 0.9468973278999329, 0.8787956833839417, 0.813807487487793, 0.7187484800815582, 0.9547499716281891, 0.6373626887798309, 0.7970660924911499, 0.7004779577255249, 0.6373626887798309, 0.7187484800815582, 0.9388687908649445, 0.6901657432317734, 0.6448804140090942, 0.9228706359863281, 0.7187484800815582, 0.7891468107700348, 0.7187484800815582, 0.9390679597854614, 0.6901657432317734, 0.795720100402832, 0.7187484800815582, 0.9073344767093658, 0.7187484800815582, 0.6224977970123291, 0.795720100402832, 0.7187484800815582, 0.8760574758052826, 0.7411001622676849, 0.7239208817481995, 0.6150186061859131, 0.6880555152893066, 0.7187484800815582, 0.7453285753726959, 0.7035693228244781, 0.8536319732666016]",0.6176470588235294,0.6724137931034483,0.7313412356057337,42,39,68,58,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.830195426940918, 0.8177976012229919, 0.9185880720615387, 0.8105514049530029, 0.933108925819397, 0.9468973278999329, 0.5318890511989594, 0.8787956833839417, 0.5318890511989594, 0.813807487487793, 0.7187484800815582, 0.9547499716281891, 0.6373626887798309, 0.7970660924911499, 0.7004779577255249, 0.6373626887798309, 0.7187484800815582, 0.9388687908649445, 0.6901657432317734, 0.5324652194976807, 0.6448804140090942, 0.9228706359863281, 0.5128740668296814, 0.7187484800815582, 0.7891468107700348, 0.7187484800815582, 0.9390679597854614, 0.6901657432317734, 0.5199520587921143, 0.795720100402832, 0.7187484800815582, 0.9073344767093658, 0.7187484800815582, 0.6224977970123291, 0.5094352960586548, 0.795720100402832, 0.5028418600559235, 0.7187484800815582, 0.8760574758052826, 0.5167588591575623, 0.7411001622676849, 0.7239208817481995, 0.5167588591575623, 0.5575801730155945, 0.5333603173494339, 0.6150186061859131, 0.5490191280841827, 0.6880555152893066, 0.7187484800815582, 0.7453285753726959, 0.7035693228244781, 0.8536319732666016]",0.8382352941176471,0.8103448275862069,0.6406861956914266,57,47,68,58,"[0.8843792676925659, 0.914624810218811, 0.8180456757545471, 0.9133652448654175, 0.22252100706100464, 0.830195426940918, 0.8177976012229919, 0.9185880720615387, 0.8105514049530029, 0.3256281614303589, 0.933108925819397, 0.9468973278999329, 0.44008392095565796, 0.5318890511989594, 0.3256281614303589, 0.8787956833839417, 0.30871134996414185, 0.44008392095565796, 0.5318890511989594, 0.813807487487793, 0.39322368800640106, 0.40303584933280945, 0.30871134996414185, 0.7187484800815582, 0.9547499716281891, 0.6373626887798309, 0.3844258636236191, 0.39422231912612915, 0.7970660924911499, 0.7004779577255249, 0.6373626887798309, 0.7187484800815582, 0.9388687908649445, 0.6901657432317734, 0.5324652194976807, 0.6448804140090942, 0.9228706359863281, 0.5128740668296814, 0.7187484800815582, 0.7891468107700348, 0.7187484800815582, 0.9390679597854614, 0.6901657432317734, 0.5199520587921143, 0.4929489493370056, 0.795720100402832, 0.3521937429904938, 0.7187484800815582, 0.9073344767093658, 0.7187484800815582, 0.6224977970123291, 0.33199676871299744, 0.5094352960586548, 0.795720100402832, 0.3705941438674927, 0.4890476316213608, 0.5028418600559235, 0.7187484800815582, 0.8760574758052826, 0.5167588591575623, 0.7411001622676849, 0.3853403776884079, 0.3137094974517822, 0.7239208817481995, 0.4142487794160843, 0.5167588591575623, 0.5575801730155945, 0.5333603173494339, 0.6150186061859131, 0.5490191280841827, 0.6880555152893066, 0.7187484800815582, 0.7453285753726959, 0.7035693228244781, 0.8536319732666016]"
16,0.3333333333333333,0.25,0.9365601658821106,5,5,15,20,"[0.9387665390968323, 0.9129800796508789, 0.9731752872467041, 0.9204004406929016, 0.9374784827232361]",0.4666666666666667,0.35,0.9105994573661259,7,7,15,20,"[0.9387665390968323, 0.9129800796508789, 0.9731752872467041, 0.9204004406929016, 0.8560014069080353, 0.8353939652442932, 0.9374784827232361]",0.6666666666666666,0.6,0.8327013151003764,10,12,15,20,"[0.7850971221923828, 0.7302308082580566, 0.9387665390968323, 0.9129800796508789, 0.7403998523950577, 0.9731752872467041, 0.9204004406929016, 0.8560014069080353, 0.8353939652442932, 0.7178601026535034, 0.9374784827232361, 0.7097613513469696, 0.7675716578960419]",0.8666666666666667,0.7,0.759456645165171,13,14,15,20,"[0.6880346536636353, 0.7850971221923828, 0.7302308082580566, 0.6091509163379669, 0.9387665390968323, 0.9129800796508789, 0.7403998523950577, 0.9731752872467041, 0.9204004406929016, 0.8560014069080353, 0.8353939652442932, 0.7178601026535034, 0.6210699081420898, 0.9374784827232361, 0.6144479513168335, 0.6333173215389252, 0.6230525821447372, 0.6420818865299225, 0.6923172324895859, 0.7097613513469696, 0.7675716578960419]",1.0,0.75,0.7066489926406315,15,15,15,20,"[0.6880346536636353, 0.7850971221923828, 0.7302308082580566, 0.6091509163379669, 0.5538314580917358, 0.9387665390968323, 0.9129800796508789, 0.7403998523950577, 0.9731752872467041, 0.9204004406929016, 0.8560014069080353, 0.8353939652442932, 0.7178601026535034, 0.6210699081420898, 0.5315661132335663, 0.9374784827232361, 0.5538603067398071, 0.6144479513168335, 0.6333173215389252, 0.55152627825737, 0.6230525821447372, 0.6420818865299225, 0.6923172324895859, 0.7097613513469696, 0.5178933888673782, 0.5506134331226349, 0.7675716578960419, 0.578291267156601]",1.0,0.85,0.5997257304067413,15,17,15,20,"[0.6880346536636353, 0.7850971221923828, 0.7302308082580566, 0.6091509163379669, 0.5538314580917358, 0.4854930341243744, 0.3056378960609436, 0.9387665390968323, 0.4374399185180664, 0.9129800796508789, 0.43138159811496735, 0.7403998523950577, 0.9731752872467041, 0.9204004406929016, 0.8560014069080353, 0.8353939652442932, 0.4857475608587265, 0.4875000864267349, 0.7178601026535034, 0.43855981528759, 0.6210699081420898, 0.5315661132335663, 0.9374784827232361, 0.5538603067398071, 0.6144479513168335, 0.44233229756355286, 0.6333173215389252, 0.55152627825737, 0.44974641501903534, 0.47100502252578735, 0.4795677661895752, 0.39757363498210907, 0.43328845500946045, 0.4653923064470291, 0.6230525821447372, 0.4669882357120514, 0.6420818865299225, 0.6923172324895859, 0.46386633813381195, 0.4605301469564438, 0.7097613513469696, 0.4760458320379257, 0.4664400517940521, 0.4561268538236618, 0.5178933888673782, 0.5506134331226349, 0.7675716578960419, 0.578291267156601]"
17,0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[],0.0,0.0,0.0,0,0,26,29,[]
12,0.11538461538461539,0.11538461538461539,0.9407987495263418,3,3,26,26,"[0.9461442828178406, 0.9150815606117249, 0.9611704051494598]",0.38461538461538464,0.38461538461538464,0.8784249663352967,10,10,26,26,"[0.8282899260520935, 0.8648058176040649, 0.9461442828178406, 0.9150815606117249, 0.8203549385070801, 0.8957773149013519, 0.9611704051494598, 0.843459963798523, 0.8406730890274048, 0.8684923648834229]",0.5,0.5,0.8532631190923544,13,13,26,26,"[0.8282899260520935, 0.8648058176040649, 0.9461442828178406, 0.9150815606117249, 0.8203549385070801, 0.8957773149013519, 0.795232355594635, 0.9611704051494598, 0.843459963798523, 0.8406730890274048, 0.7393791377544403, 0.7735593914985657, 0.8684923648834229]",0.5769230769230769,0.5769230769230769,0.824670805533727,15,15,26,26,"[0.8282899260520935, 0.8648058176040649, 0.9461442828178406, 0.9150815606117249, 0.8203549385070801, 0.8957773149013519, 0.795232355594635, 0.9611704051494598, 0.843459963798523, 0.8406730890274048, 0.7393791377544403, 0.6676527261734009, 0.7735593914985657, 0.8684923648834229, 0.609988808631897]",0.5769230769230769,0.5769230769230769,0.824670805533727,15,15,26,26,"[0.8282899260520935, 0.8648058176040649, 0.9461442828178406, 0.9150815606117249, 0.8203549385070801, 0.8957773149013519, 0.795232355594635, 0.9611704051494598, 0.843459963798523, 0.8406730890274048, 0.7393791377544403, 0.6676527261734009, 0.7735593914985657, 0.8684923648834229, 0.609988808631897]",0.6538461538461539,0.6538461538461539,0.777963325381279,17,17,26,26,"[0.8282899260520935, 0.38997071981430054, 0.8648058176040649, 0.9461442828178406, 0.9150815606117249, 0.8203549385070801, 0.8957773149013519, 0.795232355594635, 0.9611704051494598, 0.843459963798523, 0.8406730890274048, 0.7393791377544403, 0.6676527261734009, 0.7735593914985657, 0.8684923648834229, 0.609988808631897, 0.46534372866153717]"
10,0.09302325581395349,0.08,0.9491134136915207,4,4,43,50,"[0.9545903205871582, 0.9179695248603821, 0.9571741819381714, 0.9667196273803711]",0.16279069767441862,0.14,0.9148457986967904,7,7,43,50,"[0.9545903205871582, 0.883760929107666, 0.9179695248603821, 0.8781278133392334, 0.9571741819381714, 0.9667196273803711, 0.8455781936645508]",0.18604651162790697,0.16,0.8918882124125957,8,8,43,50,"[0.9545903205871582, 0.883760929107666, 0.9179695248603821, 0.8781278133392334, 0.731185108423233, 0.9571741819381714, 0.9667196273803711, 0.8455781936645508]",0.27906976744186046,0.24,0.8154043580094973,12,12,43,50,"[0.9545903205871582, 0.883760929107666, 0.9179695248603821, 0.8781278133392334, 0.6290775835514069, 0.6935236752033234, 0.731185108423233, 0.6857720613479614, 0.9571741819381714, 0.9667196273803711, 0.8455781936645508, 0.6413732767105103]",0.32558139534883723,0.24,0.7801749791417804,14,12,43,50,"[0.9545903205871582, 0.883760929107666, 0.9179695248603821, 0.8781278133392334, 0.6290775835514069, 0.6935236752033234, 0.731185108423233, 0.5772829055786133, 0.5603145062923431, 0.6857720613479614, 0.9571741819381714, 0.9667196273803711, 0.8455781936645508, 0.6413732767105103]",0.6046511627906976,0.38,0.5541299124216211,26,19,43,50,"[0.9545903205871582, 0.25693678855895996, 0.883760929107666, 0.9179695248603821, 0.33501046895980835, 0.8781278133392334, 0.14227944612503052, 0.6290775835514069, 0.6935236752033234, 0.2777619957923889, 0.731185108423233, 0.4536181390285492, 0.45187704265117645, 0.43111148476600647, 0.23705944418907166, 0.42793184518814087, 0.5772829055786133, 0.5603145062923431, 0.43885505199432373, 0.6857720613479614, 0.9571741819381714, 0.9667196273803711, 0.8455781936645508, 0.6413732767105103, 0.25662240386009216, 0.4934927821159363, 0.34993380308151245, 0.34993380308151245, 0.24489325284957886]"
11,0.75,0.75,0.9328496853510538,3,3,4,4,"[0.9231321215629578, 0.9428011775016785, 0.9326157569885254]",0.75,0.75,0.9328496853510538,3,3,4,4,"[0.9231321215629578, 0.9428011775016785, 0.9326157569885254]",0.75,0.75,0.9328496853510538,3,3,4,4,"[0.9231321215629578, 0.9428011775016785, 0.9326157569885254]",0.75,0.75,0.9328496853510538,3,3,4,4,"[0.9231321215629578, 0.9428011775016785, 0.9326157569885254]",0.75,0.75,0.9328496853510538,3,3,4,4,"[0.9231321215629578, 0.9428011775016785, 0.9326157569885254]",1.0,1.0,0.7867258489131927,4,4,4,4,"[0.9231321215629578, 0.3483543395996094, 0.9428011775016785, 0.9326157569885254]"
9,0.2222222222222222,0.23529411764705882,0.9820021837949753,4,4,18,17,"[0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 1.0]",0.5555555555555556,0.5882352941176471,0.8959284245967865,10,10,18,17,"[0.8490035533905029, 0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 0.8441466093063354, 0.8757666349411011, 1.0, 0.8178476095199585, 0.801264077425003, 0.8432470262050629]",0.6666666666666666,0.7058823529411765,0.8644324988126755,12,12,18,17,"[0.8490035533905029, 0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 0.7123645544052124, 0.8441466093063354, 0.7015411853790283, 0.8757666349411011, 1.0, 0.8178476095199585, 0.801264077425003, 0.8432470262050629]",0.6666666666666666,0.7058823529411765,0.8644324988126755,12,12,18,17,"[0.8490035533905029, 0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 0.7123645544052124, 0.8441466093063354, 0.7015411853790283, 0.8757666349411011, 1.0, 0.8178476095199585, 0.801264077425003, 0.8432470262050629]",0.8888888888888888,0.8823529411764706,0.7790519595146179,16,15,18,17,"[0.5230268836021423, 0.8490035533905029, 0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 0.5013325214385986, 0.5043039321899414, 0.7123645544052124, 0.5629780292510986, 0.8441466093063354, 0.7015411853790283, 0.8757666349411011, 1.0, 0.8178476095199585, 0.801264077425003, 0.8432470262050629]",0.9444444444444444,0.9411764705882353,0.7603062233504128,17,16,18,17,"[0.5230268836021423, 0.8490035533905029, 0.9999999701976776, 0.9528402388095856, 0.9751685261726379, 0.5013325214385986, 0.5043039321899414, 0.7123645544052124, 0.5629780292510986, 0.4603744447231293, 0.8441466093063354, 0.7015411853790283, 0.8757666349411011, 1.0, 0.8178476095199585, 0.801264077425003, 0.8432470262050629]"
8,0.02702702702702703,0.02564102564102564,0.9276123642921448,1,1,37,39,[0.9276123642921448],0.08108108108108109,0.07692307692307693,0.8919329444567362,3,3,37,39,"[0.8835898041725159, 0.9276123642921448, 0.8645966649055481]",0.21621621621621623,0.15384615384615385,0.7979678577846951,8,6,37,39,"[0.8835898041725159, 0.9276123642921448, 0.8645966649055481, 0.7846217751502991, 0.7542208731174469, 0.7952480912208557, 0.7003298103809357, 0.7591851949691772, 0.7123061418533325]",0.32432432432432434,0.3076923076923077,0.7128534875810146,12,12,37,39,"[0.8835898041725159, 0.9276123642921448, 0.8645966649055481, 0.6495959758758545, 0.6064867079257965, 0.6689430475234985, 0.6409800052642822, 0.7846217751502991, 0.7542208731174469, 0.7952480912208557, 0.7003298103809357, 0.7591851949691772, 0.6436832249164581, 0.6625423729419708, 0.664155051112175, 0.6958303153514862, 0.6171371042728424, 0.6011175811290741, 0.7123061418533325, 0.6248876452445984]",0.5135135135135135,0.38461538461538464,0.6395797109281695,19,15,37,39,"[0.8835898041725159, 0.9276123642921448, 0.8645966649055481, 0.6495959758758545, 0.5553920865058899, 0.5298316478729248, 0.518239751458168, 0.6064867079257965, 0.5253898799419403, 0.6689430475234985, 0.6409800052642822, 0.7846217751502991, 0.7542208731174469, 0.7952480912208557, 0.7003298103809357, 0.5406691431999207, 0.5367878526449203, 0.7591851949691772, 0.6436832249164581, 0.6625423729419708, 0.5182758867740631, 0.5220180749893188, 0.664155051112175, 0.6958303153514862, 0.6171371042728424, 0.6011175811290741, 0.5414135605096817, 0.5691924095153809, 0.7123061418533325, 0.5721995830535889, 0.5724765062332153, 0.6248876452445984, 0.5957483649253845, 0.5356132984161377, 0.5878504514694214, 0.5877107381820679, 0.598570317029953]",0.6756756756756757,0.5128205128205128,0.5413798434568233,25,20,37,39,"[0.8835898041725159, 0.9276123642921448, 0.8645966649055481, 0.6495959758758545, 0.3852972686290741, 0.42561057209968567, 0.40051016211509705, 0.5553920865058899, 0.37761184573173523, 0.2518048584461212, 0.34110692143440247, 0.5298316478729248, 0.4299166649580002, 0.518239751458168, 0.6064867079257965, 0.3887385427951813, 0.4991675913333893, 0.3645878881216049, 0.45450571179389954, 0.34995895624160767, 0.4215383529663086, 0.47764062881469727, 0.5253898799419403, 0.4016049653291702, 0.4611555486917496, 0.6689430475234985, 0.6409800052642822, 0.4160035774111748, 0.45330891013145447, 0.7846217751502991, 0.7542208731174469, 0.7952480912208557, 0.7003298103809357, 0.30342423915863037, 0.4000419080257416, 0.5406691431999207, 0.5367878526449203, 0.7591851949691772, 0.6436832249164581, 0.4463335871696472, 0.6625423729419708, 0.5182758867740631, 0.48451438546180725, 0.5220180749893188, 0.664155051112175, 0.6958303153514862, 0.6171371042728424, 0.6011175811290741, 0.5414135605096817, 0.5691924095153809, 0.7123061418533325, 0.5721995830535889, 0.5724765062332153, 0.6248876452445984, 0.5957483649253845, 0.5356132984161377, 0.5878504514694214, 0.2442377209663391, 0.18110033869743347, 0.5877107381820679, 0.598570317029953]"
5,0.10526315789473684,0.11764705882352941,0.9551797062158585,2,2,19,17,"[0.9331550002098083, 0.9772044122219086]",0.3157894736842105,0.35294117647058826,0.8725697447856268,6,6,19,17,"[0.9331550002098083, 0.9772044122219086, 0.8015452027320862, 0.8422397375106812, 0.8651987910270691, 0.816075325012207]",0.5263157894736842,0.5294117647058824,0.83862963616848,10,9,19,17,"[0.9331550002098083, 0.9772044122219086, 0.8015452027320862, 0.7908959090709686, 0.8422397375106812, 0.7991320490837097, 0.7865716516971588, 0.7742782831192017, 0.8651987910270691, 0.816075325012207]",0.5263157894736842,0.5294117647058824,0.83862963616848,10,9,19,17,"[0.9331550002098083, 0.9772044122219086, 0.8015452027320862, 0.7908959090709686, 0.8422397375106812, 0.7991320490837097, 0.7865716516971588, 0.7742782831192017, 0.8651987910270691, 0.816075325012207]",0.6842105263157895,0.7058823529411765,0.7684497386217117,13,12,19,17,"[0.5230268836021423, 0.9331550002098083, 0.9772044122219086, 0.8015452027320862, 0.7908959090709686, 0.8422397375106812, 0.7991320490837097, 0.7865716516971588, 0.7742782831192017, 0.5336033552885056, 0.5469200015068054, 0.8651987910270691, 0.816075325012207]",0.8947368421052632,0.9411764705882353,0.69361313476282,17,16,19,17,"[0.5230268836021423, 0.41062477231025696, 0.9331550002098083, 0.9772044122219086, 0.8015452027320862, 0.7908959090709686, 0.41048914194107056, 0.8422397375106812, 0.7991320490837097, 0.7865716516971588, 0.7742782831192017, 0.5336033552885056, 0.49366845190525055, 0.4867943227291107, 0.5469200015068054, 0.8651987910270691, 0.816075325012207]"
