file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,8,8,0.8888888888888888,0.8888888888888888,9,9,1,1
14.txt,0,0,0.0,0.0,500,76,500,76
16.txt,16,16,0.6956521739130435,0.7619047619047619,23,21,7,5
17.txt,0,0,0.0,0.0,38,31,38,31
12.txt,23,27,0.71875,0.9,32,30,9,3
10.txt,0,0,0.0,0.0,55,54,55,54
11.txt,15,12,0.7142857142857143,1.0,21,12,6,0
9.txt,14,14,0.9333333333333333,0.7777777777777778,15,18,1,4
8.txt,0,0,0.0,0.0,25,41,25,41
5.txt,0,0,0.0,0.0,35,25,35,25
4.txt,0,0,0.0,0.0,29,16,29,16
6.txt,0,0,0.0,0.0,37,31,37,31
7.txt,29,16,0.8285714285714286,0.64,35,25,6,9
3.txt,0,0,0.0,0.0,17,10,17,10
2.txt,0,0,0.0,0.0,18,26,18,26
1.txt,0,0,0.0,0.0,24,22,24,22
20.txt,0,0,0.0,0.0,52,35,52,35
21.txt,0,0,0.0,0.0,55,39,55,39
19.txt,0,0,0.0,0.0,43,40,43,40
18.txt,0,0,0.0,0.0,32,22,32,22
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.2390,Average of coverage_2_to_1: 0.2484,,,,
