file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
15.txt,9,8,1.0,0.8888888888888888,9,9,0,1
14.txt,0,0,0.0,0.0,76,64,76,64
16.txt,19,18,0.9047619047619048,0.782608695652174,21,23,2,5
17.txt,0,0,0.0,0.0,31,33,31,33
12.txt,0,0,0.0,0.0,30,36,30,36
10.txt,0,0,0.0,0.0,54,52,54,52
11.txt,12,16,1.0,0.6956521739130435,12,23,0,7
9.txt,15,17,0.8333333333333334,1.0,18,17,3,0
8.txt,0,0,0.0,0.0,41,27,41,27
5.txt,0,0,0.0,0.0,25,30,25,30
4.txt,0,0,0.0,0.0,16,27,16,27
6.txt,30,32,0.967741935483871,0.7441860465116279,31,43,1,11
7.txt,24,23,0.96,0.7666666666666667,25,30,1,7
3.txt,9,9,0.9,0.6923076923076923,10,13,1,4
2.txt,0,0,0.0,0.0,26,15,26,15
1.txt,0,0,0.0,0.0,22,18,22,18
20.txt,0,0,0.0,0.0,35,60,35,60
21.txt,0,0,0.0,0.0,39,63,39,63
19.txt,0,0,0.0,0.0,40,53,40,53
18.txt,21,25,0.9545454545454546,0.78125,22,32,1,7
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.3760,Average of coverage_2_to_1: 0.3176,,,,
