File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
15,0.0,0.0,0,0,0,6,6,[],0.3333333333333333,0.3333333333333333,0.8839415460824966,2,2,6,6,"[0.8990705013275146, 0.8688125908374786]",0.8333333333333334,0.8333333333333334,0.7944673717021942,5,5,6,6,"[0.8990705013275146, 0.7413318157196045, 0.7067939341068268, 0.8688125908374786, 0.7563280165195465]",0.8333333333333334,0.8333333333333334,0.7944673717021942,5,5,6,6,"[0.8990705013275146, 0.7413318157196045, 0.7067939341068268, 0.8688125908374786, 0.7563280165195465]",1.0,1.0,0.758106105029583,6,6,6,6,"[0.8990705013275146, 0.7413318157196045, 0.5762997716665268, 0.7067939341068268, 0.8688125908374786, 0.7563280165195465]",1.0,1.0,0.758106105029583,6,6,6,6,"[0.8990705013275146, 0.7413318157196045, 0.5762997716665268, 0.7067939341068268, 0.8688125908374786, 0.7563280165195465]"
14,0.0,0.0,0.0,0,0,68,48,[],0.0,0.0,0.0,0,0,68,48,[],0.0,0.0,0.0,0,0,68,48,[],0.0,0.0,0.0,0,0,68,48,[],0.0,0.0,0.0,0,0,68,48,[],0.0,0.0,0.0,0,0,68,48,[]
16,0.0,0.0,0,0,0,15,18,[],0.06666666666666667,0.05555555555555555,0.8737801313400269,1,1,15,18,[0.8737801313400269],0.26666666666666666,0.2222222222222222,0.7870165258646011,4,4,15,18,"[0.8737801313400269, 0.7850971221923828, 0.7717091739177704, 0.7174796760082245]",0.4,0.3333333333333333,0.7284038017193476,6,6,15,18,"[0.8737801313400269, 0.7850971221923828, 0.6085914373397827, 0.7717091739177704, 0.7174796760082245, 0.6137652695178986]",0.8,0.5555555555555556,0.6087438173984226,12,10,15,18,"[0.8737801313400269, 0.7850971221923828, 0.5540177226066589, 0.566718339920044, 0.5370831489562988, 0.5928957462310791, 0.6085914373397827, 0.546501100063324, 0.555853933095932, 0.5993878394365311, 0.5656686723232269, 0.7717091739177704, 0.7174796760082245, 0.5235073566436768, 0.5393556356430054, 0.53013576567173, 0.5072870254516602, 0.6137652695178986, 0.5772974342107773]",1.0,0.6111111111111112,0.5377842008190996,15,11,15,18,"[0.8737801313400269, 0.7850971221923828, 0.5540177226066589, 0.377230629324913, 0.566718339920044, 0.4966129958629608, 0.5370831489562988, 0.5928957462310791, 0.6085914373397827, 0.4715208411216736, 0.546501100063324, 0.555853933095932, 0.4611559212207794, 0.5993878394365311, 0.5656686723232269, 0.42780801653862, 0.47667041420936584, 0.7717091739177704, 0.7174796760082245, 0.4405876398086548, 0.44368720054626465, 0.5235073566436768, 0.5393556356430054, 0.46099698543548584, 0.4283338934183121, 0.53013576567173, 0.5072870254516602, 0.38416051864624023, 0.46167899668216705, 0.40973447263240814, 0.6137652695178986, 0.48503050208091736, 0.4933212697505951, 0.5772974342107773]"
17,0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[],0.0,0.0,0.0,0,0,26,23,[]
12,0.0,0.0,0.0,0,0,26,22,[],0.0,0.0,0.0,0,0,26,22,[],0.0,0.0,0.0,0,0,26,22,[],0.0,0.0,0.0,0,0,26,22,[],0.0,0.0,0.0,0,0,26,22,[],0.0,0.0,0.0,0,0,26,22,[]
10,0.0,0.0,0.0,0,0,43,37,[],0.0,0.0,0.0,0,0,43,37,[],0.0,0.0,0.0,0,0,43,37,[],0.0,0.0,0.0,0,0,43,37,[],0.0,0.0,0.0,0,0,43,37,[],0.0,0.0,0.0,0,0,43,37,[]
11,0.5,0.2857142857142857,0.9296361804008484,2,2,4,7,"[0.9231321215629578, 0.936140239238739]",0.5,0.2857142857142857,0.9296361804008484,2,2,4,7,"[0.9231321215629578, 0.936140239238739]",0.5,0.2857142857142857,0.9296361804008484,2,2,4,7,"[0.9231321215629578, 0.936140239238739]",0.75,0.42857142857142855,0.8447950730721155,3,3,4,7,"[0.9231321215629578, 0.67511285841465, 0.936140239238739]",1.0,0.5714285714285714,0.7643251456320286,4,4,4,7,"[0.9231321215629578, 0.5229153633117676, 0.67511285841465, 0.936140239238739]",1.0,0.5714285714285714,0.7643251456320286,4,4,4,7,"[0.9231321215629578, 0.5229153633117676, 0.67511285841465, 0.936140239238739]"
9,0.2222222222222222,0.2857142857142857,0.959244079887867,4,4,18,14,"[0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.9320452213287354]",0.2777777777777778,0.35714285714285715,0.942221599817276,5,5,18,14,"[0.8741316795349121, 0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.9320452213287354]",0.5,0.6428571428571429,0.8428738398684396,9,9,18,14,"[0.7031842470169067, 0.8741316795349121, 0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.7427819967269897, 0.9320452213287354, 0.7154509574174881, 0.7133393585681915]",0.6666666666666666,0.8571428571428571,0.794428168485562,12,12,18,14,"[0.7031842470169067, 0.8741316795349121, 0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.7427819967269897, 0.9320452213287354, 0.6075002551078796, 0.651587963104248, 0.7154509574174881, 0.6881852447986603, 0.7133393585681915]",0.7222222222222222,0.8571428571428571,0.7747051429290038,13,12,18,14,"[0.7031842470169067, 0.8741316795349121, 0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.7427819967269897, 0.9320452213287354, 0.5380288362503052, 0.6075002551078796, 0.651587963104248, 0.7154509574174881, 0.6881852447986603, 0.7133393585681915]",0.9444444444444444,1.0,0.6865652685656267,17,14,18,14,"[0.7031842470169067, 0.8741316795349121, 0.9999999701976776, 0.9596236348152161, 0.9453074932098389, 0.4770219326019287, 0.3443991541862488, 0.7427819967269897, 0.49486494064331055, 0.2841566801071167, 0.9320452213287354, 0.5380288362503052, 0.6075002551078796, 0.651587963104248, 0.7154509574174881, 0.6881852447986603, 0.7133393585681915]"
8,0.0,0.0,0.0,0,0,37,19,[],0.0,0.0,0.0,0,0,37,19,[],0.0,0.0,0.0,0,0,37,19,[],0.0,0.0,0.0,0,0,37,19,[],0.0,0.0,0.0,0,0,37,19,[],0.0,0.0,0.0,0,0,37,19,[]
5,0.0,0.0,0.0,0,0,19,16,[],0.0,0.0,0.0,0,0,19,16,[],0.0,0.0,0.0,0,0,19,16,[],0.0,0.0,0.0,0,0,19,16,[],0.0,0.0,0.0,0,0,19,16,[],0.0,0.0,0.0,0,0,19,16,[]
4,0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[],0.0,0.0,0.0,0,0,13,13,[]
6,0.0,0.0,0,0,0,26,26,[],0.0,0.0,0,0,0,26,26,[],0.11538461538461539,0.11538461538461539,0.7162283807992935,3,3,26,26,"[0.7156188488006592, 0.7117655724287033, 0.7213007211685181]",0.19230769230769232,0.15384615384615385,0.6892851501703262,5,4,26,26,"[0.7156188488006592, 0.7117655724287033, 0.7213007211685181, 0.6635046601295471, 0.6342359483242035]",0.46153846153846156,0.34615384615384615,0.5923195518553257,12,9,26,26,"[0.5230268836021423, 0.7156188488006592, 0.7117655724287033, 0.7213007211685181, 0.5325979292392731, 0.51462721824646, 0.521161288022995, 0.6635046601295471, 0.6342359483242035, 0.5273626744747162, 0.5058855712413788, 0.5367473065853119]",0.8846153846153846,0.5384615384615384,0.5201553273946047,23,14,26,26,"[0.5230268836021423, 0.7156188488006592, 0.7117655724287033, 0.7213007211685181, 0.42209023237228394, 0.4806126058101654, 0.4363758713006973, 0.4918278157711029, 0.457919716835022, 0.4467600882053375, 0.5325979292392731, 0.4192948192358017, 0.51462721824646, 0.4654972702264786, 0.4679635763168335, 0.521161288022995, 0.6635046601295471, 0.6342359483242035, 0.5273626744747162, 0.5058855712413788, 0.5367473065853119, 0.4877914935350418, 0.4522189795970917, 0.3475407660007477]"
