File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298]
1,0.11764705882352941,0.18181818181818182,0.9694852232933044,2,2,17,11,"[0.9533631801605225, 0.9856072664260864]",0.17647058823529413,0.2727272727272727,0.9168896277745565,3,3,17,11,"[0.8116984367370605, 0.9533631801605225, 0.9856072664260864]",0.23529411764705882,0.36363636363636365,0.8845902383327484,4,4,17,11,"[0.8116984367370605, 0.7876920700073242, 0.9533631801605225, 0.9856072664260864]",0.35294117647058826,0.5454545454545454,0.8117727960149447,6,6,17,11,"[0.8116984367370605, 0.7876920700073242, 0.9533631801605225, 0.9856072664260864, 0.6694430708885193, 0.6628327518701553]",0.35294117647058826,0.5454545454545454,0.8117727960149447,6,6,17,11,"[0.8116984367370605, 0.7876920700073242, 0.9533631801605225, 0.9856072664260864, 0.6694430708885193, 0.6628327518701553]",0.47058823529411764,0.6363636363636364,0.7201496455818415,8,7,17,11,"[0.8116984367370605, 0.7876920700073242, 0.9533631801605225, 0.9856072664260864, 0.4768671989440918, 0.4136931896209717, 0.6694430708885193, 0.6628327518701553]"
1010,0.0,0.0,0,0,0,7,6,[],0.42857142857142855,0.5,0.8581534028053284,3,3,7,6,"[0.8673326373100281, 0.8408183157444, 0.866309255361557]",0.42857142857142855,0.5,0.8581534028053284,3,3,7,6,"[0.8673326373100281, 0.8408183157444, 0.866309255361557]",0.42857142857142855,0.5,0.8581534028053284,3,3,7,6,"[0.8673326373100281, 0.8408183157444, 0.866309255361557]",0.5714285714285714,0.5,0.7844282202422619,4,3,7,6,"[0.5632526725530624, 0.8673326373100281, 0.8408183157444, 0.866309255361557]",1.0,1.0,0.6179830112627575,7,6,7,6,"[0.3495270311832428, 0.3838736414909363, 0.5632526725530624, 0.8673326373100281, 0.8408183157444, 0.866309255361557, 0.45476752519607544]"
1019,0.029411764705882353,0.030303030303030304,1.000000238418579,1,1,34,33,[1.000000238418579],0.08823529411764706,0.09090909090909091,0.8775159418582916,3,3,34,33,"[0.805663675069809, 0.8268839120864868, 1.000000238418579]",0.3235294117647059,0.30303030303030304,0.7714616791768507,11,10,34,33,"[0.7032770216464996, 0.805663675069809, 0.7849690318107605, 0.7265712916851044, 0.7500271201133728, 0.7395393252372742, 0.8268839120864868, 0.7241014540195465, 0.7246315181255341, 0.7004138827323914, 1.000000238418579]",0.47058823529411764,0.3939393939393939,0.7150923709074656,16,13,34,33,"[0.7032770216464996, 0.805663675069809, 0.7849690318107605, 0.6066521555185318, 0.7265712916851044, 0.6285135746002197, 0.6174881309270859, 0.7500271201133728, 0.6322389841079712, 0.7395393252372742, 0.8268839120864868, 0.7241014540195465, 0.6270973086357117, 0.7246315181255341, 0.7004138827323914, 0.632865697145462, 0.6407283544540405, 1.000000238418579]",0.7647058823529411,0.5454545454545454,0.6410677870735526,26,18,34,33,"[0.5178543329238892, 0.7032770216464996, 0.805663675069809, 0.7849690318107605, 0.6066521555185318, 0.7265712916851044, 0.6285135746002197, 0.6174881309270859, 0.7500271201133728, 0.5950106382369995, 0.6322389841079712, 0.5832445472478867, 0.7395393252372742, 0.8268839120864868, 0.5801205039024353, 0.5084508806467056, 0.7241014540195465, 0.6270973086357117, 0.5908031463623047, 0.5592652857303619, 0.7246315181255341, 0.7004138827323914, 0.562036395072937, 0.632865697145462, 0.6407283544540405, 0.5023437887430191, 0.5339305996894836, 1.000000238418579, 0.5246423482894897, 0.5418099611997604, 0.5230299979448318, 0.5199640840291977]",0.9705882352941176,0.7575757575757576,0.5121103737452258,33,25,34,33,"[0.5178543329238892, 0.2965194880962372, 0.4340619593858719, 0.4365883767604828, 0.4144571125507355, 0.7032770216464996, 0.805663675069809, 0.7849690318107605, 0.3705393970012665, 0.3542017787694931, 0.6066521555185318, 0.7265712916851044, 0.38976216316223145, 0.6285135746002197, 0.6174881309270859, 0.7500271201133728, 0.5950106382369995, 0.6322389841079712, 0.5832445472478867, 0.24420729279518127, 0.7395393252372742, 0.45842865109443665, 0.8268839120864868, 0.40526625514030457, 0.5801205039024353, 0.364382728934288, 0.4528171867132187, 0.5084508806467056, 0.7241014540195465, 0.4755392372608185, 0.6270973086357117, 0.4173400104045868, 0.5908031463623047, 0.38868334889411926, 0.5592652857303619, 0.7246315181255341, 0.7004138827323914, 0.4725992679595947, 0.4543497562408447, 0.562036395072937, 0.632865697145462, 0.6407283544540405, 0.5023437887430191, 0.5339305996894836, 0.4705727845430374, 1.000000238418579, 0.5246423482894897, 0.4365883767604828, 0.4144571125507355, 0.4397001266479492, 0.2965194880962372, 0.45871567726135254, 0.40445786714553833, 0.36115700006484985, 0.3479575216770172, 0.5418099611997604, 0.47874151170253754, 0.43152114748954773, 0.4132928252220154, 0.44996026158332825, 0.5230299979448318, 0.4367578774690628, 0.49329985678195953, 0.5199640840291977, 0.3035985827445984, 0.4820590317249298, 0.4667808562517166, 0.4739411324262619, 0.4302317798137665, 0.2783963084220886, 0.4577212333679199, 0.431715190410614, 0.38200053572654724]"
1015,0.0,0.0,0,0,0,6,4,[],0.16666666666666666,0.25,0.864417314529419,1,1,6,4,[0.864417314529419],0.6666666666666666,0.75,0.7896547988057137,4,3,6,4,"[0.864417314529419, 0.7869255244731903, 0.7900698184967041, 0.7172065377235413]",0.6666666666666666,0.75,0.7896547988057137,4,3,6,4,"[0.864417314529419, 0.7869255244731903, 0.7900698184967041, 0.7172065377235413]",0.6666666666666666,0.75,0.7896547988057137,4,3,6,4,"[0.864417314529419, 0.7869255244731903, 0.7900698184967041, 0.7172065377235413]",0.8333333333333334,1.0,0.7152865052223205,5,4,6,4,"[0.864417314529419, 0.41781333088874817, 0.7869255244731903, 0.7900698184967041, 0.7172065377235413]"
1025,0.0,0.0,0,0,0,23,28,[],0.08695652173913043,0.07142857142857142,0.8380632698535919,2,2,23,28,"[0.8113019466400146, 0.8648245930671692]",0.30434782608695654,0.2857142857142857,0.7648639641702175,7,8,23,28,"[0.8113019466400146, 0.7700221538543701, 0.70616015791893, 0.7024382948875427, 0.7528110146522522, 0.7990087866783142, 0.8648245930671692, 0.712344765663147]",0.43478260869565216,0.39285714285714285,0.7293713539838791,10,11,23,28,"[0.8113019466400146, 0.7700221538543701, 0.6413317024707794, 0.70616015791893, 0.7024382948875427, 0.7528110146522522, 0.6301491856575012, 0.6958011388778687, 0.7990087866783142, 0.6662625074386597, 0.8648245930671692, 0.712344765663147]",0.6521739130434783,0.5714285714285714,0.6303294342756272,15,16,23,28,"[0.8113019466400146, 0.7700221538543701, 0.6413317024707794, 0.70616015791893, 0.5060841739177704, 0.7024382948875427, 0.5159768164157867, 0.7528110146522522, 0.6301491856575012, 0.6958011388778687, 0.5833055377006531, 0.5576207041740417, 0.50150465965271, 0.5250917375087738, 0.5035469681024551, 0.575758546590805, 0.7990087866783142, 0.5106856226921082, 0.5581149458885193, 0.6662625074386597, 0.8648245930671692, 0.5455158948898315, 0.5913244485855103, 0.712344765663147, 0.5312495529651642]",0.9565217391304348,0.7142857142857143,0.5374960502566293,22,20,23,28,"[0.8113019466400146, 0.49016281962394714, 0.7700221538543701, 0.6413317024707794, 0.2593689262866974, 0.3552936613559723, 0.70616015791893, 0.5060841739177704, 0.7024382948875427, 0.5159768164157867, 0.4374746233224869, 0.7528110146522522, 0.6301491856575012, 0.6958011388778687, 0.44917941093444824, 0.5833055377006531, 0.5576207041740417, 0.50150465965271, 0.5250917375087738, 0.45385752618312836, 0.5035469681024551, 0.41274578869342804, 0.575758546590805, 0.3713304251432419, 0.7990087866783142, 0.36446359753608704, 0.4775540381669998, 0.4404715597629547, 0.5106856226921082, 0.4601393789052963, 0.5581149458885193, 0.6662625074386597, 0.8648245930671692, 0.5455158948898315, 0.3481081798672676, 0.5913244485855103, 0.712344765663147, 0.46455909311771393, 0.39595961570739746, 0.5312495529651642, 0.3918285220861435, 0.4355764538049698, 0.3460206836462021]"
102,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8767482042312622,1,1,1,1,[0.8767482042312622],1.0,1.0,0.8767482042312622,1,1,1,1,[0.8767482042312622],1.0,1.0,0.8767482042312622,1,1,1,1,[0.8767482042312622],1.0,1.0,0.8767482042312622,1,1,1,1,[0.8767482042312622],1.0,1.0,0.8767482042312622,1,1,1,1,[0.8767482042312622]
103,0.1,0.08333333333333333,0.9889312982559204,1,1,10,12,[0.9889312982559204],0.4,0.3333333333333333,0.8898324966430664,4,4,10,12,"[0.8990036845207214, 0.9889312982559204, 0.8592547178268433, 0.8121402859687805]",0.6,0.5,0.8505546400944392,6,6,10,12,"[0.8990036845207214, 0.7798463106155396, 0.76415154337883, 0.9889312982559204, 0.8592547178268433, 0.8121402859687805]",0.7,0.5833333333333334,0.802821297198534,7,7,10,12,"[0.8990036845207214, 0.7798463106155396, 0.632668137550354, 0.76415154337883, 0.686574399471283, 0.9889312982559204, 0.8592547178268433, 0.8121402859687805]",0.9,0.8333333333333334,0.7187127508223057,9,10,10,12,"[0.8990036845207214, 0.5963980108499527, 0.5267937481403351, 0.7798463106155396, 0.5112789571285248, 0.632668137550354, 0.5675119161605835, 0.76415154337883, 0.686574399471283, 0.9889312982559204, 0.8592547178268433, 0.8121402859687805]",1.0,0.9166666666666666,0.5916713212024082,10,11,10,12,"[0.8990036845207214, 0.46020010113716125, 0.5963980108499527, 0.5267937481403351, 0.7798463106155396, 0.44886182248592377, 0.4236829876899719, 0.47780999541282654, 0.4901669919490814, 0.4354305863380432, 0.47448283433914185, 0.5112789571285248, 0.632668137550354, 0.3479575216770172, 0.5675119161605835, 0.4055255651473999, 0.4280976504087448, 0.76415154337883, 0.686574399471283, 0.9889312982559204, 0.8592547178268433, 0.8121402859687805]"
1028,0.0,0.0,0,0,0,10,9,[],0.1,0.1111111111111111,0.8823997974395752,1,1,10,9,[0.8823997974395752],0.1,0.1111111111111111,0.8823997974395752,1,1,10,9,[0.8823997974395752],0.1,0.1111111111111111,0.8823997974395752,1,1,10,9,[0.8823997974395752],0.7,0.5555555555555556,0.5823700364146914,7,5,10,9,"[0.8823997974395752, 0.5600872039794922, 0.5092944502830505, 0.5284234583377838, 0.5900653004646301, 0.5004077255725861, 0.5059123188257217]",1.0,0.7777777777777778,0.5333202943205834,10,7,10,9,"[0.8823997974395752, 0.4882499873638153, 0.5600872039794922, 0.5092944502830505, 0.3658722937107086, 0.5284234583377838, 0.5900653004646301, 0.40249040722846985, 0.5004077255725861, 0.5059123188257217]"
1046,1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015],1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015],1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015],1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015],1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015],1.0,1.0,0.9473899602890015,1,1,1,1,[0.9473899602890015]
