file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,14,17,0.4666666666666667,1.0,30,17,16,0
289.txt,13,14,0.9285714285714286,0.9333333333333333,14,15,1,1
510.txt,12,11,1.0,1.0,12,11,0,0
921.txt,11,10,1.0,0.9090909090909091,11,11,0,1
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,17,21,0.8947368421052632,0.9545454545454546,19,22,2,1
666.txt,16,14,0.9411764705882353,0.9333333333333333,17,15,1,1
470.txt,8,8,0.8888888888888888,1.0,9,8,1,0
303.txt,7,7,0.6363636363636364,1.0,11,7,4,0
1132.txt,5,5,0.8333333333333334,0.8333333333333334,6,6,1,1
883.txt,8,8,0.8888888888888888,1.0,9,8,1,0
129.txt,25,23,0.8620689655172413,1.0,29,23,4,0
28.txt,16,11,0.8,1.0,20,11,4,0
920.txt,13,13,0.9285714285714286,1.0,14,13,1,0
539.txt,18,17,1.0,1.0,18,17,0,0
511.txt,11,9,0.9166666666666666,1.0,12,9,1,0
1085.txt,8,6,0.5,0.8571428571428571,16,7,8,1
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,21,22,0.9545454545454546,0.9565217391304348,22,23,1,1
842.txt,7,6,0.875,1.0,8,6,1,0
856.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
103.txt,15,15,1.0,1.0,15,15,0,0
117.txt,13,15,0.7222222222222222,0.9375,18,16,5,1
1130.txt,10,10,0.625,1.0,16,10,6,0
499.txt,8,8,0.6666666666666666,1.0,12,8,4,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,6,5,0.8571428571428571,0.8333333333333334,7,6,1,1
17.txt,4,3,0.5714285714285714,1.0,7,3,3,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.9230769230769231,1.0,13,8,1,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,43,40,0.9347826086956522,0.7843137254901961,46,51,3,11
853.txt,7,8,0.7777777777777778,1.0,9,8,2,0
884.txt,6,7,0.8571428571428571,1.0,7,7,1,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,6,6,0.75,0.8571428571428571,8,7,2,1
1134.txt,16,16,1.0,0.9411764705882353,16,17,0,1
661.txt,6,6,0.75,1.0,8,6,2,0
649.txt,10,8,0.8333333333333334,1.0,12,8,2,0
852.txt,0,0,0.0,0.0,11,7,11,7
1097.txt,7,7,0.7777777777777778,1.0,9,7,2,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.7142857142857143,1.0,7,9,2,0
930.txt,5,5,0.7142857142857143,1.0,7,5,2,0
139.txt,9,9,0.75,1.0,12,9,3,0
111.txt,3,3,0.75,1.0,4,3,1,0
474.txt,15,13,0.75,0.9285714285714286,20,14,5,1
1123.txt,7,6,0.5833333333333334,1.0,12,6,5,0
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,11,8,1.0,1.0,11,8,0,0
39.txt,5,5,0.7142857142857143,1.0,7,5,2,0
11.txt,10,11,0.7142857142857143,0.9166666666666666,14,12,4,1
716.txt,7,7,0.6363636363636364,1.0,11,7,4,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,24,27,0.7741935483870968,0.7297297297297297,31,37,7,10
1232.txt,34,38,0.8717948717948718,0.8837209302325582,39,43,5,5
956.txt,21,20,0.6176470588235294,1.0,34,20,13,0
759.txt,6,4,0.8571428571428571,1.0,7,4,1,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,6,4,1.0,1.0,6,4,0,0
1187.txt,9,12,0.8181818181818182,0.8571428571428571,11,14,2,2
1193.txt,19,19,0.9047619047619048,1.0,21,19,2,0
349.txt,7,6,1.0,1.0,7,6,0,0
348.txt,12,14,0.5,0.9333333333333333,24,15,12,1
406.txt,6,4,0.5454545454545454,1.0,11,4,5,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,0.2727272727272727,1.0,11,3,8,0
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,8,8,0.8,0.8,10,10,2,2
770.txt,10,9,0.9090909090909091,0.6923076923076923,11,13,1,4
764.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1019.txt,35,37,0.7608695652173914,0.8809523809523809,46,42,11,5
1025.txt,21,31,1.0,0.8611111111111112,21,36,0,5
955.txt,5,4,1.0,1.0,5,4,0,0
1147.txt,7,5,1.0,1.0,7,5,0,0
438.txt,9,10,0.75,1.0,12,10,3,0
439.txt,16,16,0.6153846153846154,1.0,26,16,10,0
411.txt,12,14,0.8571428571428571,1.0,14,14,2,0
1146.txt,19,19,0.7037037037037037,1.0,27,19,8,0
940.txt,10,7,1.0,1.0,10,7,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,7,6,0.875,1.0,8,6,1,0
561.txt,14,11,0.875,0.8461538461538461,16,13,2,2
950.txt,17,17,0.9444444444444444,0.9444444444444444,18,18,1,1
373.txt,3,3,0.6,1.0,5,3,2,0
616.txt,6,5,1.0,1.0,6,5,0,0
776.txt,4,4,1.0,1.0,4,4,0,0
574.txt,6,6,1.0,1.0,6,6,0,0
953.txt,16,18,0.64,0.9,25,20,9,2
990.txt,10,9,0.5882352941176471,1.0,17,9,7,0
