File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.18181818181818182,0.14285714285714285,0.9694852828979492,2,2,11,14,"[0.9533632397651672, 0.9856073260307312]",0.18181818181818182,0.14285714285714285,0.9694852828979492,2,2,11,14,"[0.9533632397651672, 0.9856073260307312]",0.18181818181818182,0.14285714285714285,0.9694852828979492,2,2,11,14,"[0.9533632397651672, 0.9856073260307312]",0.2727272727272727,0.21428571428571427,0.8790166179339091,3,3,11,14,"[0.6980792880058289, 0.9533632397651672, 0.9856073260307312]",0.36363636363636365,0.2857142857142857,0.7843905910849571,4,4,11,14,"[0.6980792880058289, 0.9533632397651672, 0.9856073260307312, 0.5005125105381012]",1.0,0.5714285714285714,0.556221607056531,11,8,11,14,"[0.43990087509155273, 0.6980792880058289, 0.9533632397651672, 0.9856073260307312, 0.39894774556159973, 0.40767940878868103, 0.3887830078601837, 0.42944692075252533, 0.436529204249382, 0.5005125105381012, 0.4795881509780884]"
1015,0.5,0.5,0.9936808943748474,2,2,4,4,"[0.9873616695404053, 1.0000001192092896]",0.75,0.75,0.9564299980799357,3,3,4,4,"[0.9873616695404053, 1.0000001192092896, 0.8819282054901123]",0.75,0.75,0.9564299980799357,3,3,4,4,"[0.9873616695404053, 1.0000001192092896, 0.8819282054901123]",0.75,0.75,0.9564299980799357,3,3,4,4,"[0.9873616695404053, 1.0000001192092896, 0.8819282054901123]",0.75,0.75,0.9564299980799357,3,3,4,4,"[0.9873616695404053, 1.0000001192092896, 0.8819282054901123]",1.0,1.0,0.8217758238315582,4,4,4,4,"[0.9873616695404053, 0.4178133010864258, 1.0000001192092896, 0.8819282054901123]"
1019,0.0,0.0,0,0,0,33,36,[],0.0,0.0,0,0,0,33,36,[],0.030303030303030304,0.027777777777777776,0.785243570804596,1,1,33,36,[0.785243570804596],0.030303030303030304,0.027777777777777776,0.785243570804596,1,1,33,36,[0.785243570804596],0.06060606060606061,0.05555555555555555,0.6636732965707779,2,2,33,36,"[0.785243570804596, 0.5421030223369598]",0.12121212121212122,0.1111111111111111,0.5255763977766037,4,4,33,36,"[0.785243570804596, 0.34795746207237244, 0.5421030223369598, 0.4270015358924866]"
102,1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438],1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438],1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438],1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438],1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438],1.0,1.0,0.9109725952148438,1,1,1,1,[0.9109725952148438]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298]
103,0.08333333333333333,0.1,1.0000001192092896,1,1,12,10,[1.0000001192092896],0.16666666666666666,0.2,0.9208559691905975,2,2,12,10,"[0.8417118191719055, 1.0000001192092896]",0.16666666666666666,0.2,0.9208559691905975,2,2,12,10,"[0.8417118191719055, 1.0000001192092896]",0.3333333333333333,0.4,0.7932428270578384,4,4,12,10,"[0.8417118191719055, 0.6440698951482773, 1.0000001192092896, 0.6871894747018814]",0.5833333333333334,0.7,0.6844832875898906,7,7,12,10,"[0.8417118191719055, 0.6440698951482773, 0.5267938375473022, 1.0000001192092896, 0.6871894747018814, 0.5454830974340439, 0.5461347699165344]",0.75,0.9,0.6202753103441663,9,9,12,10,"[0.8417118191719055, 0.3306449055671692, 0.6440698951482773, 0.5267938375473022, 1.0000001192092896, 0.46044987440109253, 0.6871894747018814, 0.5454830974340439, 0.5461347699165344]"
1028,0.0,0.0,0,0,0,9,12,[],0.1111111111111111,0.08333333333333333,0.8824000358581543,1,1,9,12,[0.8824000358581543],0.1111111111111111,0.08333333333333333,0.8824000358581543,1,1,9,12,[0.8824000358581543],0.5555555555555556,0.3333333333333333,0.7077034145593644,5,4,9,12,"[0.8824000358581543, 0.6991438716650009, 0.6991438716650009, 0.6181287616491318, 0.6397005319595337]",0.6666666666666666,0.4166666666666667,0.6831007078289986,6,5,9,12,"[0.8824000358581543, 0.5600871741771698, 0.6991438716650009, 0.6991438716650009, 0.6181287616491318, 0.6397005319595337]",1.0,0.6666666666666666,0.6053428865141339,9,8,9,12,"[0.8824000358581543, 0.4828174412250519, 0.5600871741771698, 0.6991438716650009, 0.6991438716650009, 0.4175092577934265, 0.4491550326347351, 0.6181287616491318, 0.6397005319595337]"
1010,0.0,0.0,0,0,0,6,12,[],0.0,0.0,0,0,0,6,12,[],0.0,0.0,0,0,0,6,12,[],0.16666666666666666,0.08333333333333333,0.6384592056274414,1,1,6,12,[0.6384592056274414],0.16666666666666666,0.08333333333333333,0.6384592056274414,1,1,6,12,[0.6384592056274414],1.0,0.4166666666666667,0.4322186882297198,6,5,6,12,"[0.4239974319934845, 0.36803027987480164, 0.42684054374694824, 0.3999662548303604, 0.3360184133052826, 0.6384592056274414]"
1046,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7921921014785767,1,1,1,1,[0.7921921014785767],1.0,1.0,0.7921921014785767,1,1,1,1,[0.7921921014785767],1.0,1.0,0.7921921014785767,1,1,1,1,[0.7921921014785767],1.0,1.0,0.7921921014785767,1,1,1,1,[0.7921921014785767]
1047,0.07142857142857142,0.03333333333333333,0.9346747696399689,1,1,14,30,[0.9346747696399689],0.14285714285714285,0.06666666666666667,0.8703036457300186,2,2,14,30,"[0.8059325218200684, 0.9346747696399689]",0.14285714285714285,0.06666666666666667,0.8703036457300186,2,2,14,30,"[0.8059325218200684, 0.9346747696399689]",0.21428571428571427,0.1,0.7940836548805237,3,3,14,30,"[0.8059325218200684, 0.9346747696399689, 0.6416436731815338]",0.35714285714285715,0.23333333333333334,0.6574517956801823,5,7,14,30,"[0.8059325218200684, 0.9346747696399689, 0.6416436731815338, 0.5065054297447205, 0.5512256920337677, 0.5867426693439484, 0.5754378139972687]",1.0,0.6,0.49549490710099536,14,18,14,30,"[0.8059325218200684, 0.3694404363632202, 0.9346747696399689, 0.3915579319000244, 0.4324958324432373, 0.38776062428951263, 0.47746822237968445, 0.49233852326869965, 0.4915246367454529, 0.4915246367454529, 0.4822183847427368, 0.4431270956993103, 0.40463733673095703, 0.6416436731815338, 0.46675774455070496, 0.5065054297447205, 0.33072781562805176, 0.5512256920337677, 0.47463443875312805, 0.5867426693439484, 0.4713343232870102, 0.3361049294471741, 0.4952106475830078, 0.4965377748012543, 0.4806419014930725, 0.36015668511390686, 0.5754378139972687]"
1049,0.6,0.6,0.9727586706479391,3,3,5,5,"[1.000000238418579, 1.0, 0.918275773525238]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",1.0,1.0,0.8690125703811645,5,5,5,5,"[0.6223456263542175, 1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",1.0,1.0,0.8690125703811645,5,5,5,5,"[0.6223456263542175, 1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",1.0,1.0,0.8690125703811645,5,5,5,5,"[0.6223456263542175, 1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]"
1052,0.14285714285714285,0.14285714285714285,0.9609423130750656,2,2,14,14,"[0.9218845069408417, 1.0000001192092896]",0.21428571428571427,0.21428571428571427,0.9278800388177236,3,3,14,14,"[0.8617554903030396, 0.9218845069408417, 1.0000001192092896]",0.35714285714285715,0.35714285714285715,0.8722145140171051,5,5,14,14,"[0.8617554903030396, 0.793773889541626, 0.7836585640907288, 0.9218845069408417, 1.0000001192092896]",0.35714285714285715,0.35714285714285715,0.8722145140171051,5,5,14,14,"[0.8617554903030396, 0.793773889541626, 0.7836585640907288, 0.9218845069408417, 1.0000001192092896]",0.6428571428571429,0.5714285714285714,0.729736907614602,9,8,14,14,"[0.8617554903030396, 0.793773889541626, 0.7836585640907288, 0.9218845069408417, 1.0000001192092896, 0.5107117146253586, 0.588860884308815, 0.5849814414978027, 0.522005558013916]",1.0,0.7142857142857143,0.6219289143170629,14,10,14,14,"[0.8617554903030396, 0.4566899240016937, 0.793773889541626, 0.7836585640907288, 0.47882094979286194, 0.9218845069408417, 1.0000001192092896, 0.3712635040283203, 0.5107117146253586, 0.588860884308815, 0.5849814414978027, 0.42542727291584015, 0.40717098116874695, 0.522005558013916]"
1067,1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344],1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344],1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344],1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344],1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344],1.0,1.0,0.9746015667915344,1,1,1,1,[0.9746015667915344]
1061,0.0,0.0,0,0,0,8,17,[],0.0,0.0,0,0,0,8,17,[],0.0,0.0,0,0,0,8,17,[],0.125,0.058823529411764705,0.6499505937099457,1,1,8,17,[0.6499505937099457],0.5,0.23529411764705882,0.5679075866937637,4,4,8,17,"[0.5343582630157471, 0.5084824413061142, 0.6499505937099457, 0.5761069655418396, 0.5706396698951721]",1.0,0.35294117647058826,0.48483464270830157,8,6,8,17,"[0.45423150062561035, 0.5343582630157471, 0.4524841606616974, 0.5084824413061142, 0.6499505937099457, 0.5761069655418396, 0.5706396698951721, 0.3035256862640381, 0.33023694157600403, 0.4683302044868469]"
1070,0.0,0.0,0,0,0,5,4,[],0.0,0.0,0,0,0,5,4,[],0.4,0.5,0.7449788600206375,2,2,5,4,"[0.7355680763721466, 0.7543896436691284]",0.6,0.75,0.7025597542524338,3,3,5,4,"[0.6971070170402527, 0.7355680763721466, 0.6231742799282074, 0.7543896436691284]",0.8,1.0,0.6683095037937165,4,4,5,4,"[0.6971070170402527, 0.7355680763721466, 0.6231742799282074, 0.7543896436691284, 0.531308501958847]",1.0,1.0,0.5895753247397286,5,4,5,4,"[0.6971070170402527, 0.4233059883117676, 0.7355680763721466, 0.6231742799282074, 0.7543896436691284, 0.36217376589775085, 0.531308501958847]"
1025,0.0,0.0,0,0,0,28,20,[],0.03571428571428571,0.05,0.8052032887935638,1,1,28,20,[0.8052032887935638],0.07142857142857142,0.1,0.7957459539175034,2,2,28,20,"[0.8052032887935638, 0.7862886190414429]",0.10714285714285714,0.2,0.707051545381546,3,4,28,20,"[0.8052032887935638, 0.7862886190414429, 0.6305985152721405, 0.6061157584190369]",0.25,0.35,0.611758655971951,7,7,28,20,"[0.8052032887935638, 0.7862886190414429, 0.5396663546562195, 0.6305985152721405, 0.5954842567443848, 0.6061157584190369, 0.50150465965271, 0.538532480597496, 0.5024339705705643]",0.6428571428571429,0.5,0.508186646129774,18,10,28,20,"[0.4169086217880249, 0.37876975536346436, 0.8052032887935638, 0.7862886190414429, 0.48396170139312744, 0.4307261109352112, 0.33230797946453094, 0.4171658754348755, 0.4395129829645157, 0.5396663546562195, 0.6305985152721405, 0.5954842567443848, 0.4684927463531494, 0.6061157584190369, 0.49727508425712585, 0.50150465965271, 0.46202120184898376, 0.4019423574209213, 0.4603929817676544, 0.4963705837726593, 0.538532480597496, 0.4966169744729996, 0.5024339705705643]"
1085,0.0,0.0,0,0,0,5,11,[],0.0,0.0,0,0,0,5,11,[],0.0,0.0,0,0,0,5,11,[],0.0,0.0,0,0,0,5,11,[],0.0,0.0,0,0,0,5,11,[],0.4,0.18181818181818182,0.44631749391555786,2,2,5,11,"[0.4532471299171448, 0.43938785791397095]"
1088,1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083],1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083],1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083],1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083],1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083],1.0,1.0,0.9791755080223083,1,1,1,1,[0.9791755080223083]
1081,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7390087246894836,1,1,1,1,[0.7390087246894836],1.0,1.0,0.7390087246894836,1,1,1,1,[0.7390087246894836],1.0,1.0,0.7390087246894836,1,1,1,1,[0.7390087246894836],1.0,1.0,0.7390087246894836,1,1,1,1,[0.7390087246894836]
1073,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7525941729545593,1,1,1,1,[0.7525941729545593],1.0,1.0,0.7525941729545593,1,1,1,1,[0.7525941729545593],1.0,1.0,0.7525941729545593,1,1,1,1,[0.7525941729545593],1.0,1.0,0.7525941729545593,1,1,1,1,[0.7525941729545593]
1097,0.25,0.25,0.9011809229850769,1,1,4,4,[0.9011809229850769],0.5,0.5,0.8529890924692154,2,2,4,4,"[0.9011809229850769, 0.8047972619533539]",0.75,0.75,0.8194359938303629,3,3,4,4,"[0.9011809229850769, 0.8047972619533539, 0.7523297965526581]",0.75,0.75,0.8194359938303629,3,3,4,4,"[0.9011809229850769, 0.8047972619533539, 0.7523297965526581]",1.0,1.0,0.7448974847793579,4,4,4,4,"[0.9011809229850769, 0.5212819576263428, 0.8047972619533539, 0.7523297965526581]",1.0,1.0,0.7448974847793579,4,4,4,4,"[0.9011809229850769, 0.5212819576263428, 0.8047972619533539, 0.7523297965526581]"
11,0.0,0.0,0,0,0,5,7,[],0.4,0.2857142857142857,0.8476243019104004,2,2,5,7,"[0.8030243515968323, 0.8922242522239685]",0.6,0.42857142857142855,0.824019859234492,3,3,5,7,"[0.8030243515968323, 0.7768109738826752, 0.8922242522239685]",0.8,0.5714285714285714,0.7737055495381355,4,4,5,7,"[0.8030243515968323, 0.7768109738826752, 0.6227626204490662, 0.8922242522239685]",0.8,0.7142857142857143,0.730443662405014,4,5,5,7,"[0.8030243515968323, 0.7768109738826752, 0.5573961138725281, 0.6227626204490662, 0.8922242522239685]",1.0,0.8571428571428571,0.6574297547340393,5,6,5,7,"[0.8030243515968323, 0.29236021637916565, 0.7768109738826752, 0.5573961138725281, 0.6227626204490662, 0.8922242522239685]"
111,1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054],1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054],1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054],1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054],1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054],1.0,1.0,0.9241172671318054,1,1,1,1,[0.9241172671318054]
