file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,26,17,26
289.txt,15,15,1.0,0.8333333333333334,15,18,0,3
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,11,1.0,0.8461538461538461,11,13,0,2
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,22,17,1.0,1.0,22,17,0,0
666.txt,15,13,1.0,0.8125,15,16,0,3
470.txt,8,8,1.0,0.8,8,10,0,2
303.txt,6,6,0.8571428571428571,0.5,7,12,1,6
1132.txt,5,5,0.8333333333333334,0.7142857142857143,6,7,1,2
883.txt,8,8,1.0,0.7272727272727273,8,11,0,3
129.txt,23,21,1.0,0.84,23,25,0,4
28.txt,11,16,1.0,1.0,11,16,0,0
920.txt,13,13,1.0,0.9285714285714286,13,14,0,1
539.txt,16,16,0.9411764705882353,0.9411764705882353,17,17,1,1
511.txt,9,11,1.0,0.9166666666666666,9,12,0,1
1085.txt,7,18,1.0,1.0,7,18,0,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,18,19,0.782608695652174,0.8636363636363636,23,22,5,3
842.txt,6,8,1.0,0.8888888888888888,6,9,0,1
856.txt,7,6,1.0,0.6666666666666666,7,9,0,3
103.txt,15,17,1.0,0.9444444444444444,15,18,0,1
117.txt,16,15,1.0,0.8823529411764706,16,17,0,2
1130.txt,9,9,0.9,0.75,10,12,1,3
499.txt,8,10,1.0,1.0,8,10,0,0
102.txt,0,0,0.0,0.0,9,10,9,10
857.txt,6,6,1.0,0.75,6,8,0,2
17.txt,3,3,1.0,0.5,3,6,0,3
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,8,1.0,0.8,8,10,0,2
516.txt,15,12,1.0,1.0,15,12,0,0
933.txt,37,36,0.7254901960784313,0.9,51,40,14,4
853.txt,8,8,1.0,0.8,8,10,0,2
884.txt,7,6,1.0,0.8571428571428571,7,7,0,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
1134.txt,17,17,1.0,0.8095238095238095,17,21,0,4
661.txt,6,7,1.0,0.875,6,8,0,1
649.txt,8,8,1.0,0.8,8,10,0,2
852.txt,0,0,0.0,0.0,7,11,7,11
1097.txt,7,9,1.0,1.0,7,9,0,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8,8,10,0,2
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.7142857142857143,9,7,0,2
930.txt,5,6,1.0,0.6666666666666666,5,9,0,3
139.txt,9,12,1.0,1.0,9,12,0,0
111.txt,3,4,1.0,1.0,3,4,0,0
474.txt,13,14,0.9285714285714286,0.7777777777777778,14,18,1,4
1123.txt,6,4,1.0,0.36363636363636365,6,11,0,7
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,10,1.0,0.8333333333333334,8,12,0,2
39.txt,5,5,1.0,0.8333333333333334,5,6,0,1
11.txt,11,10,0.9166666666666666,0.7692307692307693,12,13,1,3
716.txt,7,8,1.0,0.7272727272727273,7,11,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,32,26,0.8648648648648649,0.8666666666666667,37,30,5,4
1232.txt,40,37,0.9302325581395349,0.8409090909090909,43,44,3,7
956.txt,19,20,0.95,0.6060606060606061,20,33,1,13
759.txt,4,7,1.0,1.0,4,7,0,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.6666666666666666,4,6,0,2
1187.txt,14,10,1.0,0.9090909090909091,14,11,0,1
1193.txt,19,19,1.0,0.8260869565217391,19,23,0,4
349.txt,6,5,1.0,0.625,6,8,0,3
348.txt,13,12,0.8666666666666667,0.4,15,30,2,18
406.txt,4,6,1.0,0.5454545454545454,4,11,0,5
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.4444444444444444,3,9,0,5
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,11,1.0,0.6875,10,16,0,5
770.txt,12,8,0.9230769230769231,0.8888888888888888,13,9,1,1
764.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1019.txt,36,35,0.8571428571428571,0.7446808510638298,42,47,6,12
1025.txt,25,22,0.6944444444444444,0.8148148148148148,36,27,11,5
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,5,1.0,0.625,5,8,0,3
438.txt,10,9,1.0,0.75,10,12,0,3
439.txt,16,16,1.0,0.64,16,25,0,9
411.txt,14,12,1.0,0.6666666666666666,14,18,0,6
1146.txt,19,17,1.0,0.7391304347826086,19,23,0,6
940.txt,7,7,1.0,0.7,7,10,0,3
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,7,1.0,0.875,6,8,0,1
561.txt,11,15,0.8461538461538461,0.7894736842105263,13,19,2,4
950.txt,17,17,0.9444444444444444,0.9444444444444444,18,18,1,1
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,5,1.0,1.0,5,5,0,0
776.txt,4,5,1.0,1.0,4,5,0,0
574.txt,6,5,1.0,1.0,6,5,0,0
953.txt,19,17,0.95,0.85,20,20,1,3
990.txt,9,9,1.0,0.5294117647058824,9,17,0,8
600.txt,19,18,1.0,1.0,19,18,0,0
1141.txt,10,10,0.9090909090909091,0.9090909090909091,11,11,1,1
1155.txt,7,10,1.0,0.38461538461538464,7,26,0,16
416.txt,5,10,1.0,1.0,5,10,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,8,1.0,0.8888888888888888,6,9,0,1
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,16,16,1.0,0.6956521739130435,16,23,0,7
211.txt,4,5,1.0,0.8333333333333334,4,6,0,1
1005.txt,4,4,1.0,0.8,4,5,0,1
220.txt,11,8,0.7857142857142857,1.0,14,8,3,0
778.txt,9,11,1.0,0.9166666666666666,9,12,0,1
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,19,19,1.0,0.95,19,20,0,1
803.txt,3,4,1.0,1.0,3,4,0,0
618.txt,8,13,1.0,0.8666666666666667,8,15,0,2
368.txt,4,4,1.0,0.8,4,5,0,1
427.txt,8,8,1.0,0.47058823529411764,8,17,0,9
341.txt,15,16,0.8823529411764706,1.0,17,16,2,0
95.txt,14,17,0.875,0.85,16,20,2,3
631.txt,4,4,0.8,0.8,5,5,1,1
962.txt,19,21,0.95,1.0,20,21,1,0
584.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1010.txt,7,7,1.0,1.0,7,7,0,0
551.txt,8,7,1.0,0.875,8,8,0,1
948.txt,25,19,0.8064516129032258,1.0,31,19,6,0
753.txt,9,12,0.9,0.7058823529411765,10,17,1,5
141.txt,6,7,1.0,1.0,6,7,0,0
394.txt,20,24,1.0,0.6486486486486487,20,37,0,13
343.txt,5,8,1.0,1.0,5,8,0,0
395.txt,8,9,1.0,1.0,8,9,0,0
