file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,21,17,21,17
289.txt,14,15,0.875,1.0,16,15,2,0
510.txt,11,11,0.9166666666666666,1.0,12,11,1,0
921.txt,12,11,0.8571428571428571,1.0,14,11,2,0
29.txt,9,8,1.0,1.0,9,8,0,0
855.txt,0,0,0.0,0.0,18,22,18,22
666.txt,14,15,1.0,1.0,14,15,0,0
470.txt,9,8,0.6428571428571429,1.0,14,8,5,0
303.txt,7,7,0.3888888888888889,1.0,18,7,11,0
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,7,7,0.875,0.875,8,8,1,1
129.txt,27,22,0.8709677419354839,0.9565217391304348,31,23,4,1
28.txt,0,0,0.0,0.0,27,11,27,11
920.txt,14,13,0.8235294117647058,1.0,17,13,3,0
539.txt,30,17,1.0,1.0,30,17,0,0
511.txt,0,0,0.0,0.0,14,9,14,9
1085.txt,14,7,0.7777777777777778,1.0,18,7,4,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,20,21,0.8333333333333334,0.9130434782608695,24,23,4,2
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,6,6,0.75,0.8571428571428571,8,7,2,1
103.txt,0,0,0.0,0.0,25,15,25,15
117.txt,0,0,0.0,0.0,23,16,23,16
1130.txt,12,10,0.7058823529411765,1.0,17,10,5,0
499.txt,0,0,0.0,0.0,14,8,14,8
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,5,6,0.7142857142857143,1.0,7,6,2,0
17.txt,4,3,0.8,1.0,5,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.9230769230769231,1.0,13,8,1,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,30,31,0.6666666666666666,0.6078431372549019,45,51,15,20
853.txt,9,8,0.75,1.0,12,8,3,0
884.txt,6,7,0.5454545454545454,1.0,11,7,5,0
1121.txt,5,4,1.0,1.0,5,4,0,0
304.txt,13,12,1.0,1.0,13,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7,1.0,10,7,3,0
1134.txt,0,0,0.0,0.0,15,17,15,17
661.txt,0,0,0.0,0.0,8,6,8,6
649.txt,8,8,0.8888888888888888,1.0,9,8,1,0
852.txt,0,0,0.0,0.0,23,7,23,7
1097.txt,9,7,1.0,1.0,9,7,0,0
267.txt,4,5,1.0,1.0,4,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.8333333333333334,1.0,6,9,1,0
930.txt,6,5,0.6666666666666666,1.0,9,5,3,0
139.txt,12,9,1.0,1.0,12,9,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,0,0,0.0,0.0,25,14,25,14
1123.txt,0,0,0.0,0.0,13,6,13,6
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,12,8,1.0,1.0,12,8,0,0
39.txt,8,5,1.0,1.0,8,5,0,0
11.txt,0,0,0.0,0.0,14,12,14,12
716.txt,0,0,0.0,0.0,13,7,13,7
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,27,28,0.7714285714285715,0.7567567567567568,35,37,8,9
1232.txt,0,0,0.0,0.0,49,43,49,43
956.txt,0,0,0.0,0.0,30,20,30,20
759.txt,4,4,0.8,1.0,5,4,1,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,6,7,0.75,1.0,8,7,2,0
375.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1187.txt,10,14,0.8333333333333334,1.0,12,14,2,0
1193.txt,19,19,0.7307692307692307,1.0,26,19,7,0
349.txt,6,6,0.6666666666666666,1.0,9,6,3,0
348.txt,0,0,0.0,0.0,38,15,38,15
406.txt,6,4,0.42857142857142855,1.0,14,4,8,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,0.375,1.0,8,3,5,0
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,13,10,1.0,1.0,13,10,0,0
770.txt,0,0,0.0,0.0,11,13,11,13
764.txt,7,7,0.875,1.0,8,7,1,0
1019.txt,0,0,0.0,0.0,40,42,40,42
1025.txt,0,0,0.0,0.0,28,36,28,36
955.txt,4,4,0.8,1.0,5,4,1,0
1147.txt,5,5,0.625,1.0,8,5,3,0
438.txt,14,10,0.9333333333333333,1.0,15,10,1,0
439.txt,16,16,0.6956521739130435,1.0,23,16,7,0
