## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start CAB change request process","start","","","",""
2,"assess the change request","entity","1","","",""
3,"check affected systems for business unit impacts","entity","2","","",""
4,"determine whether to approve the change request in its current state","condition","3","","",""
5,"approve change request","entity","4","","",""
6,"implement the change","entity","5","","",""
7,"end process after implementing change","end","6","","",""
8,"needs further evaluation if change acceptable with more information","condition","4","","",""
9,"change is unacceptable","condition","8","","",""
10,"reject the change request","entity","9","","",""
11,"request more information from Change Coordinator","entity","10","","",""
12,"send email enquiry to Change Coordinator","entity","11","","",""
13,"update approval register within 3 business days","entity","12","","",""
14,"forward email enquiry to Change Requester","entity","12","","",""
15,"check for further inquiries or issues","condition","14","","",""
16,"process concludes after 3 business days with no inquiries or issues","end","15","","",""
17,"inquiries from CAB","condition","15","","",""
18,"expect response from requester within 1 to 3 business days","entity","17","","",""
19,"receive response from requester","entity","18","","",""
20,"forward response to CAB for further evaluation","entity","19","","",""
21,"make final determination on approval of the change request","condition","20","","",""
22,"approve change request based on final determination","entity","21","","",""
23,"implement the change","entity","22","","",""
24,"end process after implementing change","end","23","","",""
25,"reject the change request based on final determination","entity","21","","",""
26,"end process after rejection","end","25","","",""
27,"change is acceptable with more information","entity","8","","",""
28,"request more information from Change Coordinator","entity","27","","",""
29,"send email enquiry to Change Coordinator","entity","28","","",""
30,"update approval register within 3 business days","entity","29","","",""
31,"forward email enquiry to Change Requester","entity","29","","",""
32,"check for further inquiries or issues","condition","31","","",""
33,"process concludes after 3 business days with no inquiries or issues","end","32","","",""
34,"inquiries from CAB","condition","32","","",""
35,"expect response from requester within 1 to 3 business days","entity","34","","",""
36,"receive response from requester","entity","35","","",""
37,"forward response to CAB for further evaluation","entity","36","","",""
38,"make final determination on approval of the change request","condition","37","","",""
39,"approve change request based on final determination","entity","38","","",""
40,"implement the change","entity","39","","",""
41,"end process after implementing change","end","40","","",""
42,"reject the change request based on final determination","entity","38","","",""
43,"end process after rejection","end","42","","",""
44,"merge process after update approval register and forward email enquiry","entity","13,30","","",""
45,"check for further inquiries or issues","condition","44","","",""
46,"process concludes after 3 business days with no inquiries or issues","end","45","","",""
47,"inquiries from CAB","condition","45","","",""
48,"expect response from requester within 1 to 3 business days","entity","47","","",""
49,"receive response from requester","entity","48","","",""
50,"forward response to CAB for further evaluation","entity","49","","",""
51,"make final determination on approval of the change request","condition","50","","",""
52,"approve change request based on final determination","entity","51","","",""
53,"implement the change","entity","52","","",""
54,"end process after implementing change","end","53","","",""
55,"reject the change request based on final determination","entity","51","","",""
56,"end process after rejection","end","55","","",""
57,"merge responses for final approval decision","entity","20,37,50","","",""
58,"make final determination on approval of the change request","condition","57","","",""
59,"approve change request based on final determination","entity","58","","",""
60,"implement the change","entity","59","","",""
61,"end process after implementing change","end","60","","",""
62,"reject the change request based on final determination","entity","58","","",""
63,"end process after rejection","end","62","","",""
