file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,30,17,30
289.txt,0,0,0.0,0.0,15,21,15,21
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,21,1.0,0.84,11,25,0,4
29.txt,8,9,1.0,1.0,8,9,0,0
855.txt,22,18,1.0,0.9473684210526315,22,19,0,1
666.txt,0,0,0.0,0.0,15,25,15,25
470.txt,8,8,1.0,0.7272727272727273,8,11,0,3
303.txt,0,0,0.0,0.0,7,10,7,10
1132.txt,5,7,0.8333333333333334,1.0,6,7,1,0
883.txt,8,8,1.0,0.8,8,10,0,2
129.txt,23,30,1.0,1.0,23,30,0,0
28.txt,0,0,0.0,0.0,11,19,11,19
920.txt,13,14,1.0,0.7777777777777778,13,18,0,4
539.txt,17,18,1.0,1.0,17,18,0,0
511.txt,0,0,0.0,0.0,9,14,9,14
1085.txt,7,8,1.0,0.47058823529411764,7,17,0,9
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,23,19,1.0,0.7916666666666666,23,24,0,5
842.txt,6,8,1.0,0.8888888888888888,6,9,0,1
856.txt,6,8,0.8571428571428571,0.8888888888888888,7,9,1,1
103.txt,15,17,1.0,0.85,15,20,0,3
117.txt,0,0,0.0,0.0,16,18,16,18
1130.txt,10,10,1.0,0.5263157894736842,10,19,0,9
499.txt,0,0,0.0,0.0,8,12,8,12
102.txt,9,10,1.0,1.0,9,10,0,0
857.txt,6,6,1.0,0.75,6,8,0,2
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,11,1.0,0.7857142857142857,8,14,0,3
516.txt,15,13,1.0,1.0,15,13,0,0
933.txt,0,0,0.0,0.0,51,44,51,44
853.txt,8,9,1.0,0.75,8,12,0,3
884.txt,7,7,1.0,0.7,7,10,0,3
1121.txt,4,4,1.0,0.8,4,5,0,1
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,16,1.0,0.6666666666666666,17,24,0,8
661.txt,6,6,1.0,0.75,6,8,0,2
649.txt,8,11,1.0,0.9166666666666666,8,12,0,1
852.txt,0,0,0.0,0.0,7,19,7,19
1097.txt,7,6,1.0,0.6666666666666666,7,9,0,3
267.txt,5,4,1.0,1.0,5,4,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,6,1.0,1.0,9,6,0,0
930.txt,4,7,0.8,1.0,5,7,1,0
139.txt,9,10,1.0,0.8333333333333334,9,12,0,2
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,0,0,0.0,0.0,14,24,14,24
1123.txt,0,0,0.0,0.0,6,12,6,12
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,12,1.0,1.0,8,12,0,0
39.txt,5,5,1.0,0.625,5,8,0,3
11.txt,0,0,0.0,0.0,12,15,12,15
716.txt,0,0,0.0,0.0,7,12,7,12
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,0,0,0.0,0.0,37,34,37,34
1232.txt,0,0,0.0,0.0,43,49,43,49
956.txt,0,0,0.0,0.0,20,51,20,51
759.txt,4,5,1.0,0.8333333333333334,4,6,0,1
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.6666666666666666,4,6,0,2
1187.txt,14,10,1.0,0.7142857142857143,14,14,0,4
1193.txt,0,0,0.0,0.0,19,26,19,26
349.txt,6,7,1.0,0.7777777777777778,6,9,0,2
348.txt,0,0,0.0,0.0,15,26,15,26
406.txt,4,6,1.0,0.6,4,10,0,4
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.5,3,8,0,4
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,12,1.0,0.9230769230769231,10,13,0,1
770.txt,0,0,0.0,0.0,13,11,13,11
764.txt,7,8,1.0,0.8,7,10,0,2
1019.txt,0,0,0.0,0.0,42,45,42,45
1025.txt,0,0,0.0,0.0,36,28,36,28
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,5,1.0,0.8333333333333334,5,6,0,1
438.txt,0,0,0.0,0.0,10,17,10,17
439.txt,0,0,0.0,0.0,16,23,16,23
411.txt,14,13,1.0,0.8125,14,16,0,3
1146.txt,18,18,0.9473684210526315,0.75,19,24,1,6
940.txt,7,7,1.0,0.875,7,8,0,1
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,7,1.0,0.7,6,10,0,3
561.txt,0,0,0.0,0.0,13,18,13,18
950.txt,18,18,1.0,0.9,18,20,0,2
373.txt,3,3,1.0,0.75,3,4,0,1
616.txt,5,6,1.0,1.0,5,6,0,0
776.txt,4,4,1.0,1.0,4,4,0,0
574.txt,6,5,1.0,1.0,6,5,0,0
953.txt,0,0,0.0,0.0,20,63,20,63
990.txt,9,9,1.0,0.8181818181818182,9,11,0,2
600.txt,19,12,1.0,1.0,19,12,0,0
1141.txt,10,10,0.9090909090909091,0.7692307692307693,11,13,1,3
1155.txt,0,0,0.0,0.0,7,21,7,21
416.txt,5,9,1.0,0.8181818181818182,5,11,0,2
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,7,1.0,1.0,8,7,0,0
359.txt,6,6,1.0,0.75,6,8,0,2
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,16,21,1.0,0.84,16,25,1,4
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,4,4,1.0,0.8,4,5,0,1
220.txt,8,8,0.5714285714285714,1.0,14,8,6,0
778.txt,8,10,0.8888888888888888,0.9090909090909091,9,11,1,1
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,19,24,1.0,0.8571428571428571,19,28,0,4
803.txt,3,4,1.0,1.0,3,4,0,0
618.txt,8,13,1.0,1.0,8,13,0,0
368.txt,4,5,1.0,0.7142857142857143,4,7,0,2
427.txt,0,0,0.0,0.0,8,33,8,33
341.txt,0,0,0.0,0.0,17,16,17,16
95.txt,15,14,0.9375,0.7777777777777778,16,18,1,4
631.txt,5,7,1.0,0.7,5,10,0,3
962.txt,0,0,0.0,0.0,20,45,20,45
584.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1010.txt,0,0,0.0,0.0,7,14,7,14
551.txt,7,8,0.875,1.0,8,8,1,0
948.txt,25,21,0.8064516129032258,1.0,31,21,6,0
753.txt,0,0,0.0,0.0,10,25,10,25
141.txt,6,8,1.0,1.0,6,8,0,0
394.txt,19,24,0.95,0.7741935483870968,20,31,1,7
343.txt,5,5,1.0,0.625,5,8,0,3
395.txt,8,8,1.0,1.0,8,8,0,0
96.txt,0,0,0.0,0.0,12,18,12,18
41.txt,18,15,1.0,1.0,18,15,0,0
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,0,0,0.0,0.0,9,14,9,14
597.txt,9,10,1.0,0.9090909090909091,9,11,0,1
232.txt,10,9,1.0,1.0,10,9,0,0
971.txt,6,8,1.0,0.7272727272727273,6,11,0,3
51.txt,13,14,0.9285714285714286,0.7777777777777778,14,18,1,4
811.txt,28,23,0.6363636363636364,0.8518518518518519,44,27,17,4
839.txt,6,6,1.0,0.75,6,8,0,2
144.txt,17,17,1.0,1.0,17,17,0,0
636.txt,7,9,1.0,0.75,7,12,0,3
1188.txt,17,18,1.0,0.8571428571428571,17,21,0,3
347.txt,3,3,1.0,0.6,3,5,0,2
637.txt,13,24,1.0,0.7741935483870968,13,31,0,7
151.txt,5,6,1.0,1.0,5,6,0,0
623.txt,0,0,0.0,0.0,19,21,19,21
186.txt,0,0,0.0,0.0,11,15,11,15
233.txt,3,3,1.0,1.0,3,3,0,0
1028.txt,0,0,0.0,0.0,11,12,11,12
543.txt,8,8,1.0,1.0,8,8,0,0
796.txt,5,5,1.0,0.7142857142857143,5,7,0,2
999.txt,0,0,0.0,0.0,11,17,11,17
153.txt,3,3,1.0,1.0,3,3,0,0
351.txt,12,12,1.0,1.0,12,12,0,0
344.txt,0,0,0.0,0.0,17,23,17,23
350.txt,8,8,0.8888888888888888,0.6153846153846154,9,13,1,5
191.txt,4,4,1.0,1.0,4,4,0,0
1.txt,0,0,0.0,0.0,15,26,15,26
1203.txt,3,5,1.0,0.7142857142857143,3,7,0,2
595.txt,10,12,0.7142857142857143,0.5714285714285714,14,21,4,9
1015.txt,9,9,0.9,0.8181818181818182,10,11,1,2
280.txt,4,4,1.0,0.6666666666666666,4,6,0,2
848.txt,13,10,1.0,0.9090909090909091,13,11,0,1
860.txt,4,4,1.0,1.0,4,4,0,0
653.txt,15,14,1.0,1.0,15,14,0,0
322.txt,0,0,0.0,0.0,19,25,19,25
861.txt,4,6,0.8,0.8571428571428571,5,7,1,1
849.txt,0,0,0.0,0.0,10,11,10,11
901.txt,17,17,0.9444444444444444,0.9444444444444444,18,18,1,1
929.txt,6,7,0.8571428571428571,0.7777777777777778,7,9,1,2
530.txt,6,6,1.0,1.0,6,6,0,0
1067.txt,0,0,0.0,0.0,22,22,22,22
1073.txt,3,3,1.0,0.75,3,4,0,1
268.txt,5,5,1.0,0.45454545454545453,5,11,0,6
23.txt,0,0,0.0,0.0,25,28,25,28
136.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
1139.txt,9,10,1.0,0.8333333333333334,9,12,0,2
902.txt,13,17,1.0,0.7727272727272727,13,22,0,5
916.txt,0,0,0.0,0.0,14,17,14,17
269.txt,4,4,1.0,1.0,4,4,0,0
241.txt,0,0,0.0,0.0,12,12,12,12
282.txt,6,5,1.0,0.625,6,8,0,3
1070.txt,0,0,0.0,0.0,6,7,6,7
251.txt,5,7,1.0,0.6363636363636364,5,11,0,4
682.txt,7,9,1.0,0.75,7,12,0,3
127.txt,5,5,1.0,0.8333333333333334,5,6,0,1
480.txt,7,8,1.0,0.8,7,10,0,2
126.txt,0,0,0.0,0.0,6,9,6,9
27.txt,7,6,1.0,0.8571428571428571,7,7,0,1
278.txt,13,15,1.0,1.0,13,15,1,0
1061.txt,10,10,0.9090909090909091,0.5882352941176471,11,17,1,7
1049.txt,6,6,1.0,0.8571428571428571,6,7,0,1
1088.txt,4,4,1.0,1.0,4,4,0,0
31.txt,11,13,1.0,0.8125,11,16,0,3
19.txt,0,0,0.0,0.0,8,16,8,16
326.txt,5,5,0.8333333333333334,0.8333333333333334,6,6,1,1
1102.txt,6,6,1.0,1.0,6,6,0,0
643.txt,13,12,1.0,0.9230769230769231,13,13,0,1
24.txt,0,0,0.0,0.0,7,10,7,10
253.txt,6,6,1.0,0.6,6,10,0,4
247.txt,11,11,0.9166666666666666,0.5238095238095238,12,21,1,10
509.txt,6,6,1.0,0.8571428571428571,6,7,0,1
,,,,,,,,
