File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[]
1010,0.0,0.0,0.0,0,0,9,6,[],0.0,0.0,0.0,0,0,9,6,[],0.0,0.0,0.0,0,0,9,6,[],0.0,0.0,0.0,0,0,9,6,[],0.0,0.0,0.0,0,0,9,6,[],0.0,0.0,0.0,0,0,9,6,[]
1005,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7547267079353333,1,1,1,1,[0.7547267079353333],1.0,1.0,0.7547267079353333,1,1,1,1,[0.7547267079353333],1.0,1.0,0.7547267079353333,1,1,1,1,[0.7547267079353333],1.0,1.0,0.7547267079353333,1,1,1,1,[0.7547267079353333]
1019,0.0,0.0,0.0,0,0,38,33,[],0.0,0.0,0.0,0,0,38,33,[],0.0,0.0,0.0,0,0,38,33,[],0.0,0.0,0.0,0,0,38,33,[],0.0,0.0,0.0,0,0,38,33,[],0.0,0.0,0.0,0,0,38,33,[]
1015,0.0,0.0,0,0,0,6,4,[],0.16666666666666666,0.25,0.8134134411811829,1,1,6,4,[0.8134134411811829],0.16666666666666666,0.25,0.8134134411811829,1,1,6,4,[0.8134134411811829],0.16666666666666666,0.25,0.8134134411811829,1,1,6,4,[0.8134134411811829],0.6666666666666666,0.75,0.6373288333415985,4,3,6,4,"[0.8134134411811829, 0.5673571228981018, 0.5705014169216156, 0.5980433523654938]",0.8333333333333334,1.0,0.5934257447719574,5,4,6,4,"[0.8134134411811829, 0.41781339049339294, 0.5673571228981018, 0.5705014169216156, 0.5980433523654938]"
102,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8842958211898804,1,1,1,1,[0.8842958211898804],1.0,1.0,0.8842958211898804,1,1,1,1,[0.8842958211898804],1.0,1.0,0.8842958211898804,1,1,1,1,[0.8842958211898804],1.0,1.0,0.8842958211898804,1,1,1,1,[0.8842958211898804],1.0,1.0,0.8842958211898804,1,1,1,1,[0.8842958211898804]
1028,0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[]
1025,0.0,0.0,0.0,0,0,25,28,[],0.0,0.0,0.0,0,0,25,28,[],0.0,0.0,0.0,0,0,25,28,[],0.0,0.0,0.0,0,0,25,28,[],0.0,0.0,0.0,0,0,25,28,[],0.0,0.0,0.0,0,0,25,28,[]
103,0.07692307692307693,0.08333333333333333,0.9889312982559204,1,1,13,12,[0.9889312982559204],0.3076923076923077,0.3333333333333333,0.865091472864151,4,4,13,12,"[0.8035228848457336, 0.9889312982559204, 0.8395904302597046, 0.8283212780952454]",0.46153846153846156,0.5,0.8258539388577143,6,6,13,12,"[0.7873162031173706, 0.8035228848457336, 0.7074415385723114, 0.9889312982559204, 0.8395904302597046, 0.8283212780952454]",0.6153846153846154,0.5833333333333334,0.7879459392279387,8,7,13,12,"[0.7873162031173706, 0.6565285474061966, 0.6919153332710266, 0.8035228848457336, 0.7074415385723114, 0.9889312982559204, 0.8395904302597046, 0.8283212780952454]",0.7692307692307693,0.6666666666666666,0.7487794116139412,10,8,13,12,"[0.7873162031173706, 0.6565285474061966, 0.5973281860351562, 0.5868984162807465, 0.6919153332710266, 0.8035228848457336, 0.7074415385723114, 0.9889312982559204, 0.8395904302597046, 0.8283212780952454]",1.0,0.9166666666666666,0.5998305943277147,13,11,13,12,"[0.7873162031173706, 0.33064499497413635, 0.6565285474061966, 0.4372423440217972, 0.5973281860351562, 0.38498029112815857, 0.3552072048187256, 0.5868984162807465, 0.477809876203537, 0.6919153332710266, 0.8035228848457336, 0.41022270917892456, 0.4803062379360199, 0.4327429234981537, 0.7074415385723114, 0.9889312982559204, 0.8395904302597046, 0.8283212780952454]"
1046,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472]
