file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
1047.txt,True,,True,,True,,True,,False,"2, 3, 9, 12, 17, 18, 19, 20, 23, 24, 25, 26",True,,
289.txt,True,,True,,True,,True,,True,,True,,
510.txt,True,,True,,True,,True,,True,,True,,
921.txt,True,,True,,True,,True,,True,,True,,
29.txt,True,,True,,True,,True,,True,,True,,
855.txt,True,,True,,True,,True,,False,9,True,,
666.txt,True,,True,,True,,True,,True,,True,,
470.txt,True,,True,,True,,True,,True,,True,,
303.txt,True,,True,,True,,True,,False,8,True,,
1132.txt,True,,True,,True,,True,,True,,True,,
883.txt,True,,True,,True,,True,,True,,True,,
129.txt,True,,True,,True,,True,,False,"6, 14",True,,
28.txt,True,,True,,True,,True,,False,"8, 10, 15, 17, 20",True,,
920.txt,True,,True,,True,,True,,True,,True,,
539.txt,True,,True,,True,,True,,True,,True,,
511.txt,True,,True,,True,,True,,True,,True,,
1085.txt,True,,True,,True,,True,,False,10,True,,
1046.txt,True,,True,,True,,True,,True,,True,,
1052.txt,True,,True,,True,,True,,True,,True,,
842.txt,True,,True,,True,,True,,True,,True,,
856.txt,True,,True,,True,,True,,True,,True,,
103.txt,True,,True,,True,,True,,True,,True,,
117.txt,True,,True,,True,,True,,False,"4, 8",True,,
1130.txt,True,,True,,True,,True,,True,,True,,
499.txt,True,,True,,True,,True,,False,"7, 12",True,,
102.txt,True,,True,,True,,True,,True,,True,,
857.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,True,,True,,
274.txt,True,,True,,True,,True,,True,,True,,
258.txt,True,,True,,True,,True,,True,,True,,
516.txt,True,,True,,True,,True,,True,,True,,
933.txt,True,,True,,True,,False,39,False,4,True,,
853.txt,True,,True,,True,,True,,True,,True,,
884.txt,True,,True,,True,,True,,False,6,True,,
1121.txt,True,,True,,True,,True,,True,,True,,
304.txt,True,,True,,True,,True,,True,,True,,
311.txt,False,,True,,True,,True,,True,,False,"2, 1",
1120.txt,True,,True,,True,,True,,True,,True,,
1134.txt,True,,True,,True,,True,,True,,True,,
661.txt,True,,True,,True,,True,,False,2,True,,
649.txt,True,,True,,True,,True,,True,,True,,
852.txt,True,,True,,True,,True,,False,"3, 12",True,,
1097.txt,True,,True,,True,,True,,True,,True,,
267.txt,True,,True,,True,,True,,True,,True,,
1081.txt,True,,True,,True,,True,,True,,True,,
515.txt,True,,True,,True,,True,,True,,True,,
924.txt,True,,True,,True,,True,,True,,True,,
930.txt,True,,True,,True,,True,,True,,True,,
139.txt,True,,True,,True,,False,6,True,,True,,
111.txt,True,,True,,True,,True,,True,,True,,
474.txt,True,,True,,True,,True,,True,,True,,
1123.txt,True,,True,,True,,True,,True,,True,,
110.txt,True,,True,,True,,True,,True,,True,,
886.txt,True,,True,,True,,True,,True,,True,,
39.txt,True,,True,,True,,True,,True,,True,,
11.txt,True,,True,,True,,True,,False,3,True,,
716.txt,True,,True,,True,,True,,False,"4, 6",True,,
266.txt,True,,True,,True,,True,,True,,True,,
229.txt,True,,True,,True,,True,,True,,True,,
1232.txt,True,,True,,True,,True,,False,"3, 5, 7, 9, 14, 17, 19, 21, 26, 28, 35, 40",True,,
956.txt,True,,True,,True,,True,,False,"12, 16, 20, 22, 24, 26, 28, 30",True,,
759.txt,True,,True,,True,,True,,True,,True,,
822.txt,True,,True,,True,,True,,True,,True,,
163.txt,True,,True,,True,,True,,True,,True,,
375.txt,True,,True,,True,,True,,True,,True,,
1187.txt,True,,True,,True,,True,,True,,True,,
1193.txt,True,,True,,True,,True,,False,"17, 19, 21, 23, 25, 27, 35, 36, 37, 55, 57, 59, 61, 63, 65, 73, 74, 75",True,,
349.txt,True,,True,,True,,True,,True,,True,,
348.txt,True,,True,,True,,True,,False,"6, 9, 16, 18",True,,
406.txt,False,,True,,True,,True,,True,,False,"10, 7, 1, 8, 6, 3, 4, 2, 9, 5",
1186.txt,True,,True,,True,,True,,True,,True,,
1151.txt,True,,True,,True,,True,,True,,True,,
189.txt,True,,True,,True,,True,,True,,True,,
980.txt,True,,True,,True,,True,,True,,True,,
770.txt,True,,True,,True,,True,,True,,True,,
764.txt,True,,True,,True,,True,,True,,True,,
1019.txt,True,,True,,True,,True,,False,"5, 15",True,,
1025.txt,True,,True,,True,,True,,False,10,True,,
955.txt,True,,True,,True,,True,,True,,True,,
1147.txt,True,,True,,True,,True,,True,,True,,
438.txt,True,,True,,True,,True,,False,"38, 44, 45, 51, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95",True,,
439.txt,True,,True,,True,,True,,False,"12, 17",True,,
411.txt,True,,True,,True,,True,,True,,True,,
1146.txt,True,,True,,True,,True,,True,,True,,
940.txt,True,,True,,True,,True,,True,,True,,
1218.txt,True,,True,,True,,True,,True,,True,,
559.txt,True,,True,,True,,True,,True,,True,,
561.txt,True,,True,,True,,True,,True,,True,,
950.txt,True,,True,,True,,True,,True,,True,,
373.txt,True,,True,,True,,True,,True,,True,,
616.txt,True,,True,,True,,True,,True,,True,,
776.txt,True,,True,,True,,True,,True,,True,,
574.txt,True,,True,,True,,True,,True,,True,,
953.txt,True,,True,,True,,True,,True,,True,,
990.txt,True,,True,,True,,True,,True,,True,,
600.txt,True,,True,,True,,True,,True,,True,,
1141.txt,True,,True,,True,,True,,False,7,True,,
1155.txt,False,,True,,True,,True,,False,"5, 7, 11, 15, 16, 17",False,"12, 22, 1, 20, 13, 21, 11, 2, 10, 14, 18, 17, 15, 7, 8, 6, 3, 16, 19, 4, 9, 5",
416.txt,True,,True,,True,,True,,True,,True,,
1196.txt,True,,True,,True,,True,,True,,True,,
371.txt,True,,True,,True,,True,,True,,True,,
359.txt,True,,True,,True,,True,,True,,True,,
99.txt,True,,True,,True,,True,,True,,True,,
629.txt,True,,True,,True,,True,,True,,True,,
211.txt,True,,True,,True,,True,,False,9,True,,
1005.txt,True,,True,,True,,True,,True,,True,,
220.txt,True,,True,,True,,True,,True,,True,,
778.txt,True,,True,,True,,True,,True,,True,,
57.txt,True,,True,,True,,True,,True,,True,,
5.txt,True,,True,,True,,True,,True,,True,,
803.txt,True,,True,,True,,True,,True,,True,,
618.txt,True,,True,,True,,True,,True,,True,,
368.txt,True,,True,,True,,True,,True,,True,,
427.txt,True,,True,,True,,True,,True,,True,,
341.txt,True,,True,,True,,True,,False,5,True,,
95.txt,True,,True,,True,,True,,True,,True,,
