File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0,0,0,11,19,[],0.0,0.0,0,0,0,11,19,[],0.09090909090909091,0.05263157894736842,0.7297087013721466,1,1,11,19,[0.7297087013721466],0.18181818181818182,0.10526315789473684,0.7082027047872543,2,2,11,19,"[0.6866967082023621, 0.7297087013721466]",0.2727272727272727,0.10526315789473684,0.6703380743662516,3,2,11,19,"[0.6866967082023621, 0.7297087013721466, 0.5946088135242462]",1.0,0.3157894736842105,0.4566336213187738,11,6,11,19,"[0.444088876247406, 0.6866967082023621, 0.7297087013721466, 0.5946088135242462, 0.29194900393486023, 0.4127269983291626, 0.3145090788602829, 0.39576011896133423, 0.40645433962345123, 0.4114677459001541, 0.3349994495511055]"
1015,0.0,0.0,0,0,0,4,6,[],0.25,0.16666666666666666,0.813413679599762,1,1,4,6,[0.813413679599762],0.5,0.3333333333333333,0.7653100490570068,2,2,4,6,"[0.813413679599762, 0.7172064185142517]",0.75,0.5,0.7233029206593832,3,3,4,6,"[0.813413679599762, 0.6392886638641357, 0.7172064185142517]",0.75,0.5,0.7233029206593832,3,3,4,6,"[0.813413679599762, 0.6392886638641357, 0.7172064185142517]",1.0,0.6666666666666666,0.6406817510724068,4,4,4,6,"[0.813413679599762, 0.39281824231147766, 0.6392886638641357, 0.7172064185142517]"
1019,0.0,0.0,0.0,0,0,33,32,[],0.0,0.0,0.0,0,0,33,32,[],0.0,0.0,0.0,0,0,33,32,[],0.0,0.0,0.0,0,0,33,32,[],0.0,0.0,0.0,0,0,33,32,[],0.0,0.0,0.0,0,0,33,32,[]
102,0.0,0.0,0.0,0,0,1,1,[],0.0,0.0,0.0,0,0,1,1,[],0.0,0.0,0.0,0,0,1,1,[],0.0,0.0,0.0,0,0,1,1,[],0.0,0.0,0.0,0,0,1,1,[],0.0,0.0,0.0,0,0,1,1,[]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8082857728004456,1,1,1,1,[0.8082857728004456],1.0,1.0,0.8082857728004456,1,1,1,1,[0.8082857728004456],1.0,1.0,0.8082857728004456,1,1,1,1,[0.8082857728004456],1.0,1.0,0.8082857728004456,1,1,1,1,[0.8082857728004456],1.0,1.0,0.8082857728004456,1,1,1,1,[0.8082857728004456]
103,0.0,0.0,0,0,0,12,13,[],0.0,0.0,0,0,0,12,13,[],0.08333333333333333,0.07692307692307693,0.7823331356048584,1,1,12,13,[0.7823331356048584],0.25,0.23076923076923078,0.6872439036766688,3,3,12,13,"[0.7823331356048584, 0.6565286070108414, 0.6228699684143066]",0.3333333333333333,0.3076923076923077,0.6389218479394912,4,4,12,13,"[0.7823331356048584, 0.6565286070108414, 0.5973281264305115, 0.6228699684143066, 0.5355494022369385]",0.75,0.6153846153846154,0.5310621917247772,9,8,12,13,"[0.7823331356048584, 0.3306449055671692, 0.6565286070108414, 0.48394548892974854, 0.5973281264305115, 0.4587518274784088, 0.45733562111854553, 0.3853348344564438, 0.6228699684143066, 0.5355494022369385]"
1028,0.0,0.0,0,0,0,9,12,[],0.1111111111111111,0.08333333333333333,0.8639166951179504,1,1,9,12,[0.8639166951179504],0.1111111111111111,0.08333333333333333,0.8639166951179504,1,1,9,12,[0.8639166951179504],0.1111111111111111,0.08333333333333333,0.8639166951179504,1,1,9,12,[0.8639166951179504],0.4444444444444444,0.25,0.6418415009975433,4,3,9,12,"[0.8639166951179504, 0.5515991449356079, 0.5590091347694397, 0.5928410291671753]",1.0,0.5833333333333334,0.5120509813229243,9,7,9,12,"[0.8639166951179504, 0.4828174412250519, 0.4656585603952408, 0.5515991449356079, 0.5590091347694397, 0.5928410291671753, 0.2840198874473572, 0.41066874563694, 0.3979281932115555]"
1010,0.0,0.0,0,0,0,6,13,[],0.0,0.0,0,0,0,6,13,[],0.0,0.0,0,0,0,6,13,[],0.16666666666666666,0.07692307692307693,0.6491337418556213,1,1,6,13,[0.6491337418556213],0.16666666666666666,0.07692307692307693,0.6491337418556213,1,1,6,13,[0.6491337418556213],0.8333333333333334,0.23076923076923078,0.46860635876655576,5,3,6,13,"[0.6491337418556213, 0.4164463132619858, 0.45567889511585236, 0.43088339269161224, 0.3908894509077072]"
1046,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472],1.0,1.0,0.7914263606071472,1,1,1,1,[0.7914263606071472]
1047,0.0,0.0,0.0,0,0,14,26,[],0.0,0.0,0.0,0,0,14,26,[],0.0,0.0,0.0,0,0,14,26,[],0.0,0.0,0.0,0,0,14,26,[],0.0,0.0,0.0,0,0,14,26,[],0.0,0.0,0.0,0,0,14,26,[]
