file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,15,17,15
289.txt,14,14,0.9333333333333333,1.0,15,14,1,0
510.txt,11,18,1.0,0.8571428571428571,11,21,0,3
921.txt,11,10,1.0,0.8333333333333334,11,12,0,2
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,21,16,0.9545454545454546,0.9411764705882353,22,17,1,1
666.txt,0,0,0.0,0.0,15,13,15,13
470.txt,8,10,1.0,1.0,8,10,0,0
303.txt,7,6,1.0,0.6,7,10,0,4
1132.txt,5,5,0.8333333333333334,0.8333333333333334,6,6,1,1
883.txt,8,6,1.0,0.8571428571428571,8,7,0,1
129.txt,0,0,0.0,0.0,23,25,23,25
28.txt,11,18,1.0,1.0,11,18,0,0
920.txt,0,0,0.0,0.0,13,12,13,12
539.txt,17,16,1.0,0.9411764705882353,17,17,0,1
511.txt,9,9,1.0,0.8181818181818182,9,11,0,2
1085.txt,0,0,0.0,0.0,7,19,7,19
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,0,0,0.0,0.0,23,20,23,20
842.txt,6,7,1.0,0.7777777777777778,6,9,0,2
856.txt,7,6,1.0,0.75,7,8,0,2
103.txt,0,0,0.0,0.0,15,16,15,16
117.txt,16,13,1.0,0.8666666666666667,16,15,0,2
1130.txt,10,10,1.0,0.9090909090909091,10,11,0,1
499.txt,0,0,0.0,0.0,8,11,8,11
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,6,1.0,1.0,6,6,0,0
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,0,0,0.0,0.0,8,12,8,12
516.txt,12,10,0.8,1.0,15,10,3,0
933.txt,45,24,0.8823529411764706,1.0,51,24,6,0
853.txt,8,8,1.0,0.7272727272727273,8,11,0,3
884.txt,6,7,0.8571428571428571,0.875,7,8,1,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,11,1.0,1.0,12,11,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,6,6,0.8571428571428571,0.75,7,8,1,2
1134.txt,17,12,1.0,0.9230769230769231,17,13,0,1
661.txt,5,6,0.8333333333333334,0.8571428571428571,6,7,1,1
649.txt,8,8,1.0,0.8888888888888888,8,9,0,1
852.txt,0,0,0.0,0.0,7,12,7,12
1097.txt,7,8,1.0,0.8888888888888888,7,9,0,1
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8888888888888888,8,9,0,1
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,6,1.0,0.75,9,8,0,2
930.txt,5,6,1.0,0.6666666666666666,5,9,0,3
139.txt,9,11,1.0,1.0,9,11,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,14,14,1.0,0.7777777777777778,14,18,0,4
1123.txt,6,6,1.0,0.5,6,12,0,6
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,10,1.0,0.8333333333333334,8,12,0,2
39.txt,5,6,1.0,1.0,5,6,0,0
11.txt,12,11,1.0,0.7857142857142857,12,14,0,3
716.txt,6,8,0.8571428571428571,0.8,7,10,1,2
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,20,17,0.5405405405405406,0.68,37,25,17,8
1232.txt,33,30,0.7674418604651163,0.9375,43,32,10,2
956.txt,20,20,1.0,0.9090909090909091,20,22,0,2
759.txt,4,6,1.0,0.8571428571428571,4,7,0,1
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.5,4,8,0,4
1187.txt,14,9,1.0,0.9,14,10,0,1
1193.txt,0,0,0.0,0.0,19,22,19,22
349.txt,6,5,1.0,0.5555555555555556,6,9,0,4
348.txt,13,14,0.8666666666666667,0.7368421052631579,15,19,2,5
406.txt,4,7,1.0,1.0,4,7,0,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,6,1.0,0.75,3,8,0,2
189.txt,6,7,1.0,1.0,6,7,0,0
980.txt,10,12,1.0,1.0,10,12,0,0
770.txt,0,0,0.0,0.0,13,12,13,12
764.txt,7,7,1.0,0.875,7,8,0,1
1019.txt,0,0,0.0,0.0,42,35,42,35
1025.txt,28,17,0.7777777777777778,1.0,36,17,8,0
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,5,1.0,0.7142857142857143,5,7,1,2
438.txt,0,0,0.0,0.0,10,15,10,15
439.txt,16,14,1.0,0.8235294117647058,16,17,0,3
411.txt,14,12,1.0,0.8571428571428571,14,14,0,2
1146.txt,18,17,0.9473684210526315,0.68,19,25,1,8
940.txt,7,7,1.0,0.875,7,8,0,1
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,5,5,0.8333333333333334,0.7142857142857143,6,7,1,2
561.txt,0,0,0.0,0.0,13,18,13,18
950.txt,0,0,0.0,0.0,18,17,18,17
373.txt,3,3,1.0,0.375,3,8,0,5
616.txt,5,6,1.0,1.0,5,6,0,0
776.txt,4,4,1.0,0.8,4,5,0,1
574.txt,6,5,1.0,1.0,6,5,0,0
953.txt,19,24,0.95,0.9230769230769231,20,26,1,2
990.txt,9,9,1.0,0.6923076923076923,9,13,0,4
600.txt,19,17,1.0,0.9444444444444444,19,18,0,1
1141.txt,11,8,1.0,0.8888888888888888,11,9,0,1
1155.txt,7,7,1.0,1.0,7,7,0,0
416.txt,5,12,1.0,1.0,5,12,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,1.0,0.6,6,10,0,4
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,0,0,0.0,0.0,16,18,16,18
211.txt,4,4,1.0,0.8,4,5,0,1
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,9,9,0.6428571428571429,1.0,14,9,5,0
778.txt,7,8,0.7777777777777778,1.0,9,8,2,0
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,0,0,0.0,0.0,19,19,19,19
803.txt,3,3,1.0,0.75,3,4,0,1
