File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0.0,0,0,9,11,[],0.0,0.0,0.0,0,0,9,11,[],0.0,0.0,0.0,0,0,9,11,[],0.0,0.0,0.0,0,0,9,11,[],0.0,0.0,0.0,0,0,9,11,[],0.0,0.0,0.0,0,0,9,11,[]
1005,1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436]
1015,0.0,0.0,0.0,0,0,1,4,[],0.0,0.0,0.0,0,0,1,4,[],0.0,0.0,0.0,0,0,1,4,[],0.0,0.0,0.0,0,0,1,4,[],0.0,0.0,0.0,0,0,1,4,[],0.0,0.0,0.0,0,0,1,4,[]
1010,0.0,0.0,0.0,0,0,7,6,[],0.0,0.0,0.0,0,0,7,6,[],0.0,0.0,0.0,0,0,7,6,[],0.0,0.0,0.0,0,0,7,6,[],0.0,0.0,0.0,0,0,7,6,[],0.0,0.0,0.0,0,0,7,6,[]
1019,0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[]
1025,0.0,0.0,0.0,0,0,17,28,[],0.0,0.0,0.0,0,0,17,28,[],0.0,0.0,0.0,0,0,17,28,[],0.0,0.0,0.0,0,0,17,28,[],0.0,0.0,0.0,0,0,17,28,[],0.0,0.0,0.0,0,0,17,28,[]
102,0.0,0.0,0,0,0,6,1,[],0.0,0.0,0,0,0,6,1,[],0.16666666666666666,1.0,0.7051604986190796,1,1,6,1,[0.7051604986190796],0.16666666666666666,1.0,0.7051604986190796,1,1,6,1,[0.7051604986190796],0.16666666666666666,1.0,0.7051604986190796,1,1,6,1,[0.7051604986190796],0.16666666666666666,1.0,0.7051604986190796,1,1,6,1,[0.7051604986190796]
1028,0.0,0.0,0,0,0,8,9,[],0.125,0.1111111111111111,0.8924204707145691,1,1,8,9,[0.8924204707145691],0.125,0.1111111111111111,0.8924204707145691,1,1,8,9,[0.8924204707145691],0.5,0.4444444444444444,0.7365773096680641,4,4,8,9,"[0.8924204707145691, 0.655600905418396, 0.6991438716650009, 0.6991439908742905]",0.875,0.7777777777777778,0.6524493971041271,7,7,8,9,"[0.8924204707145691, 0.5310442894697189, 0.655600905418396, 0.6991438716650009, 0.6991439908742905, 0.578005388379097, 0.5117868632078171]",1.0,0.7777777777777778,0.6191343739628792,8,7,8,9,"[0.8924204707145691, 0.5310442894697189, 0.655600905418396, 0.6991438716650009, 0.6991439908742905, 0.578005388379097, 0.5117868632078171, 0.385929211974144]"
103,0.0,0.0,0.0,0,0,10,12,[],0.0,0.0,0.0,0,0,10,12,[],0.0,0.0,0.0,0,0,10,12,[],0.0,0.0,0.0,0,0,10,12,[],0.0,0.0,0.0,0,0,10,12,[],0.0,0.0,0.0,0,0,10,12,[]
1046,1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093]
