File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[]
1015,0.0,0.0,0.0,0,0,4,1,[],0.0,0.0,0.0,0,0,4,1,[],0.0,0.0,0.0,0,0,4,1,[],0.0,0.0,0.0,0,0,4,1,[],0.0,0.0,0.0,0,0,4,1,[],0.0,0.0,0.0,0,0,4,1,[]
1019,0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[]
102,0.0,0.0,0,0,0,1,6,[],0.0,0.0,0,0,0,1,6,[],1.0,0.16666666666666666,0.7051604986190796,1,1,1,6,[0.7051604986190796],1.0,0.16666666666666666,0.7051604986190796,1,1,1,6,[0.7051604986190796],1.0,0.16666666666666666,0.7051604986190796,1,1,1,6,[0.7051604986190796],1.0,0.16666666666666666,0.7051604986190796,1,1,1,6,[0.7051604986190796]
1005,1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436]
103,0.0,0.0,0.0,0,0,12,10,[],0.0,0.0,0.0,0,0,12,10,[],0.0,0.0,0.0,0,0,12,10,[],0.0,0.0,0.0,0,0,12,10,[],0.0,0.0,0.0,0,0,12,10,[],0.0,0.0,0.0,0,0,12,10,[]
1028,0.0,0.0,0,0,0,9,8,[],0.1111111111111111,0.125,0.8924204707145691,1,1,9,8,[0.8924204707145691],0.1111111111111111,0.125,0.8924204707145691,1,1,9,8,[0.8924204707145691],0.4444444444444444,0.5,0.7365773096680641,4,4,9,8,"[0.8924204707145691, 0.655600905418396, 0.6991438716650009, 0.6991439908742905]",0.7777777777777778,0.875,0.6524493971041271,7,7,9,8,"[0.8924204707145691, 0.5310442894697189, 0.655600905418396, 0.6991438716650009, 0.6991439908742905, 0.578005388379097, 0.5117868632078171]",0.7777777777777778,0.875,0.6524493971041271,7,7,9,8,"[0.8924204707145691, 0.5310442894697189, 0.655600905418396, 0.6991438716650009, 0.6991439908742905, 0.578005388379097, 0.5117868632078171]"
1010,0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[],0.0,0.0,0.0,0,0,6,7,[]
1046,1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093],1.0,1.0,0.944540798664093,1,1,1,1,[0.944540798664093]
1047,0.0,0.0,0.0,0,0,14,20,[],0.0,0.0,0.0,0,0,14,20,[],0.0,0.0,0.0,0,0,14,20,[],0.0,0.0,0.0,0,0,14,20,[],0.0,0.0,0.0,0,0,14,20,[],0.0,0.0,0.0,0,0,14,20,[]
1049,0.6,0.5,0.9727586706479391,3,3,5,6,"[1.000000238418579, 1.0000001192092896, 0.9182756543159485]",0.8,0.6666666666666666,0.946218267083168,4,4,5,6,"[1.000000238418579, 1.0000001192092896, 0.866597056388855, 0.9182756543159485]",0.8,0.6666666666666666,0.946218267083168,4,4,5,6,"[1.000000238418579, 1.0000001192092896, 0.866597056388855, 0.9182756543159485]",0.8,0.6666666666666666,0.946218267083168,4,4,5,6,"[1.000000238418579, 1.0000001192092896, 0.866597056388855, 0.9182756543159485]",0.8,0.6666666666666666,0.946218267083168,4,4,5,6,"[1.000000238418579, 1.0000001192092896, 0.866597056388855, 0.9182756543159485]",1.0,0.8333333333333334,0.8340482413768768,5,5,5,6,"[1.000000238418579, 1.0000001192092896, 0.866597056388855, 0.9182756543159485, 0.38536813855171204]"
1052,0.0,0.0,0,0,0,14,17,[],0.14285714285714285,0.11764705882352941,0.8274461925029755,2,2,14,17,"[0.8281384706497192, 0.8267539143562317]",0.21428571428571427,0.17647058823529413,0.8121984700361887,3,3,14,17,"[0.8281384706497192, 0.8267539143562317, 0.7817030251026154]",0.21428571428571427,0.17647058823529413,0.8121984700361887,3,3,14,17,"[0.8281384706497192, 0.8267539143562317, 0.7817030251026154]",0.42857142857142855,0.29411764705882354,0.6821510593096415,6,5,14,17,"[0.8281384706497192, 0.5566534101963043, 0.8267539143562317, 0.5522135496139526, 0.7817030251026154, 0.5474439859390259]",0.5,0.35294117647058826,0.6551821061543056,7,6,14,17,"[0.8281384706497192, 0.49336838722229004, 0.5566534101963043, 0.8267539143562317, 0.5522135496139526, 0.7817030251026154, 0.5474439859390259]"
1067,0.0,0.0,0.0,0,0,1,9,[],0.0,0.0,0.0,0,0,1,9,[],0.0,0.0,0.0,0,0,1,9,[],0.0,0.0,0.0,0,0,1,9,[],0.0,0.0,0.0,0,0,1,9,[],0.0,0.0,0.0,0,0,1,9,[]
1061,0.0,0.0,0.0,0,0,8,8,[],0.0,0.0,0.0,0,0,8,8,[],0.0,0.0,0.0,0,0,8,8,[],0.0,0.0,0.0,0,0,8,8,[],0.0,0.0,0.0,0,0,8,8,[],0.0,0.0,0.0,0,0,8,8,[]
1070,0.0,0.0,0.0,0,0,5,5,[],0.0,0.0,0.0,0,0,5,5,[],0.0,0.0,0.0,0,0,5,5,[],0.0,0.0,0.0,0,0,5,5,[],0.0,0.0,0.0,0,0,5,5,[],0.0,0.0,0.0,0,0,5,5,[]
1025,0.0,0.0,0.0,0,0,28,17,[],0.0,0.0,0.0,0,0,28,17,[],0.0,0.0,0.0,0,0,28,17,[],0.0,0.0,0.0,0,0,28,17,[],0.0,0.0,0.0,0,0,28,17,[],0.0,0.0,0.0,0,0,28,17,[]
