file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,28,17,28,17
289.txt,12,12,1.0,0.8,12,15,0,3
510.txt,0,0,0.0,0.0,12,11,12,11
921.txt,11,11,0.9166666666666666,1.0,12,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,0,0,0.0,0.0,18,22,18,22
666.txt,0,0,0.0,0.0,6,15,6,15
470.txt,9,8,0.9,1.0,10,8,1,0
303.txt,7,6,0.7,0.8571428571428571,10,7,3,1
1132.txt,6,5,0.5454545454545454,0.8333333333333334,11,6,5,1
883.txt,5,5,0.7142857142857143,0.625,7,8,2,3
129.txt,20,20,0.8695652173913043,0.8695652173913043,23,23,3,3
28.txt,0,0,0.0,0.0,12,11,12,11
920.txt,0,0,0.0,0.0,13,13,13,13
539.txt,0,0,0.0,0.0,13,17,13,17
511.txt,10,9,0.9090909090909091,1.0,11,9,1,0
1085.txt,0,0,0.0,0.0,13,7,13,7
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,0,0,0.0,0.0,23,23,23,23
842.txt,0,0,0.0,0.0,10,6,10,6
856.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
103.txt,0,0,0.0,0.0,14,15,14,15
117.txt,0,0,0.0,0.0,15,16,15,16
1130.txt,9,8,0.9,0.8,10,10,1,2
499.txt,8,8,0.8,1.0,10,8,2,0
102.txt,8,8,0.8888888888888888,0.8888888888888888,9,9,1,1
857.txt,6,6,0.8571428571428571,1.0,7,6,1,0
17.txt,4,3,1.0,1.0,4,3,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,8,0.8888888888888888,1.0,9,8,1,0
516.txt,0,0,0.0,0.0,2,15,2,15
933.txt,30,35,0.9090909090909091,0.6862745098039216,33,51,3,16
853.txt,8,8,1.0,1.0,8,8,0,0
884.txt,8,6,1.0,0.8571428571428571,8,7,0,1
