## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start TS recruitment procedure","start","","","",""
2,"Advise unsuccessful candidates","entity","1","","",""
3,"Are there no more candidates","condition","2","","",""
4,"Re-advertise position","entity","3","Yes","",""
5,"End","end","4","","",""
6,"Need to sort terms and conditions","condition","3","No","",""
7,"Has candidate accepted voluntary redundancy","condition","6","Yes","",""
8,"Investigate voluntary redundancy","entity","7","Yes","",""
9,"Recruitment manager sends Appointment Approval form","entity","6","No","",""
9,"Recruitment manager sends Appointment Approval form","entity","7","No","",""
9,"Recruitment manager sends Appointment Approval form","entity","8","After investigation","",""
10,"Next level manager receives Appointment Approval form","entity","9","","",""
11,"Is approver existing employee","condition","10","","",""
12,"Manager does not authorize form","entity","11","No","",""
13,"End","end","12","","",""
14,"Does approver authorize form","condition","11","Yes","",""
15,"Form not approved","entity","14","No","",""
16,"End","end","15","","",""
17,"Recruitment manager sends form and documentation to client HR","entity","14","Yes","",""
18,"Client HR receives form and documentation","entity","17","","",""
19,"HR scans completed form","entity","18","","",""
20,"HR records position in GovSource","entity","19","","",""
21,"Are there variations","condition","20","","",""
22,"Create complete business case","entity","21","Yes","",""
23,"Carry forward Appointment Approval","entity","21","No","",""
24,"Does position require medical assessment","condition","23","","",""
24,"Does position require medical assessment","condition","22","","",""
25,"Apply 12 percent medical assessment rate","entity","24","Yes","",""
26,"Medical assessment not necessary","entity","24","No","",""
27,"Arrange and complete medical assessment in up to 21 days","entity","25","","",""
28,"TS HR coordinator informs recruitment manager","entity","27","","",""
28,"TS HR coordinator informs recruitment manager","entity","26","","",""
29,"Recruitment manager liaises with HR representative to confirm offer","entity","28","","",""
30,"Is medical assessment satisfactory","condition","29","","",""
31,"Make formal verbal offer to candidate","entity","30","Yes","",""
32,"Contact next candidate on shortlist","entity","30","No","",""
33,"End","end","32","","",""
34,"Does candidate accept verbal offer","condition","31","","",""
35,"Create formal written offer","entity","34","Yes","",""
36,"Contact next candidate on shortlist","entity","34","No","",""
37,"End","end","36","","",""
38,"Send commencement pack","entity","35","","",""
39,"Send letter of appointment","entity","35","","",""
40,"Is there a forty percent rate","condition","38","","",""
40,"Is there a forty percent rate","condition","39","","",""
41,"Renegotiate offer","entity","40","Yes","",""
42,"Proceed without renegotiation","entity","40","No","",""
43,"Is renegotiation successful","condition","41","","",""
44,"Proceed with successful renegotiation","entity","43","Yes","",""
45,"Identify next candidate on shortlist","entity","43","No","",""
46,"End","end","45","","",""
47,"End","end","42","","",""
48,"End","end","44","","",""
