file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,15,12,0.8823529411764706,0.48,17,25,2,13
289.txt,15,14,1.0,1.0,15,14,0,0
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,12,1.0,1.0,11,12,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,18,17,0.8181818181818182,0.8947368421052632,22,19,4,2
666.txt,15,15,1.0,0.8823529411764706,15,17,0,2
470.txt,8,8,1.0,0.8888888888888888,8,9,0,1
303.txt,7,7,1.0,0.5384615384615384,7,13,0,6
1132.txt,6,6,1.0,0.75,6,8,0,2
883.txt,7,7,0.875,1.0,8,7,1,0
129.txt,23,23,1.0,0.7931034482758621,23,29,0,6
28.txt,11,20,1.0,1.0,11,20,0,0
920.txt,14,14,1.0769230769230769,0.9333333333333333,13,15,0,1
539.txt,17,19,1.0,1.0,17,19,1,0
511.txt,9,10,1.0,0.9090909090909091,9,11,0,1
1085.txt,7,7,1.0,0.3888888888888889,7,18,0,11
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,23,0.9565217391304348,0.9583333333333334,23,24,1,1
842.txt,6,7,1.0,0.7,6,10,0,3
856.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
103.txt,15,15,1.0,1.0,15,15,0,0
117.txt,16,13,1.0,0.8125,16,16,0,3
1130.txt,9,10,0.9,0.9090909090909091,10,11,1,1
499.txt,8,9,1.0,0.6923076923076923,8,13,0,4
102.txt,9,10,1.0,1.0,9,10,0,0
857.txt,6,7,1.0,1.0,6,7,0,0
17.txt,3,4,1.0,1.0,3,4,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,12,1.0,1.0,8,12,0,0
516.txt,15,13,1.0,1.0,15,13,0,0
933.txt,37,36,0.7254901960784313,0.9,51,40,14,4
853.txt,8,7,1.0,0.7777777777777778,8,9,0,2
884.txt,7,6,1.0,0.8571428571428571,7,7,0,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,17,1.0,1.0,17,17,0,0
661.txt,6,6,1.0,0.75,6,8,0,2
649.txt,8,12,1.0,1.0,8,12,0,0
852.txt,7,10,1.0,0.9090909090909091,7,11,0,1
1097.txt,7,7,1.0,0.7,7,10,0,3
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8,8,10,0,2
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.7142857142857143,9,7,0,2
930.txt,5,5,1.0,0.7142857142857143,5,7,0,2
139.txt,9,11,1.0,0.9166666666666666,9,12,0,1
111.txt,3,4,1.0,1.0,3,4,0,0
474.txt,14,14,1.0,0.7777777777777778,14,18,0,4
1123.txt,6,6,1.0,0.5454545454545454,6,11,0,5
110.txt,3,3,1.0,0.75,3,4,0,1
886.txt,8,12,1.0,1.0,8,12,0,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,11,10,0.9166666666666666,0.7142857142857143,12,14,1,4
716.txt,7,9,1.0,0.8181818181818182,7,11,0,2
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,28,27,0.7567567567567568,0.8181818181818182,37,33,9,6
1232.txt,36,34,0.8372093023255814,0.7727272727272727,43,44,7,10
956.txt,20,20,1.0,0.9523809523809523,20,21,0,1
759.txt,4,6,1.0,0.75,4,8,0,2
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,12,9,0.8571428571428571,0.9,14,10,2,1
1193.txt,19,19,1.0,0.95,19,20,0,1
349.txt,6,6,1.0,0.8571428571428571,6,7,0,1
348.txt,15,14,1.0,0.7368421052631579,15,19,0,5
