File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0,0,0,25,14,[],0.04,0.07142857142857142,0.8787921667098999,1,1,25,14,[0.8787921667098999],0.04,0.07142857142857142,0.8787921667098999,1,1,25,14,[0.8787921667098999],0.16,0.21428571428571427,0.6967237181961536,4,3,25,14,"[0.8787921667098999, 0.6506570279598236, 0.6366203874349594, 0.6208252906799316]",0.16,0.21428571428571427,0.6967237181961536,4,3,25,14,"[0.8787921667098999, 0.6506570279598236, 0.6366203874349594, 0.6208252906799316]",0.52,0.6428571428571429,0.5000666603446007,13,9,25,14,"[0.8787921667098999, 0.3629983961582184, 0.6506570279598236, 0.6366203874349594, 0.277392715215683, 0.4519643187522888, 0.48440732061862946, 0.3801227957010269, 0.4455900192260742, 0.417789489030838, 0.6208252906799316, 0.49184687435626984, 0.4338228553533554, 0.4681035876274109]"
289,0.0,0.0,0,0,0,10,10,[],0.2,0.2,0.8343290984630585,2,2,10,10,"[0.8485654294490814, 0.8200927674770355]",0.3,0.3,0.808919370174408,3,3,10,10,"[0.8485654294490814, 0.8200927674770355, 0.7580999135971069]",0.5,0.5,0.752453300356865,5,5,10,10,"[0.8485654294490814, 0.8200927674770355, 0.7580999135971069, 0.6628945469856262, 0.6726138442754745]",0.6,0.6,0.7108210151394209,6,6,10,10,"[0.8485654294490814, 0.8200927674770355, 0.7580999135971069, 0.5026595890522003, 0.6628945469856262, 0.6726138442754745]",1.0,1.0,0.6084844037890434,10,10,10,10,"[0.44796663522720337, 0.4535715579986572, 0.8485654294490814, 0.8200927674770355, 0.44647881388664246, 0.7580999135971069, 0.5026595890522003, 0.47190093994140625, 0.6628945469856262, 0.6726138442754745]"
510,0.09090909090909091,0.125,0.9999998807907104,1,1,11,8,[0.9999998807907104],0.09090909090909091,0.125,0.9999998807907104,1,1,11,8,[0.9999998807907104],0.2727272727272727,0.375,0.8337718645731608,3,3,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.8337718645731608,3,3,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7604852616786957,4,4,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.5279648095369339,10,5,11,8,"[0.9999998807907104, 0.7181645631790161, 0.21889090538024902, 0.43294644355773926, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.426128625869751, 0.37619635462760925, 0.5406254529953003]"
921,0.2222222222222222,0.2222222222222222,0.9298760890960693,2,2,9,9,"[0.9383524656295776, 0.921399712562561]",0.3333333333333333,0.3333333333333333,0.892477293809255,3,3,9,9,"[0.9383524656295776, 0.921399712562561, 0.8176797032356262]",0.5555555555555556,0.5555555555555556,0.8284292578697204,5,5,9,9,"[0.9383524656295776, 0.751212865114212, 0.921399712562561, 0.8176797032356262, 0.7135015428066254]",0.7777777777777778,0.7777777777777778,0.7809742348534721,7,7,9,9,"[0.9383524656295776, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.8176797032356262, 0.7135015428066254, 0.6875083446502686]",0.7777777777777778,0.7777777777777778,0.7809742348534721,7,7,9,9,"[0.9383524656295776, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.8176797032356262, 0.7135015428066254, 0.6875083446502686]",1.0,1.0,0.6734766264756521,9,9,9,9,"[0.9383524656295776, 0.26016777753829956, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.8176797032356262, 0.33430221676826477, 0.7135015428066254, 0.6875083446502686]"
29,0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.8131522536277771,1,1,4,5,[0.8131522536277771],0.25,0.2,0.8131522536277771,1,1,4,5,[0.8131522536277771],0.75,0.6,0.7118343114852905,3,3,4,5,"[0.8131522536277771, 0.675676703453064, 0.6466739773750305]",0.75,0.6,0.7118343114852905,3,3,4,5,"[0.8131522536277771, 0.675676703453064, 0.6466739773750305]",1.0,0.8,0.6376183182001114,4,4,4,5,"[0.8131522536277771, 0.414970338344574, 0.675676703453064, 0.6466739773750305]"
855,0.0,0.0,0,0,0,12,10,[],0.0,0.0,0,0,0,12,10,[],0.08333333333333333,0.1,0.7186858654022217,1,1,12,10,[0.7186858654022217],0.25,0.3,0.6526565551757812,3,3,12,10,"[0.7186858654022217, 0.6264024972915649, 0.6128813028335571]",0.5,0.6,0.610706294576327,6,6,12,10,"[0.7186858654022217, 0.5908966064453125, 0.6264024972915649, 0.5235735177993774, 0.5917979776859283, 0.6128813028335571]",0.75,0.8,0.5284512076112959,9,8,12,10,"[0.7186858654022217, 0.5908966064453125, 0.42701758444309235, 0.39205776154994965, 0.6264024972915649, 0.5235735177993774, 0.5917979776859283, 0.2727477550506592, 0.6128813028335571]"
666,0.08333333333333333,0.08333333333333333,0.9445867538452148,1,1,12,12,[0.9445867538452148],0.16666666666666666,0.16666666666666666,0.9084731340408325,2,2,12,12,"[0.8723595142364502, 0.9445867538452148]",0.4166666666666667,0.4166666666666667,0.8182992219924927,5,5,12,12,"[0.7654442191123962, 0.7638838887214661, 0.745221734046936, 0.8723595142364502, 0.9445867538452148]",0.75,0.75,0.7482333299186494,9,9,12,12,"[0.7654442191123962, 0.7638838887214661, 0.6650893241167068, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9445867538452148, 0.6639586091041565, 0.6332376897335052]",0.75,0.75,0.7482333299186494,9,9,12,12,"[0.7654442191123962, 0.7638838887214661, 0.6650893241167068, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9445867538452148, 0.6639586091041565, 0.6332376897335052]",1.0,1.0,0.6592499402662119,12,12,12,12,"[0.7654442191123962, 0.41013970971107483, 0.7638838887214661, 0.6650893241167068, 0.3597925007343292, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9445867538452148, 0.4069671034812927, 0.6639586091041565, 0.6332376897335052]"
470,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8449831008911133,1,1,1,1,[0.8449831008911133],1.0,1.0,0.8449831008911133,1,1,1,1,[0.8449831008911133],1.0,1.0,0.8449831008911133,1,1,1,1,[0.8449831008911133],1.0,1.0,0.8449831008911133,1,1,1,1,[0.8449831008911133],1.0,1.0,0.8449831008911133,1,1,1,1,[0.8449831008911133]
303,0.0,0.0,0,0,0,9,5,[],0.2222222222222222,0.4,0.8347750604152679,2,2,9,5,"[0.8520107269287109, 0.817539393901825]",0.2222222222222222,0.4,0.8347750604152679,2,2,9,5,"[0.8520107269287109, 0.817539393901825]",0.2222222222222222,0.4,0.8347750604152679,2,2,9,5,"[0.8520107269287109, 0.817539393901825]",0.6666666666666666,0.8,0.6415848856170973,6,4,9,5,"[0.8520107269287109, 0.817539393901825, 0.5925504863262177, 0.5366482734680176, 0.510709285736084, 0.5400511473417282]",0.7777777777777778,1.0,0.6070347705057689,7,5,9,5,"[0.8520107269287109, 0.3997340798377991, 0.817539393901825, 0.5925504863262177, 0.5366482734680176, 0.510709285736084, 0.5400511473417282]"
1132,0.25,0.25,0.9596298336982727,1,1,4,4,[0.9596298336982727],0.25,0.25,0.9596298336982727,1,1,4,4,[0.9596298336982727],0.75,0.75,0.8010856807231903,3,3,4,4,"[0.9596298336982727, 0.7010992467403412, 0.742527961730957]",0.75,0.75,0.8010856807231903,3,3,4,4,"[0.9596298336982727, 0.7010992467403412, 0.742527961730957]",0.75,0.75,0.8010856807231903,3,3,4,4,"[0.9596298336982727, 0.7010992467403412, 0.742527961730957]",1.0,1.0,0.7227861657738686,4,4,4,4,"[0.9596298336982727, 0.4878876209259033, 0.7010992467403412, 0.742527961730957]"
