file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,15,17,0.9375,1.0,16,17,1,0
289.txt,15,15,0.8823529411764706,1.0,17,15,2,0
510.txt,11,11,0.9166666666666666,1.0,12,11,1,0
921.txt,11,11,1.0,1.0,11,11,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,16,16,0.9411764705882353,0.7272727272727273,17,22,1,6
666.txt,14,14,0.875,0.9333333333333333,16,15,2,1
470.txt,10,8,0.9090909090909091,1.0,11,8,1,0
303.txt,9,7,0.6923076923076923,1.0,13,7,4,0
1132.txt,6,6,0.8571428571428571,1.0,7,6,1,0
883.txt,6,7,0.8571428571428571,0.875,7,8,1,1
129.txt,23,22,0.92,0.9565217391304348,25,23,2,2
28.txt,20,11,0.8333333333333334,1.0,24,11,4,0
920.txt,14,13,1.0,1.0,14,13,0,0
539.txt,18,17,1.0,1.0,18,17,0,0
511.txt,11,9,0.9166666666666666,1.0,12,9,1,0
1085.txt,15,7,1.0,1.0,15,7,0,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,22,0.9565217391304348,0.9565217391304348,23,23,1,1
842.txt,7,6,0.875,1.0,8,6,1,0
856.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
103.txt,16,15,1.0,1.0,16,15,0,0
117.txt,16,16,0.9411764705882353,1.0,17,16,1,0
1130.txt,9,9,0.6923076923076923,0.9,13,10,4,1
499.txt,8,8,0.7272727272727273,1.0,11,8,3,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,6,6,0.6666666666666666,1.0,9,6,3,0
17.txt,4,3,1.0,1.0,4,3,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.9090909090909091,1.0,11,8,1,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,34,37,0.918918918918919,0.7254901960784313,37,51,3,14
853.txt,7,7,0.5833333333333334,0.875,12,8,5,1
884.txt,6,7,0.8571428571428571,1.0,7,7,1,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7,1.0,10,7,3,0
1134.txt,16,16,1.0,0.9411764705882353,16,17,0,1
661.txt,7,6,0.875,1.0,8,6,1,0
649.txt,11,8,1.0,1.0,11,8,0,0
852.txt,9,7,0.9,1.0,10,7,1,0
1097.txt,6,7,0.6666666666666666,1.0,9,7,3,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,10,8,1.0,1.0,10,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.625,1.0,8,9,3,0
930.txt,5,5,0.7142857142857143,1.0,7,5,2,0
139.txt,12,9,1.0,1.0,12,9,0,0
111.txt,4,3,1.0,1.0,4,3,0,0
474.txt,17,14,0.85,1.0,20,14,3,0
1123.txt,6,6,0.46153846153846156,1.0,13,6,7,0
110.txt,4,3,0.8,1.0,5,3,1,0
886.txt,10,8,0.8333333333333334,1.0,12,8,2,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,13,12,0.8125,1.0,16,12,3,0
716.txt,9,7,0.8181818181818182,1.0,11,7,2,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,26,29,0.8666666666666667,0.7837837837837838,30,37,4,8
1232.txt,30,35,0.7317073170731707,0.813953488372093,41,43,11,8
956.txt,19,20,0.6785714285714286,1.0,28,20,9,0
759.txt,4,4,0.5,1.0,8,4,4,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,6,7,1.0,1.0,6,7,0,0
375.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1187.txt,10,14,1.0,1.0,10,14,0,0
1193.txt,19,19,1.0,1.0,19,19,0,0
349.txt,7,6,0.875,1.0,8,6,1,0
348.txt,15,15,0.625,1.0,24,15,9,0
406.txt,6,4,0.5454545454545454,1.0,11,4,5,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,6,3,0.5,1.0,12,3,6,0
189.txt,6,5,1.0,0.8333333333333334,6,6,0,1
980.txt,12,10,0.8571428571428571,1.0,14,10,2,0
770.txt,9,11,0.9,0.8461538461538461,10,13,1,2
