File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.07142857142857142,0.06666666666666667,0.9001091718673706,1,1,14,15,[0.9001091718673706],0.2857142857142857,0.26666666666666666,0.8734194114804268,4,4,14,15,"[0.8521834313869476, 0.8923144340515137, 0.9001091718673706, 0.8490706086158752]",0.35714285714285715,0.3333333333333333,0.8346101890007654,5,5,14,15,"[0.8521834313869476, 0.8923144340515137, 0.9001091718673706, 0.8490706086158752, 0.7164088785648346, 0.7975746095180511]",0.5714285714285714,0.5333333333333333,0.7713122934103012,8,8,14,15,"[0.8521834313869476, 0.6651545614004135, 0.8923144340515137, 0.9001091718673706, 0.686543345451355, 0.6695324629545212, 0.6842314302921295, 0.8490706086158752, 0.7164088785648346, 0.7975746095180511]",0.7857142857142857,0.7333333333333333,0.6992589182087353,11,11,14,15,"[0.8521834313869476, 0.5000654458999634, 0.6651545614004135, 0.8923144340515137, 0.9001091718673706, 0.686543345451355, 0.6695324629545212, 0.5095529556274414, 0.6842314302921295, 0.8490706086158752, 0.7164088785648346, 0.7975746095180511, 0.5187894105911255, 0.5480941087007523]",1.0,1.0,0.6056364968419075,14,15,14,15,"[0.23900051414966583, 0.3373560905456543, 0.8521834313869476, 0.5000654458999634, 0.6651545614004135, 0.8923144340515137, 0.9001091718673706, 0.686543345451355, 0.6695324629545212, 0.5095529556274414, 0.3610072135925293, 0.6842314302921295, 0.8490706086158752, 0.7164088785648346, 0.7975746095180511, 0.5187894105911255, 0.46035799384117126, 0.5480941087007523, 0.44338688254356384, 0.4819963872432709]"
289,0.0,0.0,0,0,0,10,13,[],0.1,0.07692307692307693,0.8121554255485535,1,1,10,13,[0.8121554255485535],0.3,0.23076923076923078,0.761545459429423,3,3,10,13,"[0.8121554255485535, 0.7581000328063965, 0.7143809199333191]",0.6,0.46153846153846156,0.7020044848322868,6,6,10,13,"[0.8121554255485535, 0.6324321031570435, 0.6144806295633316, 0.7581000328063965, 0.7143809199333191, 0.6804777979850769]",0.7,0.46153846153846156,0.6863903722592762,7,6,10,13,"[0.8121554255485535, 0.6324321031570435, 0.6144806295633316, 0.7581000328063965, 0.5927056968212128, 0.7143809199333191, 0.6804777979850769]",1.0,0.6923076923076923,0.6181237503886223,10,9,10,13,"[0.8121554255485535, 0.45812517404556274, 0.6324321031570435, 0.6144806295633316, 0.44647884368896484, 0.7581000328063965, 0.5927056968212128, 0.4719008803367615, 0.7143809199333191, 0.6804777979850769]"
510,0.125,0.09090909090909091,0.9999998807907104,1,1,8,11,[0.9999998807907104],0.125,0.09090909090909091,0.9999998807907104,1,1,8,11,[0.9999998807907104],0.25,0.18181818181818182,0.8590822219848633,2,2,8,11,"[0.9999998807907104, 0.7181645631790161]",0.25,0.18181818181818182,0.8590822219848633,2,2,8,11,"[0.9999998807907104, 0.7181645631790161]",0.375,0.2727272727272727,0.7529299656550089,3,3,8,11,"[0.9999998807907104, 0.7181645631790161, 0.5406254529953003]",1.0,0.45454545454545453,0.49831008315086367,8,5,8,11,"[0.9999998807907104, 0.7181645631790161, 0.3359590768814087, 0.3879830241203308, 0.3238535225391388, 0.43294644355773926, 0.4419550895690918, 0.4407588541507721, 0.3608549237251282, 0.5406254529953003]"
921,0.2222222222222222,0.25,0.9298760890960693,2,2,9,8,"[0.9383524656295776, 0.921399712562561]",0.4444444444444444,0.5,0.8945846557617188,4,4,9,8,"[0.9383524656295776, 0.921399712562561, 0.8723490536212921, 0.8462373912334442]",0.5555555555555556,0.625,0.8659102976322174,5,5,9,8,"[0.9383524656295776, 0.751212865114212, 0.921399712562561, 0.8723490536212921, 0.8462373912334442]",0.7777777777777778,0.875,0.8008886533124107,7,7,9,8,"[0.9383524656295776, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.639504075050354, 0.8723490536212921, 0.8462373912334442]",0.7777777777777778,0.875,0.6695935358603795,7,7,9,8,"[0.9383524656295776, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.639504075050354, 0.5315379798412323, 0.5886965692043304, 0.5629149079322815, 0.5551551282405853, 0.5020436197519302, 0.5722645223140717, 0.5851633548736572, 0.53990638256073, 0.8723490536212921, 0.8462373912334442]",1.0,1.0,0.6111875717577181,9,8,9,8,"[0.9383524656295776, 0.3931725025177002, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.639504075050354, 0.4342089593410492, 0.5315379798412323, 0.5886965692043304, 0.5629149079322815, 0.5551551282405853, 0.28446799516677856, 0.5020436197519302, 0.5722645223140717, 0.5851633548736572, 0.53990638256073, 0.4568113684654236, 0.8723490536212921, 0.8462373912334442]"
29,0.0,0.0,0,0,0,5,4,[],0.6,0.75,0.8582267860571543,3,3,5,4,"[0.8755643367767334, 0.852252334356308, 0.8468636870384216]",0.6,0.75,0.8582267860571543,3,3,5,4,"[0.8755643367767334, 0.852252334356308, 0.8468636870384216]",0.6,0.75,0.8582267860571543,3,3,5,4,"[0.8755643367767334, 0.852252334356308, 0.8468636870384216]",0.6,0.75,0.8582267860571543,3,3,5,4,"[0.8755643367767334, 0.852252334356308, 0.8468636870384216]",0.8,1.0,0.7474126741290092,4,4,5,4,"[0.8755643367767334, 0.414970338344574, 0.852252334356308, 0.8468636870384216]"
855,0.0,0.0,0,0,0,10,9,[],0.0,0.0,0,0,0,10,9,[],0.2,0.2222222222222222,0.7644060701131821,2,2,10,9,"[0.7666662633419037, 0.7621458768844604]",0.3,0.3333333333333333,0.7166465719540914,3,3,10,9,"[0.62112757563591, 0.7666662633419037, 0.7621458768844604]",0.7,0.8888888888888888,0.6159286830160353,7,8,10,9,"[0.5764304399490356, 0.5908966064453125, 0.62112757563591, 0.5474199652671814, 0.5832773447036743, 0.5583054423332214, 0.7666662633419037, 0.7621458768844604, 0.5370886325836182]",1.0,1.0,0.5076754065720659,10,9,10,9,"[0.5764304399490356, 0.5908966064453125, 0.43926095962524414, 0.3511841893196106, 0.62112757563591, 0.37008368968963623, 0.5474199652671814, 0.3421488404273987, 0.5832773447036743, 0.30847495049238205, 0.4785522073507309, 0.40523290634155273, 0.5583054423332214, 0.4938804507255554, 0.7666662633419037, 0.7621458768844604, 0.45978111028671265, 0.5370886325836182, 0.45387527346611023]"
666,0.0,0.0,0,0,0,12,11,[],0.08333333333333333,0.09090909090909091,0.8723595142364502,1,1,12,11,[0.8723595142364502],0.16666666666666666,0.18181818181818182,0.8181217014789581,2,2,12,11,"[0.7638838887214661, 0.8723595142364502]",0.5,0.45454545454545453,0.7123290921250979,6,5,12,11,"[0.6953459978103638, 0.7638838887214661, 0.6556658893823624, 0.6020601987838745, 0.6846590638160706, 0.8723595142364502]",0.5833333333333334,0.5454545454545454,0.6880241483449936,7,6,12,11,"[0.6953459978103638, 0.7638838887214661, 0.6556658893823624, 0.6020601987838745, 0.6846590638160706, 0.8723595142364502, 0.5421944856643677]",0.8333333333333334,0.8181818181818182,0.6093242585659027,10,9,12,11,"[0.6953459978103638, 0.41013970971107483, 0.7638838887214661, 0.6556658893823624, 0.36990758776664734, 0.6020601987838745, 0.6846590638160706, 0.8723595142364502, 0.5421944856643677, 0.4970262497663498]"
470,0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],1.0,0.25,0.681577205657959,1,1,1,4,[0.681577205657959],1.0,0.25,0.681577205657959,1,1,1,4,[0.681577205657959],1.0,0.25,0.681577205657959,1,1,1,4,[0.681577205657959]
303,0.2,0.09090909090909091,0.956536591053009,1,1,5,11,[0.956536591053009],0.4,0.18181818181818182,0.90427365899086,2,2,5,11,"[0.8520107269287109, 0.956536591053009]",0.6,0.2727272727272727,0.8537602722644806,3,3,5,11,"[0.8520107269287109, 0.956536591053009, 0.7527334988117218]",0.6,0.36363636363636365,0.7911871001124382,3,4,5,11,"[0.8520107269287109, 0.956536591053009, 0.7527334988117218, 0.603467583656311]",0.8,0.45454545454545453,0.7477390110492707,4,5,5,11,"[0.8520107269287109, 0.956536591053009, 0.7527334988117218, 0.603467583656311, 0.5739466547966003]",1.0,0.6363636363636364,0.6484159188611167,5,7,5,11,"[0.8520107269287109, 0.3835705518722534, 0.956536591053009, 0.7527334988117218, 0.603467583656311, 0.4166458249092102, 0.5739466547966003]"
1132,0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.75,0.75,0.8953210612138113,3,3,4,4,"[0.9404394626617432, 0.8699113726615906, 0.8756123483181]",0.75,0.75,0.8953210612138113,3,3,4,4,"[0.9404394626617432, 0.8699113726615906, 0.8756123483181]",0.75,0.75,0.8953210612138113,3,3,4,4,"[0.9404394626617432, 0.8699113726615906, 0.8756123483181]",0.75,0.75,0.8953210612138113,3,3,4,4,"[0.9404394626617432, 0.8699113726615906, 0.8756123483181]",1.0,1.0,0.7918306365609169,4,4,4,4,"[0.9404394626617432, 0.4813593626022339, 0.8699113726615906, 0.8756123483181]"
