file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,12,15,0.36363636363636365,0.8823529411764706,33,17,21,2
289.txt,15,15,0.7894736842105263,1.0,19,15,4,0
510.txt,12,11,0.631578947368421,1.0,19,11,7,0
921.txt,14,11,1.0,1.0,14,11,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,17,21,0.8947368421052632,0.9545454545454546,19,22,2,1
666.txt,13,14,0.9285714285714286,0.9333333333333333,14,15,1,1
470.txt,8,8,1.0,1.0,8,8,0,0
303.txt,7,7,0.4666666666666667,1.0,15,7,8,0
1132.txt,7,5,1.0,0.8333333333333334,7,6,0,1
883.txt,8,8,0.7272727272727273,1.0,11,8,3,0
129.txt,23,21,0.92,0.9130434782608695,25,23,2,2
28.txt,18,10,0.9,0.9090909090909091,20,11,2,1
920.txt,14,12,0.8235294117647058,0.9230769230769231,17,13,3,1
539.txt,18,15,0.782608695652174,0.8823529411764706,23,17,5,2
511.txt,9,8,0.6,0.8888888888888888,15,9,6,1
1085.txt,14,7,0.5833333333333334,1.0,24,7,10,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,19,23,0.7916666666666666,1.0,24,23,5,0
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,6,6,0.75,0.8571428571428571,8,7,2,1
103.txt,16,15,0.9411764705882353,1.0,17,15,1,0
117.txt,18,16,0.72,1.0,25,16,7,0
1130.txt,10,10,0.5263157894736842,1.0,19,10,9,0
499.txt,8,8,0.7272727272727273,1.0,11,8,3,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,5,6,0.7142857142857143,1.0,7,6,2,0
17.txt,5,3,0.8333333333333334,1.0,6,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.75,1.0,16,8,4,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,38,36,0.8085106382978723,0.7058823529411765,47,51,9,15
853.txt,7,8,0.6363636363636364,1.0,11,8,4,0
884.txt,8,7,1.0,1.0,8,7,0,0
1121.txt,5,4,1.0,1.0,5,4,0,0
304.txt,12,12,0.8571428571428571,1.0,14,12,2,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1134.txt,15,17,0.9375,1.0,16,17,1,0
661.txt,6,6,0.75,1.0,8,6,2,0
649.txt,10,8,0.9090909090909091,1.0,11,8,1,0
852.txt,7,7,0.4117647058823529,1.0,17,7,10,0
1097.txt,8,7,1.0,1.0,8,7,0,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,1
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,4,9,0.8,1.0,5,9,1,0
930.txt,5,5,0.8333333333333334,1.0,6,5,1,0
139.txt,11,9,0.9166666666666666,1.0,12,9,1,0
111.txt,4,3,1.0,1.0,4,3,0,0
474.txt,16,13,0.64,0.9285714285714286,25,14,9,1
1123.txt,6,6,0.42857142857142855,1.0,14,6,8,0
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,8,8,0.7272727272727273,1.0,11,8,3,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,10,10,0.6666666666666666,0.8333333333333334,15,12,5,2
716.txt,8,7,0.7272727272727273,1.0,11,7,3,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,23,26,0.7419354838709677,0.7027027027027027,31,37,8,11
1232.txt,32,39,0.8421052631578947,0.9069767441860465,38,43,6,4
956.txt,21,20,0.5526315789473685,1.0,38,20,17,0
759.txt,4,4,1.0,1.0,4,4,0,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,6,7,0.6666666666666666,1.0,9,7,3,0
375.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1187.txt,10,13,0.6666666666666666,0.9285714285714286,15,14,5,1
1193.txt,18,19,0.8571428571428571,1.0,21,19,3,0
349.txt,6,6,0.6,1.0,10,6,4,0
348.txt,15,14,0.5555555555555556,0.9333333333333333,27,15,12,1
