file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,15,12,0.8823529411764706,0.5,17,24,2,12
289.txt,15,15,1.0,0.7894736842105263,15,19,0,4
510.txt,11,16,1.0,0.8421052631578947,11,19,0,3
921.txt,11,12,1.0,0.9230769230769231,11,13,0,1
29.txt,8,9,1.0,1.0,8,9,0,0
855.txt,17,19,0.7727272727272727,0.9047619047619048,22,21,5,2
666.txt,15,15,1.0,0.8333333333333334,15,18,0,3
470.txt,8,9,1.0,0.9,8,10,0,1
303.txt,7,7,1.0,0.2692307692307692,7,26,0,19
1132.txt,5,7,0.8333333333333334,1.0,6,7,1,0
883.txt,7,7,0.875,0.7777777777777778,8,9,1,2
129.txt,21,21,0.9130434782608695,0.84,23,25,2,4
28.txt,11,17,1.0,0.85,11,20,0,3
920.txt,14,14,1.0769230769230769,0.7777777777777778,13,18,0,4
539.txt,15,18,0.8823529411764706,0.9473684210526315,17,19,2,1
511.txt,9,11,1.0,0.6111111111111112,9,18,0,7
1085.txt,7,7,1.0,0.3181818181818182,7,22,0,15
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,20,19,0.8695652173913043,0.8636363636363636,23,22,3,3
842.txt,6,7,1.0,0.7777777777777778,6,9,0,2
856.txt,6,6,0.8571428571428571,0.75,7,8,1,2
103.txt,15,17,1.0,1.0,15,17,0,0
117.txt,16,15,1.0,0.75,16,20,0,5
1130.txt,10,10,1.0,0.5263157894736842,10,19,0,9
499.txt,8,8,1.0,0.7272727272727273,8,11,0,3
102.txt,9,9,1.0,0.75,9,12,0,3
857.txt,6,5,1.0,0.7142857142857143,6,7,0,2
17.txt,3,3,1.0,0.5,3,6,0,3
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,11,1.0,0.8461538461538461,8,13,0,2
516.txt,15,13,1.0,1.0,15,13,0,0
933.txt,38,39,0.7450980392156863,0.75,51,52,13,13
853.txt,8,10,1.0,0.5555555555555556,8,18,0,8
884.txt,7,7,1.0,0.7,7,10,0,3
1121.txt,4,4,1.0,0.8,4,5,0,1
304.txt,11,11,0.9166666666666666,0.8461538461538461,12,13,1,2
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.6363636363636364,7,11,0,4
1134.txt,14,15,0.8235294117647058,0.6818181818181818,17,22,3,7
661.txt,6,6,1.0,0.75,6,8,0,2
649.txt,8,8,1.0,0.8888888888888888,8,9,0,1
852.txt,7,13,1.0,0.6190476190476191,7,21,0,8
1097.txt,7,9,1.0,1.0,7,9,0,0
267.txt,5,4,1.0,1.0,5,4,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,6,1.0,0.75,5,8,0,2
139.txt,9,12,1.0,1.0,9,12,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,12,17,0.8571428571428571,0.68,14,25,2,8
1123.txt,6,6,1.0,0.46153846153846156,6,13,0,7
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,11,1.0,1.0,8,11,0,0
39.txt,5,5,1.0,0.625,5,8,0,3
11.txt,12,11,1.0,0.7333333333333333,12,15,0,4
716.txt,7,7,1.0,0.6363636363636364,7,11,0,4
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,29,25,0.7837837837837838,0.7575757575757576,37,33,8,8
1232.txt,42,37,0.9767441860465116,0.8604651162790697,43,43,1,6
956.txt,20,21,1.0,0.6176470588235294,20,34,0,13
759.txt,4,6,1.0,1.0,4,6,0,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,10,8,0.7142857142857143,0.7272727272727273,14,11,4,3
1193.txt,19,27,1.0,0.54,19,50,0,23
349.txt,6,5,1.0,0.5555555555555556,6,9,0,4
348.txt,15,13,1.0,0.28888888888888886,15,45,0,32
406.txt,4,6,1.0,0.6,4,10,0,4
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.5,3,8,0,4
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,12,1.0,0.9230769230769231,10,13,0,1
770.txt,12,11,0.9230769230769231,0.9166666666666666,13,12,1,1
764.txt,7,8,1.0,0.8888888888888888,7,9,0,1
1019.txt,42,38,1.0,0.8837209302325582,42,43,0,5
1025.txt,32,27,0.8888888888888888,0.9,36,30,4,3
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,6,1.0,1.0,5,6,0,0
438.txt,10,10,1.0,0.5882352941176471,10,17,0,7
439.txt,16,17,1.0,0.7727272727272727,16,22,0,5
