File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0,0,0,40,14,[],0.025,0.07142857142857142,0.8167931437492371,1,1,40,14,[0.8167931437492371],0.025,0.07142857142857142,0.8167931437492371,1,1,40,14,[0.8167931437492371],0.025,0.07142857142857142,0.8167931437492371,1,1,40,14,[0.8167931437492371],0.05,0.21428571428571427,0.6306072622537613,2,3,40,14,"[0.8167931437492371, 0.5481761693954468, 0.5268524736166]",0.25,0.6428571428571429,0.4471159481576511,10,9,40,14,"[0.8167931437492371, 0.4083874821662903, 0.38878756761550903, 0.3725071847438812, 0.30875998735427856, 0.38402724266052246, 0.2913970351219177, 0.420279324054718, 0.3580548018217087, 0.5481761693954468, 0.45907720923423767, 0.4789068102836609, 0.5268524736166, 0.49761684238910675]"
289,0.0,0.0,0,0,0,16,10,[],0.0,0.0,0,0,0,16,10,[],0.1875,0.3,0.7427465418974558,3,3,16,10,"[0.7712084650993347, 0.7310016751289368, 0.7260294854640961]",0.25,0.4,0.7259940430521965,4,4,16,10,"[0.7712084650993347, 0.7310016751289368, 0.7260294854640961, 0.6757365465164185]",0.375,0.5,0.6697289745012919,6,5,16,10,"[0.7712084650993347, 0.5644272267818451, 0.7310016751289368, 0.7260294854640961, 0.6757365465164185, 0.5499704480171204]",0.4375,0.6,0.6408387763159615,7,6,16,10,"[0.7712084650993347, 0.5644272267818451, 0.7310016751289368, 0.7260294854640961, 0.4674975872039795, 0.6757365465164185, 0.5499704480171204]"
510,0.0,0.0,0,0,0,11,8,[],0.09090909090909091,0.125,0.8524928689002991,1,1,11,8,[0.8524928689002991],0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7236085087060928,4,4,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.5132141083478927,10,5,11,8,"[0.8524928689002991, 0.7181645631790161, 0.21889090538024902, 0.43294644355773926, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.426128625869751, 0.37619635462760925, 0.5406254529953003]"
921,0.14285714285714285,0.1111111111111111,0.9345583915710449,1,1,7,9,[0.9345583915710449],0.14285714285714285,0.1111111111111111,0.9345583915710449,1,1,7,9,[0.9345583915710449],0.2857142857142857,0.2222222222222222,0.8428856730461121,2,2,7,9,"[0.9345583915710449, 0.7512129545211792]",0.2857142857142857,0.2222222222222222,0.8428856730461121,2,2,7,9,"[0.9345583915710449, 0.7512129545211792]",0.7142857142857143,0.5555555555555556,0.6737738072872161,5,5,7,9,"[0.9345583915710449, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5104476064443588]",1.0,0.6666666666666666,0.5885056661708015,7,6,7,9,"[0.9345583915710449, 0.2601677179336548, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.49050290882587433, 0.5104476064443588]"
29,0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.8953139781951904,1,1,4,5,[0.8953139781951904],0.25,0.2,0.8953139781951904,1,1,4,5,[0.8953139781951904],0.75,0.6,0.7455818206071854,3,3,4,5,"[0.8953139781951904, 0.6684627830982208, 0.6729687005281448]",0.75,0.6,0.7455818206071854,3,3,4,5,"[0.8953139781951904, 0.6684627830982208, 0.6729687005281448]",1.0,0.8,0.6639936380088329,4,4,4,5,"[0.8953139781951904, 0.41922909021377563, 0.6684627830982208, 0.6729687005281448]"
855,0.0,0.0,0,0,0,13,10,[],0.0,0.0,0,0,0,13,10,[],0.07692307692307693,0.1,0.7820271849632263,1,1,13,10,[0.7820271849632263],0.3076923076923077,0.3,0.6689211651682854,4,3,13,10,"[0.7820271849632263, 0.6439367532730103, 0.62331822514534, 0.6264024972915649]",0.6153846153846154,0.5,0.6149275153875351,8,5,13,10,"[0.7820271849632263, 0.6439367532730103, 0.62331822514534, 0.6264024972915649, 0.5725839138031006, 0.5946918725967407, 0.5147337019443512, 0.5617259740829468]",0.7692307692307693,0.8,0.4740799991413951,10,8,13,10,"[0.7820271849632263, 0.6439367532730103, 0.28843849897384644, 0.30717146396636963, 0.62331822514534, 0.6264024972915649, 0.3594135344028473, 0.4450608193874359, 0.5725839138031006, 0.5946918725967407, 0.4626311659812927, 0.2842409908771515, 0.24242649972438812, 0.2764768898487091, 0.5147337019443512, 0.5617259740829468]"
666,0.18181818181818182,0.16666666666666666,0.962415337562561,2,2,11,12,"[1.0000001192092896, 0.9248305559158325]",0.18181818181818182,0.16666666666666666,0.962415337562561,2,2,11,12,"[1.0000001192092896, 0.9248305559158325]",0.18181818181818182,0.16666666666666666,0.962415337562561,2,2,11,12,"[1.0000001192092896, 0.9248305559158325]",0.5454545454545454,0.4166666666666667,0.758625715970993,6,5,11,12,"[0.6431834697723389, 0.6591132879257202, 0.6567167043685913, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325]",0.7272727272727273,0.5833333333333334,0.7049255296587944,8,7,11,12,"[0.6431834697723389, 0.5043658018112183, 0.5832841396331787, 0.6591132879257202, 0.6567167043685913, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325]",1.0,0.75,0.6154965487393466,11,9,11,12,"[0.6431834697723389, 0.5043658018112183, 0.5832841396331787, 0.6591132879257202, 0.36630725860595703, 0.6567167043685913, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325, 0.3976419270038605, 0.36710861325263977]"
470,0.0,0.0,0,0,0,4,1,[],0.0,0.0,0,0,0,4,1,[],0.25,1.0,0.717357873916626,1,1,4,1,[0.717357873916626],0.25,1.0,0.717357873916626,1,1,4,1,[0.717357873916626],0.25,1.0,0.717357873916626,1,1,4,1,[0.717357873916626],0.25,1.0,0.717357873916626,1,1,4,1,[0.717357873916626]
303,0.0,0.0,0,0,0,10,5,[],0.0,0.0,0,0,0,10,5,[],0.0,0.0,0,0,0,10,5,[],0.1,0.2,0.6387349963188171,1,1,10,5,[0.6387349963188171],0.3,0.6,0.5692192663749059,3,3,10,5,"[0.5631921887397766, 0.6387349963188171, 0.505730614066124]",0.5,1.0,0.5313653767108917,5,5,10,5,"[0.483127623796463, 0.4660414606332779, 0.5631921887397766, 0.6387349963188171, 0.505730614066124]"
1132,0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.5,0.5,0.7854736894369125,2,2,4,4,"[0.9420914649963379, 0.6288559138774872]",0.75,0.5,0.7065506676832835,3,2,4,4,"[0.9420914649963379, 0.5487046241760254, 0.6288559138774872]",1.0,0.75,0.6518849357962608,4,3,4,4,"[0.9420914649963379, 0.48788774013519287, 0.5487046241760254, 0.6288559138774872]"
