File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0,0,0,14,40,[],0.07142857142857142,0.025,0.8167931437492371,1,1,14,40,[0.8167931437492371],0.07142857142857142,0.025,0.8167931437492371,1,1,14,40,[0.8167931437492371],0.21428571428571427,0.075,0.6822724938392639,3,3,14,40,"[0.8167931437492371, 0.6092219203710556, 0.6208024173974991]",0.35714285714285715,0.275,0.5697411623868075,5,11,14,40,"[0.8167931437492371, 0.5481761693954468, 0.5022501349449158, 0.5278894156217575, 0.6092219203710556, 0.546734407544136, 0.6208024173974991, 0.5109076350927353, 0.5118973702192307, 0.5219281166791916, 0.5505520552396774]",1.0,0.65,0.46105875074863434,14,26,14,40,"[0.8167931437492371, 0.4083874821662903, 0.38357779383659363, 0.30875998735427856, 0.420279324054718, 0.37656861543655396, 0.4202496111392975, 0.5481761693954468, 0.4702529013156891, 0.4702529013156891, 0.5022501349449158, 0.47391343116760254, 0.4817846566438675, 0.5278894156217575, 0.42726653814315796, 0.3170272707939148, 0.38295315206050873, 0.6092219203710556, 0.41772982478141785, 0.3254919797182083, 0.546734407544136, 0.41769593954086304, 0.6208024173974991, 0.47098319232463837, 0.2995438277721405, 0.5109076350927353, 0.4834994226694107, 0.40055572986602783, 0.4243979901075363, 0.5118973702192307, 0.4642111659049988, 0.38107629120349884, 0.5219281166791916, 0.4324861168861389, 0.5505520552396774, 0.45107942819595337, 0.48199641704559326]"
289,0.0,0.0,0,0,0,10,16,[],0.0,0.0,0,0,0,10,16,[],0.3,0.1875,0.7427465418974558,3,3,10,16,"[0.7712084650993347, 0.7310016751289368, 0.7260294854640961]",0.4,0.25,0.7259940430521965,4,4,10,16,"[0.7712084650993347, 0.7310016751289368, 0.7260294854640961, 0.6757365465164185]",0.8,0.4375,0.639311334118247,8,7,10,16,"[0.7712084650993347, 0.5644272267818451, 0.7310016751289368, 0.7260294854640961, 0.5748129785060883, 0.6757365465164185, 0.5546490103006363, 0.5166252851486206]",1.0,0.5625,0.6054720833897591,10,9,10,16,"[0.7712084650993347, 0.5644272267818451, 0.7310016751289368, 0.7260294854640961, 0.4674975872039795, 0.5748129785060883, 0.6757365465164185, 0.4727325737476349, 0.5546490103006363, 0.5166252851486206]"
510,0.0,0.0,0,0,0,8,11,[],0.125,0.09090909090909091,0.8524928689002991,1,1,8,11,[0.8524928689002991],0.25,0.18181818181818182,0.7853287160396576,2,2,8,11,"[0.8524928689002991, 0.7181645631790161]",0.25,0.18181818181818182,0.7853287160396576,2,2,8,11,"[0.8524928689002991, 0.7181645631790161]",0.375,0.2727272727272727,0.7037609616915385,3,3,8,11,"[0.8524928689002991, 0.7181645631790161, 0.5406254529953003]",1.0,0.45454545454545453,0.4835593819618225,8,5,8,11,"[0.8524928689002991, 0.7181645631790161, 0.3359590768814087, 0.3879830241203308, 0.3238535225391388, 0.43294644355773926, 0.4419550895690918, 0.4407588541507721, 0.3608549237251282, 0.5406254529953003]"
921,0.1111111111111111,0.14285714285714285,0.9345583915710449,1,1,9,7,[0.9345583915710449],0.1111111111111111,0.14285714285714285,0.9345583915710449,1,1,9,7,[0.9345583915710449],0.2222222222222222,0.2857142857142857,0.8428856730461121,2,2,9,7,"[0.9345583915710449, 0.7512129545211792]",0.2222222222222222,0.2857142857142857,0.8428856730461121,2,2,9,7,"[0.9345583915710449, 0.7512129545211792]",0.5555555555555556,0.7142857142857143,0.6737738072872161,5,5,9,7,"[0.9345583915710449, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5104476064443588]",0.6666666666666666,0.8571428571428571,0.6048394590616226,6,6,9,7,"[0.9345583915710449, 0.2601677179336548, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5104476064443588]"
29,0.0,0.0,0,0,0,5,4,[],0.2,0.25,0.8953139781951904,1,1,5,4,[0.8953139781951904],0.2,0.25,0.8953139781951904,1,1,5,4,[0.8953139781951904],0.6,0.75,0.7455818206071854,3,3,5,4,"[0.8953139781951904, 0.6684627830982208, 0.6729687005281448]",0.6,0.75,0.7455818206071854,3,3,5,4,"[0.8953139781951904, 0.6684627830982208, 0.6729687005281448]",0.8,1.0,0.6639936380088329,4,4,5,4,"[0.8953139781951904, 0.41922909021377563, 0.6684627830982208, 0.6729687005281448]"
855,0.0,0.0,0,0,0,10,13,[],0.0,0.0,0,0,0,10,13,[],0.1,0.07692307692307693,0.7820271849632263,1,1,10,13,[0.7820271849632263],0.4,0.3076923076923077,0.6777056455612183,4,4,10,13,"[0.7820271849632263, 0.6439367532730103, 0.6264024972915649, 0.6584561467170715]",0.5,0.5384615384615384,0.6202223729342222,5,7,10,13,"[0.7820271849632263, 0.6439367532730103, 0.6264024972915649, 0.5946918725967407, 0.5234181135892868, 0.5617259740829468, 0.5711204409599304, 0.6584561467170715]",1.0,0.8461538461538461,0.45549921237904095,10,11,10,13,"[0.7820271849632263, 0.6439367532730103, 0.30717146396636963, 0.3995632231235504, 0.6264024972915649, 0.18660017848014832, 0.4450608193874359, 0.2842409908771515, 0.5946918725967407, 0.3761640638113022, 0.5234181135892868, 0.2764768898487091, 0.47856640815734863, 0.4854838252067566, 0.4370489716529846, 0.5617259740829468, 0.2877933382987976, 0.4721721112728119, 0.3326282501220703, 0.43853503465652466, 0.5711204409599304, 0.30719733238220215, 0.6584561467170715]"
666,0.16666666666666666,0.18181818181818182,0.962415337562561,2,2,12,11,"[1.0000001192092896, 0.9248305559158325]",0.16666666666666666,0.18181818181818182,0.962415337562561,2,2,12,11,"[1.0000001192092896, 0.9248305559158325]",0.16666666666666666,0.18181818181818182,0.962415337562561,2,2,12,11,"[1.0000001192092896, 0.9248305559158325]",0.5,0.45454545454545453,0.7573169122139612,6,5,12,11,"[0.6431834697723389, 0.6591132879257202, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325]",0.6666666666666666,0.6363636363636364,0.7039439268410206,8,7,12,11,"[0.6431834697723389, 0.5043658018112183, 0.6591132879257202, 0.5832841396331787, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325]",0.8333333333333334,0.8181818181818182,0.6395500600337982,10,9,12,11,"[0.6431834697723389, 0.5043658018112183, 0.6591132879257202, 0.5832841396331787, 0.36630725860595703, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 0.9248305559158325, 0.3976419270038605]"
470,0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],1.0,0.25,0.717357873916626,1,1,1,4,[0.717357873916626],1.0,0.25,0.717357873916626,1,1,1,4,[0.717357873916626],1.0,0.25,0.717357873916626,1,1,1,4,[0.717357873916626],1.0,0.25,0.717357873916626,1,1,1,4,[0.717357873916626]
303,0.0,0.0,0,0,0,5,10,[],0.0,0.0,0,0,0,5,10,[],0.0,0.0,0,0,0,5,10,[],0.6,0.2,0.624510645866394,3,2,5,10,"[0.6249397397041321, 0.6387349963188171, 0.6098572015762329]",0.6,0.3,0.5948156379163265,3,3,5,10,"[0.6249397397041321, 0.6387349963188171, 0.505730614066124, 0.6098572015762329]",1.0,0.5,0.5455923144306455,5,5,5,10,"[0.483127623796463, 0.4660414606332779, 0.6249397397041321, 0.6387349963188171, 0.49071456491947174, 0.505730614066124, 0.6098572015762329]"
1132,0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.25,0.25,0.9420914649963379,1,1,4,4,[0.9420914649963379],0.75,0.5,0.7290941774845123,3,2,4,4,"[0.9420914649963379, 0.6288559138774872, 0.6163351535797119]",0.75,0.5,0.7290941774845123,3,2,4,4,"[0.9420914649963379, 0.6288559138774872, 0.6163351535797119]",1.0,0.75,0.6687925681471825,4,3,4,4,"[0.9420914649963379, 0.48788774013519287, 0.6288559138774872, 0.6163351535797119]"
