file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,14,16,0.6363636363636364,0.9411764705882353,22,17,8,1
289.txt,14,15,1.0,1.0,14,15,0,0
510.txt,12,11,1.0,1.0,12,11,0,0
921.txt,11,11,0.9166666666666666,1.0,12,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,15,17,0.8823529411764706,0.7727272727272727,17,22,2,5
666.txt,13,15,0.9285714285714286,1.0,14,15,1,0
470.txt,8,8,0.8888888888888888,1.0,9,8,1,0
303.txt,6,6,0.6,0.8571428571428571,10,7,4,1
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,6,8,0.8571428571428571,1.0,7,8,1,0
129.txt,20,20,0.8,0.8695652173913043,25,23,5,3
28.txt,16,11,1.0,1.0,16,11,0,0
920.txt,12,13,0.7058823529411765,1.0,17,13,5,0
539.txt,13,17,1.0,1.0,13,17,0,0
511.txt,10,9,0.9090909090909091,1.0,11,9,1,1
1085.txt,7,7,0.875,1.0,8,7,1,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,18,23,0.75,1.0,24,23,6,0
842.txt,11,6,0.8461538461538461,1.0,13,6,2,0
856.txt,6,7,0.75,1.0,8,7,2,0
103.txt,18,14,1.0,0.9333333333333333,18,15,0,1
117.txt,12,14,0.8571428571428571,0.875,14,16,2,2
1130.txt,12,9,1.0,0.9,12,10,0,1
499.txt,9,8,0.8181818181818182,1.0,11,8,2,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,5,6,0.7142857142857143,1.0,7,6,2,0
17.txt,3,3,0.75,1.0,4,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.8333333333333334,1.0,12,8,2,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,24,37,0.9230769230769231,0.7254901960784313,26,51,2,15
853.txt,8,7,0.8,0.875,10,8,2,1
884.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1121.txt,5,4,1.0,1.0,5,4,0,0
304.txt,12,12,0.8571428571428571,1.0,14,12,2,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,1.0,7,7,0,0
1134.txt,13,17,0.8125,1.0,16,17,3,1
661.txt,5,6,0.625,1.0,8,6,3,0
649.txt,8,8,0.8,1.0,10,8,2,0
852.txt,8,7,0.4444444444444444,1.0,18,7,10,0
1097.txt,7,7,0.7777777777777778,1.0,9,7,2,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,4,9,0.8,1.0,5,9,1,0
930.txt,6,5,0.75,1.0,8,5,2,0
139.txt,11,9,1.0,1.0,11,9,0,0
111.txt,4,3,1.0,1.0,4,3,0,0
474.txt,15,13,1.0,0.9285714285714286,15,14,0,1
1123.txt,7,6,0.5,1.0,14,6,7,0
110.txt,3,3,0.6,1.0,5,3,2,0
