File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0,0,0,15,11,[],0.0,0.0,0,0,0,15,11,[],0.13333333333333333,0.18181818181818182,0.7855344414710999,2,2,15,11,"[0.7738752663135529, 0.7971936166286469]",0.26666666666666666,0.2727272727272727,0.7253593653440475,4,3,15,11,"[0.6393289268016815, 0.691039651632309, 0.7738752663135529, 0.7971936166286469]",0.3333333333333333,0.36363636363636365,0.6934224307537079,5,4,15,11,"[0.6393289268016815, 0.691039651632309, 0.7738752663135529, 0.7971936166286469, 0.5656746923923492]",0.5333333333333333,0.5454545454545454,0.5904565285891294,8,6,15,11,"[0.444088876247406, 0.6393289268016815, 0.691039651632309, 0.7738752663135529, 0.7971936166286469, 0.35789257287979126, 0.4545586258172989, 0.5656746923923492]"
1005,1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436]
1015,0.0,0.0,0,0,0,4,4,[],0.0,0.0,0,0,0,4,4,[],0.0,0.0,0,0,0,4,4,[],0.5,0.25,0.6507761776447296,2,1,4,4,"[0.6507761776447296, 0.6507761776447296]",0.75,0.5,0.6295578479766846,3,2,4,4,"[0.5871211886405945, 0.6507761776447296, 0.6507761776447296]",1.0,0.75,0.5925237312912941,4,3,4,4,"[0.5871211886405945, 0.4814213812351227, 0.6507761776447296, 0.6507761776447296]"
1010,0.0,0.0,0,0,0,8,6,[],0.0,0.0,0,0,0,8,6,[],0.125,0.16666666666666666,0.7557896375656128,1,1,8,6,[0.7557896375656128],0.125,0.16666666666666666,0.7557896375656128,1,1,8,6,[0.7557896375656128],0.375,0.5,0.6169726252555847,3,3,8,6,"[0.7557896375656128, 0.5215549468994141, 0.5735732913017273]",0.75,0.8333333333333334,0.5232006808122,6,5,8,6,"[0.7557896375656128, 0.3866225779056549, 0.47915443778038025, 0.5215549468994141, 0.5735732913017273, 0.42250919342041016]"
1019,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[]
102,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8857661485671997,1,1,1,1,[0.8857661485671997],1.0,1.0,0.8857661485671997,1,1,1,1,[0.8857661485671997],1.0,1.0,0.8857661485671997,1,1,1,1,[0.8857661485671997],1.0,1.0,0.8857661485671997,1,1,1,1,[0.8857661485671997],1.0,1.0,0.8857661485671997,1,1,1,1,[0.8857661485671997]
1028,0.0,0.0,0,0,0,8,9,[],0.0,0.0,0,0,0,8,9,[],0.125,0.1111111111111111,0.7368060350418091,1,1,8,9,[0.7368060350418091],0.5,0.4444444444444444,0.6850044578313828,4,4,8,9,"[0.7368060350418091, 0.6991439163684845, 0.6991440057754517, 0.6049238741397858]",0.5,0.4444444444444444,0.6850044578313828,4,4,8,9,"[0.7368060350418091, 0.6991439163684845, 0.6991440057754517, 0.6049238741397858]",1.0,0.7777777777777778,0.5685619916766882,8,7,8,9,"[0.7368060350418091, 0.4630439281463623, 0.6991439163684845, 0.6991440057754517, 0.6049238741397858, 0.454447865486145, 0.49815091490745544, 0.3928353935480118]"
1025,0.0,0.0,0,0,0,17,28,[],0.0,0.0,0,0,0,17,28,[],0.23529411764705882,0.14285714285714285,0.7679939791560173,4,4,17,28,"[0.7809009850025177, 0.7840543389320374, 0.7542095184326172, 0.752811074256897]",0.29411764705882354,0.14285714285714285,0.7393339335918426,5,4,17,28,"[0.7809009850025177, 0.7840543389320374, 0.7542095184326172, 0.752811074256897, 0.624693751335144]",0.5294117647058824,0.2857142857142857,0.6442250087857246,9,8,17,28,"[0.7809009850025177, 0.7840543389320374, 0.5468512326478958, 0.5174540579319, 0.7542095184326172, 0.752811074256897, 0.624693751335144, 0.5210251212120056, 0.57137531042099, 0.5888746976852417]",1.0,0.5357142857142857,0.4935403899712996,17,15,17,28,"[0.4169086813926697, 0.45381036400794983, 0.7809009850025177, 0.7840543389320374, 0.3609744906425476, 0.3286316394805908, 0.291985422372818, 0.3609744906425476, 0.39573152363300323, 0.5468512326478958, 0.5174540579319, 0.7542095184326172, 0.752811074256897, 0.624693751335144, 0.44917941093444824, 0.33848321437835693, 0.5210251212120056, 0.57137531042099, 0.5888746976852417, 0.40986451506614685, 0.26136502623558044, 0.34772971272468567]"
103,0.07692307692307693,0.08333333333333333,0.9409900307655334,1,1,13,12,[0.9409900307655334],0.07692307692307693,0.08333333333333333,0.9409900307655334,1,1,13,12,[0.9409900307655334],0.3076923076923077,0.3333333333333333,0.7922170534729958,4,4,13,12,"[0.7286582589149475, 0.7968538701534271, 0.702366054058075, 0.9409900307655334]",0.3076923076923077,0.3333333333333333,0.7922170534729958,4,4,13,12,"[0.7286582589149475, 0.7968538701534271, 0.702366054058075, 0.9409900307655334]",0.6923076923076923,0.4166666666666667,0.6494073934025235,9,5,13,12,"[0.7286582589149475, 0.7968538701534271, 0.702366054058075, 0.9409900307655334, 0.5199579298496246, 0.5915325582027435, 0.5210635960102081, 0.5050839185714722, 0.5381603240966797]",1.0,0.5833333333333334,0.5885807287234527,13,7,13,12,"[0.7286582589149475, 0.45129498839378357, 0.7968538701534271, 0.702366054058075, 0.9409900307655334, 0.4191315621137619, 0.4586464762687683, 0.5199579298496246, 0.4778099060058594, 0.5915325582027435, 0.5210635960102081, 0.5050839185714722, 0.5381603240966797]"
1047,0.0,0.0,0,0,0,22,14,[],0.0,0.0,0,0,0,22,14,[],0.2727272727272727,0.21428571428571427,0.7529387498895327,6,3,22,14,"[0.784616082906723, 0.7370332479476929, 0.725602000951767, 0.7976586222648621, 0.7378942370414734, 0.734828308224678]",0.45454545454545453,0.42857142857142855,0.7207010781223123,10,6,22,14,"[0.6901344656944275, 0.6851704865694046, 0.6945689618587494, 0.784616082906723, 0.7370332479476929, 0.6873486936092377, 0.725602000951767, 0.7976586222648621, 0.7378942370414734, 0.734828308224678, 0.6528567522764206]",0.6363636363636364,0.6428571428571429,0.6462968173954222,14,9,22,14,"[0.5290436148643494, 0.6901344656944275, 0.6851704865694046, 0.6945689618587494, 0.784616082906723, 0.7370332479476929, 0.5366569310426712, 0.6873486936092377, 0.5252351313829422, 0.725602000951767, 0.7976586222648621, 0.527151346206665, 0.5005141347646713, 0.7378942370414734, 0.734828308224678, 0.6528567522764206, 0.5317050814628601, 0.5553246140480042]",1.0,0.9285714285714286,0.5343835002018346,22,13,22,14,"[0.5290436148643494, 0.41829444468021393, 0.6901344656944275, 0.6851704865694046, 0.451600044965744, 0.6945689618587494, 0.784616082906723, 0.7370332479476929, 0.5366569310426712, 0.43666473031044006, 0.3808489441871643, 0.42668570578098297, 0.3916824460029602, 0.40636734664440155, 0.6873486936092377, 0.47595129907131195, 0.5252351313829422, 0.47672678530216217, 0.725602000951767, 0.7976586222648621, 0.4621996730566025, 0.527151346206665, 0.5005141347646713, 0.38485731184482574, 0.29094932973384857, 0.4433695375919342, 0.48199644684791565, 0.7378942370414734, 0.734828308224678, 0.6528567522764206, 0.5317050814628601, 0.4183989465236664, 0.3901018798351288, 0.5553246140480042, 0.45294249057769775, 0.4148259311914444]"
1046,1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365],1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365],1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365],1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365],1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365],1.0,1.0,0.9169347286224365,1,1,1,1,[0.9169347286224365]
1049,0.4,0.4,1.0000000298023224,2,2,5,5,"[1.0000001192092896, 0.9999999403953552]",0.4,0.4,1.0000000298023224,2,2,5,5,"[1.0000001192092896, 0.9999999403953552]",1.0,1.0,0.8354259669780731,5,5,5,5,"[1.0000001192092896, 0.9999999403953552, 0.7393111437559128, 0.7240788340568542, 0.7137397974729538]",1.0,1.0,0.8354259669780731,5,5,5,5,"[1.0000001192092896, 0.9999999403953552, 0.7393111437559128, 0.7240788340568542, 0.7137397974729538]",1.0,1.0,0.8354259669780731,5,5,5,5,"[1.0000001192092896, 0.9999999403953552, 0.7393111437559128, 0.7240788340568542, 0.7137397974729538]",1.0,1.0,0.8354259669780731,5,5,5,5,"[1.0000001192092896, 0.9999999403953552, 0.7393111437559128, 0.7240788340568542, 0.7137397974729538]"
1052,0.0,0.0,0,0,0,14,14,[],0.07142857142857142,0.07142857142857142,0.8500714302062988,1,1,14,14,[0.8500714302062988],0.21428571428571427,0.21428571428571427,0.7946828603744507,3,3,14,14,"[0.8500714302062988, 0.7522741258144379, 0.7817030251026154]",0.2857142857142857,0.2857142857142857,0.7686589360237122,4,4,14,14,"[0.8500714302062988, 0.6905871629714966, 0.7522741258144379, 0.7817030251026154]",0.6428571428571429,0.5714285714285714,0.6352417452467812,9,8,14,14,"[0.8500714302062988, 0.6905871629714966, 0.7522741258144379, 0.5522135496139526, 0.7817030251026154, 0.5092336535453796, 0.5130675137042999, 0.5127047449350357, 0.5553205013275146]",0.7857142857142857,0.7142857142857143,0.6040381586009805,11,10,14,14,"[0.8500714302062988, 0.49336838722229004, 0.6905871629714966, 0.7522741258144379, 0.5522135496139526, 0.7817030251026154, 0.5092336535453796, 0.4338756501674652, 0.5130675137042999, 0.5127047449350357, 0.5553205013275146]"
1061,0.0,0.0,0,0,0,12,8,[],0.08333333333333333,0.125,0.8448300957679749,1,1,12,8,[0.8448300957679749],0.3333333333333333,0.5,0.7782631739974022,4,4,12,8,"[0.7368565797805786, 0.7676410377025604, 0.8448300957679749, 0.7637249827384949]",0.6666666666666666,0.875,0.7187340874224901,8,7,12,8,"[0.6620597839355469, 0.7368565797805786, 0.6488762944936752, 0.7676410377025604, 0.635970950126648, 0.8448300957679749, 0.6899129748344421, 0.7637249827384949]",0.8333333333333334,1.0,0.6828064814209938,10,8,12,8,"[0.6620597839355469, 0.7368565797805786, 0.6488762944936752, 0.7676410377025604, 0.5132676959037781, 0.635970950126648, 0.8448300957679749, 0.564924418926239, 0.6899129748344421, 0.7637249827384949]",1.0,1.0,0.6278434656560421,12,8,12,8,"[0.6620597839355469, 0.7368565797805786, 0.6488762944936752, 0.7676410377025604, 0.5132676959037781, 0.635970950126648, 0.8448300957679749, 0.564924418926239, 0.6899129748344421, 0.32774919271469116, 0.378307580947876, 0.7637249827384949]"
1067,1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604],1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604],1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604],1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604],1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604],1.0,1.0,0.945229172706604,1,1,1,1,[0.945229172706604]
1070,0.0,0.0,0,0,0,8,5,[],0.0,0.0,0,0,0,8,5,[],0.25,0.4,0.752666175365448,2,2,8,5,"[0.7697643637657166, 0.7355679869651794]",0.5,0.6,0.6961104571819305,4,3,8,5,"[0.7697643637657166, 0.7355679869651794, 0.663206160068512, 0.6159033179283142]",0.625,0.8,0.665520653128624,5,4,8,5,"[0.7697643637657166, 0.7355679869651794, 0.663206160068512, 0.6159033179283142, 0.5431614369153976]",1.0,1.0,0.5462879455751843,8,5,8,5,"[0.7697643637657166, 0.3942275643348694, 0.7355679869651794, 0.663206160068512, 0.6159033179283142, 0.3682273030281067, 0.4841292202472687, 0.5431614369153976, 0.34240415692329407]"
1073,1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088],1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088],1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088],1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088],1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088],1.0,1.0,0.9453220963478088,1,1,1,1,[0.9453220963478088]
1081,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8457356691360474,1,1,1,1,[0.8457356691360474],1.0,1.0,0.8457356691360474,1,1,1,1,[0.8457356691360474],1.0,1.0,0.8457356691360474,1,1,1,1,[0.8457356691360474],1.0,1.0,0.8457356691360474,1,1,1,1,[0.8457356691360474],1.0,1.0,0.8457356691360474,1,1,1,1,[0.8457356691360474]
1088,1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434],1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434],1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434],1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434],1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434],1.0,1.0,0.9797261357307434,1,1,1,1,[0.9797261357307434]
